NORAD_ID,TLE_LINE_1,TLE_LINE_2
28897,1 28897U 05043H   26242.14907575  .00001180  00000-0  18705-3 0  9994,2 28897  98.3033  41.7586 0012327 318.8945 100.0304 14.74120228105203
43656,1 43656U 18081B   26242.04647621  .00000167  00000-0  66196-4 0  9994,2 43656  99.3639 165.8409 0205515  54.1262 307.8810 14.31885259409877
12551,1 12551U 81021C   26241.76667612 -.00000094  00000-0 -24513-5 0  9997,2 12551  64.9674  20.0580 0045959 200.6324 159.2885 13.90551432311709
28632,1 28632U 05010D   26241.59062409  .00011017  00000-0  10294-2 0  9995,2 28632  47.3305 357.0614 4589263 267.6713  41.0873  6.35827306258176
37144,1 37144U 10041H   26239.53562655 -.00000018  00000-0 -30052-3 0  9998,2 37144  64.9161  66.8584 5615807 305.5569  14.1783  4.24864021108352
68293,1 68293U 26056C   26241.60693820  .00102600  00000-0  90709-3 0  9993,2 68293  50.2844 301.9007 0106720 322.6897  36.6698 15.60664163 25111
631,1 00631U 63030E   26239.43561870  .00000003  00000-0  00000-0 0  9991,2 00631  88.4400 213.4222 0157518  18.2634 342.3790  8.55875654971731
1318,1 01318U 65028B   26242.21482042  .00000017  00000-0  00000-0 0  9991,2 01318  17.4698 245.6981 6953794 188.7925 117.4876  2.11826657108896
8710,1 08710U 76019B   26242.00834249 -.00000042  00000-0  10945-4 0  9995,2 08710  69.6757  58.9147 0015335 241.1941 285.9616 13.69998669525185
24921,1 24921U 97047B   26242.31612104  .00000049  00000-0  44086-4 0  9998,2 24921  69.9688 244.6291 0019663 162.6717 292.5535 14.26585395508854
1616,1 01616U 65078B   26241.97692912  .00003766  00000-0  29615-3 0  9998,2 01616 144.2238 250.2440 0964151 288.8264  61.0381 13.38554444760600
23947,1 23947U 96038C   26240.41476431  .00000319  00000-0  11470-3 0  9994,2 23947  55.3111 175.2421 4989541 243.7031  57.4662  5.57406454144600
41192,1 41192U 15082B   26241.59487477 -.00000031  00000-0  00000-0 0  9994,2 41192  23.0269  59.0939 6008344 198.1354 124.7518  2.16569765 84504
29650,1 29650U 06056C   26240.19971753 -.00000149  00000-0  00000-0 0  9990,2 29650  16.7283  74.6685 4984376 271.5969 341.0759  1.86163735133913
