norad_id,track_id,period_sec,downloaded_products
23947,4149301,27.0,4149301_L.png;4149301_S.png;4149301_D.png;4149301_P.png;4149301_F.png;4149301_R.png;4149301_M.png;4149301_P.png
23947,4199024,26.8,4199024_L.png;4199024_S.png;4199024_D.png;4199024_P.png;4199024_F.png;4199024_R.png;4199024_M.png;4199024_P.png
23947,4258214,27.4,4258214_L.png;4258214_S.png;4258214_D.png;4258214_P.png;4258214_F.png;4258214_R.png;4258214_M.png;4258214_P.png
23947,5617227,27.2,5617227_L.png;5617227_S.png;5617227_D.png;5617227_P.png;5617227_F.png;5617227_R.png;5617227_M.png;5617227_P.png
23947,6492846,27.08,6492846_L.png;6492846_S.png;6492846_D.png;6492846_P.png;6492846_F.png;6492846_R.png;6492846_M.png;6492846_P.png
23947,16394042,32.5,16394042_L.png;16394042_S.png;16394042_D.png;16394042_P.png;16394042_F.png;16394042_R.png;16394042_M.png;16394042_P.png
23947,16503170,32.66,16503170_L.png;16503170_S.png;16503170_D.png;16503170_P.png;16503170_F.png;16503170_R.png;16503170_M.png;16503170_P.png
23947,16533378,32.69,16533378_L.png;16533378_S.png;16533378_D.png;16533378_P.png;16533378_F.png;16533378_R.png;16533378_M.png;16533378_P.png
23947,16597573,32.68,16597573_L.png;16597573_S.png;16597573_D.png;16597573_P.png;16597573_F.png;16597573_R.png;16597573_M.png;16597573_P.png
23947,16622825,32.74,16622825_L.png;16622825_S.png;16622825_D.png;16622825_P.png;16622825_F.png;16622825_R.png;16622825_M.png;16622825_P.png
23947,16697261,32.74,16697261_L.png;16697261_S.png;16697261_D.png;16697261_P.png;16697261_F.png;16697261_R.png;16697261_M.png
23947,16706407,32.84,16706407_L.png;16706407_S.png;16706407_D.png;16706407_P.png;16706407_F.png;16706407_R.png;16706407_M.png;16706407_P.png
23947,16756483,32.73,16756483_L.png;16756483_S.png;16756483_D.png;16756483_P.png;16756483_F.png;16756483_R.png;16756483_M.png;16756483_P.png
23947,16798738,32.75,16798738_L.png;16798738_S.png;16798738_D.png;16798738_P.png;16798738_F.png;16798738_R.png;16798738_M.png;16798738_P.png
23947,16862087,32.56,16862087_L.png;16862087_S.png;16862087_D.png;16862087_P.png;16862087_F.png;16862087_R.png;16862087_M.png;16862087_P.png
23947,17490371,33.52,17490371_L.png;17490371_S.png;17490371_D.png;17490371_P.png;17490371_F.png;17490371_R.png;17490371_M.png;17490371_P.png
