norad_id,track_id,period_sec,downloaded_products
40209,7095963,201.84,7095963_L.png;7095963_S.png;7095963_D.png;7095963_P.png;7095963_F.png;7095963_R.png;7095963_M.png;7095963_P.png
40209,7952546,198.77,7952546_L.png;7952546_S.png;7952546_D.png;7952546_P.png;7952546_F.png;7952546_R.png;7952546_M.png;7952546_P.png
40209,10358640,262.0,10358640_L.png;10358640_S.png;10358640_D.png;10358640_P.png;10358640_F.png;10358640_R.png;10358640_M.png;10358640_P.png
40209,12069078,393.22,12069078_L.png;12069078_S.png;12069078_D.png;12069078_P.png;12069078_F.png;12069078_R.png;12069078_M.png;12069078_P.png
40209,13582368,4.28,13582368_L.png;13582368_S.png;13582368_D.png;13582368_P.png;13582368_F.png;13582368_R.png;13582368_M.png;13582368_P.png
40209,13868255,4.46,13868255_L.png;13868255_S.png;13868255_D.png;13868255_P.png;13868255_F.png;13868255_R.png;13868255_M.png;13868255_P.png
40209,14535987,4.23,14535987_L.png;14535987_S.png;14535987_D.png;14535987_P.png;14535987_F.png;14535987_R.png;14535987_M.png;14535987_P.png
40209,15451205,4.31,15451205_L.png;15451205_S.png;15451205_D.png;15451205_P.png;15451205_F.png;15451205_R.png;15451205_M.png;15451205_P.png
40209,17055314,4.33,17055314_L.png;17055314_S.png;17055314_D.png;17055314_P.png;17055314_F.png;17055314_R.png;17055314_M.png;17055314_P.png
40209,25396882,4.41,25396882_L.png;25396882_S.png;25396882_D.png;25396882_P.png;25396882_F.png;25396882_R.png;25396882_M.png;25396882_P.png
40209,28535363,4.47,28535363_L.png;28535363_S.png;28535363_D.png;28535363_P.png;28535363_F.png;28535363_R.png;28535363_M.png;28535363_P.png
40209,29224515,4.45,29224515_L.png;29224515_S.png;29224515_D.png;29224515_P.png;29224515_F.png;29224515_R.png;29224515_M.png;29224515_P.png
40209,32590624,4.5,32590624_L.png;32590624_S.png;32590624_D.png;32590624_P.png;32590624_F.png;32590624_R.png;32590624_M.png;32590624_P.png
