timestamp,magnitude,error
2024-06-01T00:00:06.985470717+00:00,9.1126,0.05
2024-06-01T00:00:08.376669884+00:00,8.1844,0.05
2024-06-01T00:00:16.153319134+00:00,8.421,0.05
2024-06-01T00:00:23.345328192+00:00,8.7611,0.05
2024-06-01T00:00:23.779029280+00:00,8.3631,0.05
2024-06-01T00:00:25.547344375+00:00,7.6702,0.05
2024-06-01T00:00:38.397998636+00:00,9.1577,0.05
2024-06-01T00:00:38.852537876+00:00,8.8109,0.05
2024-06-01T00:00:41.767828124+00:00,7.9303,0.05
2024-06-01T00:00:46.839753173+00:00,7.9144,0.05
2024-06-01T00:00:47.075225989+00:00,8.1368,0.05
2024-06-01T00:00:47.917796010+00:00,8.9168,0.05
2024-06-01T00:00:48.390843599+00:00,9.1006,0.05
2024-06-01T00:00:51.633901689+00:00,7.679,0.05
2024-06-01T00:00:53.015109720+00:00,8.817,0.05
2024-06-01T00:00:53.476300933+00:00,9.088,0.05
2024-06-01T00:01:04.271336122+00:00,9.1347,0.05
2024-06-01T00:01:04.537496887+00:00,9.0046,0.05
2024-06-01T00:01:06.853510249+00:00,7.5283,0.05
2024-06-01T00:01:08.788453309+00:00,8.858,0.05
2024-06-01T00:01:09.079082186+00:00,9.008,0.05
2024-06-01T00:01:09.737244958+00:00,9.059,0.05
2024-06-01T00:01:12.070745279+00:00,7.5913,0.05
2024-06-01T00:01:14.495180965+00:00,9.0478,0.05
2024-06-01T00:01:14.558411514+00:00,9.1217,0.05
2024-06-01T00:01:24.181293480+00:00,8.6614,0.05
2024-06-01T00:01:25.319212438+00:00,9.0426,0.05
2024-06-01T00:01:28.669633210+00:00,7.9397,0.05
2024-06-01T00:01:34.699540139+00:00,8.6542,0.05
2024-06-01T00:01:35.947965956+00:00,9.0302,0.05
2024-06-01T00:01:36.814084807+00:00,8.3487,0.05
2024-06-01T00:01:37.663125843+00:00,7.6306,0.05
2024-06-01T00:01:39.917020506+00:00,8.6492,0.05
2024-06-01T00:01:44.082430401+00:00,7.8163,0.05
2024-06-01T00:01:45.469327675+00:00,8.9487,0.05
2024-06-01T00:01:47.205402991+00:00,8.3592,0.05
2024-06-01T00:01:54.143542099+00:00,7.5555,0.05
2024-06-01T00:02:00.615501152+00:00,8.5774,0.05
2024-06-01T00:02:00.672412499+00:00,8.6556,0.05
2024-06-01T00:02:01.324282828+00:00,9.0354,0.05
2024-06-01T00:02:06.755419184+00:00,9.0479,0.05
2024-06-01T00:02:13.765021060+00:00,7.9421,0.05
2024-06-01T00:02:17.621078549+00:00,9.072,0.05
2024-06-01T00:02:18.758465785+00:00,8.1419,0.05
2024-06-01T00:02:27.804160894+00:00,9.096,0.05
2024-06-01T00:02:30.185257403+00:00,7.5239,0.05
2024-06-01T00:02:36.306803745+00:00,7.8185,0.05
2024-06-01T00:02:37.308591404+00:00,8.7086,0.05
2024-06-01T00:02:38.884936465+00:00,8.7296,0.05
2024-06-01T00:02:40.621272865+00:00,7.5834,0.05
2024-06-01T00:02:41.893014753+00:00,8.1933,0.05
2024-06-01T00:02:44.994549310+00:00,7.9991,0.05
2024-06-01T00:02:45.901388150+00:00,7.5418,0.05
2024-06-01T00:02:51.549177634+00:00,7.6238,0.05
2024-06-01T00:02:52.304503317+00:00,8.1282,0.05
2024-06-01T00:02:59.632859705+00:00,8.8622,0.05
2024-06-01T00:03:00.215579490+00:00,8.3686,0.05
2024-06-01T00:03:04.131156718+00:00,9.1969,0.05
2024-06-01T00:03:10.258943775+00:00,8.7718,0.05
2024-06-01T00:03:10.661428997+00:00,8.3793,0.05
2024-06-01T00:03:11.685988789+00:00,7.6486,0.05
2024-06-01T00:03:12.746872371+00:00,7.8554,0.05
2024-06-01T00:03:14.066647839+00:00,8.8674,0.05
2024-06-01T00:03:18.219288580+00:00,8.0039,0.05
2024-06-01T00:03:21.226470599+00:00,8.2443,0.05
2024-06-01T00:03:21.891865713+00:00,7.7282,0.05
2024-06-01T00:03:26.511797093+00:00,8.17,0.05
2024-06-01T00:03:33.265122863+00:00,7.6046,0.05
2024-06-01T00:03:38.511376461+00:00,7.6036,0.05
2024-06-01T00:03:41.845016621+00:00,8.5142,0.05
2024-06-01T00:03:41.926847813+00:00,8.338,0.05
2024-06-01T00:03:46.716975927+00:00,8.7509,0.05
2024-06-01T00:03:55.266274808+00:00,8.4418,0.05
2024-06-01T00:03:56.940235194+00:00,8.8708,0.05
