timestamp,magnitude,error
2024-06-01T00:00:00.612946510+00:00,7.888,0.05
2024-06-01T00:00:02.020027814+00:00,7.9177,0.05
2024-06-01T00:00:02.209718069+00:00,7.9292,0.05
2024-06-01T00:00:05.718691874+00:00,7.9066,0.05
2024-06-01T00:00:07.814223935+00:00,7.8942,0.05
2024-06-01T00:00:10.171801017+00:00,7.8676,0.05
2024-06-01T00:00:13.111732142+00:00,7.8474,0.05
2024-06-01T00:00:13.794379406+00:00,7.891,0.05
2024-06-01T00:00:17.262371281+00:00,7.8246,0.05
2024-06-01T00:00:23.359555266+00:00,7.868,0.05
2024-06-01T00:00:24.488084256+00:00,7.8198,0.05
2024-06-01T00:00:25.316079742+00:00,7.8609,0.05
2024-06-01T00:00:26.817293082+00:00,7.8201,0.05
2024-06-01T00:00:26.822114619+00:00,7.8462,0.05
2024-06-01T00:00:30.617503807+00:00,7.835,0.05
2024-06-01T00:00:33.105885931+00:00,7.8305,0.05
2024-06-01T00:00:33.453144266+00:00,7.8589,0.05
2024-06-01T00:00:35.176168197+00:00,7.766,0.05
2024-06-01T00:00:35.610580031+00:00,7.791,0.05
2024-06-01T00:00:35.925563429+00:00,7.8953,0.05
2024-06-01T00:00:40.873155899+00:00,7.8717,0.05
2024-06-01T00:00:41.169835595+00:00,7.837,0.05
2024-06-01T00:00:41.581270416+00:00,7.9052,0.05
2024-06-01T00:00:42.094842044+00:00,7.841,0.05
2024-06-01T00:00:46.849844947+00:00,7.8476,0.05
2024-06-01T00:00:50.003063351+00:00,7.8429,0.05
2024-06-01T00:00:53.060456583+00:00,7.9544,0.05
2024-06-01T00:00:56.523134982+00:00,7.8926,0.05
2024-06-01T00:01:10.593349637+00:00,7.9176,0.05
2024-06-01T00:01:15.470685766+00:00,7.9397,0.05
2024-06-01T00:01:16.594516770+00:00,7.8496,0.05
2024-06-01T00:01:24.627541963+00:00,7.9208,0.05
2024-06-01T00:01:33.307287786+00:00,7.9875,0.05
2024-06-01T00:01:34.912003091+00:00,7.9739,0.05
2024-06-01T00:01:35.721798573+00:00,8.0647,0.05
2024-06-01T00:01:37.512371228+00:00,7.9605,0.05
2024-06-01T00:01:43.667235243+00:00,8.0385,0.05
2024-06-01T00:01:47.072243885+00:00,8.0437,0.05
2024-06-01T00:01:50.015859885+00:00,8.0264,0.05
2024-06-01T00:01:51.507071733+00:00,8.0384,0.05
2024-06-01T00:01:52.600163466+00:00,8.0173,0.05
2024-06-01T00:01:54.159982967+00:00,7.9549,0.05
2024-06-01T00:01:57.848779609+00:00,8.0594,0.05
2024-06-01T00:01:58.070446641+00:00,8.0632,0.05
2024-06-01T00:02:01.160132919+00:00,8.0792,0.05
2024-06-01T00:02:03.956940019+00:00,8.0669,0.05
2024-06-01T00:02:05.888316501+00:00,8.1091,0.05
2024-06-01T00:02:07.009711174+00:00,8.0391,0.05
2024-06-01T00:02:09.345266766+00:00,8.1395,0.05
2024-06-01T00:02:10.195421962+00:00,8.0438,0.05
2024-06-01T00:02:11.161619158+00:00,8.0818,0.05
2024-06-01T00:02:11.496548660+00:00,8.1144,0.05
2024-06-01T00:02:14.564145799+00:00,8.0755,0.05
2024-06-01T00:02:16.074304101+00:00,8.1304,0.05
2024-06-01T00:02:20.274063905+00:00,8.0984,0.05
2024-06-01T00:02:20.632561438+00:00,8.1178,0.05
2024-06-01T00:02:26.934482261+00:00,8.1222,0.05
2024-06-01T00:02:27.188428443+00:00,8.107,0.05
2024-06-01T00:02:28.056974321+00:00,8.2223,0.05
2024-06-01T00:02:31.157756012+00:00,8.1061,0.05
2024-06-01T00:02:34.006639119+00:00,8.0547,0.05
2024-06-01T00:02:36.330754433+00:00,8.119,0.05
2024-06-01T00:02:40.554885515+00:00,8.165,0.05
2024-06-01T00:02:43.428817048+00:00,8.15,0.05
2024-06-01T00:02:45.086278248+00:00,8.2087,0.05
2024-06-01T00:02:48.890567045+00:00,8.2133,0.05
2024-06-01T00:02:50.270037855+00:00,8.1633,0.05
2024-06-01T00:02:50.813659531+00:00,8.1095,0.05
2024-06-01T00:02:54.355568679+00:00,8.1301,0.05
2024-06-01T00:02:55.553675761+00:00,8.1815,0.05
2024-06-01T00:02:59.735506198+00:00,8.1245,0.05
2024-06-01T00:02:59.857624888+00:00,8.1725,0.05
2024-06-01T00:03:15.383913603+00:00,8.2508,0.05
2024-06-01T00:03:18.208854126+00:00,8.2074,0.05
2024-06-01T00:03:22.836592507+00:00,8.194,0.05
2024-06-01T00:03:23.805153671+00:00,8.15,0.05
2024-06-01T00:03:23.818203255+00:00,8.1989,0.05
2024-06-01T00:03:24.986970276+00:00,8.1807,0.05
2024-06-01T00:03:24.996607702+00:00,8.2006,0.05
2024-06-01T00:03:30.667124844+00:00,8.2158,0.05
2024-06-01T00:03:30.902115391+00:00,8.2224,0.05
2024-06-01T00:03:30.986691971+00:00,8.1915,0.05
2024-06-01T00:03:31.795363489+00:00,8.2061,0.05
2024-06-01T00:03:34.001012500+00:00,8.1628,0.05
2024-06-01T00:03:43.607888690+00:00,8.2154,0.05
2024-06-01T00:03:47.531734686+00:00,8.1278,0.05
2024-06-01T00:03:52.498232752+00:00,8.1453,0.05
2024-06-01T00:03:59.320125144+00:00,8.188,0.05
2024-06-01T00:04:02.643416666+00:00,8.1112,0.05
2024-06-01T00:04:06.957246538+00:00,8.0658,0.05
2024-06-01T00:04:11.047018293+00:00,8.092,0.05
2024-06-01T00:04:12.173629920+00:00,8.1609,0.05
2024-06-01T00:04:12.659685109+00:00,8.0131,0.05
2024-06-01T00:04:13.141782227+00:00,8.1066,0.05
2024-06-01T00:04:19.336528042+00:00,8.0593,0.05
2024-06-01T00:04:20.672579117+00:00,8.0739,0.05
