# satellite: 1000 TITAN 3A (TRUSS) / US
# catalogue: 1 NORAD
# track: 10253477
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 137
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-02-10 16:58:08.097000 6.698 10.3724 Clear 0 4100.874 115.359 7
2016-02-10 16:58:08.197000 6.213 9.88731 Clear 0 4100.669 115.352 7
2016-02-10 16:58:08.297000 6.617 10.2897 Clear 0 4100.465 115.345 7
2016-02-10 16:58:08.397000 6.027 9.70014 Clear 0 4100.26 115.337 7
2016-02-10 16:58:08.497000 5.621 9.2944 Clear 0 4100.055 115.33 7
2016-02-10 16:58:08.697000 6.51 10.1815 Clear 0 4099.646 115.315 7
2016-02-10 16:58:08.897000 5.775 9.44551 Clear 0 4099.237 115.3 7
2016-02-10 16:58:09.097000 6.339 10.0103 Clear 0 4098.828 115.285 7
2016-02-10 16:58:09.197000 5.943 9.61253 Clear 0 4098.624 115.278 7
2016-02-10 16:58:09.297000 6.097 9.76696 Clear 0 4098.42 115.271 7
2016-02-10 16:58:09.497000 5.144 8.8128 Clear 0 4098.011 115.256 7
2016-02-10 16:58:09.797000 5.666 9.33426 Clear 0 4097.399 115.234 7
2016-02-10 16:58:09.997000 5.617 9.28534 Clear 0 4096.991 115.219 7
2016-02-10 16:58:10.097000 5.932 9.59919 Clear 0 4096.787 115.211 7
2016-02-10 16:58:10.197000 5.563 9.22992 Clear 0 4096.583 115.204 7
2016-02-10 16:58:10.297000 6.331 9.99804 Clear 0 4096.379 115.197 7
2016-02-10 16:58:10.697000 6.037 9.70147 Clear 0 4095.565 115.167 7
2016-02-10 16:58:10.797000 5.744 9.40849 Clear 0 4095.361 115.16 7
2016-02-10 16:58:10.897000 6.018 9.68309 Clear 0 4095.158 115.152 7
2016-02-10 16:58:10.997000 6.233 9.89678 Clear 0 4094.954 115.145 7
2016-02-10 16:58:11.197000 6.25 9.91435 Clear 0 4094.547 115.13 7
2016-02-10 16:58:11.297000 6.629 10.292 Clear 0 4094.344 115.123 7
2016-02-10 16:58:11.597000 6.117 9.77969 Clear 0 4093.735 115.1 7
2016-02-10 16:58:11.697000 5.982 9.64346 Clear 0 4093.531 115.093 7
2016-02-10 16:58:11.997000 6.098 9.75855 Clear 0 4092.922 115.071 7
