# satellite: 1000 TITAN 3A (TRUSS) / US
# catalogue: 1 NORAD
# track: 9107043
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 2333
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-10-17 17:34:38.498000 7.169 9.75149 Clear 0 3509.118 81.775 3
2015-10-17 17:34:38.598000 7.356 9.93857 Clear 0 3508.964 81.766 3
2015-10-17 17:34:38.698000 7.293 9.87551 Clear 0 3508.81 81.756 3
2015-10-17 17:34:38.898000 7.859 10.4411 Clear 0 3508.504 81.737 3
2015-10-17 17:34:39.298000 7.31 9.8907 Clear 0 3507.89 81.698 3
2015-10-17 17:34:39.398000 7.265 9.84587 Clear 0 3507.737 81.688 3
2015-10-17 17:34:39.498000 7.314 9.89522 Clear 0 3507.584 81.678 3
2015-10-17 17:34:39.798000 7.773 10.3528 Clear 0 3507.125 81.649 3
2015-10-17 17:34:40.198000 6.956 9.53448 Clear 0 3506.515 81.611 3
2015-10-17 17:34:40.398000 7.001 9.58034 Clear 0 3506.21 81.591 3
2015-10-17 17:34:40.698000 7.532 10.1102 Clear 0 3505.753 81.562 3
2015-10-17 17:34:40.998000 7.473 10.0503 Clear 0 3505.296 81.533 3
2015-10-17 17:34:41.098000 7.03 9.60665 Clear 0 3505.144 81.523 3
2015-10-17 17:34:41.198000 7.051 9.62747 Clear 0 3504.992 81.514 3
2015-10-17 17:34:41.398000 7.697 10.2728 Clear 0 3504.688 81.494 3
2015-10-17 17:34:41.698000 7.469 10.0438 Clear 0 3504.233 81.465 3
2015-10-17 17:34:41.798000 7.136 9.71127 Clear 0 3504.082 81.455 3
2015-10-17 17:34:42.298000 7.855 10.4294 Clear 0 3503.325 81.407 3
2015-10-17 17:34:42.498000 7.482 10.0545 Clear 0 3503.023 81.387 3
2015-10-17 17:34:42.598000 7.194 9.76704 Clear 0 3502.872 81.378 3
2015-10-17 17:34:42.898000 8.049 10.6207 Clear 0 3502.419 81.349 3
2015-10-17 17:34:42.998000 7.462 10.0342 Clear 0 3502.268 81.339 3
2015-10-17 17:34:43.398000 7.094 9.66518 Clear 0 3501.666 81.3 3
2015-10-17 17:34:43.498000 7.494 10.0653 Clear 0 3501.515 81.29 3
2015-10-17 17:34:43.598000 7.524 10.0953 Clear 0 3501.365 81.281 3
2015-10-17 17:34:43.698000 7.502 10.0723 Clear 0 3501.214 81.271 3
2015-10-17 17:34:43.998000 7.848 10.418 Clear 0 3500.764 81.242 3
2015-10-17 17:34:44.098000 7.988 10.5566 Clear 0 3500.614 81.232 3
2015-10-17 17:34:44.198000 7.298 9.86735 Clear 0 3500.464 81.222 3
2015-10-17 17:34:44.298000 7.784 10.3528 Clear 0 3500.314 81.213 3
2015-10-17 17:34:44.398000 7.638 10.2066 Clear 0 3500.164 81.203 3
2015-10-17 17:34:44.598000 7.244 9.81236 Clear 0 3499.864 81.183 3
2015-10-17 17:34:44.698000 7.736 10.3042 Clear 0 3499.715 81.174 3
2015-10-17 17:34:44.798000 7.417 9.98526 Clear 0 3499.565 81.164 3
2015-10-17 17:34:45.098000 7.206 9.77331 Clear 0 3499.116 81.135 3
2015-10-17 17:34:45.298000 7.132 9.69758 Clear 0 3498.818 81.115 3
2015-10-17 17:34:45.598000 7.469 10.0336 Clear 0 3498.37 81.086 3
2015-10-17 17:34:45.698000 7.828 10.3925 Clear 0 3498.221 81.076 3
