# satellite: 10025 ATLAS CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 10359326
# variability: 2 Periodic
# variability_period: 11.8294823
# npoints: 692
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-04-06 20:01:38.193000 4.683 8.60584 Clear 1 8528.764 15.017 9
2016-04-06 20:01:38.293000 4.654 8.5774 Clear 1 8529.214 15.019 9
2016-04-06 20:01:38.393000 4.635 8.55824 Clear 1 8529.663 15.022 9
2016-04-06 20:01:38.493000 3.86 7.78323 Clear 1 8530.112 15.025 9
2016-04-06 20:01:38.593000 3.754 7.67751 Clear 1 8530.561 15.027 9
2016-04-06 20:01:38.693000 3.384 7.30777 Clear 1 8531.01 15.03 9
2016-04-06 20:01:38.793000 1.676 5.59958 Clear 1 8531.459 15.032 9
2016-04-06 20:01:38.893000 1.686 5.60951 Clear 1 8531.908 15.035 9
2016-04-06 20:01:38.993000 3.332 7.25614 Clear 1 8532.357 15.037 9
2016-04-06 20:01:39.093000 3.529 7.4528 Clear 1 8532.806 15.04 9
2016-04-06 20:01:39.193000 4.269 8.19283 Clear 1 8533.255 15.043 9
2016-04-06 20:01:39.293000 4.308 8.23159 Clear 1 8533.705 15.045 9
2016-04-06 20:01:39.393000 5.251 9.17615 Clear 1 8534.154 15.048 9
2016-04-06 20:01:39.493000 4.34 8.26521 Clear 1 8534.603 15.05 9
2016-04-06 20:01:39.593000 5.481 9.40551 Clear 1 8535.052 15.053 9
2016-04-06 20:01:39.693000 5.702 9.62726 Clear 1 8535.501 15.056 9
2016-04-06 20:01:39.793000 5.411 9.33561 Clear 1 8535.95 15.058 9
2016-04-06 20:01:40.493000 5.81 9.73583 Clear 1 8539.094 15.076 9
2016-04-06 20:01:41.093000 5.954 9.88107 Clear 1 8541.789 15.092 9
2016-04-06 20:01:41.193000 5.878 9.80506 Clear 1 8542.238 15.094 9
2016-04-06 20:01:41.793000 6.107 10.0344 Clear 1 8544.933 15.11 9
2016-04-06 20:01:42.293000 6.346 10.2737 Clear 1 8547.178 15.123 9
2016-04-06 20:01:43.293000 5.837 9.7657 Clear 1 8551.67 15.149 9
2016-04-06 20:01:43.393000 5.547 9.47563 Clear 1 8552.119 15.151 9
2016-04-06 20:01:43.493000 5.571 9.50125 Clear 1 8552.568 15.154 9
2016-04-06 20:01:43.593000 5.318 9.24808 Clear 1 8553.017 15.156 9
2016-04-06 20:01:43.893000 5.482 9.41146 Clear 1 8554.365 15.164 9
2016-04-06 20:01:43.993000 4.326 8.25551 Clear 1 8554.814 15.167 9
2016-04-06 20:01:44.093000 4.411 8.34109 Clear 1 8555.263 15.169 9
2016-04-06 20:01:44.193000 4.82 8.75011 Clear 1 8555.712 15.172 9
2016-04-06 20:01:44.293000 4.306 8.23558 Clear 1 8556.162 15.175 9
2016-04-06 20:01:44.393000 4.127 8.05756 Clear 1 8556.611 15.177 9
2016-04-06 20:01:44.493000 3.563 7.49383 Clear 1 8557.06 15.18 9
2016-04-06 20:01:44.593000 2.962 6.89254 Clear 1 8557.509 15.182 9
2016-04-06 20:01:44.693000 1.742 5.67268 Clear 1 8557.958 15.185 9
2016-04-06 20:01:44.793000 3.111 7.04173 Clear 1 8558.408 15.187 9
2016-04-06 20:01:44.893000 4.076 8.00731 Clear 1 8558.857 15.19 9
2016-04-06 20:01:44.993000 4.382 8.31325 Clear 1 8559.306 15.193 9
2016-04-06 20:01:45.193000 4.625 8.55649 Clear 1 8560.204 15.198 9
2016-04-06 20:01:45.293000 5.132 9.0639 Clear 1 8560.653 15.2 9
2016-04-06 20:01:45.393000 5.026 8.95762 Clear 1 8561.103 15.203 9
2016-04-06 20:01:45.593000 5.89 9.82227 Clear 1 8562.001 15.208 9
2016-04-06 20:01:45.693000 5.315 9.24694 Clear 1 8562.45 15.211 9
2016-04-06 20:01:45.793000 4.817 8.74939 Clear 1 8562.899 15.213 9
2016-04-06 20:01:46.093000 5.477 9.41014 Clear 1 8564.247 15.221 9
2016-04-06 20:01:46.293000 5.795 9.7278 Clear 1 8565.145 15.226 9
2016-04-06 20:01:46.393000 5.825 9.75838 Clear 1 8565.595 15.229 9
2016-04-06 20:01:46.693000 6.012 9.94508 Clear 1 8566.942 15.236 9
2016-04-06 20:01:47.393000 6.213 10.1469 Clear 1 8570.087 15.254 9
2016-04-06 20:01:48.493000 6.312 10.2481 Clear 1 8575.028 15.283 9
2016-04-06 20:01:48.693000 5.498 9.43424 Clear 1 8575.927 15.288 9
2016-04-06 20:01:48.793000 5.986 9.9215 Clear 1 8576.376 15.29 9
2016-04-06 20:01:49.093000 5.685 9.62141 Clear 1 8577.724 15.298 9
2016-04-06 20:01:49.593000 5.264 9.20121 Clear 1 8579.97 15.311 9
2016-04-06 20:01:50.294000 4.509 8.44645 Clear 1 8583.119 15.329 9
2016-04-06 20:01:50.394000 4.099 8.03681 Clear 1 8583.568 15.332 9
2016-04-06 20:01:50.494000 3.836 7.77358 Clear 1 8584.017 15.334 9
2016-04-06 20:01:50.594000 2.999 6.93695 Clear 1 8584.467 15.337 9
2016-04-06 20:01:50.694000 1.655 5.59248 Clear 1 8584.916 15.339 9
2016-04-06 20:01:50.794000 3.108 7.04608 Clear 1 8585.365 15.342 9
2016-04-06 20:01:50.894000 3.522 7.46036 Clear 1 8585.815 15.344 9
2016-04-06 20:01:50.994000 4.195 8.13369 Clear 1 8586.264 15.347 9
2016-04-06 20:01:51.094000 4.437 8.37628 Clear 1 8586.713 15.35 9
2016-04-06 20:01:51.194000 4.673 8.61218 Clear 1 8587.162 15.352 9
2016-04-06 20:01:51.294000 4.557 8.49608 Clear 1 8587.612 15.355 9
