# satellite: 11353 OPS 6392 (FLTSATCOM 2) / US
# catalogue: 1 NORAD
# track: 16239360
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 608
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-08-28 20:15:15.297000 1.968 9.15599 Clear 0 38306.618 16.177 2
2019-08-28 20:15:15.397000 1.835 9.02279 Clear 0 38306.611 16.177 2
2019-08-28 20:15:15.497000 2.376 9.56411 Clear 0 38306.604 16.178 2
2019-08-28 20:15:15.597000 2.212 9.39995 Clear 0 38306.597 16.178 2
2019-08-28 20:15:15.697000 2.007 9.19544 Clear 0 38306.59 16.178 2
2019-08-28 20:15:15.797000 2.479 9.66724 Clear 0 38306.583 16.179 2
2019-08-28 20:15:15.897000 2.033 9.2206 Clear 0 38306.576 16.179 2
2019-08-28 20:15:16.097000 1.994 9.18166 Clear 0 38306.562 16.18 2
2019-08-28 20:15:16.197000 1.509 8.69712 Clear 0 38306.554 16.18 2
2019-08-28 20:15:16.297000 1.08 8.26759 Clear 0 38306.547 16.181 2
2019-08-28 20:15:16.397000 1.055 8.24344 Clear 0 38306.54 16.181 2
2019-08-28 20:15:16.483000 1.511 8.69926 Clear 0 38306.534 16.181 5
2019-08-28 20:15:16.497000 1.032 8.22029 Clear 0 38306.533 16.182 2
2019-08-28 20:15:16.583000 0.916 8.10438 Clear 0 38306.527 16.182 5
2019-08-28 20:15:16.597000 1.253 8.44078 Clear 0 38306.526 16.182 2
2019-08-28 20:15:16.683000 0.905 8.09307 Clear 0 38306.52 16.182 5
2019-08-28 20:15:16.697000 0.895 8.08342 Clear 0 38306.519 16.182 2
2019-08-28 20:15:16.783000 0.374 7.56233 Clear 0 38306.513 16.183 5
2019-08-28 20:15:16.797000 0.799 7.98646 Clear 0 38306.512 16.183 2
2019-08-28 20:15:16.883000 0.618 7.80572 Clear 0 38306.506 16.183 5
2019-08-28 20:15:16.897000 0.832 8.01955 Clear 0 38306.505 16.183 2
2019-08-28 20:15:16.983000 0.963 8.151 Clear 0 38306.499 16.183 5
2019-08-28 20:15:16.997000 0.827 8.01492 Clear 0 38306.498 16.183 2
2019-08-28 20:15:17.083000 0.747 7.93511 Clear 0 38306.492 16.184 5
2019-08-28 20:15:17.097000 1.088 8.2758 Clear 0 38306.491 16.184 2
2019-08-28 20:15:17.183000 0.142 7.3298 Clear 0 38306.485 16.184 5
2019-08-28 20:15:17.197000 0.591 7.77911 Clear 0 38306.484 16.184 2
2019-08-28 20:15:17.283000 0.517 7.70468 Clear 0 38306.478 16.185 5
2019-08-28 20:15:17.297000 0.87 8.05789 Clear 0 38306.477 16.185 2
2019-08-28 20:15:17.383000 0.235 7.42259 Clear 0 38306.471 16.185 5
2019-08-28 20:15:17.397000 0.451 7.63904 Clear 0 38306.47 16.185 2
2019-08-28 20:15:17.483000 0.035 7.22307 Clear 0 38306.464 16.185 5
2019-08-28 20:15:17.497000 0.02 7.20827 Clear 0 38306.463 16.185 2
2019-08-28 20:15:17.583000 0.163 7.35128 Clear 0 38306.457 16.186 5
2019-08-28 20:15:17.597000 0.161 7.34849 Clear 0 38306.456 16.186 2
2019-08-28 20:15:17.683000 -0.343 6.84449 Clear 0 38306.45 16.186 5
2019-08-28 20:15:17.697000 0.455 7.64289 Clear 0 38306.449 16.186 2
2019-08-28 20:15:17.783000 -0.121 7.06684 Clear 0 38306.443 16.187 5
2019-08-28 20:15:17.797000 0.03 7.21804 Clear 0 38306.442 16.187 2
2019-08-28 20:15:17.883000 -0.134 7.05427 Clear 0 38306.436 16.187 5
2019-08-28 20:15:17.897000 -0.05 7.13815 Clear 0 38306.435 16.187 2
2019-08-28 20:15:17.983000 -0.202 6.98551 Clear 0 38306.429 16.187 5
2019-08-28 20:15:17.997000 -0.02 7.16749 Clear 0 38306.428 16.187 2
2019-08-28 20:15:18.083000 -0.382 6.80555 Clear 0 38306.422 16.188 5
2019-08-28 20:15:18.097000 -0.313 6.87502 Clear 0 38306.421 16.188 2
