# satellite: 150 THOR ABLESTAR DEB / US
# catalogue: 1 NORAD
# track: 10336472
# variability: 2 Periodic
# variability_period: 12.26387806
# npoints: 109
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-03-21 17:11:07.604000 8.738 8.36346 Clear 0 1023.887 61.148 7
2016-03-21 17:11:07.704000 8.58 8.20639 Clear 0 1023.856 61.14 7
2016-03-21 17:11:07.804000 8.492 8.11817 Clear 0 1023.826 61.131 7
2016-03-21 17:11:07.904000 8.501 8.12737 Clear 0 1023.796 61.123 7
2016-03-21 17:11:08.004000 8.216 7.84214 Clear 0 1023.767 61.115 7
2016-03-21 17:11:08.104000 8.301 7.92706 Clear 0 1023.738 61.106 7
2016-03-21 17:11:08.204000 8.667 8.29195 Clear 0 1023.709 61.098 7
2016-03-21 17:11:08.304000 8.758 8.38301 Clear 0 1023.681 61.09 7
2016-03-21 17:11:08.504000 8.536 8.16139 Clear 0 1023.626 61.073 7
2016-03-21 17:11:08.604000 8.867 8.49165 Clear 0 1023.599 61.065 7
2016-03-21 17:11:08.704000 8.94 8.56515 Clear 0 1023.573 61.056 7
2016-03-21 17:11:08.904000 9.082 8.70612 Clear 0 1023.521 61.04 7
2016-03-21 17:11:09.004000 9.383 9.00689 Clear 0 1023.496 61.032 7
2016-03-21 17:11:09.304000 9.054 8.67748 Clear 0 1023.423 61.007 7
2016-03-21 17:11:18.404000 8.598 8.21249 Clear 0 1023.043 60.321 7
2016-03-21 17:11:18.504000 9.191 8.80546 Clear 0 1023.059 60.314 7
2016-03-21 17:11:18.604000 8.689 8.30426 Clear 0 1023.075 60.307 7
2016-03-21 17:11:18.704000 9.342 8.95726 Clear 0 1023.091 60.3 7
2016-03-21 17:11:18.804000 8.404 8.01908 Clear 0 1023.108 60.293 7
2016-03-21 17:11:18.904000 8.639 8.25398 Clear 0 1023.125 60.287 7
2016-03-21 17:11:19.004000 9.227 8.84231 Clear 0 1023.143 60.28 7
2016-03-21 17:11:19.104000 8.144 7.75888 Clear 0 1023.161 60.273 7
2016-03-21 17:11:19.204000 8.616 8.23112 Clear 0 1023.18 60.266 7
2016-03-21 17:11:19.304000 8.37 7.98503 Clear 0 1023.199 60.26 7
2016-03-21 17:11:19.404000 8.727 8.3417 Clear 0 1023.218 60.253 7
2016-03-21 17:11:19.504000 8.225 7.84021 Clear 0 1023.238 60.246 7
2016-03-21 17:11:19.604000 8.328 7.94269 Clear 0 1023.258 60.239 7
2016-03-21 17:11:19.704000 8.193 7.80824 Clear 0 1023.279 60.233 7
2016-03-21 17:11:19.804000 8.263 7.87844 Clear 0 1023.3 60.226 7
2016-03-21 17:11:19.904000 8.187 7.80199 Clear 0 1023.322 60.219 7
2016-03-21 17:11:20.004000 8.478 8.09281 Clear 0 1023.344 60.213 7
2016-03-21 17:11:20.104000 8.507 8.12209 Clear 0 1023.366 60.206 7
2016-03-21 17:11:20.204000 8.936 8.55114 Clear 0 1023.389 60.2 7
2016-03-21 17:11:20.304000 8.675 8.2897 Clear 0 1023.412 60.193 7
2016-03-21 17:11:20.604000 9.024 8.63933 Clear 0 1023.484 60.173 7
2016-03-21 17:11:20.704000 8.736 8.35127 Clear 0 1023.509 60.167 7
2016-03-21 17:11:21.104000 8.684 8.29916 Clear 0 1023.613 60.141 7
2016-03-21 17:11:21.504000 9.682 9.29689 Clear 0 1023.724 60.115 7
2016-03-21 17:11:31.504000 8.672 8.29066 Clear 0 1028.713 59.553 7
2016-03-21 17:11:31.604000 9.071 8.68946 Clear 0 1028.785 59.548 7
2016-03-21 17:11:31.704000 8.814 8.43304 Clear 0 1028.856 59.543 7
2016-03-21 17:11:31.804000 8.262 7.88058 Clear 0 1028.929 59.538 7
2016-03-21 17:11:31.904000 8.434 8.0534 Clear 0 1029.001 59.534 7
2016-03-21 17:11:32.004000 8.228 7.84661 Clear 0 1029.074 59.529 7
2016-03-21 17:11:32.104000 8.955 8.57478 Clear 0 1029.147 59.524 7
2016-03-21 17:11:32.204000 8.72 8.34043 Clear 0 1029.221 59.519 7
2016-03-21 17:11:32.304000 8.785 8.40528 Clear 0 1029.296 59.515 7
2016-03-21 17:11:32.404000 8.664 8.28393 Clear 0 1029.37 59.51 7
2016-03-21 17:11:32.504000 8.403 8.02314 Clear 0 1029.445 59.505 7
2016-03-21 17:11:32.604000 9.119 8.73937 Clear 0 1029.521 59.501 7
2016-03-21 17:11:32.704000 8.597 8.2172 Clear 0 1029.597 59.496 7
2016-03-21 17:11:33.104000 8.996 8.61683 Clear 0 1029.905 59.478 7
2016-03-21 17:11:53.997000 8.934 8.60074 Clear 0 1055.136 58.864 5
2016-03-21 17:11:54.097000 9.316 8.983 Clear 0 1055.299 58.863 5
2016-03-21 17:11:54.197000 8.161 7.82769 Clear 0 1055.463 58.862 5
2016-03-21 17:11:54.297000 8.545 8.21299 Clear 0 1055.626 58.86 5
2016-03-21 17:11:54.397000 8.539 8.20704 Clear 0 1055.79 58.859 5
2016-03-21 17:11:54.497000 7.979 7.64655 Clear 0 1055.955 58.858 5
2016-03-21 17:11:54.597000 8.586 8.25531 Clear 0 1056.12 58.856 5
2016-03-21 17:11:54.697000 8.417 8.08557 Clear 0 1056.285 58.855 5
2016-03-21 17:11:54.797000 8.542 8.21142 Clear 0 1056.45 58.854 5
2016-03-21 17:11:54.897000 8.478 8.148 Clear 0 1056.616 58.853 5
2016-03-21 17:11:54.997000 8.449 8.1185 Clear 0 1056.783 58.852 5
2016-03-21 17:11:55.097000 8.323 7.99315 Clear 0 1056.949 58.85 5
2016-03-21 17:11:55.197000 8.25 7.92064 Clear 0 1057.117 58.849 5
