# satellite: 150 THOR ABLESTAR DEB / US
# catalogue: 1 NORAD
# track: 18464139
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 289
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-10-23 01:39:23.496000 8.567 8.25289 Clear 0 1119.096 47.479 7
2020-10-23 01:39:23.596000 9.015 8.70094 Clear 0 1118.816 47.484 7
2020-10-23 01:39:23.696000 8.862 8.5467 Clear 0 1118.536 47.488 7
2020-10-23 01:39:23.796000 8.925 8.60977 Clear 0 1118.256 47.493 7
2020-10-23 01:39:23.896000 8.284 7.96784 Clear 0 1117.976 47.497 7
2020-10-23 01:39:23.996000 8.671 8.35544 Clear 0 1117.697 47.501 7
2020-10-23 01:39:24.096000 8.463 8.14556 Clear 0 1117.418 47.506 7
2020-10-23 01:39:24.196000 8.875 8.5582 Clear 0 1117.139 47.51 7
2020-10-23 01:39:24.296000 8.389 8.07084 Clear 0 1116.861 47.515 7
2020-10-23 01:39:24.396000 8.472 8.15406 Clear 0 1116.583 47.519 7
2020-10-23 01:39:24.496000 8.507 8.18817 Clear 0 1116.306 47.524 7
2020-10-23 01:39:24.596000 9.162 8.84256 Clear 0 1116.028 47.529 7
2020-10-23 01:39:24.796000 8.384 8.06349 Clear 0 1115.475 47.538 7
2020-10-23 01:39:24.896000 8.276 7.9545 Clear 0 1115.198 47.542 7
2020-10-23 01:39:24.996000 8.45 8.12931 Clear 0 1114.922 47.547 7
2020-10-23 01:39:25.096000 8.885 8.56316 Clear 0 1114.647 47.552 7
2020-10-23 01:39:25.196000 8.459 8.13657 Clear 0 1114.371 47.556 7
2020-10-23 01:39:25.296000 8.885 8.5615 Clear 0 1114.096 47.561 7
2020-10-23 01:39:25.396000 8.241 7.91772 Clear 0 1113.822 47.566 7
2020-10-23 01:39:25.496000 8.673 8.34929 Clear 0 1113.547 47.571 7
2020-10-23 01:39:25.596000 8.444 8.1199 Clear 0 1113.273 47.575 7
2020-10-23 01:39:25.696000 8.553 8.22824 Clear 0 1113.0 47.58 7
2020-10-23 01:39:25.796000 8.268 7.94273 Clear 0 1112.726 47.585 7
2020-10-23 01:39:25.896000 8.265 7.93852 Clear 0 1112.453 47.59 7
2020-10-23 01:39:25.996000 8.44 8.1144 Clear 0 1112.181 47.595 7
2020-10-23 01:39:26.096000 8.396 8.06926 Clear 0 1111.908 47.599 7
2020-10-23 01:39:26.196000 8.544 8.21673 Clear 0 1111.636 47.604 7
2020-10-23 01:39:26.296000 8.598 8.26985 Clear 0 1111.364 47.609 7
2020-10-23 01:39:26.396000 8.835 8.50739 Clear 0 1111.093 47.614 7
2020-10-23 01:39:26.496000 8.607 8.27747 Clear 0 1110.822 47.619 7
2020-10-23 01:39:26.596000 8.644 8.3151 Clear 0 1110.551 47.624 7
2020-10-23 01:39:26.696000 8.451 8.121 Clear 0 1110.281 47.629 7
2020-10-23 01:39:26.796000 8.741 8.41095 Clear 0 1110.011 47.634 7
2020-10-23 01:39:26.896000 8.339 8.00837 Clear 0 1109.741 47.639 7
