# satellite: 150 THOR ABLESTAR DEB / US
# catalogue: 1 NORAD
# track: 18464941
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 617
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-10-23 16:54:10.596000 8.633 8.81479 Clear 0 1085.746 90.019 2
2020-10-23 16:54:10.696000 8.545 8.72638 Clear 0 1085.466 90.005 2
2020-10-23 16:54:10.796000 8.668 8.84762 Clear 0 1085.187 89.991 2
2020-10-23 16:54:10.896000 8.41 8.58871 Clear 0 1084.907 89.977 2
2020-10-23 16:54:10.996000 8.516 8.69346 Clear 0 1084.628 89.963 2
2020-10-23 16:54:11.096000 8.452 8.62883 Clear 0 1084.35 89.949 2
2020-10-23 16:54:11.196000 8.773 8.94974 Clear 0 1084.071 89.935 2
2020-10-23 16:54:11.296000 8.314 8.4899 Clear 0 1083.793 89.921 2
2020-10-23 16:54:11.396000 8.533 8.70802 Clear 0 1083.516 89.907 2
2020-10-23 16:54:11.496000 8.28 8.45382 Clear 0 1083.238 89.893 2
2020-10-23 16:54:11.596000 8.097 8.27031 Clear 0 1082.961 89.879 2
2020-10-23 16:54:11.696000 8.258 8.43053 Clear 0 1082.685 89.865 2
2020-10-23 16:54:11.796000 8.41 8.58157 Clear 0 1082.409 89.851 2
2020-10-23 16:54:11.896000 8.379 8.55002 Clear 0 1082.133 89.837 2
2020-10-23 16:54:11.996000 8.31 8.48014 Clear 0 1081.857 89.823 2
2020-10-23 16:54:12.096000 8.308 8.4769 Clear 0 1081.582 89.809 2
2020-10-23 16:54:12.196000 8.403 8.57095 Clear 0 1081.307 89.795 2
2020-10-23 16:54:12.296000 8.322 8.4899 Clear 0 1081.032 89.781 2
2020-10-23 16:54:12.396000 8.629 8.79633 Clear 0 1080.758 89.767 2
2020-10-23 16:54:12.496000 8.509 8.67521 Clear 0 1080.484 89.753 2
2020-10-23 16:54:12.596000 8.332 8.49682 Clear 0 1080.211 89.739 2
2020-10-23 16:54:12.696000 8.25 8.41381 Clear 0 1079.938 89.724 2
2020-10-23 16:54:12.796000 8.144 8.30774 Clear 0 1079.665 89.71 2
2020-10-23 16:54:12.896000 8.153 8.31638 Clear 0 1079.392 89.696 2
2020-10-23 16:54:12.996000 7.997 8.15901 Clear 0 1079.12 89.682 2
2020-10-23 16:54:13.096000 8.272 8.43259 Clear 0 1078.848 89.668 2
2020-10-23 16:54:13.196000 8.326 8.48627 Clear 0 1078.577 89.654 2
2020-10-23 16:54:13.296000 8.162 8.32072 Clear 0 1078.306 89.64 2
2020-10-23 16:54:13.396000 8.291 8.45031 Clear 0 1078.035 89.626 2
2020-10-23 16:54:13.496000 8.078 8.23556 Clear 0 1077.765 89.612 2
2020-10-23 16:54:13.596000 8.348 8.50453 Clear 0 1077.495 89.598 2
2020-10-23 16:54:13.696000 8.305 8.46122 Clear 0 1077.225 89.583 2
2020-10-23 16:54:13.796000 8.027 8.18201 Clear 0 1076.956 89.569 2
2020-10-23 16:54:13.896000 8.177 8.33197 Clear 0 1076.687 89.555 2
2020-10-23 16:54:13.996000 8.164 8.31761 Clear 0 1076.418 89.541 2
2020-10-23 16:54:14.096000 8.059 8.21168 Clear 0 1076.15 89.527 2
2020-10-23 16:54:14.196000 8.134 8.28585 Clear 0 1075.882 89.513 2
2020-10-23 16:54:14.296000 8.241 8.39168 Clear 0 1075.614 89.499 2
2020-10-23 16:54:14.396000 8.172 8.32321 Clear 0 1075.347 89.484 2
2020-10-23 16:54:14.496000 8.449 8.5987 Clear 0 1075.08 89.47 2
2020-10-23 16:54:14.596000 8.225 8.37424 Clear 0 1074.814 89.456 2
2020-10-23 16:54:14.696000 8.232 8.37947 Clear 0 1074.548 89.442 2
2020-10-23 16:54:14.796000 8.148 8.29461 Clear 0 1074.282 89.428 2
2020-10-23 16:54:14.896000 8.518 8.6645 Clear 0 1074.016 89.413 2
2020-10-23 16:54:14.996000 8.238 8.38375 Clear 0 1073.751 89.399 2
2020-10-23 16:54:15.096000 8.072 8.21676 Clear 0 1073.487 89.385 2
2020-10-23 16:54:15.196000 8.204 8.34747 Clear 0 1073.222 89.371 2
2020-10-23 16:54:15.296000 8.343 8.48627 Clear 0 1072.958 89.357 2
2020-10-23 16:54:15.396000 8.21 8.35258 Clear 0 1072.694 89.342 2
2020-10-23 16:54:15.496000 8.286 8.42812 Clear 0 1072.431 89.328 2
2020-10-23 16:54:15.596000 8.362 8.50342 Clear 0 1072.168 89.314 2
2020-10-23 16:54:15.696000 8.274 8.41347 Clear 0 1071.905 89.3 2
2020-10-23 16:54:15.796000 8.504 8.64295 Clear 0 1071.643 89.286 2
2020-10-23 16:54:15.896000 8.269 8.40806 Clear 0 1071.381 89.271 2
2020-10-23 16:54:15.996000 8.309 8.44716 Clear 0 1071.12 89.257 2
2020-10-23 16:54:16.096000 8.436 8.57252 Clear 0 1070.858 89.243 2
2020-10-23 16:54:16.196000 8.38 8.51563 Clear 0 1070.598 89.229 2
2020-10-23 16:54:16.296000 8.34 8.47475 Clear 0 1070.337 89.214 2
2020-10-23 16:54:16.396000 8.229 8.36384 Clear 0 1070.077 89.2 2
2020-10-23 16:54:16.496000 8.28 8.41381 Clear 0 1069.817 89.186 2
2020-10-23 16:54:16.596000 8.259 8.39201 Clear 0 1069.558 89.171 2
2020-10-23 16:54:16.696000 8.542 8.67435 Clear 0 1069.299 89.157 2
2020-10-23 16:54:16.796000 8.264 8.39467 Clear 0 1069.04 89.143 2
2020-10-23 16:54:16.896000 8.352 8.48302 Clear 0 1068.782 89.129 2
2020-10-23 16:54:16.996000 8.562 8.69215 Clear 0 1068.524 89.114 2
2020-10-23 16:54:17.096000 8.72 8.84913 Clear 0 1068.266 89.1 2
2020-10-23 16:54:17.196000 8.232 8.35996 Clear 0 1068.009 89.086 2
2020-10-23 16:54:17.296000 8.405 8.53174 Clear 0 1067.752 89.071 2
2020-10-23 16:54:17.396000 8.266 8.39301 Clear 0 1067.495 89.057 2
