# satellite: 1863 TITAN 3C TRANSTAGE R/B / US
# catalogue: 1 NORAD
# track: 10297183
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 684
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-02-26 17:07:07.997000 6.447 10.4395 Clear 0 7940.285 53.335 3
2016-02-26 17:07:08.097000 6.693 10.6863 Clear 0 7940.652 53.332 3
2016-02-26 17:07:08.197000 4.962 8.95578 Clear 0 7941.02 53.329 3
2016-02-26 17:07:08.297000 5.27 9.26399 Clear 0 7941.387 53.326 3
2016-02-26 17:07:08.397000 6.249 10.2429 Clear 0 7941.755 53.323 3
2016-02-26 17:07:08.797000 5.732 9.72617 Clear 0 7943.226 53.311 3
2016-02-26 17:07:09.397000 6.686 10.6799 Clear 0 7945.431 53.293 3
2016-02-26 17:07:09.697000 5.43 9.42486 Clear 0 7946.534 53.284 3
2016-02-26 17:07:09.797000 5.196 9.19088 Clear 0 7946.902 53.281 3
2016-02-26 17:07:09.897000 5.574 9.56912 Clear 0 7947.27 53.278 3
2016-02-26 17:07:09.997000 5.277 9.27185 Clear 0 7947.637 53.275 3
2016-02-26 17:07:10.097000 5.742 9.73687 Clear 0 7948.005 53.272 3
2016-02-26 17:07:10.197000 6.109 10.1043 Clear 0 7948.373 53.269 3
2016-02-26 17:07:10.297000 5.628 9.62342 Clear 0 7948.74 53.266 3
2016-02-26 17:07:10.897000 6.261 10.2555 Clear 0 7950.946 53.248 3
2016-02-26 17:07:11.097000 5.87 9.86604 Clear 0 7951.682 53.241 3
2016-02-26 17:07:11.297000 5.701 9.69738 Clear 0 7952.417 53.235 3
2016-02-26 17:07:11.397000 5.787 9.78332 Clear 0 7952.785 53.232 3
2016-02-26 17:07:11.797000 5.412 9.40787 Clear 0 7954.256 53.22 3
2016-02-26 17:07:12.297000 6.103 10.0989 Clear 0 7956.094 53.205 3
2016-02-26 17:07:12.497000 5.865 9.86153 Clear 0 7956.83 53.199 3
2016-02-26 17:07:12.597000 5.954 9.95069 Clear 0 7957.198 53.196 3
2016-02-26 17:07:12.797000 5.519 9.51591 Clear 0 7957.933 53.19 3
2016-02-26 17:07:12.997000 6.181 10.1784 Clear 0 7958.668 53.184 3
2016-02-26 17:07:13.097000 5.698 9.6948 Clear 0 7959.036 53.181 3
2016-02-26 17:07:13.297000 5.883 9.8797 Clear 0 7959.772 53.175 3
2016-02-26 17:07:13.397000 6.54 10.5373 Clear 0 7960.139 53.172 3
2016-02-26 17:07:13.497000 6.483 10.4801 Clear 0 7960.507 53.169 3
2016-02-26 17:07:13.597000 6.488 10.4854 Clear 0 7960.875 53.166 3
2016-02-26 17:07:13.897000 5.891 9.8889 Clear 0 7961.978 53.157 3
2016-02-26 17:07:13.997000 6.011 10.0093 Clear 0 7962.346 53.154 3
2016-02-26 17:07:14.097000 5.986 9.98379 Clear 0 7962.714 53.151 3
2016-02-26 17:07:14.197000 5.063 9.06049 Clear 0 7963.081 53.148 3
2016-02-26 17:07:14.297000 5.068 9.06625 Clear 0 7963.449 53.145 3
2016-02-26 17:07:14.697000 5.781 9.77913 Clear 0 7964.92 53.133 3
2016-02-26 17:07:14.797000 5.458 9.4564 Clear 0 7965.288 53.13 3
2016-02-26 17:07:15.097000 6.347 10.3454 Clear 0 7966.391 53.121 3
2016-02-26 17:07:15.497000 5.632 9.63103 Clear 0 7967.863 53.109 3
2016-02-26 17:07:15.597000 6.241 10.2404 Clear 0 7968.23 53.106 3
2016-02-26 17:07:15.697000 5.477 9.47622 Clear 0 7968.598 53.103 3
2016-02-26 17:07:15.797000 4.995 8.99366 Clear 0 7968.966 53.1 3
2016-02-26 17:07:15.997000 5.882 9.88123 Clear 0 7969.702 53.094 3
2016-02-26 17:07:16.097000 5.429 9.42782 Clear 0 7970.07 53.091 3
2016-02-26 17:07:16.197000 6.165 10.1644 Clear 0 7970.437 53.088 3
2016-02-26 17:07:16.297000 5.475 9.47412 Clear 0 7970.805 53.085 3
2016-02-26 17:07:16.397000 6.326 10.3245 Clear 0 7971.173 53.082 3
2016-02-26 17:07:16.897000 5.636 9.6359 Clear 0 7973.012 53.067 3
2016-02-26 17:07:16.997000 6.027 10.0266 Clear 0 7973.38 53.064 3
2016-02-26 17:07:17.097000 5.598 9.59754 Clear 0 7973.748 53.061 3
2016-02-26 17:07:17.197000 5.065 9.06481 Clear 0 7974.116 53.058 3
2016-02-26 17:07:17.297000 5.375 9.37476 Clear 0 7974.483 53.055 3
2016-02-26 17:07:17.397000 5.691 9.69095 Clear 0 7974.851 53.052 3
2016-02-26 17:07:17.797000 5.414 9.41381 Clear 0 7976.323 53.04 3
2016-02-26 17:07:17.897000 6.553 10.5542 Clear 0 7976.691 53.037 3
2016-02-26 17:07:17.997000 6.427 10.4282 Clear 0 7977.058 53.034 3
2016-02-26 17:07:18.097000 6.388 10.3885 Clear 0 7977.426 53.031 3
2016-02-26 17:07:18.397000 6.45 10.4512 Clear 0 7978.53 53.022 3
2016-02-26 17:07:18.497000 6.52 10.5206 Clear 0 7978.898 53.019 3
2016-02-26 17:07:18.597000 5.818 9.81883 Clear 0 7979.266 53.016 3
2016-02-26 17:07:18.697000 5.647 9.64816 Clear 0 7979.633 53.013 3
2016-02-26 17:07:18.797000 4.908 8.90925 Clear 0 7980.001 53.01 3
2016-02-26 17:07:18.997000 6.161 10.1624 Clear 0 7980.737 53.004 3
2016-02-26 17:07:19.097000 6.022 10.0232 Clear 0 7981.105 53.001 3
2016-02-26 17:07:19.197000 6.136 10.137 Clear 0 7981.473 52.998 3
2016-02-26 17:07:19.397000 5.178 9.18032 Clear 0 7982.209 52.992 3
2016-02-26 17:07:19.497000 6.434 10.4358 Clear 0 7982.576 52.989 3
2016-02-26 17:07:19.897000 5.945 9.94743 Clear 0 7984.048 52.977 3
2016-02-26 17:07:20.097000 5.535 9.53686 Clear 0 7984.784 52.971 3
2016-02-26 17:07:20.197000 5.148 9.15027 Clear 0 7985.152 52.968 3
2016-02-26 17:07:20.397000 5.808 9.8102 Clear 0 7985.888 52.962 3
2016-02-26 17:07:20.497000 6.147 10.1486 Clear 0 7986.255 52.959 3
2016-02-26 17:07:20.697000 6.229 10.2318 Clear 0 7986.991 52.953 3
2016-02-26 17:07:20.797000 5.306 9.30887 Clear 0 7987.359 52.95 3
2016-02-26 17:07:20.897000 5.469 9.47187 Clear 0 7987.727 52.947 3
2016-02-26 17:07:20.997000 6.513 10.5163 Clear 0 7988.095 52.944 3
2016-02-26 17:07:21.197000 6.062 10.0651 Clear 0 7988.831 52.938 3
2016-02-26 17:07:21.297000 5.952 9.95451 Clear 0 7989.199 52.935 3
2016-02-26 17:07:21.697000 5.835 9.83782 Clear 0 7990.671 52.923 3
2016-02-26 17:07:21.797000 5.473 9.47609 Clear 0 7991.039 52.92 3
2016-02-26 17:07:22.297000 5.803 9.80728 Clear 0 7992.878 52.905 3
2016-02-26 17:07:22.397000 6.213 10.2171 Clear 0 7993.246 52.902 3
2016-02-26 17:07:37.997000 5.439 9.45428 Clear 0 8050.673 52.439 3
2016-02-26 17:07:38.097000 5.529 9.54381 Clear 0 8051.041 52.436 3
2016-02-26 17:07:38.197000 5.041 9.05607 Clear 0 8051.409 52.433 3
2016-02-26 17:07:38.297000 5.354 9.36866 Clear 0 8051.778 52.43 3
2016-02-26 17:07:38.397000 5.625 9.64014 Clear 0 8052.146 52.427 3
2016-02-26 17:07:38.797000 5.812 9.82844 Clear 0 8053.619 52.415 3
2016-02-26 17:07:38.897000 5.538 9.5541 Clear 0 8053.987 52.412 3
2016-02-26 17:07:39.297000 5.762 9.77786 Clear 0 8055.461 52.4 3
2016-02-26 17:07:39.797000 5.177 9.19289 Clear 0 8057.302 52.386 3
2016-02-26 17:07:39.897000 5.722 9.73767 Clear 0 8057.671 52.383 3
2016-02-26 17:07:40.197000 5.074 9.09076 Clear 0 8058.775 52.374 3
2016-02-26 17:07:40.297000 5.82 9.83735 Clear 0 8059.144 52.371 3
2016-02-26 17:07:40.397000 5.513 9.53023 Clear 0 8059.512 52.368 3
2016-02-26 17:07:40.497000 6.321 10.3381 Clear 0 8059.88 52.365 3
2016-02-26 17:07:40.597000 5.774 9.79064 Clear 0 8060.249 52.362 3
2016-02-26 17:07:40.697000 6.302 10.3194 Clear 0 8060.617 52.359 3
2016-02-26 17:07:40.797000 6.42 10.4371 Clear 0 8060.985 52.356 3
2016-02-26 17:07:40.997000 5.906 9.92264 Clear 0 8061.722 52.35 3
2016-02-26 17:07:41.097000 5.271 9.28751 Clear 0 8062.09 52.347 3
2016-02-26 17:07:41.197000 5.284 9.30108 Clear 0 8062.459 52.344 3
2016-02-26 17:07:41.297000 5.92 9.93726 Clear 0 8062.827 52.341 3
2016-02-26 17:07:41.397000 5.44 9.45743 Clear 0 8063.195 52.339 3
2016-02-26 17:07:41.797000 5.941 9.95872 Clear 0 8064.669 52.327 3
2016-02-26 17:07:41.897000 5.371 9.3892 Clear 0 8065.037 52.324 3
2016-02-26 17:07:42.497000 5.598 9.61555 Clear 0 8067.247 52.306 3
2016-02-26 17:07:42.697000 6.061 10.0785 Clear 0 8067.984 52.3 3
2016-02-26 17:07:42.997000 6.718 10.7366 Clear 0 8069.089 52.291 3
2016-02-26 17:07:43.097000 6.115 10.1339 Clear 0 8069.457 52.289 3
2016-02-26 17:07:43.197000 6.373 10.3915 Clear 0 8069.826 52.286 3
2016-02-26 17:07:43.297000 5.753 9.77223 Clear 0 8070.194 52.283 3
2016-02-26 17:07:43.597000 5.769 9.78779 Clear 0 8071.299 52.274 3
2016-02-26 17:07:43.797000 6.539 10.5576 Clear 0 8072.036 52.268 3
2016-02-26 17:07:43.897000 5.858 9.87683 Clear 0 8072.404 52.265 3
2016-02-26 17:07:44.197000 5.589 9.60828 Clear 0 8073.51 52.256 3
2016-02-26 17:07:44.297000 4.629 8.64803 Clear 0 8073.878 52.253 3
2016-02-26 17:07:44.397000 5.501 9.52128 Clear 0 8074.246 52.25 3
2016-02-26 17:07:44.597000 5.823 9.84333 Clear 0 8074.983 52.245 3
2016-02-26 17:07:44.697000 5.828 9.84784 Clear 0 8075.352 52.242 3
2016-02-26 17:07:44.797000 4.892 8.91146 Clear 0 8075.72 52.239 3
2016-02-26 17:07:44.897000 6.256 10.2761 Clear 0 8076.088 52.236 3
2016-02-26 17:07:44.997000 6.683 10.703 Clear 0 8076.457 52.233 3
2016-02-26 17:07:45.297000 6.024 10.0437 Clear 0 8077.562 52.224 3
2016-02-26 17:07:45.397000 5.911 9.93074 Clear 0 8077.93 52.221 3
2016-02-26 17:07:45.597000 5.418 9.43764 Clear 0 8078.667 52.215 3
2016-02-26 17:07:45.697000 5.072 9.09151 Clear 0 8079.036 52.212 3
2016-02-26 17:07:45.797000 5.31 9.3306 Clear 0 8079.404 52.209 3
2016-02-26 17:07:46.197000 5.923 9.94382 Clear 0 8080.878 52.198 3
2016-02-26 17:07:46.297000 5.876 9.89713 Clear 0 8081.246 52.195 3
2016-02-26 17:07:46.397000 6.026 10.0473 Clear 0 8081.615 52.192 3
2016-02-26 17:07:46.997000 5.572 9.59325 Clear 0 8083.825 52.174 3
2016-02-26 17:07:47.097000 5.674 9.69461 Clear 0 8084.194 52.171 3
2016-02-26 17:07:47.197000 4.77 8.79221 Clear 0 8084.562 52.168 3
2016-02-26 17:07:47.697000 5.594 9.61591 Clear 0 8086.404 52.154 3
2016-02-26 17:07:47.797000 5.562 9.58385 Clear 0 8086.773 52.151 3
2016-02-26 17:07:47.897000 5.495 9.51693 Clear 0 8087.141 52.148 3
2016-02-26 17:07:48.397000 6.205 10.2274 Clear 0 8088.984 52.133 3
