# satellite: 1863 TITAN 3C TRANSTAGE R/B / US
# catalogue: 1 NORAD
# track: 19048304
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 154
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-03-15 00:09:55.194000 5.406 9.08829 Clear 0 6451.688 66.158 5
2021-03-15 00:09:55.294000 6.49 10.1733 Clear 0 6452.088 66.162 5
2021-03-15 00:09:55.394000 5.852 9.53466 Clear 0 6452.488 66.166 5
2021-03-15 00:09:55.494000 6.274 9.95713 Clear 0 6452.888 66.17 5
2021-03-15 00:09:55.694000 6.249 9.93186 Clear 0 6453.689 66.178 5
2021-03-15 00:09:55.994000 6.122 9.8062 Clear 0 6454.89 66.19 5
2021-03-15 00:09:56.194000 5.871 9.55447 Clear 0 6455.691 66.198 5
2021-03-15 00:09:56.394000 5.901 9.58614 Clear 0 6456.491 66.206 5
2021-03-15 00:09:56.494000 5.418 9.10289 Clear 0 6456.892 66.21 5
2021-03-15 00:09:56.894000 6.094 9.77855 Clear 0 6458.493 66.226 5
2021-03-15 00:09:56.994000 5.964 9.64955 Clear 0 6458.894 66.23 5
2021-03-15 00:09:57.894000 6.02 9.7074 Clear 0 6462.498 66.267 5
2021-03-15 00:09:58.094000 5.809 9.49691 Clear 0 6463.299 66.275 5
2021-03-15 00:09:58.294000 5.893 9.58132 Clear 0 6464.1 66.283 5
2021-03-15 00:09:58.394000 6.179 9.86714 Clear 0 6464.501 66.287 5
2021-03-15 00:09:58.894000 5.898 9.58735 Clear 0 6466.504 66.307 5
2021-03-15 00:09:59.294000 5.768 9.45759 Clear 0 6468.107 66.323 5
2021-03-15 00:09:59.494000 6.037 9.72647 Clear 0 6468.908 66.331 5
2021-03-15 00:09:59.594000 5.863 9.55284 Clear 0 6469.309 66.335 5
2021-03-15 00:09:59.794000 5.838 9.52852 Clear 0 6470.11 66.343 5
2021-03-15 00:09:59.894000 5.72 9.41138 Clear 0 6470.511 66.347 5
2021-03-15 00:10:00.094000 5.617 9.30752 Clear 0 6471.312 66.355 5
2021-03-15 00:10:00.894000 5.462 9.15521 Clear 0 6474.519 66.387 5
2021-03-15 00:10:01.194000 5.598 9.29083 Clear 0 6475.721 66.399 5
2021-03-15 00:10:01.394000 6.303 9.99658 Clear 0 6476.523 66.407 5
2021-03-15 00:10:01.594000 5.987 9.68072 Clear 0 6477.325 66.415 5
2021-03-15 00:10:02.694000 6.083 9.77855 Clear 0 6481.736 66.459 5
2021-03-15 00:10:02.794000 5.656 9.35235 Clear 0 6482.137 66.463 5
