# satellite: 1863 TITAN 3C TRANSTAGE R/B / US
# catalogue: 1 NORAD
# track: 32164168
# variability: 2 Periodic
# variability_period: 1.630147841
# npoints: 375
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-06-12 19:42:33.902000 6.254 8.57334 Clear 0 3718.572 50.409 7
2025-06-12 19:42:34.002000 5.891 8.20954 Clear 0 3718.708 50.399 7
2025-06-12 19:42:34.102000 6.363 8.68213 Clear 0 3718.845 50.39 7
2025-06-12 19:42:34.202000 5.952 8.27067 Clear 0 3718.981 50.381 7
2025-06-12 19:42:34.302000 6.365 8.6838 Clear 0 3719.117 50.371 7
2025-06-12 19:42:34.602000 5.722 8.04117 Clear 0 3719.527 50.343 7
2025-06-12 19:42:34.702000 6.108 8.42657 Clear 0 3719.664 50.334 7
2025-06-12 19:42:34.802000 6.074 8.39278 Clear 0 3719.801 50.325 7
2025-06-12 19:42:35.202000 5.838 8.15731 Clear 0 3720.35 50.287 7
2025-06-12 19:42:35.302000 5.754 8.0731 Clear 0 3720.487 50.278 7
2025-06-12 19:42:35.402000 5.306 7.62464 Clear 0 3720.625 50.268 7
2025-06-12 19:42:35.502000 6.126 8.44521 Clear 0 3720.763 50.259 7
2025-06-12 19:42:35.702000 6.447 8.76632 Clear 0 3721.038 50.24 7
2025-06-12 19:42:35.802000 5.813 8.13186 Clear 0 3721.177 50.231 7
2025-06-12 19:42:36.202000 5.848 8.16714 Clear 0 3721.73 50.194 7
2025-06-12 19:42:36.302000 6.373 8.6922 Clear 0 3721.869 50.184 7
2025-06-12 19:42:36.402000 5.834 8.1532 Clear 0 3722.008 50.175 7
2025-06-12 19:42:36.502000 6.032 8.35135 Clear 0 3722.147 50.166 7
2025-06-12 19:42:36.602000 6.16 8.47931 Clear 0 3722.286 50.156 7
2025-06-12 19:42:36.802000 5.711 8.02966 Clear 0 3722.564 50.138 7
2025-06-12 19:42:36.902000 5.622 7.94131 Clear 0 3722.704 50.128 7
