# satellite: 19646 SL-14 DEB / None
# catalogue: 1 NORAD
# track: 1940718
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 111
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-09-01 19:21:21.012000 8.717 9.97586 Clear 0 1818.5 87.721 2
2014-09-01 19:21:21.112000 7.957 9.21484 Clear 0 1818.166 87.702 2
2014-09-01 19:21:21.212000 8.25 9.50737 Clear 0 1817.831 87.682 2
2014-09-01 19:21:21.312000 7.486 8.74306 Clear 0 1817.497 87.663 2
2014-09-01 19:21:21.412000 7.832 9.08814 Clear 0 1817.163 87.643 2
2014-09-01 19:21:21.912000 7.995 9.24648 Clear 0 1815.494 87.546 2
2014-09-01 19:21:22.012000 8.386 9.63669 Clear 0 1815.161 87.527 2
2014-09-01 19:21:22.112000 8.801 10.0516 Clear 0 1814.828 87.507 2
2014-09-01 19:21:22.912000 7.652 8.89719 Clear 0 1812.169 87.352 2
2014-09-01 19:21:23.512000 9.008 10.2478 Clear 0 1810.182 87.234 2
2014-09-01 19:21:23.712000 8.152 9.39129 Clear 0 1809.521 87.195 2
2014-09-01 19:21:23.912000 9.023 10.2601 Clear 0 1808.86 87.156 2
2014-09-01 19:21:24.412000 9.004 10.237 Clear 0 1807.211 87.058 2
2014-09-01 19:21:24.512000 8.013 9.24595 Clear 0 1806.882 87.039 2
2014-09-01 19:21:24.612000 7.884 9.11591 Clear 0 1806.553 87.019 2
2014-09-01 19:21:24.712000 8.566 9.79691 Clear 0 1806.224 86.999 2
2014-09-01 19:21:24.812000 8.431 9.66098 Clear 0 1805.895 86.98 2
2014-09-01 19:21:25.112000 9.085 10.3131 Clear 0 1804.909 86.921 2
2014-09-01 19:21:25.212000 9.729 10.9559 Clear 0 1804.581 86.901 2
2014-09-01 19:21:25.512000 8.801 10.0259 Clear 0 1803.598 86.842 2
2014-09-01 19:21:26.012000 8.551 9.77148 Clear 0 1801.962 86.744 2
2014-09-01 19:21:26.212000 8.012 9.23158 Clear 0 1801.308 86.705 2
2014-09-01 19:21:26.412000 8.035 9.25281 Clear 0 1800.655 86.665 2
2014-09-01 19:21:26.512000 8.225 9.44328 Clear 0 1800.329 86.645 2
2014-09-01 19:21:26.612000 8.716 9.93311 Clear 0 1800.003 86.626 2
2014-09-01 19:21:26.712000 8.253 9.46865 Clear 0 1799.678 86.606 2
2014-09-01 19:21:26.812000 7.712 8.92652 Clear 0 1799.352 86.586 2
2014-09-01 19:21:26.912000 7.938 9.15259 Clear 0 1799.027 86.566 2
2014-09-01 19:21:27.712000 8.421 9.63023 Clear 0 1796.429 86.408 2
2014-09-01 19:21:27.812000 7.977 9.18512 Clear 0 1796.105 86.388 2
2014-09-01 19:21:27.912000 7.508 8.71486 Clear 0 1795.781 86.369 2
2014-09-01 19:21:28.012000 7.538 8.74421 Clear 0 1795.457 86.349 2
2014-09-01 19:21:28.112000 8.602 9.80806 Clear 0 1795.133 86.329 2
2014-09-01 19:21:28.212000 9.463 10.6676 Clear 0 1794.81 86.309 2
2014-09-01 19:21:28.412000 8.27 9.47321 Clear 0 1794.164 86.269 2
2014-09-01 19:21:28.512000 8.466 9.6692 Clear 0 1793.841 86.25 2
2014-09-01 19:21:28.612000 9.045 10.2471 Clear 0 1793.518 86.23 2
2014-09-01 19:21:29.312000 9.121 10.3182 Clear 0 1791.264 86.091 2
2014-09-01 19:21:29.412000 8.536 9.73177 Clear 0 1790.942 86.071 2
2014-09-01 19:21:29.512000 7.83 9.02468 Clear 0 1790.621 86.051 2
2014-09-01 19:21:29.612000 7.574 8.76912 Clear 0 1790.3 86.031 2
2014-09-01 19:21:29.712000 8.154 9.34819 Clear 0 1789.979 86.011 2
2014-09-01 19:21:29.912000 8.552 9.74352 Clear 0 1789.338 85.971 2
2014-09-01 19:21:30.212000 7.831 9.02105 Clear 0 1788.377 85.911 2
2014-09-01 19:21:30.312000 8.69 9.87889 Clear 0 1788.057 85.891 2
2014-09-01 19:21:30.412000 9.753 10.9424 Clear 0 1787.737 85.871 2
2014-09-01 19:21:31.112000 7.945 9.12809 Clear 0 1785.503 85.731 2
2014-09-01 19:21:31.212000 7.82 9.00331 Clear 0 1785.184 85.711 2
2014-09-01 19:21:31.312000 7.951 9.13305 Clear 0 1784.866 85.691 2
2014-09-01 19:21:31.412000 8.542 9.72304 Clear 0 1784.548 85.671 2
2014-09-01 19:21:31.512000 8.415 9.59457 Clear 0 1784.23 85.651 2
2014-09-01 19:21:31.612000 8.026 9.20583 Clear 0 1783.912 85.631 2
2014-09-01 19:21:31.712000 9.241 10.4196 Clear 0 1783.594 85.611 2
