# satellite: 19646 SL-14 DEB / None
# catalogue: 1 NORAD
# track: 19463152
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 40
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-07-18 22:50:45.896000 8.175 9.03759 Clear 0 1427.264 94.455 8
2021-07-18 22:50:45.996000 7.765 8.62671 Clear 0 1427.237 94.434 8
2021-07-18 22:50:46.096000 7.801 8.66249 Clear 0 1427.211 94.412 8
2021-07-18 22:50:46.196000 7.546 8.40667 Clear 0 1427.185 94.391 8
2021-07-18 22:50:46.296000 7.775 8.63567 Clear 0 1427.16 94.37 8
2021-07-18 22:50:46.396000 7.915 8.77581 Clear 0 1427.135 94.348 8
2021-07-18 22:50:46.496000 7.869 8.72851 Clear 0 1427.11 94.327 8
2021-07-18 22:50:46.596000 7.797 8.65738 Clear 0 1427.085 94.306 8
2021-07-18 22:50:46.696000 8.226 9.08494 Clear 0 1427.061 94.285 8
2021-07-18 22:50:46.796000 8.47 9.32891 Clear 0 1427.037 94.263 8
2021-07-18 22:50:46.896000 8.148 9.0055 Clear 0 1427.013 94.242 8
2021-07-18 22:50:55.496000 8.101 8.9208 Clear 0 1426.117 92.414 8
2021-07-18 22:50:55.596000 8.551 9.3708 Clear 0 1426.12 92.392 8
2021-07-18 22:50:55.696000 8.359 9.17793 Clear 0 1426.123 92.371 8
2021-07-18 22:50:55.796000 7.773 8.59204 Clear 0 1426.127 92.35 8
2021-07-18 22:50:55.896000 7.904 8.7222 Clear 0 1426.13 92.329 8
2021-07-18 22:50:55.996000 7.92 8.73798 Clear 0 1426.134 92.307 8
2021-07-18 22:50:56.096000 7.854 8.67206 Clear 0 1426.139 92.286 8
2021-07-18 22:50:56.196000 7.965 8.78216 Clear 0 1426.143 92.265 8
2021-07-18 22:50:56.296000 7.916 8.73306 Clear 0 1426.148 92.244 8
2021-07-18 22:50:56.396000 7.992 8.80816 Clear 0 1426.154 92.223 8
2021-07-18 22:50:56.496000 8.089 8.90534 Clear 0 1426.159 92.201 8
2021-07-18 22:50:56.596000 7.901 8.71681 Clear 0 1426.165 92.18 8
2021-07-18 22:50:56.696000 7.899 8.71359 Clear 0 1426.171 92.159 8
2021-07-18 22:50:56.796000 8.433 9.24751 Clear 0 1426.178 92.138 8
2021-07-18 22:50:56.996000 8.545 9.35908 Clear 0 1426.192 92.095 8
2021-07-18 22:51:05.396000 8.298 9.07948 Clear 0 1427.875 90.316 8
2021-07-18 22:51:05.496000 8.389 9.17122 Clear 0 1427.908 90.295 8
2021-07-18 22:51:05.596000 7.997 8.77809 Clear 0 1427.941 90.274 8
2021-07-18 22:51:05.696000 7.789 8.57031 Clear 0 1427.975 90.253 8
2021-07-18 22:51:05.796000 7.997 8.77809 Clear 0 1428.009 90.232 8
2021-07-18 22:51:05.896000 7.737 8.51662 Clear 0 1428.043 90.211 8
2021-07-18 22:51:05.996000 7.859 8.63925 Clear 0 1428.077 90.19 8
2021-07-18 22:51:06.096000 7.859 8.63925 Clear 0 1428.112 90.168 8
2021-07-18 22:51:06.196000 8.264 9.04252 Clear 0 1428.147 90.147 8
2021-07-18 22:51:06.296000 8.13 8.90868 Clear 0 1428.182 90.126 8
2021-07-18 22:51:06.396000 8.02 8.79938 Clear 0 1428.218 90.105 8
2021-07-18 22:51:06.496000 8.107 8.88454 Clear 0 1428.254 90.084 8
2021-07-18 22:51:06.596000 8.873 9.65103 Clear 0 1428.29 90.063 8
2021-07-18 22:51:06.696000 9.353 10.1314 Clear 0 1428.327 90.042 8
