# satellite: 20848 CZ-4 DEB / PRC
# catalogue: 1 NORAD
# track: 12385328
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 177
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-06-22 20:36:26.700000 8.862 8.4361 Clear 0 1008.551 59.364 3
2017-06-22 20:36:26.800000 9.154 8.72763 Clear 0 1008.602 59.325 3
2017-06-22 20:36:26.900000 9.275 8.84753 Clear 0 1008.652 59.286 3
2017-06-22 20:36:27 8.95 8.52259 Clear 0 1008.703 59.247 3
2017-06-22 20:36:27.100000 9.56 9.13316 Clear 0 1008.755 59.208 3
2017-06-22 20:36:27.200000 9.343 8.91525 Clear 0 1008.807 59.169 3
2017-06-22 20:36:27.300000 9.057 8.6293 Clear 0 1008.859 59.13 3
2017-06-22 20:36:27.400000 9.288 8.85977 Clear 0 1008.912 59.091 3
2017-06-22 20:36:27.500000 9.113 8.68372 Clear 0 1008.965 59.051 3
2017-06-22 20:36:27.600000 9.693 9.26355 Clear 0 1009.019 59.012 3
2017-06-22 20:36:27.600000 9.405 8.97587 Clear 0 1009.019 59.012 3
2017-06-22 20:36:27.700000 9.203 8.77423 Clear 0 1009.074 58.973 3
2017-06-22 20:36:27.700000 9.36 8.9313 Clear 0 1009.074 58.973 3
2017-06-22 20:36:27.800000 8.943 8.51422 Clear 0 1009.129 58.934 3
2017-06-22 20:36:27.900000 9.302 8.87178 Clear 0 1009.184 58.895 3
2017-06-22 20:36:28 9.376 8.9459 Clear 0 1009.24 58.856 3
2017-06-22 20:36:28.200000 9.073 8.64211 Clear 0 1009.353 58.779 3
2017-06-22 20:36:28.300000 9.302 8.87101 Clear 0 1009.41 58.74 3
2017-06-22 20:36:28.400000 9.543 9.11224 Clear 0 1009.467 58.701 3
2017-06-22 20:36:28.600000 8.99 8.55812 Clear 0 1009.584 58.623 3
2017-06-22 20:36:28.700000 9.386 8.95348 Clear 0 1009.643 58.584 3
2017-06-22 20:36:28.800000 9.812 9.3795 Clear 0 1009.703 58.545 3
2017-06-22 20:36:28.900000 9.347 8.91346 Clear 0 1009.763 58.506 3
2017-06-22 20:36:29 9.262 8.82857 Clear 0 1009.823 58.467 3
2017-06-22 20:36:29.200000 8.978 8.54432 Clear 0 1009.946 58.389 3
2017-06-22 20:36:29.300000 9.165 8.73077 Clear 0 1010.007 58.35 3
2017-06-22 20:36:29.400000 9.737 9.30261 Clear 0 1010.07 58.311 3
2017-06-22 20:36:29.500000 9.565 9.13102 Clear 0 1010.133 58.272 3
2017-06-22 20:36:29.600000 9.622 9.18676 Clear 0 1010.196 58.234 3
2017-06-22 20:36:29.700000 9.289 8.85372 Clear 0 1010.26 58.195 3
2017-06-22 20:36:29.800000 9.388 8.95293 Clear 0 1010.324 58.156 3
2017-06-22 20:36:29.900000 8.88 8.44473 Clear 0 1010.389 58.117 3
2017-06-22 20:36:30 9.245 8.80854 Clear 0 1010.454 58.078 3
2017-06-22 20:36:30.100000 9.247 8.81078 Clear 0 1010.519 58.039 3
2017-06-22 20:36:30.200000 9.223 8.78676 Clear 0 1010.585 58.0 3
2017-06-22 20:36:30.300000 9.453 9.01663 Clear 0 1010.652 57.962 3
2017-06-22 20:36:30.400000 9.234 8.79702 Clear 0 1010.719 57.923 3
2017-06-22 20:36:30.500000 9.649 9.21154 Clear 0 1010.787 57.884 3
2017-06-22 20:36:30.600000 9.173 8.73583 Clear 0 1010.855 57.845 3
