# satellite: 20864 CZ-4 DEB / PRC
# catalogue: 1 NORAD
# track: 7485470
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 191
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-04-25 18:51:45.701000 8.734 8.85788 Clear 0 1030.134 92.943 3
2015-04-25 18:51:45.801000 8.911 9.03717 Clear 0 1030.494 92.979 3
2015-04-25 18:51:46.001000 8.549 8.67774 Clear 0 1031.213 93.049 3
2015-04-25 18:51:46.101000 8.65 8.7803 Clear 0 1031.574 93.085 3
2015-04-25 18:51:46.201000 8.642 8.7738 Clear 0 1031.934 93.12 3
2015-04-25 18:51:46.301000 8.621 8.75422 Clear 0 1032.295 93.155 3
2015-04-25 18:51:46.501000 9.325 9.46096 Clear 0 1033.019 93.226 3
2015-04-25 18:51:46.601000 8.525 8.66225 Clear 0 1033.381 93.261 3
2015-04-25 18:51:46.901000 8.562 8.70431 Clear 0 1034.469 93.367 3
2015-04-25 18:51:47.101000 9.71 9.85513 Clear 0 1035.197 93.437 3
2015-04-25 18:51:47.201000 8.681 8.82718 Clear 0 1035.561 93.472 3
2015-04-25 18:51:47.401000 9.322 9.47092 Clear 0 1036.291 93.542 3
2015-04-25 18:51:47.501000 8.378 8.5291 Clear 0 1036.656 93.577 3
2015-04-25 18:51:47.601000 8.507 8.65863 Clear 0 1037.022 93.612 3
2015-04-25 18:51:47.901000 8.595 8.75216 Clear 0 1038.121 93.717 3
2015-04-25 18:51:48.101000 8.649 8.80857 Clear 0 1038.855 93.787 3
2015-04-25 18:51:48.201000 9.114 9.2749 Clear 0 1039.223 93.822 3
2015-04-25 18:51:48.301000 9.174 9.33602 Clear 0 1039.591 93.857 3
2015-04-25 18:51:48.401000 8.772 8.93599 Clear 0 1039.959 93.892 3
2015-04-25 18:51:48.501000 8.407 8.57209 Clear 0 1040.328 93.927 3
2015-04-25 18:51:48.601000 8.276 8.44308 Clear 0 1040.697 93.961 3
2015-04-25 18:51:48.701000 8.361 8.52922 Clear 0 1041.067 93.996 3
2015-04-25 18:51:48.801000 9.182 9.35225 Clear 0 1041.437 94.031 3
2015-04-25 18:51:49.001000 8.417 8.58976 Clear 0 1042.177 94.1 3
2015-04-25 18:51:49.101000 8.405 8.57888 Clear 0 1042.548 94.135 3
2015-04-25 18:51:49.201000 8.437 8.61257 Clear 0 1042.92 94.17 3
2015-04-25 18:51:49.301000 8.848 9.02479 Clear 0 1043.291 94.204 3
2015-04-25 18:51:49.501000 8.138 8.31841 Clear 0 1044.035 94.273 3
2015-04-25 18:51:49.601000 8.423 8.60459 Clear 0 1044.408 94.308 3
2015-04-25 18:51:49.801000 9.456 9.64067 Clear 0 1045.154 94.377 3
2015-04-25 18:51:49.901000 9.343 9.52906 Clear 0 1045.528 94.411 3
2015-04-25 18:51:50.001000 8.251 8.439 Clear 0 1045.902 94.446 3
2015-04-25 18:51:50.101000 9.05 9.23936 Clear 0 1046.276 94.48 3
2015-04-25 18:51:50.201000 8.401 8.59165 Clear 0 1046.651 94.515 3
2015-04-25 18:51:50.301000 8.517 8.70886 Clear 0 1047.026 94.549 3
