# satellite: 22108 NAVSTAR 27 (USA 84) / US
# catalogue: 1 NORAD
# track: 16780398
# variability: 2 Periodic
# variability_period: 2.280228
# npoints: 5776
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-11-14 16:39:09.392000 0.528 7.98954 Clear 0 23710.638 114.606 7
2019-11-14 16:39:09.492000 0.581 8.04296 Clear 0 23710.596 114.605 7
2019-11-14 16:39:09.592000 1.311 8.77291 Clear 0 23710.554 114.604 7
2019-11-14 16:39:09.692000 0.879 8.34049 Clear 0 23710.511 114.603 7
2019-11-14 16:39:09.892000 1.638 9.10029 Clear 0 23710.427 114.601 7
2019-11-14 16:39:10.192000 1.49 8.95195 Clear 0 23710.3 114.599 7
2019-11-14 16:39:10.292000 1.78 9.24218 Clear 0 23710.257 114.598 7
2019-11-14 16:39:10.392000 1.348 8.80976 Clear 0 23710.215 114.597 7
2019-11-14 16:39:10.492000 0.888 8.34969 Clear 0 23710.173 114.596 7
2019-11-14 16:39:10.592000 0.408 7.86957 Clear 0 23710.13 114.595 7
2019-11-14 16:39:10.692000 1.199 8.66104 Clear 0 23710.088 114.595 7
2019-11-14 16:39:10.792000 1.032 8.49399 Clear 0 23710.045 114.594 7
2019-11-14 16:39:10.892000 1.026 8.48815 Clear 0 23710.003 114.593 7
2019-11-14 16:39:10.992000 1.479 8.9401 Clear 0 23709.961 114.592 7
2019-11-14 16:39:11.392000 1.374 8.83488 Clear 0 23709.791 114.589 7
2019-11-14 16:39:11.492000 1.398 8.85922 Clear 0 23709.749 114.588 7
2019-11-14 16:39:11.592000 1.421 8.88202 Clear 0 23709.707 114.587 7
2019-11-14 16:39:11.692000 0.474 7.93528 Clear 0 23709.664 114.586 7
2019-11-14 16:39:11.792000 0.683 8.1435 Clear 0 23709.622 114.585 7
2019-11-14 16:39:11.892000 1.422 8.88341 Clear 0 23709.58 114.584 7
2019-11-14 16:39:11.992000 1.125 8.5862 Clear 0 23709.537 114.583 7
2019-11-14 16:39:12.092000 1.355 8.81566 Clear 0 23709.495 114.583 7
2019-11-14 16:39:12.392000 1.667 9.12779 Clear 0 23709.368 114.58 7
2019-11-14 16:39:12.592000 1.427 8.88832 Clear 0 23709.283 114.578 7
2019-11-14 16:39:12.692000 1.465 8.92547 Clear 0 23709.241 114.578 7
2019-11-14 16:39:12.792000 0.887 8.34798 Clear 0 23709.199 114.577 7
2019-11-14 16:39:12.892000 1.14 8.60065 Clear 0 23709.156 114.576 7
2019-11-14 16:39:12.992000 1.513 8.97376 Clear 0 23709.114 114.575 7
2019-11-14 16:39:13.092000 1.473 8.93349 Clear 0 23709.072 114.574 7
2019-11-14 16:39:13.292000 1.94 9.40115 Clear 0 23708.987 114.572 7
2019-11-14 16:39:13.392000 1.494 8.95493 Clear 0 23708.945 114.572 7
2019-11-14 16:39:13.492000 2.018 9.47936 Clear 0 23708.902 114.571 7
2019-11-14 16:39:13.692000 1.519 8.97986 Clear 0 23708.818 114.569 7
2019-11-14 16:39:13.792000 1.679 9.14012 Clear 0 23708.775 114.568 7
2019-11-14 16:39:13.892000 1.161 8.62188 Clear 0 23708.733 114.567 7
2019-11-14 16:39:13.992000 0.369 7.82965 Clear 0 23708.691 114.566 7
2019-11-14 16:39:14.092000 1.076 8.53734 Clear 0 23708.648 114.566 7
2019-11-14 16:39:14.192000 1.457 8.9175 Clear 0 23708.606 114.565 7
2019-11-14 16:39:14.292000 1.149 8.6104 Clear 0 23708.564 114.564 7
2019-11-14 16:39:14.392000 1.644 9.10354 Clear 0 23708.521 114.563 7
2019-11-14 16:39:14.492000 1.664 9.12429 Clear 0 23708.479 114.562 7
2019-11-14 16:39:14.792000 1.486 8.94601 Clear 0 23708.352 114.56 7
2019-11-14 16:39:14.892000 1.518 8.97833 Clear 0 23708.31 114.559 7
2019-11-14 16:39:14.992000 1.378 8.83755 Clear 0 23708.267 114.558 7
2019-11-14 16:39:15.092000 1.172 8.63237 Clear 0 23708.225 114.557 7
2019-11-14 16:39:15.192000 0.999 8.45891 Clear 0 23708.183 114.556 7
2019-11-14 16:39:15.292000 1.14 8.60012 Clear 0 23708.14 114.555 7
2019-11-14 16:39:15.392000 1.345 8.80455 Clear 0 23708.098 114.555 7
2019-11-14 16:39:15.492000 1.638 9.09842 Clear 0 23708.056 114.554 7
2019-11-14 16:39:15.892000 1.618 9.07816 Clear 0 23707.886 114.55 7
2019-11-14 16:39:16.092000 1.366 8.82622 Clear 0 23707.802 114.549 7
2019-11-14 16:39:16.292000 0.557 8.01648 Clear 0 23707.717 114.547 7
2019-11-14 16:39:16.392000 1.399 8.85853 Clear 0 23707.675 114.546 7
2019-11-14 16:39:16.492000 1.473 8.93276 Clear 0 23707.632 114.545 7
2019-11-14 16:39:16.592000 1.89 9.34946 Clear 0 23707.59 114.544 7
2019-11-14 16:39:17.092000 1.632 9.09162 Clear 0 23707.378 114.54 7
2019-11-14 16:39:17.192000 1.465 8.92474 Clear 0 23707.336 114.539 7
2019-11-14 16:39:17.292000 1.471 8.93057 Clear 0 23707.294 114.538 7
2019-11-14 16:39:17.392000 1.06 8.51969 Clear 0 23707.251 114.538 7
2019-11-14 16:39:17.492000 0.926 8.38577 Clear 0 23707.209 114.537 7
2019-11-14 16:39:17.592000 0.937 8.39733 Clear 0 23707.167 114.536 7
2019-11-14 16:39:17.692000 0.952 8.41217 Clear 0 23707.124 114.535 7
2019-11-14 16:39:18.292000 1.682 9.141 Clear 0 23706.87 114.53 7
2019-11-14 16:39:18.392000 1.047 8.50627 Clear 0 23706.828 114.529 7
2019-11-14 16:39:18.492000 0.918 8.37653 Clear 0 23706.786 114.528 7
2019-11-14 16:39:18.592000 1.151 8.6104 Clear 0 23706.743 114.527 7
2019-11-14 16:39:18.692000 1.282 8.74141 Clear 0 23706.701 114.526 7
2019-11-14 16:39:18.792000 1.055 8.51371 Clear 0 23706.659 114.526 7
2019-11-14 16:39:18.892000 1.264 8.72316 Clear 0 23706.616 114.525 7
2019-11-14 16:39:18.992000 1.499 8.95792 Clear 0 23706.574 114.524 7
2019-11-14 16:39:19.392000 1.215 8.67422 Clear 0 23706.405 114.521 7
2019-11-14 16:39:19.492000 1.196 8.65479 Clear 0 23706.362 114.52 7
2019-11-14 16:39:19.592000 1.404 8.86264 Clear 0 23706.32 114.519 7
