# satellite: 23637 ARIANE 42L+3 R/B / FR
# catalogue: 1 NORAD
# track: 10378419
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 1843
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-04-14 22:53:56.896000 3.838 9.24926 Clear 0 16640.185 25.687 7
2016-04-14 22:53:57.096000 4.698 10.1092 Clear 0 16640.828 25.689 7
2016-04-14 22:53:57.296000 3.769 9.17971 Clear 0 16641.472 25.691 7
2016-04-14 22:53:57.896000 4.504 9.91499 Clear 0 16643.402 25.697 7
2016-04-14 22:53:57.996000 4.517 9.92754 Clear 0 16643.724 25.697 7
2016-04-14 22:53:58.496000 4.491 9.90258 Clear 0 16645.332 25.702 7
2016-04-14 22:53:59.798000 3.868 9.28002 Clear 0 16649.52 25.714 7
2016-04-14 22:53:59.898000 4.55 9.96198 Clear 0 16649.842 25.715 7
2016-04-14 22:54:00.098000 4.085 9.49655 Clear 0 16650.485 25.717 7
2016-04-14 22:54:00.398000 3.811 9.22333 Clear 0 16651.45 25.719 7
2016-04-14 22:54:00.498000 4.377 9.78928 Clear 0 16651.771 25.72 7
2016-04-14 22:54:00.898000 4.229 9.64153 Clear 0 16653.058 25.724 7
2016-04-14 22:54:01.198000 4.341 9.75377 Clear 0 16654.023 25.727 7
2016-04-14 22:54:01.298000 3.804 9.21676 Clear 0 16654.344 25.728 7
2016-04-14 22:54:01.398000 4.316 9.72853 Clear 0 16654.666 25.729 7
2016-04-14 22:54:02.198000 4.503 9.91577 Clear 0 16657.239 25.736 7
2016-04-14 22:54:02.898000 3.966 9.38003 Clear 0 16659.49 25.742 7
2016-04-14 22:54:03.498000 4.158 9.57229 Clear 0 16661.419 25.748 7
2016-04-14 22:54:03.798000 4.148 9.5621 Clear 0 16662.384 25.751 7
2016-04-14 22:54:04.298000 4.102 9.5158 Clear 0 16663.992 25.755 7
2016-04-14 22:54:04.498000 3.882 9.29577 Clear 0 16664.635 25.757 7
2016-04-14 22:54:04.698000 4.315 9.72853 Clear 0 16665.278 25.759 7
2016-04-14 22:54:05.198000 4.331 9.74573 Clear 0 16666.885 25.763 7
2016-04-14 22:54:05.598000 4.42 9.83464 Clear 0 16668.171 25.767 7
2016-04-14 22:54:05.698000 4.076 9.49126 Clear 0 16668.493 25.768 7
2016-04-14 22:54:06.198000 4.316 9.73116 Clear 0 16670.1 25.773 7
2016-04-14 22:54:06.298000 3.914 9.32888 Clear 0 16670.422 25.774 7
2016-04-14 22:54:06.498000 4.134 9.54867 Clear 0 16671.065 25.775 7
2016-04-14 22:54:06.798000 3.959 9.37433 Clear 0 16672.029 25.778 7
2016-04-14 22:54:07.098000 4.805 10.2198 Clear 0 16672.993 25.781 7
2016-04-14 22:54:07.298000 3.966 9.38194 Clear 0 16673.636 25.783 7
2016-04-14 22:54:07.398000 4.276 9.69238 Clear 0 16673.958 25.784 7
2016-04-14 22:54:07.698000 3.868 9.28437 Clear 0 16674.922 25.786 7
2016-04-14 22:54:07.898000 4.358 9.77411 Clear 0 16675.565 25.788 7
2016-04-14 22:54:08.998000 4.508 9.9236 Clear 0 16679.101 25.798 7
2016-04-14 22:54:09.198000 4.204 9.61993 Clear 0 16679.743 25.8 7
2016-04-14 22:54:09.898000 4.209 9.62589 Clear 0 16681.993 25.807 7
2016-04-14 22:54:10.498000 4.149 9.56549 Clear 0 16683.921 25.812 7
2016-04-14 22:54:10.798000 4.151 9.56775 Clear 0 16684.885 25.815 7
2016-04-14 22:54:11.098000 4.068 9.48495 Clear 0 16685.85 25.818 7
