# satellite: 23637 ARIANE 42L+3 R/B / FR
# catalogue: 1 NORAD
# track: 29733536
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1219
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2024-09-28 18:47:24.001000 3.9 9.97647 Clear 0 22852.707 19.865 5
2024-09-28 18:47:24.101000 3.547 9.62353 Clear 0 22852.453 19.865 5
2024-09-28 18:47:24.201000 4.093 10.1703 Clear 0 22852.199 19.864 5
2024-09-28 18:47:24.501000 3.9 9.97647 Clear 0 22851.437 19.863 5
2024-09-28 18:47:24.601000 3.413 9.49013 Clear 0 22851.182 19.863 5
2024-09-28 18:47:25.101000 3.755 9.83149 Clear 0 22849.911 19.86 5
2024-09-28 18:47:25.201000 3.936 10.0133 Clear 0 22849.657 19.86 5
2024-09-28 18:47:25.301000 3.349 9.42599 Clear 0 22849.403 19.86 5
2024-09-28 18:47:25.401000 3.844 9.92104 Clear 0 22849.149 19.859 5
2024-09-28 18:47:25.701000 3.644 9.72118 Clear 0 22848.386 19.858 5
2024-09-28 18:47:25.901000 3.768 9.84515 Clear 0 22847.878 19.857 5
2024-09-28 18:47:26.101000 3.821 9.89835 Clear 0 22847.37 19.856 5
2024-09-28 18:47:26.301000 4.11 10.1869 Clear 0 22846.861 19.855 5
2024-09-28 18:47:26.401000 3.635 9.71168 Clear 0 22846.607 19.855 5
2024-09-28 18:47:26.501000 3.967 10.044 Clear 0 22846.353 19.854 5
2024-09-28 18:47:26.901000 3.787 9.86363 Clear 0 22845.336 19.853 5
2024-09-28 18:47:27.001000 3.581 9.65768 Clear 0 22845.082 19.852 5
2024-09-28 18:47:27.201000 3.847 9.92432 Clear 0 22844.573 19.851 5
2024-09-28 18:47:27.501000 4.01 10.087 Clear 0 22843.81 19.85 5
2024-09-28 18:47:27.601000 3.71 9.78717 Clear 0 22843.556 19.85 5
2024-09-28 18:47:27.701000 3.794 9.87142 Clear 0 22843.302 19.849 5
2024-09-28 18:47:27.801000 3.703 9.77995 Clear 0 22843.048 19.849 5
2024-09-28 18:47:28.001000 3.559 9.63479 Clear 0 22842.539 19.848 5
2024-09-28 18:47:28.301000 3.778 9.85435 Clear 0 22841.776 19.847 5
2024-09-28 18:47:28.401000 4.402 10.4778 Clear 0 22841.522 19.846 5
2024-09-28 18:47:28.501000 3.847 9.92268 Clear 0 22841.268 19.846 5
2024-09-28 18:47:29.001000 3.71 9.78572 Clear 0 22839.996 19.844 5
2024-09-28 18:47:29.601000 4.03 10.1063 Clear 0 22838.471 19.841 5
2024-09-28 18:47:29.701000 4.007 10.0832 Clear 0 22838.216 19.841 5
2024-09-28 18:47:29.901000 4.062 10.1378 Clear 0 22837.708 19.84 5
2024-09-28 18:47:30.201000 3.612 9.68764 Clear 0 22836.945 19.839 5
2024-09-28 18:47:30.301000 3.925 10.0009 Clear 0 22836.69 19.838 5
