# satellite: 23947 USA 125 DEB / US
# catalogue: 1 NORAD
# track: 13261148
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 3115
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-06-09 19:14:43.597000 5.947 8.82004 Clear 0 3735.987 90.424 3
2018-06-09 19:14:43.697000 6.074 8.94701 Clear 0 3735.745 90.424 3
2018-06-09 19:14:43.797000 5.978 8.85028 Clear 0 3735.504 90.425 3
2018-06-09 19:14:43.897000 5.969 8.84137 Clear 0 3735.262 90.426 3
2018-06-09 19:14:43.997000 5.933 8.80489 Clear 0 3735.021 90.426 3
2018-06-09 19:14:44.097000 5.716 8.58779 Clear 0 3734.78 90.427 3
2018-06-09 19:14:44.197000 5.67 8.54223 Clear 0 3734.538 90.428 3
2018-06-09 19:14:44.297000 6.16 9.0316 Clear 0 3734.297 90.428 3
2018-06-09 19:14:44.397000 6.166 9.03756 Clear 0 3734.056 90.429 3
2018-06-09 19:14:44.497000 5.969 8.84076 Clear 0 3733.815 90.43 3
2018-06-09 19:14:44.597000 5.859 8.73022 Clear 0 3733.574 90.43 3
2018-06-09 19:14:44.697000 6.145 9.01643 Clear 0 3733.333 90.431 3
2018-06-09 19:14:44.797000 6.171 9.04232 Clear 0 3733.092 90.432 3
2018-06-09 19:14:44.897000 5.959 8.82972 Clear 0 3732.851 90.433 3
2018-06-09 19:14:44.997000 5.861 8.73205 Clear 0 3732.611 90.433 3
2018-06-09 19:14:45.097000 6.225 9.09553 Clear 0 3732.37 90.434 3
2018-06-09 19:14:45.197000 5.988 8.85892 Clear 0 3732.13 90.435 3
2018-06-09 19:14:45.297000 6.329 9.2 Clear 0 3731.889 90.435 3
2018-06-09 19:14:45.397000 5.697 8.56703 Clear 0 3731.649 90.436 3
2018-06-09 19:14:45.497000 5.907 8.77676 Clear 0 3731.408 90.437 3
2018-06-09 19:14:45.597000 5.747 8.6165 Clear 0 3731.168 90.437 3
2018-06-09 19:14:45.697000 5.831 8.70084 Clear 0 3730.928 90.438 3
2018-06-09 19:14:45.797000 6.022 8.89161 Clear 0 3730.688 90.439 3
2018-06-09 19:14:45.897000 6.161 9.03074 Clear 0 3730.448 90.44 3
2018-06-09 19:14:45.997000 6.084 8.95413 Clear 0 3730.208 90.44 3
2018-06-09 19:14:46.097000 5.917 8.78552 Clear 0 3729.968 90.441 3
2018-06-09 19:14:46.197000 5.996 8.86477 Clear 0 3729.728 90.442 3
2018-06-09 19:14:46.297000 5.748 8.61709 Clear 0 3729.488 90.442 3
2018-06-09 19:14:46.397000 6.122 8.9912 Clear 0 3729.248 90.443 3
2018-06-09 19:14:46.497000 5.893 8.76237 Clear 0 3729.009 90.444 3
2018-06-09 19:14:46.597000 5.955 8.82352 Clear 0 3728.769 90.445 3
2018-06-09 19:14:46.697000 5.975 8.84399 Clear 0 3728.529 90.445 3
2018-06-09 19:14:46.790000 6.423 9.29186 Clear 0 3728.307 90.446 6
2018-06-09 19:14:46.797000 5.794 8.66294 Clear 0 3728.29 90.446 3
2018-06-09 19:14:46.890000 6.235 9.10316 Clear 0 3728.067 90.447 6
2018-06-09 19:14:46.897000 6.001 8.86896 Clear 0 3728.051 90.447 3
2018-06-09 19:14:46.990000 6.044 8.91162 Clear 0 3727.828 90.447 6
2018-06-09 19:14:46.997000 5.954 8.82218 Clear 0 3727.811 90.447 3
2018-06-09 19:14:47.090000 6.389 9.25694 Clear 0 3727.589 90.448 6
2018-06-09 19:14:47.097000 5.944 8.81193 Clear 0 3727.572 90.448 3
2018-06-09 19:14:47.190000 6.458 9.32561 Clear 0 3727.35 90.449 6
2018-06-09 19:14:47.197000 5.811 8.67881 Clear 0 3727.333 90.449 3
2018-06-09 19:14:47.290000 6.226 9.09353 Clear 0 3727.111 90.449 6
2018-06-09 19:14:47.297000 6.057 8.92531 Clear 0 3727.094 90.449 3
2018-06-09 19:14:47.390000 6.667 9.53449 Clear 0 3726.872 90.45 6
2018-06-09 19:14:47.397000 5.934 8.80214 Clear 0 3726.855 90.45 3
2018-06-09 19:14:47.490000 6.398 9.26587 Clear 0 3726.633 90.451 6
2018-06-09 19:14:47.497000 6.184 9.05237 Clear 0 3726.616 90.451 3
2018-06-09 19:14:47.590000 6.488 9.35596 Clear 0 3726.394 90.452 6
2018-06-09 19:14:47.597000 5.715 8.58337 Clear 0 3726.377 90.452 3
2018-06-09 19:14:47.690000 6.264 9.13078 Clear 0 3726.155 90.452 6
2018-06-09 19:14:47.697000 5.934 8.80112 Clear 0 3726.138 90.452 3
2018-06-09 19:14:47.790000 6.284 9.15081 Clear 0 3725.916 90.453 6
2018-06-09 19:14:47.797000 5.8 8.66677 Clear 0 3725.9 90.453 3
2018-06-09 19:14:47.890000 6.229 9.09617 Clear 0 3725.678 90.454 6
2018-06-09 19:14:47.897000 6.14 9.00729 Clear 0 3725.661 90.454 3
2018-06-09 19:14:47.997000 5.775 8.64209 Clear 0 3725.422 90.454 3
2018-06-09 19:14:48.090000 6.423 9.28962 Clear 0 3725.2 90.455 6
2018-06-09 19:14:48.097000 5.837 8.70356 Clear 0 3725.184 90.455 3
2018-06-09 19:14:48.190000 6.373 9.23956 Clear 0 3724.962 90.456 6
2018-06-09 19:14:48.197000 5.938 8.80514 Clear 0 3724.945 90.456 3
2018-06-09 19:14:48.290000 6.215 9.08202 Clear 0 3724.724 90.456 6
2018-06-09 19:14:48.297000 5.828 8.69492 Clear 0 3724.707 90.456 3
2018-06-09 19:14:48.390000 6.132 8.99892 Clear 0 3724.485 90.457 6
2018-06-09 19:14:48.397000 5.943 8.8098 Clear 0 3724.469 90.457 3
2018-06-09 19:14:48.490000 5.966 8.83237 Clear 0 3724.247 90.458 6
2018-06-09 19:14:48.497000 6.005 8.87115 Clear 0 3724.23 90.458 3
2018-06-09 19:14:48.590000 6.409 9.27543 Clear 0 3724.009 90.459 6
2018-06-09 19:14:48.597000 6.232 9.09813 Clear 0 3723.992 90.459 3
2018-06-09 19:14:48.690000 6.286 9.15158 Clear 0 3723.771 90.459 6
2018-06-09 19:14:48.697000 5.887 8.75299 Clear 0 3723.754 90.459 3
2018-06-09 19:14:48.790000 6.484 9.34946 Clear 0 3723.533 90.46 6
2018-06-09 19:14:48.797000 5.889 8.75502 Clear 0 3723.516 90.46 3
2018-06-09 19:14:48.890000 6.274 9.13995 Clear 0 3723.295 90.461 6
2018-06-09 19:14:48.897000 6.157 9.02321 Clear 0 3723.278 90.461 3
2018-06-09 19:14:48.990000 6.251 9.11704 Clear 0 3723.057 90.461 6
2018-06-09 19:14:48.997000 6.143 9.00938 Clear 0 3723.04 90.461 3
2018-06-09 19:14:49.090000 6.068 8.93386 Clear 0 3722.819 90.462 6
2018-06-09 19:14:49.097000 5.818 8.68361 Clear 0 3722.803 90.462 3
2018-06-09 19:14:49.190000 6.319 9.18476 Clear 0 3722.581 90.463 6
2018-06-09 19:14:49.197000 5.926 8.79158 Clear 0 3722.565 90.463 3
2018-06-09 19:14:49.297000 6.042 8.90657 Clear 0 3722.327 90.464 3
2018-06-09 19:14:49.390000 6.386 9.251 Clear 0 3722.106 90.464 6
2018-06-09 19:14:49.397000 6.041 8.90632 Clear 0 3722.09 90.464 3
2018-06-09 19:14:49.490000 6.046 8.91115 Clear 0 3721.869 90.465 6
2018-06-09 19:14:49.497000 6.023 8.88835 Clear 0 3721.852 90.465 3
2018-06-09 19:14:49.590000 6.632 9.49741 Clear 0 3721.631 90.466 6
2018-06-09 19:14:49.597000 6.228 9.0928 Clear 0 3721.615 90.466 3
2018-06-09 19:14:49.690000 6.398 9.26335 Clear 0 3721.394 90.466 6
2018-06-09 19:14:49.697000 5.941 8.80593 Clear 0 3721.377 90.466 3
2018-06-09 19:14:49.790000 6.216 9.08121 Clear 0 3721.157 90.467 6
2018-06-09 19:14:49.797000 6.051 8.91633 Clear 0 3721.14 90.467 3
2018-06-09 19:14:49.890000 6.347 9.2124 Clear 0 3720.919 90.468 6
2018-06-09 19:14:49.897000 5.73 8.59515 Clear 0 3720.903 90.468 3
2018-06-09 19:14:49.990000 6.197 9.06149 Clear 0 3720.682 90.468 6
2018-06-09 19:14:49.997000 5.951 8.81576 Clear 0 3720.666 90.469 3
2018-06-09 19:14:50.090000 6.303 9.16694 Clear 0 3720.445 90.469 6
2018-06-09 19:14:50.097000 6.148 9.01235 Clear 0 3720.428 90.469 3
2018-06-09 19:14:50.190000 6.012 8.8762 Clear 0 3720.208 90.47 6
2018-06-09 19:14:50.197000 5.817 8.68121 Clear 0 3720.191 90.47 3
2018-06-09 19:14:50.290000 6.399 9.26268 Clear 0 3719.971 90.471 6
2018-06-09 19:14:50.297000 5.902 8.76572 Clear 0 3719.954 90.471 3
2018-06-09 19:14:50.390000 6.211 9.07472 Clear 0 3719.734 90.471 6
2018-06-09 19:14:50.397000 5.913 8.77652 Clear 0 3719.718 90.471 3
2018-06-09 19:14:50.490000 6.144 9.00822 Clear 0 3719.497 90.472 6
2018-06-09 19:14:50.497000 5.905 8.76868 Clear 0 3719.481 90.472 3
2018-06-09 19:14:50.590000 6.399 9.26303 Clear 0 3719.261 90.473 6
2018-06-09 19:14:50.597000 5.933 8.79696 Clear 0 3719.244 90.473 3
2018-06-09 19:14:50.690000 6.38 9.24346 Clear 0 3719.024 90.473 6
2018-06-09 19:14:50.697000 5.707 8.57051 Clear 0 3719.007 90.474 3
2018-06-09 19:14:50.790000 6.456 9.32026 Clear 0 3718.787 90.474 6
2018-06-09 19:14:50.797000 5.971 8.83488 Clear 0 3718.771 90.474 3
