# satellite: 23947 USA 125 DEB / US
# catalogue: 1 NORAD
# track: 17280112
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1097
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-02-17 01:14:57.295000 6.043 7.97128 Clear 0 2794.09 71.005 2
2020-02-17 01:14:57.395000 5.986 7.91431 Clear 0 2794.308 71.013 2
2020-02-17 01:14:57.495000 5.991 7.91873 Clear 0 2794.527 71.021 2
2020-02-17 01:14:57.595000 5.948 7.87711 Clear 0 2794.746 71.029 2
2020-02-17 01:14:57.695000 6.127 8.05627 Clear 0 2794.965 71.037 2
2020-02-17 01:14:57.795000 6.119 8.04804 Clear 0 2795.184 71.045 2
2020-02-17 01:14:57.895000 6.037 7.96697 Clear 0 2795.403 71.053 2
2020-02-17 01:14:57.995000 6.039 7.96929 Clear 0 2795.622 71.061 2
2020-02-17 01:14:58.095000 5.668 7.59843 Clear 0 2795.842 71.069 5
2020-02-17 01:14:58.095000 5.951 7.88077 Clear 0 2795.842 71.069 2
2020-02-17 01:14:58.195000 5.686 7.61608 Clear 0 2796.061 71.077 5
2020-02-17 01:14:58.195000 6.09 8.01953 Clear 0 2796.061 71.077 2
2020-02-17 01:14:58.295000 5.721 7.65151 Clear 0 2796.281 71.085 5
2020-02-17 01:14:58.295000 6.081 8.01156 Clear 0 2796.281 71.085 2
2020-02-17 01:14:58.395000 6.007 7.9379 Clear 0 2796.501 71.093 2
2020-02-17 01:14:58.395000 5.657 7.5877 Clear 0 2796.501 71.093 5
2020-02-17 01:14:58.495000 5.802 7.73293 Clear 0 2796.721 71.101 2
2020-02-17 01:14:58.595000 5.605 7.53641 Clear 0 2796.941 71.109 5
2020-02-17 01:14:58.595000 6.122 8.0534 Clear 0 2796.941 71.109 2
2020-02-17 01:14:58.695000 5.715 7.64688 Clear 0 2797.162 71.117 5
2020-02-17 01:14:58.695000 6.076 8.00778 Clear 0 2797.162 71.117 2
2020-02-17 01:14:58.795000 5.639 7.57102 Clear 0 2797.382 71.125 5
2020-02-17 01:14:58.795000 6.301 8.23309 Clear 0 2797.382 71.125 2
2020-02-17 01:14:58.895000 5.98 7.91237 Clear 0 2797.603 71.133 5
2020-02-17 01:14:58.895000 6.09 8.02231 Clear 0 2797.603 71.133 2
2020-02-17 01:14:58.995000 5.709 7.6419 Clear 0 2797.823 71.142 5
2020-02-17 01:14:58.995000 6.114 8.04697 Clear 0 2797.823 71.142 2
2020-02-17 01:14:59.095000 6.117 8.04982 Clear 0 2798.044 71.15 2
2020-02-17 01:14:59.195000 5.992 7.92445 Clear 0 2798.265 71.158 2
2020-02-17 01:14:59.295000 6.068 8.00058 Clear 0 2798.486 71.166 2
2020-02-17 01:14:59.395000 5.956 7.88968 Clear 0 2798.707 71.174 2
2020-02-17 01:14:59.495000 5.928 7.86168 Clear 0 2798.929 71.182 2
2020-02-17 01:14:59.595000 5.982 7.91589 Clear 0 2799.15 71.19 2
2020-02-17 01:14:59.695000 5.963 7.89834 Clear 0 2799.372 71.198 2
2020-02-17 01:14:59.795000 6.081 8.01571 Clear 0 2799.593 71.206 2
2020-02-17 01:14:59.895000 5.917 7.85211 Clear 0 2799.815 71.214 2
2020-02-17 01:14:59.995000 5.997 7.93211 Clear 0 2800.037 71.222 2
2020-02-17 01:15:00.095000 6.074 8.00984 Clear 0 2800.259 71.23 2
2020-02-17 01:15:00.195000 6.035 7.97061 Clear 0 2800.482 71.238 2
2020-02-17 01:15:00.295000 6.251 8.18712 Clear 0 2800.704 71.246 2
2020-02-17 01:15:00.395000 5.873 7.81034 Clear 0 2800.926 71.254 2
2020-02-17 01:15:00.495000 6.173 8.10968 Clear 0 2801.149 71.262 2
2020-02-17 01:15:00.595000 6.216 8.15281 Clear 0 2801.372 71.27 2
2020-02-17 01:15:00.695000 6.125 8.06204 Clear 0 2801.595 71.278 2
2020-02-17 01:15:00.795000 5.862 7.80036 Clear 0 2801.818 71.286 2
2020-02-17 01:15:00.895000 6.008 7.94566 Clear 0 2802.041 71.294 2
2020-02-17 01:15:00.995000 5.961 7.89897 Clear 0 2802.264 71.302 2
2020-02-17 01:15:01.095000 5.967 7.9052 Clear 0 2802.488 71.31 2
2020-02-17 01:15:01.195000 6.154 8.09282 Clear 0 2802.711 71.318 2
2020-02-17 01:15:01.295000 6.113 8.05233 Clear 0 2802.935 71.326 2
2020-02-17 01:15:01.395000 6.154 8.09319 Clear 0 2803.159 71.335 2
2020-02-17 01:15:01.495000 5.996 7.93565 Clear 0 2803.383 71.343 2
2020-02-17 01:15:01.595000 6.035 7.97461 Clear 0 2803.607 71.351 2
2020-02-17 01:15:01.695000 6.395 8.33454 Clear 0 2803.831 71.359 2
2020-02-17 01:15:01.795000 5.977 7.91652 Clear 0 2804.055 71.367 2
2020-02-17 01:15:01.895000 6.185 8.12603 Clear 0 2804.28 71.375 2
2020-02-17 01:15:01.995000 5.919 7.85958 Clear 0 2804.505 71.383 2
2020-02-17 01:15:02.095000 6.029 7.96995 Clear 0 2804.729 71.391 2
2020-02-17 01:15:02.195000 6.016 7.95774 Clear 0 2804.954 71.399 2
2020-02-17 01:15:02.295000 5.95 7.89184 Clear 0 2805.179 71.407 2
2020-02-17 01:15:02.395000 6.062 8.00366 Clear 0 2805.404 71.415 2
2020-02-17 01:15:02.495000 6.055 7.99717 Clear 0 2805.63 71.423 2
2020-02-17 01:15:02.595000 6.018 7.96102 Clear 0 2805.855 71.431 2
2020-02-17 01:15:02.695000 5.994 7.93693 Clear 0 2806.08 71.439 2
2020-02-17 01:15:02.795000 5.747 7.68977 Clear 0 2806.306 71.447 2
2020-02-17 01:15:02.895000 5.933 7.87711 Clear 0 2806.532 71.455 2
2020-02-17 01:15:02.995000 6.082 8.0258 Clear 0 2806.758 71.463 2
2020-02-17 01:15:03.095000 5.982 7.92636 Clear 0 2806.984 71.471 2
2020-02-17 01:15:03.195000 6.026 7.96962 Clear 0 2807.21 71.479 2
2020-02-17 01:15:03.295000 5.974 7.91905 Clear 0 2807.436 71.487 2
2020-02-17 01:15:03.395000 5.947 7.89184 Clear 0 2807.663 71.495 2
2020-02-17 01:15:03.495000 6.024 7.96862 Clear 0 2807.889 71.503 2
2020-02-17 01:15:03.595000 6.102 8.0484 Clear 0 2808.116 71.511 2
2020-02-17 01:15:03.695000 6.227 8.17263 Clear 0 2808.343 71.519 2
2020-02-17 01:15:03.795000 6.006 7.95217 Clear 0 2808.57 71.527 2
2020-02-17 01:15:03.895000 6.224 8.17023 Clear 0 2808.797 71.535 2
2020-02-17 01:15:03.995000 6.048 7.99513 Clear 0 2809.024 71.543 2
2020-02-17 01:15:04.095000 5.965 7.9121 Clear 0 2809.251 71.551 2
2020-02-17 01:15:04.195000 6.15 8.09729 Clear 0 2809.479 71.56 2
2020-02-17 01:15:04.295000 6.239 8.18672 Clear 0 2809.706 71.568 2
2020-02-17 01:15:04.395000 6.087 8.03527 Clear 0 2809.934 71.576 2
2020-02-17 01:15:04.495000 6.119 8.06711 Clear 0 2810.162 71.584 2
2020-02-17 01:15:04.595000 5.942 7.88968 Clear 0 2810.39 71.592 2
2020-02-17 01:15:04.695000 6.052 8.00127 Clear 0 2810.618 71.6 2
2020-02-17 01:15:04.795000 6.171 8.1203 Clear 0 2810.846 71.608 2
2020-02-17 01:15:04.895000 5.983 7.93211 Clear 0 2811.075 71.616 2
2020-02-17 01:15:04.990000 5.905 7.8551 Clear 0 2811.292 71.623 9
2020-02-17 01:15:04.995000 6.079 8.0293 Clear 0 2811.303 71.624 2
2020-02-17 01:15:05.090000 5.803 7.75341 Clear 0 2811.521 71.631 9
2020-02-17 01:15:05.095000 6.202 8.15241 Clear 0 2811.532 71.632 2
2020-02-17 01:15:05.190000 5.676 7.62634 Clear 0 2811.749 71.639 9
2020-02-17 01:15:05.195000 6.222 8.17223 Clear 0 2811.761 71.64 2
2020-02-17 01:15:05.290000 5.842 7.79224 Clear 0 2811.978 71.647 9
2020-02-17 01:15:05.295000 6.133 8.08246 Clear 0 2811.99 71.648 2
2020-02-17 01:15:05.390000 5.828 7.77873 Clear 0 2812.207 71.655 9
2020-02-17 01:15:05.395000 6.008 7.95872 Clear 0 2812.219 71.656 2
2020-02-17 01:15:05.490000 5.978 7.92868 Clear 0 2812.436 71.663 9
2020-02-17 01:15:05.495000 6.114 8.06493 Clear 0 2812.448 71.664 2
2020-02-17 01:15:05.590000 5.817 7.76763 Clear 0 2812.666 71.672 9
2020-02-17 01:15:05.595000 6.182 8.13296 Clear 0 2812.677 71.672 2
2020-02-17 01:15:05.690000 5.911 7.86333 Clear 0 2812.895 71.68 9
2020-02-17 01:15:05.695000 6.055 8.00709 Clear 0 2812.906 71.68 2
2020-02-17 01:15:05.790000 5.749 7.70063 Clear 0 2813.125 71.688 9
2020-02-17 01:15:05.795000 6.116 8.0682 Clear 0 2813.136 71.688 2
2020-02-17 01:15:05.890000 5.819 7.77091 Clear 0 2813.354 71.696 9
2020-02-17 01:15:05.895000 6.013 7.96531 Clear 0 2813.366 71.696 2
2020-02-17 01:15:05.990000 5.657 7.60942 Clear 0 2813.584 71.704 9
2020-02-17 01:15:05.995000 6.006 7.95774 Clear 0 2813.596 71.704 2
2020-02-17 01:15:06.090000 5.744 7.69718 Clear 0 2813.814 71.712 9
2020-02-17 01:15:06.095000 6.241 8.19363 Clear 0 2813.825 71.712 2
2020-02-17 01:15:06.190000 5.707 7.66044 Clear 0 2814.044 71.72 9
2020-02-17 01:15:06.195000 6.049 8.00161 Clear 0 2814.055 71.72 2
2020-02-17 01:15:06.290000 5.702 7.65489 Clear 0 2814.274 71.728 9
2020-02-17 01:15:06.295000 6.158 8.11119 Clear 0 2814.286 71.728 2
2020-02-17 01:15:06.390000 5.745 7.69909 Clear 0 2814.504 71.736 9
2020-02-17 01:15:06.395000 5.974 7.92795 Clear 0 2814.516 71.736 2
2020-02-17 01:15:06.490000 5.673 7.62652 Clear 0 2814.735 71.744 9
2020-02-17 01:15:06.495000 6.311 8.26528 Clear 0 2814.746 71.744 2
2020-02-17 01:15:06.590000 5.59 7.54442 Clear 0 2814.965 71.752 9
2020-02-17 01:15:06.595000 6.024 7.97761 Clear 0 2814.977 71.752 2
2020-02-17 01:15:06.690000 5.687 7.64098 Clear 0 2815.196 71.76 9
2020-02-17 01:15:06.695000 6.206 8.1603 Clear 0 2815.208 71.76 2
2020-02-17 01:15:06.790000 5.669 7.62437 Clear 0 2815.427 71.768 9
2020-02-17 01:15:06.795000 6.093 8.04768 Clear 0 2815.439 71.768 2
2020-02-17 01:15:06.890000 5.787 7.74197 Clear 0 2815.658 71.776 9
2020-02-17 01:15:06.895000 6.055 8.00984 Clear 0 2815.669 71.776 2
2020-02-17 01:15:06.990000 5.733 7.68783 Clear 0 2815.889 71.784 9
2020-02-17 01:15:06.995000 6.221 8.17583 Clear 0 2815.901 71.784 2
2020-02-17 01:15:07.090000 5.906 7.86199 Clear 0 2816.12 71.792 9
