# satellite: 23947 USA 125 DEB / US
# catalogue: 1 NORAD
# track: 4258214
# variability: 2 Periodic
# variability_period: 27.4
# npoints: 1965
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-11-10 02:27:31.527000 5.725 7.77775 Clear 0 3294.83 50.068 3
2014-11-10 02:27:31.627000 5.005 7.05928 Clear 0 3294.963 50.08 3
2014-11-10 02:27:31.727000 4.804 6.85815 Clear 0 3295.097 50.092 3
2014-11-10 02:27:31.827000 4.899 6.95278 Clear 0 3295.23 50.105 3
2014-11-10 02:27:31.927000 5.177 7.23072 Clear 0 3295.364 50.117 3
2014-11-10 02:27:32.027000 5.35 7.40361 Clear 0 3295.498 50.129 3
2014-11-10 02:27:32.127000 5.018 7.07329 Clear 0 3295.632 50.141 3
2014-11-10 02:27:32.227000 4.978 7.03322 Clear 0 3295.766 50.153 3
2014-11-10 02:27:32.327000 5.172 7.22654 Clear 0 3295.9 50.165 3
2014-11-10 02:27:32.427000 5.145 7.20037 Clear 0 3296.034 50.177 3
2014-11-10 02:27:32.527000 5.164 7.21937 Clear 0 3296.168 50.189 3
2014-11-10 02:27:32.627000 4.981 7.0374 Clear 0 3296.303 50.202 3
2014-11-10 02:27:32.727000 5.044 7.09956 Clear 0 3296.437 50.214 3
2014-11-10 02:27:32.827000 5.295 7.35069 Clear 0 3296.572 50.226 3
2014-11-10 02:27:32.927000 5.503 7.55886 Clear 0 3296.707 50.238 3
2014-11-10 02:27:33.027000 5.344 7.40015 Clear 0 3296.842 50.25 3
2014-11-10 02:27:33.127000 5.408 7.46513 Clear 0 3296.977 50.262 3
2014-11-10 02:27:33.227000 5.457 7.51347 Clear 0 3297.112 50.274 3
2014-11-10 02:27:33.327000 5.369 7.42562 Clear 0 3297.247 50.286 3
2014-11-10 02:27:33.427000 5.238 7.2951 Clear 0 3297.382 50.299 3
2014-11-10 02:27:33.527000 5.36 7.41663 Clear 0 3297.518 50.311 3
2014-11-10 02:27:33.627000 5.328 7.38635 Clear 0 3297.653 50.323 3
2014-11-10 02:27:33.727000 5.308 7.36577 Clear 0 3297.789 50.335 3
2014-11-10 02:27:33.827000 5.364 7.42209 Clear 0 3297.925 50.347 3
2014-11-10 02:27:33.927000 5.25 7.30747 Clear 0 3298.061 50.359 3
2014-11-10 02:27:34.027000 5.12 7.17814 Clear 0 3298.197 50.371 3
2014-11-10 02:27:34.127000 5.175 7.23265 Clear 0 3298.333 50.383 3
2014-11-10 02:27:34.227000 5.32 7.37862 Clear 0 3298.469 50.395 3
2014-11-10 02:27:34.327000 5.362 7.42132 Clear 0 3298.605 50.408 3
2014-11-10 02:27:34.427000 5.14 7.1993 Clear 0 3298.742 50.42 3
2014-11-10 02:27:34.527000 5.372 7.43142 Clear 0 3298.879 50.432 3
2014-11-10 02:27:34.627000 5.315 7.37414 Clear 0 3299.015 50.444 3
2014-11-10 02:27:34.727000 5.308 7.36762 Clear 0 3299.152 50.456 3
2014-11-10 02:27:34.827000 5.106 7.16555 Clear 0 3299.289 50.468 3
2014-11-10 02:27:34.927000 5.105 7.16445 Clear 0 3299.426 50.48 3
2014-11-10 02:27:35.027000 5.194 7.25386 Clear 0 3299.563 50.492 3
2014-11-10 02:27:35.127000 5.124 7.18418 Clear 0 3299.701 50.504 3
2014-11-10 02:27:35.227000 5.079 7.1399 Clear 0 3299.838 50.516 3
2014-11-10 02:27:35.327000 4.893 6.95424 Clear 0 3299.975 50.528 3
2014-11-10 02:27:35.427000 5.068 7.12904 Clear 0 3300.113 50.541 3
2014-11-10 02:27:35.527000 5.313 7.37345 Clear 0 3300.251 50.553 3
2014-11-10 02:27:35.627000 5.254 7.31532 Clear 0 3300.389 50.565 3
2014-11-10 02:27:35.727000 5.225 7.28669 Clear 0 3300.527 50.577 3
2014-11-10 02:27:35.827000 5.004 7.06634 Clear 0 3300.665 50.589 3
2014-11-10 02:27:35.927000 4.973 7.03487 Clear 0 3300.803 50.601 3
2014-11-10 02:27:36.027000 4.897 6.95898 Clear 0 3300.941 50.613 3
2014-11-10 02:27:36.127000 4.148 6.2097 Clear 0 3301.08 50.625 3
2014-11-10 02:27:36.227000 4.239 6.30191 Clear 0 3301.218 50.637 3
2014-11-10 02:27:36.327000 5.101 7.16422 Clear 0 3301.357 50.649 3
2014-11-10 02:27:36.427000 4.925 6.98823 Clear 0 3301.496 50.661 3
2014-11-10 02:27:36.527000 4.566 6.62935 Clear 0 3301.634 50.674 3
2014-11-10 02:27:36.627000 4.463 6.52583 Clear 0 3301.773 50.686 3
2014-11-10 02:27:36.727000 4.613 6.67707 Clear 0 3301.912 50.698 3
2014-11-10 02:27:36.827000 3.812 5.87591 Clear 0 3302.052 50.71 3
2014-11-10 02:27:36.927000 4.409 6.47302 Clear 0 3302.191 50.722 3
2014-11-10 02:27:37.027000 5.228 7.29214 Clear 0 3302.33 50.734 3
2014-11-10 02:27:37.127000 5.547 7.61059 Clear 0 3302.47 50.746 3
2014-11-10 02:27:37.227000 5.464 7.5291 Clear 0 3302.61 50.758 3
2014-11-10 02:27:37.327000 5.255 7.32031 Clear 0 3302.749 50.77 3
2014-11-10 02:27:37.427000 5.306 7.37079 Clear 0 3302.889 50.782 3
2014-11-10 02:27:37.527000 4.936 7.00106 Clear 0 3303.029 50.794 3
2014-11-10 02:27:37.627000 5.229 7.29441 Clear 0 3303.169 50.806 3
2014-11-10 02:27:37.727000 5.139 7.20469 Clear 0 3303.31 50.818 3
2014-11-10 02:27:37.827000 4.903 6.96935 Clear 0 3303.45 50.83 3
2014-11-10 02:27:37.927000 4.836 6.90212 Clear 0 3303.59 50.843 3
2014-11-10 02:27:38.027000 5.019 7.08523 Clear 0 3303.731 50.855 3
2014-11-10 02:27:38.127000 4.853 6.91877 Clear 0 3303.872 50.867 3
2014-11-10 02:27:38.227000 5.042 7.10872 Clear 0 3304.012 50.879 3
2014-11-10 02:27:38.327000 5.168 7.23445 Clear 0 3304.153 50.891 3
2014-11-10 02:27:38.427000 5.213 7.28041 Clear 0 3304.294 50.903 3
2014-11-10 02:27:38.527000 5.31 7.37713 Clear 0 3304.435 50.915 3
2014-11-10 02:27:38.627000 5.24 7.30694 Clear 0 3304.577 50.927 3
2014-11-10 02:27:38.727000 5.319 7.38716 Clear 0 3304.718 50.939 3
2014-11-10 02:27:38.827000 5.221 7.28865 Clear 0 3304.859 50.951 3
2014-11-10 02:27:38.927000 5.312 7.37986 Clear 0 3305.001 50.963 3
2014-11-10 02:27:39.027000 5.502 7.57 Clear 0 3305.143 50.975 3
2014-11-10 02:27:39.127000 5.359 7.4269 Clear 0 3305.285 50.987 3
2014-11-10 02:27:39.227000 5.205 7.2741 Clear 0 3305.426 50.999 3
2014-11-10 02:27:39.327000 5.176 7.24536 Clear 0 3305.568 51.011 3
2014-11-10 02:27:39.427000 5.286 7.35514 Clear 0 3305.711 51.023 3
2014-11-10 02:27:39.527000 5.241 7.30992 Clear 0 3305.853 51.035 3
2014-11-10 02:27:39.627000 5.276 7.34543 Clear 0 3305.995 51.047 3
2014-11-10 02:27:39.727000 5.199 7.26848 Clear 0 3306.138 51.06 3
2014-11-10 02:27:39.827000 5.498 7.5682 Clear 0 3306.28 51.072 3
2014-11-10 02:27:39.927000 5.329 7.39858 Clear 0 3306.423 51.084 3
2014-11-10 02:27:40.027000 5.301 7.37071 Clear 0 3306.566 51.096 3
2014-11-10 02:27:40.127000 5.334 7.40459 Clear 0 3306.709 51.108 3
2014-11-10 02:27:40.227000 5.503 7.57352 Clear 0 3306.852 51.12 3
2014-11-10 02:27:40.327000 5.144 7.21516 Clear 0 3306.995 51.132 3
2014-11-10 02:27:40.427000 5.153 7.22386 Clear 0 3307.138 51.144 3
2014-11-10 02:27:40.527000 5.149 7.21962 Clear 0 3307.281 51.156 3
2014-11-10 02:27:40.627000 5.609 7.68141 Clear 0 3307.425 51.168 3
2014-11-10 02:27:40.727000 5.418 7.4902 Clear 0 3307.569 51.18 3
2014-11-10 02:27:40.827000 5.004 7.0757 Clear 0 3307.712 51.192 3
2014-11-10 02:27:40.927000 4.702 6.77424 Clear 0 3307.856 51.204 3
2014-11-10 02:27:41.027000 4.243 6.3147 Clear 0 3308.0 51.216 3
2014-11-10 02:27:41.127000 4.444 6.51714 Clear 0 3308.144 51.228 3
2014-11-10 02:27:41.227000 4.481 6.55367 Clear 0 3308.288 51.24 3
2014-11-10 02:27:41.327000 4.399 6.47157 Clear 0 3308.432 51.252 3
2014-11-10 02:27:41.427000 4.964 7.03689 Clear 0 3308.577 51.264 3
