# satellite: 24921 PEGASUS R/B / US
# catalogue: 1 NORAD
# track: 2896637
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 860
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-10-10 16:38:24.078000 6.61 7.31582 Clear 0 1271.086 98.898 7
2014-10-10 16:38:24.178000 6.555 7.25959 Clear 0 1270.579 98.891 7
2014-10-10 16:38:24.278000 6.669 7.37344 Clear 0 1270.073 98.885 7
2014-10-10 16:38:24.378000 6.767 7.4701 Clear 0 1269.566 98.878 7
2014-10-10 16:38:24.478000 6.581 7.28279 Clear 0 1269.06 98.872 7
2014-10-10 16:38:24.578000 6.71 7.4107 Clear 0 1268.553 98.866 7
2014-10-10 16:38:24.678000 6.604 7.30369 Clear 0 1268.047 98.859 7
2014-10-10 16:38:24.778000 6.592 7.29094 Clear 0 1267.541 98.853 7
2014-10-10 16:38:24.878000 6.711 7.40939 Clear 0 1267.035 98.847 7
2014-10-10 16:38:24.978000 6.761 7.45773 Clear 0 1266.53 98.84 7
2014-10-10 16:38:25.078000 6.744 7.43966 Clear 0 1266.024 98.834 7
2014-10-10 16:38:25.178000 6.525 7.2195 Clear 0 1265.519 98.827 7
2014-10-10 16:38:25.278000 6.802 7.49583 Clear 0 1265.014 98.821 7
2014-10-10 16:38:25.378000 6.502 7.19449 Clear 0 1264.509 98.814 7
2014-10-10 16:38:25.478000 6.889 7.58098 Clear 0 1264.004 98.808 7
2014-10-10 16:38:25.578000 6.686 7.37716 Clear 0 1263.499 98.802 7
2014-10-10 16:38:25.678000 6.788 7.47773 Clear 0 1262.995 98.795 7
2014-10-10 16:38:25.778000 6.672 7.36058 Clear 0 1262.491 98.789 7
2014-10-10 16:38:25.878000 6.556 7.24363 Clear 0 1261.986 98.782 7
2014-10-10 16:38:25.978000 6.709 7.39583 Clear 0 1261.482 98.776 7
2014-10-10 16:38:26.078000 6.882 7.56784 Clear 0 1260.979 98.769 7
2014-10-10 16:38:26.178000 6.682 7.36704 Clear 0 1260.475 98.763 7
2014-10-10 16:38:26.278000 6.676 7.36018 Clear 0 1259.971 98.756 7
2014-10-10 16:38:26.378000 6.719 7.40148 Clear 0 1259.468 98.75 7
2014-10-10 16:38:26.478000 6.798 7.48032 Clear 0 1258.965 98.743 7
2014-10-10 16:38:26.578000 6.616 7.29717 Clear 0 1258.462 98.737 7
2014-10-10 16:38:26.678000 6.767 7.44684 Clear 0 1257.959 98.73 7
2014-10-10 16:38:26.778000 6.81 7.48918 Clear 0 1257.456 98.724 7
2014-10-10 16:38:26.878000 6.74 7.41798 Clear 0 1256.954 98.717 7
2014-10-10 16:38:26.978000 6.698 7.37534 Clear 0 1256.452 98.711 7
2014-10-10 16:38:27.078000 6.69 7.36605 Clear 0 1255.95 98.704 7
2014-10-10 16:38:27.178000 6.899 7.57368 Clear 0 1255.448 98.698 7
2014-10-10 16:38:27.278000 6.848 7.52207 Clear 0 1254.946 98.691 7
2014-10-10 16:38:27.378000 6.917 7.59008 Clear 0 1254.444 98.685 7
2014-10-10 16:38:27.478000 6.907 7.57934 Clear 0 1253.943 98.678 7
2014-10-10 16:38:27.578000 6.76 7.43086 Clear 0 1253.441 98.672 7
2014-10-10 16:38:27.678000 6.873 7.54297 Clear 0 1252.94 98.665 7
2014-10-10 16:38:27.778000 6.695 7.36349 Clear 0 1252.439 98.659 7
2014-10-10 16:38:27.878000 6.563 7.22985 Clear 0 1251.938 98.652 7
2014-10-10 16:38:27.978000 6.692 7.35808 Clear 0 1251.438 98.645 7
2014-10-10 16:38:28.078000 6.73 7.39532 Clear 0 1250.937 98.639 7
2014-10-10 16:38:28.178000 6.894 7.5579 Clear 0 1250.437 98.632 7
2014-10-10 16:38:28.378000 6.783 7.44535 Clear 0 1249.437 98.619 7
2014-10-10 16:38:28.478000 6.946 7.6065 Clear 0 1248.937 98.613 7
2014-10-10 16:38:28.578000 6.835 7.49447 Clear 0 1248.438 98.606 7
2014-10-10 16:38:28.678000 6.737 7.39574 Clear 0 1247.938 98.599 7
2014-10-10 16:38:28.778000 6.752 7.41037 Clear 0 1247.439 98.593 7
2014-10-10 16:38:28.878000 6.647 7.30416 Clear 0 1246.94 98.586 7
2014-10-10 16:38:28.978000 7.14 7.79607 Clear 0 1246.441 98.58 7
2014-10-10 16:38:29.078000 6.662 7.31697 Clear 0 1245.942 98.573 7
2014-10-10 16:38:29.178000 7.069 7.7225 Clear 0 1245.444 98.566 7
2014-10-10 16:38:29.278000 6.813 7.46547 Clear 0 1244.945 98.56 7
2014-10-10 16:38:29.378000 6.648 7.29992 Clear 0 1244.447 98.553 7
2014-10-10 16:38:29.478000 6.916 7.56735 Clear 0 1243.949 98.546 7
2014-10-10 16:38:29.578000 6.842 7.49159 Clear 0 1243.451 98.54 7
2014-10-10 16:38:29.678000 6.942 7.59112 Clear 0 1242.954 98.533 7
2014-10-10 16:38:29.778000 6.759 7.40659 Clear 0 1242.456 98.526 7
2014-10-10 16:38:29.878000 6.873 7.52026 Clear 0 1241.959 98.52 7
2014-10-10 16:38:29.978000 6.728 7.37358 Clear 0 1241.462 98.513 7
2014-10-10 16:38:30.078000 6.986 7.63137 Clear 0 1240.965 98.506 7
2014-10-10 16:38:30.178000 6.822 7.46616 Clear 0 1240.468 98.5 7
2014-10-10 16:38:30.278000 6.829 7.47188 Clear 0 1239.971 98.493 7
2014-10-10 16:38:30.378000 6.875 7.51655 Clear 0 1239.475 98.486 7
2014-10-10 16:38:30.478000 6.764 7.40515 Clear 0 1238.978 98.48 7
2014-10-10 16:38:30.578000 6.838 7.47773 Clear 0 1238.482 98.473 7
2014-10-10 16:38:30.678000 7.151 7.78972 Clear 0 1237.986 98.466 7
2014-10-10 16:38:30.778000 6.751 7.38907 Clear 0 1237.49 98.46 7
2014-10-10 16:38:30.878000 6.642 7.27922 Clear 0 1236.995 98.453 7
2014-10-10 16:38:30.978000 6.879 7.51541 Clear 0 1236.499 98.446 7
2014-10-10 16:38:31.078000 6.833 7.46769 Clear 0 1236.004 98.439 7
2014-10-10 16:38:31.178000 6.867 7.50141 Clear 0 1235.509 98.433 7
2014-10-10 16:38:31.278000 6.869 7.50151 Clear 0 1235.014 98.426 7
2014-10-10 16:38:31.378000 6.819 7.4514 Clear 0 1234.52 98.419 7
2014-10-10 16:38:31.478000 6.838 7.46916 Clear 0 1234.025 98.412 7
2014-10-10 16:38:31.578000 7.082 7.71218 Clear 0 1233.531 98.406 7
2014-10-10 16:38:31.678000 6.875 7.50395 Clear 0 1233.037 98.399 7
2014-10-10 16:38:31.778000 6.717 7.34504 Clear 0 1232.543 98.392 7
2014-10-10 16:38:31.878000 6.875 7.50186 Clear 0 1232.049 98.385 7
2014-10-10 16:38:31.978000 6.785 7.41056 Clear 0 1231.555 98.379 7
2014-10-10 16:38:32.078000 6.782 7.40654 Clear 0 1231.062 98.372 7
2014-10-10 16:38:32.178000 6.884 7.50759 Clear 0 1230.568 98.365 7
2014-10-10 16:38:32.278000 7.029 7.65241 Clear 0 1230.075 98.358 7
2014-10-10 16:38:32.378000 6.94 7.56195 Clear 0 1229.582 98.351 7
2014-10-10 16:38:32.478000 6.864 7.48459 Clear 0 1229.09 98.345 7
2014-10-10 16:38:32.578000 6.865 7.48503 Clear 0 1228.597 98.338 7
2014-10-10 16:38:32.678000 6.882 7.50127 Clear 0 1228.105 98.331 7
2014-10-10 16:38:32.778000 6.846 7.46386 Clear 0 1227.612 98.324 7
2014-10-10 16:38:32.878000 6.893 7.50993 Clear 0 1227.12 98.317 7
2014-10-10 16:38:32.978000 6.876 7.49212 Clear 0 1226.629 98.311 7
2014-10-10 16:38:33.078000 6.972 7.58724 Clear 0 1226.137 98.304 7
2014-10-10 16:38:33.178000 6.75 7.36406 Clear 0 1225.646 98.297 7
2014-10-10 16:38:33.278000 6.908 7.52112 Clear 0 1225.154 98.29 7
2014-10-10 16:38:33.378000 7.113 7.72512 Clear 0 1224.663 98.283 7
2014-10-10 16:38:33.478000 6.916 7.52741 Clear 0 1224.172 98.276 7
2014-10-10 16:38:33.578000 6.914 7.52375 Clear 0 1223.681 98.269 7
2014-10-10 16:38:33.678000 7.087 7.69506 Clear 0 1223.191 98.263 7
2014-10-10 16:38:33.778000 6.938 7.54523 Clear 0 1222.701 98.256 7
2014-10-10 16:38:33.878000 6.883 7.48857 Clear 0 1222.21 98.249 7
2014-10-10 16:38:33.978000 6.956 7.56104 Clear 0 1221.72 98.242 7
2014-10-10 16:38:34.078000 6.827 7.43132 Clear 0 1221.23 98.235 7
2014-10-10 16:38:34.178000 6.918 7.52097 Clear 0 1220.741 98.228 7
2014-10-10 16:38:34.278000 6.976 7.57773 Clear 0 1220.251 98.221 7
2014-10-10 16:38:34.378000 6.905 7.50602 Clear 0 1219.762 98.214 7
2014-10-10 16:38:34.478000 6.744 7.34375 Clear 0 1219.273 98.207 7
2014-10-10 16:38:34.578000 6.797 7.39617 Clear 0 1218.784 98.201 7
2014-10-10 16:38:34.678000 6.816 7.41411 Clear 0 1218.295 98.194 7
2014-10-10 16:38:34.778000 6.653 7.24978 Clear 0 1217.807 98.187 7
2014-10-10 16:38:34.878000 6.795 7.39122 Clear 0 1217.319 98.18 7
2014-10-10 16:38:34.978000 6.946 7.54077 Clear 0 1216.83 98.173 7
2014-10-10 16:38:35.078000 6.912 7.50617 Clear 0 1216.342 98.166 7
2014-10-10 16:38:35.178000 6.909 7.50228 Clear 0 1215.855 98.159 7
2014-10-10 16:38:35.278000 6.91 7.50187 Clear 0 1215.367 98.152 7
2014-10-10 16:38:35.378000 6.98 7.57094 Clear 0 1214.88 98.145 7
2014-10-10 16:38:35.478000 6.895 7.48479 Clear 0 1214.392 98.138 7
2014-10-10 16:38:35.578000 7.005 7.59359 Clear 0 1213.905 98.131 7
2014-10-10 16:38:35.678000 6.94 7.52824 Clear 0 1213.418 98.124 7
2014-10-10 16:38:35.778000 7.109 7.69596 Clear 0 1212.932 98.117 7
2014-10-10 16:38:35.878000 6.969 7.55498 Clear 0 1212.445 98.11 7
2014-10-10 16:38:35.978000 7.111 7.69572 Clear 0 1211.959 98.103 7
2014-10-10 16:38:36.078000 6.935 7.51892 Clear 0 1211.473 98.096 7
2014-10-10 16:38:36.178000 6.888 7.4713 Clear 0 1210.987 98.089 7
2014-10-10 16:38:36.278000 6.835 7.4171 Clear 0 1210.501 98.082 7
2014-10-10 16:38:36.378000 7.108 7.6887 Clear 0 1210.016 98.075 7
2014-10-10 16:38:36.478000 7.07 7.64969 Clear 0 1209.53 98.068 7
2014-10-10 16:38:36.578000 6.959 7.53811 Clear 0 1209.045 98.061 7
2014-10-10 16:38:36.678000 6.917 7.49493 Clear 0 1208.56 98.054 7
2014-10-10 16:38:36.778000 6.933 7.51044 Clear 0 1208.075 98.047 7
2014-10-10 16:38:36.878000 6.841 7.41673 Clear 0 1207.591 98.04 7
2014-10-10 16:38:36.978000 7.138 7.71338 Clear 0 1207.106 98.033 7
2014-10-10 16:38:37.078000 6.873 7.44735 Clear 0 1206.622 98.026 7
2014-10-10 16:38:37.178000 7.097 7.67008 Clear 0 1206.138 98.019 7
2014-10-10 16:38:37.278000 7.017 7.58877 Clear 0 1205.654 98.012 7
2014-10-10 16:38:37.378000 6.933 7.50394 Clear 0 1205.171 98.005 7
2014-10-10 16:38:37.478000 6.7 7.26989 Clear 0 1204.687 97.997 7
2014-10-10 16:38:37.578000 7.067 7.63626 Clear 0 1204.204 97.99 7
2014-10-10 16:38:37.678000 7.187 7.75507 Clear 0 1203.721 97.983 7
2014-10-10 16:38:37.778000 6.951 7.51825 Clear 0 1203.238 97.976 7
2014-10-10 16:38:37.878000 6.797 7.36202 Clear 0 1202.755 97.969 7
2014-10-10 16:38:37.978000 7.016 7.5799 Clear 0 1202.273 97.962 7
2014-10-10 16:38:38.078000 7.071 7.63359 Clear 0 1201.791 97.955 7
2014-10-10 16:38:38.178000 7.272 7.83411 Clear 0 1201.308 97.948 7
2014-10-10 16:38:38.278000 7.222 7.78266 Clear 0 1200.827 97.941 7
2014-10-10 16:38:38.378000 7.029 7.58866 Clear 0 1200.345 97.933 7
2014-10-10 16:38:38.478000 7.174 7.73269 Clear 0 1199.863 97.926 7
2014-10-10 16:38:38.578000 7.098 7.65606 Clear 0 1199.382 97.919 7
2014-10-10 16:38:38.678000 7.079 7.63586 Clear 0 1198.901 97.912 7
2014-10-10 16:38:38.778000 7.084 7.63958 Clear 0 1198.42 97.905 7
2014-10-10 16:38:38.878000 6.981 7.53545 Clear 0 1197.939 97.898 7
2014-10-10 16:38:38.978000 6.744 7.29807 Clear 0 1197.459 97.891 7
2014-10-10 16:38:39.078000 7.111 7.66369 Clear 0 1196.978 97.883 7
2014-10-10 16:38:39.178000 6.98 7.53223 Clear 0 1196.498 97.876 7
2014-10-10 16:38:39.278000 7.039 7.59008 Clear 0 1196.018 97.869 7
2014-10-10 16:38:39.378000 6.89 7.43987 Clear 0 1195.538 97.862 7
2014-10-10 16:38:39.478000 7.01 7.55896 Clear 0 1195.059 97.855 7
2014-10-10 16:38:39.578000 7.043 7.59139 Clear 0 1194.579 97.847 7
2014-10-10 16:38:39.678000 7.025 7.57218 Clear 0 1194.1 97.84 7
2014-10-10 16:38:39.778000 6.938 7.48354 Clear 0 1193.621 97.833 7
2014-10-10 16:38:39.878000 7.041 7.58609 Clear 0 1193.142 97.826 7
2014-10-10 16:38:39.978000 6.976 7.51974 Clear 0 1192.664 97.819 7
2014-10-10 16:38:40.078000 7.224 7.76695 Clear 0 1192.186 97.811 7
2014-10-10 16:38:40.178000 7.062 7.60378 Clear 0 1191.707 97.804 7
