# satellite: 24921 PEGASUS R/B / US
# catalogue: 1 NORAD
# track: 5840785
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 634
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-01-24 02:51:00.248000 6.879 6.53103 Clear 0 845.983 90.685 1
2015-01-24 02:51:00.348000 6.871 6.52442 Clear 0 846.11 90.713 1
2015-01-24 02:51:00.448000 6.917 6.57062 Clear 0 846.237 90.74 1
2015-01-24 02:51:00.548000 6.883 6.53778 Clear 0 846.365 90.768 1
2015-01-24 02:51:00.648000 6.865 6.52084 Clear 0 846.493 90.796 1
2015-01-24 02:51:00.748000 6.851 6.50815 Clear 0 846.622 90.824 1
2015-01-24 02:51:00.848000 6.92 6.5776 Clear 0 846.751 90.852 1
2015-01-24 02:51:00.948000 6.869 6.52703 Clear 0 846.881 90.88 1
2015-01-24 02:51:01.048000 6.871 6.52971 Clear 0 847.012 90.907 1
2015-01-24 02:51:01.148000 6.827 6.48721 Clear 0 847.143 90.935 1
2015-01-24 02:51:01.248000 6.911 6.57187 Clear 0 847.274 90.963 1
2015-01-24 02:51:01.348000 6.686 6.34762 Clear 0 847.406 90.991 1
2015-01-24 02:51:01.448000 6.732 6.39483 Clear 0 847.539 91.019 1
2015-01-24 02:51:01.548000 6.759 6.42303 Clear 0 847.672 91.046 1
2015-01-24 02:51:01.648000 6.778 6.44264 Clear 0 847.805 91.074 1
2015-01-24 02:51:01.748000 6.767 6.43196 Clear 0 847.94 91.102 1
2015-01-24 02:51:01.848000 6.685 6.35101 Clear 0 848.074 91.13 1
2015-01-24 02:51:01.948000 6.623 6.29007 Clear 0 848.209 91.157 1
2015-01-24 02:51:02.048000 6.769 6.43652 Clear 0 848.345 91.185 1
2015-01-24 02:51:02.148000 6.802 6.4706 Clear 0 848.481 91.213 1
2015-01-24 02:51:02.248000 6.607 6.27682 Clear 0 848.618 91.241 1
2015-01-24 02:51:02.348000 6.778 6.44877 Clear 0 848.756 91.268 1
2015-01-24 02:51:02.448000 6.679 6.35114 Clear 0 848.894 91.296 1
2015-01-24 02:51:02.548000 6.737 6.41003 Clear 0 849.032 91.324 1
2015-01-24 02:51:02.648000 6.65 6.32264 Clear 0 849.171 91.351 1
2015-01-24 02:51:02.748000 6.734 6.40839 Clear 0 849.31 91.379 1
2015-01-24 02:51:02.848000 6.706 6.38092 Clear 0 849.45 91.407 1
2015-01-24 02:51:02.948000 6.645 6.32077 Clear 0 849.591 91.435 1
2015-01-24 02:51:03.048000 6.572 6.24909 Clear 0 849.732 91.462 1
2015-01-24 02:51:03.148000 6.659 6.33673 Clear 0 849.874 91.49 1
2015-01-24 02:51:03.248000 6.747 6.42635 Clear 0 850.016 91.517 1
2015-01-24 02:51:03.348000 6.694 6.3741 Clear 0 850.158 91.545 1
2015-01-24 02:51:03.448000 6.698 6.37856 Clear 0 850.302 91.573 1
2015-01-24 02:51:03.548000 6.754 6.43562 Clear 0 850.445 91.6 1
2015-01-24 02:51:03.648000 6.712 6.39427 Clear 0 850.59 91.628 1
2015-01-24 02:51:03.748000 6.627 6.31026 Clear 0 850.734 91.656 1
2015-01-24 02:51:03.848000 6.71 6.39415 Clear 0 850.88 91.683 1
2015-01-24 02:51:03.948000 6.61 6.29469 Clear 0 851.026 91.711 1
2015-01-24 02:51:04.048000 6.707 6.39251 Clear 0 851.172 91.738 1
2015-01-24 02:51:04.148000 6.634 6.32128 Clear 0 851.319 91.766 1
2015-01-24 02:51:04.248000 6.571 6.25868 Clear 0 851.466 91.793 1
2015-01-24 02:51:04.348000 6.753 6.44146 Clear 0 851.614 91.821 1
2015-01-24 02:51:04.448000 6.734 6.42397 Clear 0 851.763 91.849 1
2015-01-24 02:51:04.548000 6.668 6.35924 Clear 0 851.912 91.876 1
2015-01-24 02:51:04.648000 6.641 6.33312 Clear 0 852.061 91.904 1
2015-01-24 02:51:04.748000 6.635 6.32843 Clear 0 852.211 91.931 1
2015-01-24 02:51:04.848000 6.684 6.37743 Clear 0 852.362 91.959 1
2015-01-24 02:51:04.948000 6.605 6.29911 Clear 0 852.513 91.986 1
2015-01-24 02:51:05.048000 6.699 6.39389 Clear 0 852.665 92.014 1
2015-01-24 02:51:05.148000 6.615 6.31091 Clear 0 852.817 92.041 1
2015-01-24 02:51:05.248000 6.616 6.31289 Clear 0 852.969 92.068 1
2015-01-24 02:51:05.348000 6.72 6.41832 Clear 0 853.123 92.096 1
2015-01-24 02:51:05.448000 6.689 6.38786 Clear 0 853.276 92.123 1
2015-01-24 02:51:05.548000 6.679 6.37898 Clear 0 853.431 92.151 1
2015-01-24 02:51:05.648000 6.689 6.3895 Clear 0 853.585 92.178 1
2015-01-24 02:51:05.748000 6.653 6.35538 Clear 0 853.741 92.206 1
2015-01-24 02:51:05.848000 6.602 6.30455 Clear 0 853.897 92.233 1
2015-01-24 02:51:05.948000 6.659 6.36299 Clear 0 854.053 92.261 1
2015-01-24 02:51:06.048000 6.665 6.36954 Clear 0 854.21 92.288 1
2015-01-24 02:51:06.148000 6.709 6.41515 Clear 0 854.367 92.315 1
2015-01-24 02:51:06.248000 6.591 6.29778 Clear 0 854.525 92.343 1
2015-01-24 02:51:06.348000 6.644 6.3511 Clear 0 854.683 92.37 1
2015-01-24 02:51:06.448000 6.606 6.31393 Clear 0 854.842 92.397 1
2015-01-24 02:51:06.548000 6.651 6.36012 Clear 0 855.002 92.425 1
2015-01-24 02:51:06.648000 6.667 6.37688 Clear 0 855.162 92.452 1
2015-01-24 02:51:06.748000 6.684 6.39468 Clear 0 855.322 92.479 1
2015-01-24 02:51:06.848000 6.645 6.35697 Clear 0 855.483 92.507 1
2015-01-24 02:51:06.948000 6.581 6.29437 Clear 0 855.645 92.534 1
2015-01-24 02:51:07.048000 6.728 6.44167 Clear 0 855.807 92.561 1
2015-01-24 02:51:07.148000 6.659 6.37432 Clear 0 855.97 92.589 1
2015-01-24 02:51:07.248000 6.564 6.27961 Clear 0 856.133 92.616 1
2015-01-24 02:51:07.348000 6.591 6.30786 Clear 0 856.296 92.643 1
2015-01-24 02:51:07.448000 6.603 6.32058 Clear 0 856.461 92.67 1
2015-01-24 02:51:07.548000 6.644 6.36288 Clear 0 856.625 92.698 1
2015-01-24 02:51:07.648000 6.705 6.42451 Clear 0 856.79 92.725 1
2015-01-24 02:51:07.748000 6.745 6.46571 Clear 0 856.956 92.752 1
2015-01-24 02:51:07.848000 6.608 6.32964 Clear 0 857.122 92.779 1
2015-01-24 02:51:07.948000 6.676 6.39851 Clear 0 857.289 92.807 1
2015-01-24 02:51:08.048000 6.613 6.33722 Clear 0 857.456 92.834 1
2015-01-24 02:51:08.148000 6.643 6.36837 Clear 0 857.624 92.861 1
2015-01-24 02:51:08.248000 6.69 6.41587 Clear 0 857.792 92.888 1
2015-01-24 02:51:08.348000 6.684 6.41135 Clear 0 857.961 92.915 1
2015-01-24 02:51:08.448000 6.596 6.32434 Clear 0 858.13 92.942 1
2015-01-24 02:51:08.548000 6.683 6.41175 Clear 0 858.3 92.97 1
2015-01-24 02:51:08.648000 6.662 6.392 Clear 0 858.471 92.997 1
2015-01-24 02:51:08.748000 6.627 6.35744 Clear 0 858.641 93.024 1
2015-01-24 02:51:08.848000 6.586 6.31734 Clear 0 858.813 93.051 1
2015-01-24 02:51:08.948000 6.601 6.33289 Clear 0 858.985 93.078 1
2015-01-24 02:51:09.048000 6.707 6.43979 Clear 0 859.157 93.105 1
2015-01-24 02:51:09.148000 6.657 6.39081 Clear 0 859.33 93.132 1
2015-01-24 02:51:09.248000 6.702 6.43679 Clear 0 859.503 93.159 1
2015-01-24 02:51:09.348000 6.655 6.39049 Clear 0 859.677 93.186 1
2015-01-24 02:51:09.448000 6.644 6.38139 Clear 0 859.852 93.213 1
2015-01-24 02:51:09.548000 6.609 6.34669 Clear 0 860.027 93.24 1
2015-01-24 02:51:09.648000 6.67 6.40873 Clear 0 860.202 93.267 1
2015-01-24 02:51:09.748000 6.596 6.33598 Clear 0 860.378 93.295 1
2015-01-24 02:51:09.848000 6.703 6.44407 Clear 0 860.555 93.322 1
2015-01-24 02:51:09.948000 6.659 6.4012 Clear 0 860.732 93.349 1
2015-01-24 02:51:10.048000 6.522 6.26497 Clear 0 860.909 93.376 1
2015-01-24 02:51:10.148000 6.66 6.40345 Clear 0 861.087 93.402 1
2015-01-24 02:51:10.248000 6.615 6.3598 Clear 0 861.266 93.429 1
2015-01-24 02:51:10.348000 6.608 6.35385 Clear 0 861.445 93.456 1
2015-01-24 02:51:10.448000 6.677 6.42372 Clear 0 861.624 93.483 1
2015-01-24 02:51:10.548000 6.664 6.41156 Clear 0 861.804 93.51 1
2015-01-24 02:51:10.648000 6.599 6.34839 Clear 0 861.985 93.537 1
2015-01-24 02:51:10.748000 6.637 6.38656 Clear 0 862.166 93.564 1
2015-01-24 02:51:10.848000 6.618 6.36917 Clear 0 862.348 93.591 1
2015-01-24 02:51:10.948000 6.685 6.4371 Clear 0 862.53 93.618 1
2015-01-24 02:51:11.048000 6.612 6.36459 Clear 0 862.712 93.645 1
2015-01-24 02:51:11.148000 6.638 6.3921 Clear 0 862.895 93.672 1
2015-01-24 02:51:11.248000 6.636 6.39131 Clear 0 863.079 93.698 1
2015-01-24 02:51:11.348000 6.578 6.33374 Clear 0 863.263 93.725 1
2015-01-24 02:51:11.448000 6.638 6.39541 Clear 0 863.448 93.752 1
2015-01-24 02:51:11.548000 6.676 6.43365 Clear 0 863.633 93.779 1
2015-01-24 02:51:11.648000 6.632 6.39068 Clear 0 863.819 93.806 1
2015-01-24 02:51:11.748000 6.533 6.2925 Clear 0 864.005 93.833 1
2015-01-24 02:51:11.848000 6.589 6.35007 Clear 0 864.191 93.859 1
2015-01-24 02:51:11.948000 6.611 6.37289 Clear 0 864.379 93.886 1
2015-01-24 02:51:12.048000 6.649 6.41212 Clear 0 864.566 93.913 1
2015-01-24 02:51:12.148000 6.547 6.31136 Clear 0 864.754 93.94 1
2015-01-24 02:51:12.248000 6.567 6.33202 Clear 0 864.943 93.966 1
2015-01-24 02:51:12.348000 6.617 6.38263 Clear 0 865.132 93.993 1
2015-01-24 02:51:12.448000 6.539 6.30601 Clear 0 865.322 94.02 1
2015-01-24 02:51:12.548000 6.563 6.33098 Clear 0 865.512 94.047 1
2015-01-24 02:51:12.648000 6.563 6.33202 Clear 0 865.703 94.073 1
2015-01-24 02:51:12.748000 6.613 6.38334 Clear 0 865.894 94.1 1
2015-01-24 02:51:12.848000 6.504 6.27485 Clear 0 866.085 94.127 1
2015-01-24 02:51:12.948000 6.66 6.43214 Clear 0 866.278 94.153 1
2015-01-24 02:51:13.048000 6.623 6.39727 Clear 0 866.47 94.18 1
2015-01-24 02:51:13.148000 6.563 6.33843 Clear 0 866.663 94.207 1
2015-01-24 02:51:13.248000 6.663 6.43933 Clear 0 866.857 94.233 1
2015-01-24 02:51:13.348000 6.602 6.37932 Clear 0 867.051 94.26 1
2015-01-24 02:51:13.448000 6.5 6.27828 Clear 0 867.246 94.286 1
2015-01-24 02:51:13.548000 6.508 6.28742 Clear 0 867.441 94.313 1
2015-01-24 02:51:13.648000 6.684 6.4636 Clear 0 867.637 94.34 1
2015-01-24 02:51:13.748000 6.589 6.36973 Clear 0 867.833 94.366 1
