# satellite: 24948 IRIDIUM 28 / US
# catalogue: 1 NORAD
# track: 4149258
# variability: 2 Periodic
# variability_period: 24.943174088
# npoints: 589
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-11-08 03:01:17.403000 4.954 5.47372 Clear 0 1098.417 104.547 1
2014-11-08 03:01:17.503000 5.044 5.56424 Clear 0 1098.106 104.565 1
2014-11-08 03:01:17.603000 5.017 5.53681 Clear 0 1097.795 104.582 1
2014-11-08 03:01:17.703000 5.078 5.59746 Clear 0 1097.485 104.6 1
2014-11-08 03:01:17.803000 5.205 5.72544 Clear 0 1097.175 104.617 1
2014-11-08 03:01:17.903000 5.124 5.64383 Clear 0 1096.866 104.634 1
2014-11-08 03:01:18.003000 5.2 5.71869 Clear 0 1096.556 104.652 1
2014-11-08 03:01:18.103000 5.199 5.71747 Clear 0 1096.248 104.669 1
2014-11-08 03:01:18.203000 5.237 5.75549 Clear 0 1095.939 104.687 1
2014-11-08 03:01:18.303000 5.117 5.63548 Clear 0 1095.631 104.704 1
2014-11-08 03:01:18.403000 5.253 5.77181 Clear 0 1095.323 104.722 1
2014-11-08 03:01:18.503000 5.306 5.82419 Clear 0 1095.016 104.739 1
2014-11-08 03:01:18.603000 5.269 5.78705 Clear 0 1094.709 104.757 1
2014-11-08 03:01:18.703000 5.173 5.69117 Clear 0 1094.402 104.774 1
2014-11-08 03:01:18.803000 5.127 5.64539 Clear 0 1094.095 104.791 1
2014-11-08 03:01:18.903000 5.068 5.58634 Clear 0 1093.789 104.809 1
2014-11-08 03:01:19.003000 4.819 5.33692 Clear 0 1093.484 104.826 1
2014-11-08 03:01:19.103000 4.77 5.28675 Clear 0 1093.179 104.844 1
2014-11-08 03:01:19.203000 4.649 5.16598 Clear 0 1092.874 104.862 1
2014-11-08 03:01:19.303000 4.604 5.12106 Clear 0 1092.569 104.879 1
2014-11-08 03:01:19.403000 4.682 5.19942 Clear 0 1092.265 104.897 1
2014-11-08 03:01:19.503000 4.802 5.31869 Clear 0 1091.961 104.914 1
2014-11-08 03:01:19.603000 5.128 5.64477 Clear 0 1091.658 104.932 1
2014-11-08 03:01:19.703000 5.414 5.93033 Clear 0 1091.354 104.949 1
2014-11-08 03:01:19.803000 5.558 6.0742 Clear 0 1091.052 104.967 1
2014-11-08 03:01:19.903000 5.587 6.10316 Clear 0 1090.749 104.984 1
2014-11-08 03:01:20.003000 5.723 6.23924 Clear 0 1090.447 105.002 1
2014-11-08 03:01:20.103000 5.808 6.3236 Clear 0 1090.146 105.019 1
