# satellite: 24948 IRIDIUM 28 / US
# catalogue: 1 NORAD
# track: 7598672
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 293
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-04-29 00:49:22.534000 6.249 6.47212 Clear 0 1425.723 48.783 7
2015-04-29 00:49:22.634000 6.06 6.28344 Clear 0 1425.746 48.813 7
2015-04-29 00:49:22.734000 6.105 6.32934 Clear 0 1425.771 48.842 7
2015-04-29 00:49:22.834000 6.015 6.23863 Clear 0 1425.795 48.872 7
2015-04-29 00:49:22.934000 6.077 6.30064 Clear 0 1425.82 48.901 7
2015-04-29 00:49:23.034000 5.966 6.19098 Clear 0 1425.846 48.931 7
2015-04-29 00:49:23.134000 5.903 6.1281 Clear 0 1425.871 48.96 7
2015-04-29 00:49:23.234000 5.854 6.07845 Clear 0 1425.897 48.99 7
2015-04-29 00:49:23.334000 5.761 5.98675 Clear 0 1425.924 49.019 7
2015-04-29 00:49:23.434000 5.734 5.95958 Clear 0 1425.95 49.049 7
2015-04-29 00:49:23.534000 5.719 5.94487 Clear 0 1425.977 49.078 7
2015-04-29 00:49:23.634000 5.424 5.65019 Clear 0 1426.004 49.107 7
2015-04-29 00:49:23.734000 4.195 4.42176 Clear 0 1426.032 49.137 7
2015-04-29 00:49:23.834000 4.407 4.63442 Clear 0 1426.06 49.166 7
2015-04-29 00:49:23.934000 5.43 5.6569 Clear 0 1426.088 49.196 7
2015-04-29 00:49:24.034000 5.952 6.18028 Clear 0 1426.117 49.225 7
2015-04-29 00:49:24.134000 5.729 5.95686 Clear 0 1426.146 49.255 7
2015-04-29 00:49:24.234000 5.973 6.20088 Clear 0 1426.175 49.284 7
2015-04-29 00:49:24.334000 5.84 6.06937 Clear 0 1426.205 49.314 7
2015-04-29 00:49:24.434000 6.096 6.32531 Clear 0 1426.235 49.343 7
2015-04-29 00:49:24.534000 5.995 6.22363 Clear 0 1426.265 49.373 7
