# satellite: 24948 IRIDIUM 28 / US
# catalogue: 1 NORAD
# track: 7917303
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 550
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-06-12 18:57:48.599000 6.063 6.01297 Clear 0 1207.112 58.046 9
2015-06-12 18:57:48.699000 6.012 5.96243 Clear 0 1207.105 58.081 9
2015-06-12 18:57:48.799000 6.084 6.03447 Clear 0 1207.098 58.117 9
2015-06-12 18:57:48.899000 6.034 5.98531 Clear 0 1207.092 58.152 9
2015-06-12 18:57:48.999000 5.963 5.91464 Clear 0 1207.086 58.188 9
2015-06-12 18:57:49.099000 6.131 6.08272 Clear 0 1207.081 58.223 9
2015-06-12 18:57:49.199000 6.011 5.96272 Clear 0 1207.076 58.259 9
2015-06-12 18:57:49.299000 6.073 6.02601 Clear 0 1207.071 58.294 9
2015-06-12 18:57:49.399000 6.136 6.08849 Clear 0 1207.067 58.33 9
2015-06-12 18:57:49.499000 6.166 6.11917 Clear 0 1207.063 58.365 9
2015-06-12 18:57:49.599000 6.002 5.95628 Clear 0 1207.06 58.401 9
2015-06-12 18:57:49.699000 6.082 6.0361 Clear 0 1207.057 58.436 9
2015-06-12 18:57:49.799000 6.133 6.08788 Clear 0 1207.054 58.472 9
2015-06-12 18:57:49.899000 6.065 6.01972 Clear 0 1207.052 58.507 9
2015-06-12 18:57:49.999000 6.198 6.15329 Clear 0 1207.05 58.543 9
2015-06-12 18:57:50.099000 6.063 6.01873 Clear 0 1207.049 58.578 9
2015-06-12 18:57:50.199000 6.002 5.95773 Clear 0 1207.048 58.614 9
2015-06-12 18:57:50.299000 6.077 6.03261 Clear 0 1207.047 58.649 9
2015-06-12 18:57:50.399000 6.153 6.10957 Clear 0 1207.047 58.685 9
2015-06-12 18:57:50.499000 6.082 6.03847 Clear 0 1207.047 58.72 9
2015-06-12 18:57:50.599000 6.146 6.10368 Clear 0 1207.048 58.756 9
2015-06-12 18:57:50.699000 6.106 6.06415 Clear 0 1207.049 58.792 9
2015-06-12 18:57:50.799000 6.19 6.14807 Clear 0 1207.051 58.827 9
2015-06-12 18:57:50.899000 6.002 5.96142 Clear 0 1207.053 58.863 9
2015-06-12 18:57:50.999000 6.148 6.10658 Clear 0 1207.055 58.898 9
2015-06-12 18:57:51.099000 6.086 6.04479 Clear 0 1207.058 58.934 9
2015-06-12 18:57:51.199000 6.049 6.00933 Clear 0 1207.061 58.969 9
2015-06-12 18:57:51.299000 6.098 6.05827 Clear 0 1207.064 59.005 9
2015-06-12 18:57:51.399000 6.04 6.00136 Clear 0 1207.068 59.04 9
2015-06-12 18:57:51.499000 6.188 6.14876 Clear 0 1207.073 59.076 9
2015-06-12 18:57:51.599000 6.116 6.07686 Clear 0 1207.077 59.111 9
2015-06-12 18:57:51.699000 6.099 6.06124 Clear 0 1207.083 59.147 9
2015-06-12 18:57:51.799000 6.147 6.10932 Clear 0 1207.088 59.182 9
2015-06-12 18:57:51.899000 6.05 6.0127 Clear 0 1207.094 59.218 9
2015-06-12 18:57:51.999000 6.08 6.04331 Clear 0 1207.101 59.253 9
2015-06-12 18:57:52.099000 6.1 6.06323 Clear 0 1207.108 59.289 9
2015-06-12 18:57:52.199000 5.965 5.92907 Clear 0 1207.115 59.324 9
2015-06-12 18:57:52.299000 5.975 5.93875 Clear 0 1207.123 59.36 9
2015-06-12 18:57:52.399000 5.851 5.81623 Clear 0 1207.131 59.395 9
2015-06-12 18:57:52.499000 5.875 5.83952 Clear 0 1207.139 59.431 9
2015-06-12 18:57:52.599000 6.012 5.97645 Clear 0 1207.148 59.466 9
2015-06-12 18:57:52.699000 6.181 6.14716 Clear 0 1207.157 59.502 9
2015-06-12 18:57:52.799000 6.365 6.33116 Clear 0 1207.167 59.537 9
2015-06-12 18:57:52.899000 6.175 6.14154 Clear 0 1207.177 59.573 9
2015-06-12 18:57:52.999000 6.392 6.35912 Clear 0 1207.188 59.608 9
2015-06-12 18:57:53.099000 6.383 6.3501 Clear 0 1207.199 59.644 9
2015-06-12 18:57:53.199000 6.401 6.36863 Clear 0 1207.21 59.679 9
2015-06-12 18:57:53.299000 6.42 6.3876 Clear 0 1207.222 59.715 9
2015-06-12 18:57:53.399000 6.383 6.35207 Clear 0 1207.234 59.75 9
2015-06-12 18:57:53.499000 6.497 6.46627 Clear 0 1207.247 59.786 9
2015-06-12 18:57:53.599000 6.461 6.42962 Clear 0 1207.26 59.821 9
2015-06-12 18:57:53.699000 6.45 6.42 Clear 0 1207.273 59.857 9
2015-06-12 18:57:53.799000 6.415 6.38513 Clear 0 1207.287 59.892 9
2015-06-12 18:57:53.899000 6.444 6.4147 Clear 0 1207.301 59.928 9
2015-06-12 18:57:53.999000 6.572 6.54339 Clear 0 1207.316 59.963 9
2015-06-12 18:57:54.099000 6.559 6.53019 Clear 0 1207.331 59.999 9
2015-06-12 18:57:54.199000 6.618 6.59006 Clear 0 1207.346 60.034 9
2015-06-12 18:57:54.299000 6.625 6.59715 Clear 0 1207.362 60.07 9
2015-06-12 18:57:54.399000 6.526 6.49847 Clear 0 1207.379 60.105 9
2015-06-12 18:57:54.499000 6.651 6.62423 Clear 0 1207.395 60.141 9
2015-06-12 18:57:54.599000 6.726 6.70042 Clear 0 1207.413 60.176 9
2015-06-12 18:57:54.699000 6.547 6.52061 Clear 0 1207.43 60.212 9
2015-06-12 18:57:54.799000 6.536 6.50973 Clear 0 1207.448 60.247 9
2015-06-12 18:57:54.899000 6.531 6.50576 Clear 0 1207.466 60.283 9
2015-06-12 18:57:54.999000 6.628 6.60251 Clear 0 1207.485 60.318 9
2015-06-12 18:57:55.099000 6.615 6.5913 Clear 0 1207.504 60.354 9
2015-06-12 18:57:55.199000 6.65 6.62597 Clear 0 1207.524 60.389 9
2015-06-12 18:57:55.299000 6.604 6.58135 Clear 0 1207.544 60.425 9
2015-06-12 18:57:55.399000 6.575 6.55174 Clear 0 1207.564 60.46 9
2015-06-12 18:57:55.499000 6.569 6.54613 Clear 0 1207.585 60.496 9
2015-06-12 18:57:55.599000 6.669 6.6468 Clear 0 1207.606 60.531 9
2015-06-12 18:57:55.699000 6.751 6.72855 Clear 0 1207.628 60.567 9
2015-06-12 18:57:55.799000 6.697 6.67636 Clear 0 1207.65 60.602 9
2015-06-12 18:57:55.899000 6.645 6.6241 Clear 0 1207.672 60.638 9
2015-06-12 18:57:55.999000 6.619 6.59931 Clear 0 1207.695 60.673 9
2015-06-12 18:57:56.099000 6.663 6.64257 Clear 0 1207.719 60.709 9
2015-06-12 18:57:56.199000 6.719 6.69891 Clear 0 1207.742 60.744 9
2015-06-12 18:57:56.299000 6.706 6.68687 Clear 0 1207.766 60.78 9
2015-06-12 18:57:56.399000 6.696 6.67727 Clear 0 1207.791 60.815 9
2015-06-12 18:57:56.499000 6.594 6.57558 Clear 0 1207.816 60.851 9
2015-06-12 18:57:56.599000 6.687 6.66929 Clear 0 1207.841 60.886 9
2015-06-12 18:57:56.699000 6.75 6.73305 Clear 0 1207.867 60.922 9
2015-06-12 18:57:56.799000 6.859 6.84155 Clear 0 1207.893 60.957 9
2015-06-12 18:57:56.899000 6.634 6.61783 Clear 0 1207.92 60.993 9
2015-06-12 18:57:56.999000 6.754 6.73787 Clear 0 1207.947 61.028 9
2015-06-12 18:57:57.099000 6.773 6.75668 Clear 0 1207.974 61.063 9
2015-06-12 18:57:57.199000 6.888 6.87274 Clear 0 1208.002 61.099 9
2015-06-12 18:57:57.299000 6.667 6.65146 Clear 0 1208.03 61.134 9
2015-06-12 18:57:57.399000 6.829 6.81539 Clear 0 1208.059 61.17 9
2015-06-12 18:57:57.499000 6.844 6.83041 Clear 0 1208.088 61.205 9
2015-06-12 18:57:57.599000 6.692 6.67861 Clear 0 1208.117 61.241 9
2015-06-12 18:57:57.699000 6.691 6.67812 Clear 0 1208.147 61.276 9
2015-06-12 18:57:57.799000 6.782 6.76977 Clear 0 1208.177 61.312 9
2015-06-12 18:57:57.899000 6.81 6.79773 Clear 0 1208.208 61.347 9
2015-06-12 18:57:57.999000 6.645 6.63247 Clear 0 1208.239 61.383 9
2015-06-12 18:57:58.099000 6.853 6.84227 Clear 0 1208.27 61.418 9
