# satellite: 25502 ATLAS 2A CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 13159174
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 537
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-04-30 21:33:29.794000 4.216 8.86318 Clear 0 11201.597 42.143 6
2018-04-30 21:33:29.894000 3.891 8.53807 Clear 0 11201.915 42.145 6
2018-04-30 21:33:29.994000 4.1 8.74697 Clear 0 11202.232 42.146 6
2018-04-30 21:33:30.094000 4.144 8.79081 Clear 0 11202.55 42.147 6
2018-04-30 21:33:30.194000 3.888 8.5347 Clear 0 11202.868 42.148 6
2018-04-30 21:33:30.294000 4.18 8.82691 Clear 0 11203.186 42.149 6
2018-04-30 21:33:30.394000 3.736 8.38246 Clear 0 11203.504 42.15 6
2018-04-30 21:33:30.594000 3.965 8.61222 Clear 0 11204.14 42.152 6
2018-04-30 21:33:30.694000 3.755 8.40147 Clear 0 11204.458 42.154 6
2018-04-30 21:33:30.894000 3.9 8.54652 Clear 0 11205.094 42.156 6
2018-04-30 21:33:30.994000 3.452 8.10042 Clear 0 11205.411 42.157 6
2018-04-30 21:33:31.094000 3.981 8.62865 Clear 0 11205.729 42.158 6
2018-04-30 21:33:31.294000 3.422 8.07039 Clear 0 11206.365 42.16 6
2018-04-30 21:33:31.394000 3.584 8.23186 Clear 0 11206.683 42.162 6
2018-04-30 21:33:31.494000 3.585 8.23284 Clear 0 11207.001 42.163 6
2018-04-30 21:33:31.594000 3.762 8.40961 Clear 0 11207.319 42.164 6
2018-04-30 21:33:31.694000 4.085 8.73262 Clear 0 11207.636 42.165 6
2018-04-30 21:33:31.794000 3.565 8.2127 Clear 0 11207.954 42.166 6
2018-04-30 21:33:31.894000 3.789 8.4371 Clear 0 11208.272 42.167 6
2018-04-30 21:33:31.994000 3.628 8.27549 Clear 0 11208.59 42.168 6
2018-04-30 21:33:32.094000 3.531 8.17901 Clear 0 11208.908 42.169 6
2018-04-30 21:33:32.194000 3.561 8.2094 Clear 0 11209.226 42.171 6
2018-04-30 21:33:32.294000 3.615 8.26325 Clear 0 11209.543 42.172 6
2018-04-30 21:33:32.394000 4.11 8.75922 Clear 0 11209.861 42.173 6
2018-04-30 21:33:32.494000 3.631 8.27992 Clear 0 11210.179 42.174 6
2018-04-30 21:33:32.594000 4.036 8.68489 Clear 0 11210.497 42.175 6
2018-04-30 21:33:32.694000 3.862 8.51086 Clear 0 11210.815 42.176 6
