# satellite: 25502 ATLAS 2A CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 545193
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 107
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-06-27 19:31:51.638000 4.361 9.7811 Clear 0 16603.46 28.792 1
2014-06-27 19:31:51.738000 4.294 9.71429 Clear 0 16603.691 28.792 1
2014-06-27 19:31:51.838000 4.388 9.80824 Clear 0 16603.922 28.791 1
2014-06-27 19:31:51.938000 4.535 9.95543 Clear 0 16604.153 28.791 1
2014-06-27 19:31:52.038000 4.894 10.3142 Clear 0 16604.384 28.791 1
2014-06-27 19:31:52.138000 3.983 9.40245 Clear 0 16604.616 28.791 1
2014-06-27 19:31:52.238000 4.658 10.0781 Clear 0 16604.847 28.79 1
2014-06-27 19:31:52.338000 4.238 9.65783 Clear 0 16605.078 28.79 1
2014-06-27 19:31:52.438000 4.364 9.78532 Clear 0 16605.309 28.79 1
2014-06-27 19:31:52.738000 3.946 9.36673 Clear 0 16606.002 28.789 1
2014-06-27 19:31:52.838000 4.154 9.57532 Clear 0 16606.233 28.789 1
2014-06-27 19:31:52.938000 3.945 9.36565 Clear 0 16606.464 28.788 1
2014-06-27 19:31:53.038000 4.184 9.60544 Clear 0 16606.695 28.788 1
2014-06-27 19:31:53.138000 3.828 9.24867 Clear 0 16606.926 28.788 1
2014-06-27 19:31:53.338000 4.48 9.90058 Clear 0 16607.389 28.787 1
2014-06-27 19:31:53.438000 4.596 10.0169 Clear 0 16607.62 28.787 1
2014-06-27 19:31:53.538000 4.039 9.46004 Clear 0 16607.851 28.787 1
2014-06-27 19:31:53.638000 4.192 9.61292 Clear 0 16608.082 28.786 1
2014-06-27 19:31:53.738000 4.901 10.3216 Clear 0 16608.313 28.786 1
2014-06-27 19:31:53.838000 3.825 9.24577 Clear 0 16608.544 28.786 1
2014-06-27 19:31:53.938000 4.107 9.52767 Clear 0 16608.775 28.785 1
2014-06-27 19:31:54.038000 4.133 9.55439 Clear 0 16609.006 28.785 1
2014-06-27 19:31:54.138000 4.337 9.75763 Clear 0 16609.237 28.785 1
2014-06-27 19:31:54.238000 4.357 9.77807 Clear 0 16609.468 28.785 1
2014-06-27 19:31:54.338000 4.552 9.97306 Clear 0 16609.699 28.784 1
2014-06-27 19:31:54.538000 4.11 9.53056 Clear 0 16610.161 28.784 1
2014-06-27 19:31:54.638000 4.497 9.91797 Clear 0 16610.392 28.784 1
2014-06-27 19:31:54.738000 4.498 9.91914 Clear 0 16610.623 28.783 1
2014-06-27 19:31:54.838000 4.677 10.0976 Clear 0 16610.854 28.783 1
2014-06-27 19:31:55.038000 4.382 9.80258 Clear 0 16611.316 28.782 1
2014-06-27 19:31:55.138000 4.39 9.81105 Clear 0 16611.547 28.782 1
2014-06-27 19:31:55.238000 4.032 9.45268 Clear 0 16611.778 28.782 1
2014-06-27 19:31:55.338000 4.448 9.86937 Clear 0 16612.009 28.782 1
2014-06-27 19:31:55.438000 4.64 10.0605 Clear 0 16612.24 28.781 1
2014-06-27 19:31:55.638000 3.969 9.3904 Clear 0 16612.701 28.781 1
2014-06-27 19:31:55.738000 4.124 9.54513 Clear 0 16612.932 28.78 1
2014-06-27 19:31:55.938000 4.833 10.2549 Clear 0 16613.394 28.78 1
2014-06-27 19:31:56.138000 4.149 9.57141 Clear 0 16613.856 28.779 1
2014-06-27 19:31:56.338000 4.419 9.84065 Clear 0 16614.318 28.779 1
2014-06-27 19:31:57.038000 4.471 9.89312 Clear 0 16615.934 28.777 1
2014-06-27 19:31:57.138000 4.473 9.89484 Clear 0 16616.165 28.777 1
2014-06-27 19:31:57.238000 4.338 9.76016 Clear 0 16616.396 28.776 1
2014-06-27 19:31:57.738000 4.52 9.94219 Clear 0 16617.55 28.775 1
2014-06-27 19:31:57.838000 4.015 9.4366 Clear 0 16617.781 28.775 1
2014-06-27 19:31:58.038000 4.675 10.0969 Clear 0 16618.243 28.774 1
2014-06-27 19:31:58.438000 4.647 10.0685 Clear 0 16619.166 28.773 1
2014-06-27 19:31:58.538000 4.384 9.80627 Clear 0 16619.397 28.773 1
2014-06-27 19:31:58.638000 5.006 10.4278 Clear 0 16619.628 28.772 1
2014-06-27 19:31:58.738000 4.539 9.96086 Clear 0 16619.858 28.772 1
2014-06-27 19:31:58.838000 4.909 10.3308 Clear 0 16620.089 28.772 1
2014-06-27 19:31:58.938000 4.464 9.88572 Clear 0 16620.32 28.772 1
2014-06-27 19:31:59.038000 4.893 10.3149 Clear 0 16620.551 28.771 1
2014-06-27 19:31:59.138000 4.395 9.81744 Clear 0 16620.782 28.771 1
2014-06-27 19:31:59.238000 4.467 9.88856 Clear 0 16621.012 28.771 1
2014-06-27 19:31:59.338000 4.207 9.62906 Clear 0 16621.243 28.77 1
2014-06-27 19:31:59.438000 4.234 9.65695 Clear 0 16621.474 28.77 1
2014-06-27 19:31:59.538000 4.792 10.2146 Clear 0 16621.705 28.77 1
2014-06-27 19:31:59.638000 3.928 9.35061 Clear 0 16621.935 28.77 1
2014-06-27 19:31:59.738000 3.885 9.30844 Clear 0 16622.166 28.769 1
2014-06-27 19:32:00.038000 4.64 10.0631 Clear 0 16622.858 28.768 1
2014-06-27 19:32:00.138000 4.05 9.47293 Clear 0 16623.089 28.768 1
2014-06-27 19:32:00.238000 4.2 9.62275 Clear 0 16623.32 28.768 1
2014-06-27 19:32:00.438000 5.178 10.6007 Clear 0 16623.781 28.767 1
2014-06-27 19:32:00.538000 3.703 9.12573 Clear 0 16624.012 28.767 1
2014-06-27 19:32:00.638000 3.933 9.3559 Clear 0 16624.243 28.767 1
2014-06-27 19:32:00.738000 3.902 9.3245 Clear 0 16624.474 28.766 1
2014-06-27 19:32:00.838000 4.525 9.94818 Clear 0 16624.704 28.766 1
2014-06-27 19:32:00.938000 3.798 9.22134 Clear 0 16624.935 28.766 1
2014-06-27 19:32:01.038000 3.873 9.29629 Clear 0 16625.166 28.766 1
2014-06-27 19:32:01.138000 4.299 9.72224 Clear 0 16625.396 28.765 1
2014-06-27 19:32:01.238000 3.714 9.13645 Clear 0 16625.627 28.765 1
2014-06-27 19:32:01.338000 4.389 9.81158 Clear 0 16625.858 28.765 1
2014-06-27 19:32:01.438000 4.142 9.56457 Clear 0 16626.088 28.765 1
2014-06-27 19:32:01.538000 4.25 9.67327 Clear 0 16626.319 28.764 1
2014-06-27 19:32:01.638000 3.547 8.96993 Clear 0 16626.55 28.764 1
2014-06-27 19:32:01.738000 3.673 9.0956 Clear 0 16626.78 28.764 1
2014-06-27 19:32:01.838000 4.169 9.59219 Clear 0 16627.011 28.763 1
2014-06-27 19:32:01.938000 3.969 9.39186 Clear 0 16627.242 28.763 1
2014-06-27 19:32:02.038000 3.862 9.28494 Clear 0 16627.472 28.763 1
2014-06-27 19:32:02.138000 3.611 9.03419 Clear 0 16627.703 28.763 1
2014-06-27 19:32:02.238000 3.417 8.8403 Clear 0 16627.934 28.762 1
2014-06-27 19:32:02.338000 3.314 8.73667 Clear 0 16628.164 28.762 1
2014-06-27 19:32:02.438000 3.55 8.97295 Clear 0 16628.395 28.762 1
2014-06-27 19:32:02.538000 3.803 9.22575 Clear 0 16628.625 28.761 1
2014-06-27 19:32:02.638000 4.143 9.56585 Clear 0 16628.856 28.761 1
2014-06-27 19:32:02.738000 3.936 9.35909 Clear 0 16629.087 28.761 1
2014-06-27 19:32:02.838000 3.375 8.79793 Clear 0 16629.317 28.761 1
2014-06-27 19:32:02.938000 3.53 8.95386 Clear 0 16629.548 28.76 1
2014-06-27 19:32:03.038000 3.775 9.19926 Clear 0 16629.778 28.76 1
2014-06-27 19:32:03.138000 3.94 9.36388 Clear 0 16630.009 28.76 1
2014-06-27 19:32:03.238000 3.808 9.23214 Clear 0 16630.24 28.76 1
2014-06-27 19:32:03.338000 3.982 9.40577 Clear 0 16630.47 28.759 1
2014-06-27 19:32:03.438000 3.971 9.39505 Clear 0 16630.701 28.759 1
2014-06-27 19:32:03.538000 3.568 8.99193 Clear 0 16630.931 28.759 1
2014-06-27 19:32:03.638000 3.409 8.83276 Clear 0 16631.162 28.758 1
2014-06-27 19:32:03.738000 4.165 9.58929 Clear 0 16631.393 28.758 1
2014-06-27 19:32:03.838000 3.802 9.2258 Clear 0 16631.623 28.758 1
2014-06-27 19:32:03.938000 4.329 9.75287 Clear 0 16631.854 28.758 1
2014-06-27 19:32:04.038000 4.01 9.43434 Clear 0 16632.084 28.757 1
2014-06-27 19:32:04.138000 4.092 9.51567 Clear 0 16632.315 28.757 1
2014-06-27 19:32:04.238000 4.321 9.7453 Clear 0 16632.545 28.757 1
2014-06-27 19:32:04.338000 4.423 9.84735 Clear 0 16632.776 28.756 1
2014-06-27 19:32:04.438000 4.238 9.66201 Clear 0 16633.006 28.756 1
2014-06-27 19:32:04.538000 4.388 9.81158 Clear 0 16633.237 28.756 1
2014-06-27 19:32:04.638000 4.195 9.61943 Clear 0 16633.467 28.756 1
2014-06-27 19:32:05.138000 4.627 10.0509 Clear 0 16634.62 28.754 1
2014-06-27 19:32:05.238000 4.667 10.0913 Clear 0 16634.85 28.754 1
