# satellite: 25502 ATLAS 2A CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 9628476
# variability: 2 Periodic
# variability_period: 19.6999698
# npoints: 708
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-12-09 00:28:47.199000 4.032 8.1101 Clear 0 8024.117 59.458 9
2015-12-09 00:28:47.299000 4.419 8.49831 Clear 0 8024.4 59.46 9
2015-12-09 00:28:47.399000 4.215 8.29361 Clear 0 8024.683 59.461 9
2015-12-09 00:28:47.499000 4.277 8.35571 Clear 0 8024.967 59.463 9
2015-12-09 00:28:47.599000 4.362 8.44144 Clear 0 8025.25 59.465 9
2015-12-09 00:28:47.699000 4.53 8.60893 Clear 0 8025.533 59.467 9
2015-12-09 00:28:47.799000 4.426 8.50537 Clear 0 8025.817 59.468 9
2015-12-09 00:28:47.899000 4.683 8.76233 Clear 0 8026.1 59.47 9
2015-12-09 00:28:47.999000 4.701 8.78044 Clear 0 8026.383 59.472 9
2015-12-09 00:28:48.099000 4.636 8.7148 Clear 0 8026.667 59.474 9
2015-12-09 00:28:48.199000 4.849 8.92803 Clear 0 8026.95 59.475 9
2015-12-09 00:28:48.299000 5.007 9.086 Clear 0 8027.233 59.477 9
2015-12-09 00:28:48.399000 4.566 8.64625 Clear 0 8027.517 59.479 9
2015-12-09 00:28:48.499000 4.749 8.82931 Clear 0 8027.8 59.481 9
2015-12-09 00:28:48.599000 4.638 8.71784 Clear 0 8028.084 59.482 9
2015-12-09 00:28:48.699000 4.567 8.6472 Clear 0 8028.367 59.484 9
2015-12-09 00:28:48.799000 4.716 8.79612 Clear 0 8028.65 59.486 9
2015-12-09 00:28:48.899000 5.08 9.16035 Clear 0 8028.934 59.488 9
2015-12-09 00:28:48.999000 4.735 8.81536 Clear 0 8029.217 59.489 9
2015-12-09 00:28:49.099000 4.531 8.61123 Clear 0 8029.501 59.491 9
2015-12-09 00:28:49.199000 4.63 8.70976 Clear 0 8029.784 59.493 9
2015-12-09 00:28:49.299000 4.944 9.02379 Clear 0 8030.068 59.495 9
2015-12-09 00:28:49.399000 4.786 8.86703 Clear 0 8030.351 59.496 9
2015-12-09 00:28:49.499000 5.172 9.25254 Clear 0 8030.635 59.498 9
2015-12-09 00:28:49.599000 5.209 9.28966 Clear 0 8030.918 59.5 9
2015-12-09 00:28:49.699000 5.494 9.57461 Clear 0 8031.202 59.502 9
2015-12-09 00:28:49.899000 5.26 9.34062 Clear 0 8031.769 59.505 9
2015-12-09 00:28:49.999000 5.739 9.82023 Clear 0 8032.052 59.507 9
2015-12-09 00:28:50.099000 5.216 9.29741 Clear 0 8032.336 59.509 9
2015-12-09 00:28:50.599000 5.453 9.53516 Clear 0 8033.754 59.517 9
2015-12-09 00:28:50.699000 6.003 10.0851 Clear 0 8034.038 59.519 9
2015-12-09 00:28:50.799000 6.461 10.5425 Clear 0 8034.321 59.521 9
2015-12-09 00:28:50.899000 6.116 10.1979 Clear 0 8034.605 59.523 9
2015-12-09 00:28:51.799000 6.351 10.4338 Clear 0 8037.158 59.538 9
2015-12-09 00:28:51.999000 5.684 9.76699 Clear 0 8037.726 59.542 9
2015-12-09 00:28:52.199000 5.715 9.79808 Clear 0 8038.293 59.545 9
2015-12-09 00:28:52.399000 5.44 9.52339 Clear 0 8038.861 59.549 9
2015-12-09 00:28:52.499000 5.314 9.39788 Clear 0 8039.144 59.551 9
2015-12-09 00:28:52.599000 5.648 9.73161 Clear 0 8039.428 59.553 9
2015-12-09 00:28:52.699000 5.806 9.88956 Clear 0 8039.712 59.554 9
2015-12-09 00:28:52.799000 5.432 9.51596 Clear 0 8039.996 59.556 9
2015-12-09 00:28:52.899000 5.369 9.45332 Clear 0 8040.28 59.558 9
2015-12-09 00:28:52.999000 5.513 9.59716 Clear 0 8040.564 59.56 9
2015-12-09 00:28:53.099000 4.784 8.86761 Clear 0 8040.847 59.561 9
2015-12-09 00:28:53.199000 4.852 8.93605 Clear 0 8041.131 59.563 9
2015-12-09 00:28:53.299000 5.193 9.27686 Clear 0 8041.415 59.565 9
2015-12-09 00:28:53.399000 4.576 8.65962 Clear 0 8041.699 59.567 9
2015-12-09 00:28:53.499000 4.65 8.73367 Clear 0 8041.983 59.568 9
2015-12-09 00:28:53.599000 4.438 8.52259 Clear 0 8042.267 59.57 9
2015-12-09 00:28:53.699000 4.498 8.58311 Clear 0 8042.551 59.572 9
2015-12-09 00:28:53.799000 4.35 8.43478 Clear 0 8042.835 59.574 9
