# satellite: 25759 PSLV R/B / IND
# catalogue: 1 NORAD
# track: 20280624
# variability: 2 Periodic
# variability_period: 5.8292
# npoints: 327
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-04-22 01:03:42.997000 6.405 5.9378 Clear 0 798.999 90.921 5
2022-04-22 01:03:43.097000 6.608 6.13876 Clear 0 798.686 90.882 5
2022-04-22 01:03:43.197000 6.717 6.24736 Clear 0 798.375 90.844 5
2022-04-22 01:03:43.297000 6.77 6.29777 Clear 0 798.063 90.805 5
2022-04-22 01:03:43.397000 6.808 6.33473 Clear 0 797.753 90.766 5
2022-04-22 01:03:43.497000 6.977 6.5015 Clear 0 797.443 90.727 5
2022-04-22 01:03:43.597000 6.837 6.36007 Clear 0 797.133 90.688 5
2022-04-22 01:03:43.697000 6.868 6.39011 Clear 0 796.824 90.649 5
2022-04-22 01:03:43.797000 6.791 6.31138 Clear 0 796.515 90.61 5
2022-04-22 01:03:43.897000 7.145 6.66439 Clear 0 796.207 90.571 5
2022-04-22 01:03:43.997000 7.225 6.74239 Clear 0 795.9 90.532 5
2022-04-22 01:03:44.097000 7.06 6.57464 Clear 0 795.593 90.493 5
2022-04-22 01:03:44.197000 6.966 6.48021 Clear 0 795.286 90.454 5
2022-04-22 01:03:44.297000 7.1 6.61151 Clear 0 794.98 90.415 5
2022-04-22 01:03:44.397000 7.114 6.62485 Clear 0 794.675 90.376 5
2022-04-22 01:03:44.497000 7.127 6.63581 Clear 0 794.37 90.337 5
2022-04-22 01:03:44.597000 7.118 6.6261 Clear 0 794.066 90.297 5
2022-04-22 01:03:44.697000 7.14 6.64592 Clear 0 793.762 90.258 5
2022-04-22 01:03:44.797000 7.299 6.80307 Clear 0 793.459 90.219 5
2022-04-22 01:03:44.897000 7.113 6.61594 Clear 0 793.156 90.18 5
2022-04-22 01:03:44.997000 7.064 6.56517 Clear 0 792.854 90.14 5
2022-04-22 01:03:45.097000 6.891 6.39113 Clear 0 792.552 90.101 5
2022-04-22 01:03:45.197000 7.076 6.57411 Clear 0 792.251 90.062 5
2022-04-22 01:03:45.297000 6.727 6.22254 Clear 0 791.951 90.022 5
2022-04-22 01:03:45.397000 6.636 6.13077 Clear 0 791.651 89.983 5
2022-04-22 01:03:45.497000 6.841 6.33371 Clear 0 791.351 89.943 5
2022-04-22 01:03:45.597000 6.719 6.21122 Clear 0 791.053 89.904 5
2022-04-22 01:03:45.797000 6.615 6.10349 Clear 0 790.456 89.825 5
2022-04-22 01:03:45.897000 6.658 6.145 Clear 0 790.159 89.785 5
2022-04-22 01:03:45.997000 6.681 6.16685 Clear 0 789.862 89.746 5
2022-04-22 01:03:46.197000 6.506 5.9882 Clear 0 789.271 89.667 5
2022-04-22 01:03:46.297000 6.523 6.00367 Clear 0 788.976 89.627 5
2022-04-22 01:03:46.397000 6.397 5.87608 Clear 0 788.681 89.587 5
2022-04-22 01:03:46.497000 6.294 5.77157 Clear 0 788.387 89.547 5
2022-04-22 01:03:46.597000 6.467 5.9431 Clear 0 788.094 89.508 5
2022-04-22 01:03:46.697000 6.5 5.97445 Clear 0 787.801 89.468 5
