# satellite: 25759 PSLV R/B / IND
# catalogue: 1 NORAD
# track: 518567
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 669
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2014-06-20 20:49:43.387000 5.493 5.51007 Clear 0 889.488 102.66 1
2014-06-20 20:49:43.587000 5.433 5.4466 Clear 0 888.884 102.582 1
2014-06-20 20:49:43.687000 5.494 5.50562 Clear 0 888.583 102.543 1
2014-06-20 20:49:43.787000 5.507 5.51739 Clear 0 888.282 102.504 1
2014-06-20 20:49:43.887000 5.484 5.49251 Clear 0 887.982 102.465 1
2014-06-20 20:49:43.987000 5.499 5.50642 Clear 0 887.682 102.426 1
2014-06-20 20:49:44.087000 5.435 5.43956 Clear 0 887.383 102.387 1
2014-06-20 20:49:44.187000 5.456 5.46035 Clear 0 887.084 102.347 1
2014-06-20 20:49:44.287000 5.447 5.44853 Clear 0 886.786 102.308 1
2014-06-20 20:49:44.387000 5.419 5.41893 Clear 0 886.488 102.269 1
2014-06-20 20:49:44.487000 5.36 5.35921 Clear 0 886.191 102.23 1
2014-06-20 20:49:44.587000 5.317 5.31386 Clear 0 885.894 102.191 1
2014-06-20 20:49:44.687000 5.406 5.40081 Clear 0 885.597 102.151 1
2014-06-20 20:49:44.787000 5.427 5.42081 Clear 0 885.302 102.112 1
2014-06-20 20:49:44.887000 5.403 5.39532 Clear 0 885.006 102.073 1
2014-06-20 20:49:44.987000 5.33 5.31991 Clear 0 884.711 102.034 1
2014-06-20 20:49:45.087000 5.31 5.299 Clear 0 884.417 101.994 1
2014-06-20 20:49:45.187000 5.368 5.3551 Clear 0 884.123 101.955 1
2014-06-20 20:49:45.287000 5.49 5.47572 Clear 0 883.829 101.915 1
2014-06-20 20:49:45.387000 5.316 5.30036 Clear 0 883.536 101.876 1
2014-06-20 20:49:45.487000 5.208 5.18958 Clear 0 883.244 101.837 1
2014-06-20 20:49:45.587000 5.394 5.37493 Clear 0 882.952 101.797 1
2014-06-20 20:49:45.687000 5.397 5.37627 Clear 0 882.66 101.758 1
2014-06-20 20:49:45.787000 5.363 5.34021 Clear 0 882.369 101.718 1
2014-06-20 20:49:45.887000 5.375 5.35126 Clear 0 882.079 101.679 1
2014-06-20 20:49:45.987000 5.372 5.34609 Clear 0 881.789 101.639 1
2014-06-20 20:49:46.087000 5.315 5.28667 Clear 0 881.499 101.599 1
2014-06-20 20:49:46.187000 5.253 5.22367 Clear 0 881.21 101.56 1
2014-06-20 20:49:46.287000 5.364 5.333 Clear 0 880.921 101.52 1
2014-06-20 20:49:46.387000 5.321 5.28873 Clear 0 880.633 101.48 1
2014-06-20 20:49:46.487000 5.405 5.37096 Clear 0 880.346 101.441 1
2014-06-20 20:49:46.587000 5.333 5.29701 Clear 0 880.059 101.401 1
2014-06-20 20:49:46.687000 5.273 5.23632 Clear 0 879.772 101.361 1
