# satellite: 28627 BLOCK DM-SL R/B / SEAL
# catalogue: 1 NORAD
# track: 15950917
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 80
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-06-04 19:42:22.197000 5.061 9.95269 Clear 0 13412.598 7.553 9
2019-06-04 19:42:22.297000 4.614 9.50624 Clear 0 13412.306 7.551 9
2019-06-04 19:42:22.397000 4.863 9.75474 Clear 0 13412.015 7.549 9
2019-06-04 19:42:22.497000 4.424 9.31555 Clear 0 13411.724 7.547 9
2019-06-04 19:42:22.597000 4.76 9.65211 Clear 0 13411.433 7.546 9
2019-06-04 19:42:22.997000 4.664 9.55575 Clear 0 13410.267 7.538 9
2019-06-04 19:42:23.397000 4.4 9.29187 Clear 0 13409.102 7.53 9
2019-06-04 19:42:24.097000 4.658 9.54927 Clear 0 13407.063 7.517 9
2019-06-04 19:42:24.597000 4.374 9.26471 Clear 0 13405.607 7.507 9
2019-06-04 19:42:24.797000 4.907 9.7977 Clear 0 13405.024 7.504 9
2019-06-04 19:42:24.897000 4.191 9.08227 Clear 0 13404.733 7.502 9
2019-06-04 19:42:25.097000 4.848 9.73925 Clear 0 13404.151 7.498 9
2019-06-04 19:42:25.797000 5.316 10.2067 Clear 0 13402.112 7.485 9
2019-06-04 19:42:25.897000 4.954 9.84412 Clear 0 13401.821 7.483 9
2019-06-04 19:42:26.697000 4.555 9.44473 Clear 0 13399.491 7.467 9
2019-06-04 19:42:27.497000 4.959 9.84895 Clear 0 13397.162 7.452 9
2019-06-04 19:42:28.097000 4.728 9.61726 Clear 0 13395.414 7.441 9
2019-06-04 19:42:28.197000 4.514 9.40251 Clear 0 13395.123 7.439 9
2019-06-04 19:42:28.597000 4.707 9.59552 Clear 0 13393.959 7.431 9
2019-06-04 19:42:28.997000 4.737 9.62552 Clear 0 13392.794 7.424 9
2019-06-04 19:42:29.697000 4.805 9.69403 Clear 0 13390.756 7.41 9
2019-06-04 19:42:30.297000 4.52 9.40815 Clear 0 13389.009 7.399 9
2019-06-04 19:42:30.397000 4.596 9.48436 Clear 0 13388.718 7.397 9
2019-06-04 19:42:30.597000 4.588 9.47589 Clear 0 13388.136 7.393 9
