# satellite: 28650 HAMSAT / IND
# catalogue: 1 NORAD
# track: 10697402
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 116
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-10-07 02:16:57.197000 9.303 8.17267 Clear 0 799.143 35.658 7
2016-10-07 02:16:57.297000 8.82 7.69019 Clear 0 799.289 35.641 7
2016-10-07 02:16:57.397000 9.114 7.98484 Clear 0 799.436 35.623 7
2016-10-07 02:16:57.497000 9.575 8.44592 Clear 0 799.583 35.606 7
2016-10-07 02:16:57.597000 8.913 7.78431 Clear 0 799.731 35.588 7
2016-10-07 02:16:57.697000 8.863 7.73397 Clear 0 799.88 35.571 7
2016-10-07 02:16:57.797000 8.836 7.70805 Clear 0 800.029 35.554 7
2016-10-07 02:16:57.897000 8.97 7.84183 Clear 0 800.179 35.536 7
2016-10-07 02:16:57.997000 9.034 7.90617 Clear 0 800.33 35.519 7
2016-10-07 02:16:58.097000 8.721 7.59418 Clear 0 800.481 35.502 7
2016-10-07 02:16:58.197000 8.965 7.83776 Clear 0 800.633 35.485 7
2016-10-07 02:16:58.297000 8.73 7.6025 Clear 0 800.785 35.468 7
2016-10-07 02:16:58.397000 8.882 7.75633 Clear 0 800.938 35.451 7
2016-10-07 02:16:58.497000 9.22 8.09422 Clear 0 801.092 35.434 7
2016-10-07 02:16:58.597000 9.348 8.22164 Clear 0 801.246 35.418 7
2016-10-07 02:16:58.697000 8.986 7.86124 Clear 0 801.401 35.401 7
2016-10-07 02:16:58.797000 8.6 7.47486 Clear 0 801.557 35.384 7
2016-10-07 02:16:58.897000 8.804 7.67864 Clear 0 801.713 35.368 7
2016-10-07 02:16:58.997000 8.847 7.72296 Clear 0 801.87 35.351 7
2016-10-07 02:16:59.097000 9.749 8.6254 Clear 0 802.028 35.335 7
2016-10-07 02:16:59.197000 9.335 8.21046 Clear 0 802.186 35.319 7
2016-10-07 02:16:59.297000 8.804 7.68079 Clear 0 802.345 35.302 7
2016-10-07 02:16:59.397000 8.819 7.69611 Clear 0 802.504 35.286 7
2016-10-07 02:16:59.497000 8.651 7.52813 Clear 0 802.664 35.27 7
2016-10-07 02:16:59.597000 10.022 8.90006 Clear 0 802.825 35.254 7
2016-10-07 02:16:59.697000 9.057 7.93488 Clear 0 802.986 35.238 7
2016-10-07 02:16:59.797000 8.671 7.54901 Clear 0 803.148 35.222 7
2016-10-07 02:16:59.897000 9.279 8.15803 Clear 0 803.311 35.206 7
2016-10-07 02:16:59.997000 8.702 7.58093 Clear 0 803.474 35.19 7
2016-10-07 02:17:00.097000 9.193 8.07217 Clear 0 803.638 35.174 7
2016-10-07 02:17:00.197000 9.502 8.38191 Clear 0 803.802 35.159 7
2016-10-07 02:17:00.297000 8.773 7.65266 Clear 0 803.967 35.143 7
2016-10-07 02:17:00.397000 8.797 7.67728 Clear 0 804.133 35.127 7
2016-10-07 02:17:00.497000 8.761 7.6415 Clear 0 804.3 35.112 7
2016-10-07 02:17:00.597000 8.699 7.57986 Clear 0 804.466 35.097 7
2016-10-07 02:17:00.697000 9.16 8.04073 Clear 0 804.634 35.081 7
2016-10-07 02:17:00.797000 9.092 7.97379 Clear 0 804.802 35.066 7
2016-10-07 02:17:00.897000 8.715 7.59725 Clear 0 804.971 35.051 7
2016-10-07 02:17:00.997000 8.922 7.80424 Clear 0 805.141 35.036 7
2016-10-07 02:17:01.097000 8.697 7.57951 Clear 0 805.311 35.021 7
2016-10-07 02:17:01.197000 8.587 7.47035 Clear 0 805.482 35.005 7
2016-10-07 02:17:01.297000 9.382 8.26555 Clear 0 805.653 34.991 7
2016-10-07 02:17:01.397000 9.031 7.91485 Clear 0 805.825 34.976 7
2016-10-07 02:17:01.497000 8.671 7.55525 Clear 0 805.998 34.961 7
2016-10-07 02:17:01.597000 8.799 7.68411 Clear 0 806.171 34.946 7
2016-10-07 02:17:01.697000 9.152 8.03666 Clear 0 806.345 34.931 7
2016-10-07 02:17:01.797000 8.633 7.51766 Clear 0 806.519 34.917 7
2016-10-07 02:17:01.897000 8.869 7.75529 Clear 0 806.694 34.902 7
2016-10-07 02:17:01.997000 8.596 7.4815 Clear 0 806.87 34.888 7
2016-10-07 02:17:02.097000 8.905 7.79185 Clear 0 807.046 34.873 7
2016-10-07 02:17:02.197000 9.097 7.98381 Clear 0 807.223 34.859 7
2016-10-07 02:17:02.297000 9.482 8.36933 Clear 0 807.401 34.845 7
2016-10-07 02:17:02.397000 8.767 7.65495 Clear 0 807.579 34.831 7
2016-10-07 02:17:02.497000 9.264 8.15199 Clear 0 807.758 34.816 7
2016-10-07 02:17:02.597000 9.403 8.29195 Clear 0 807.938 34.802 7
2016-10-07 02:17:02.697000 8.524 7.4126 Clear 0 808.118 34.788 7
2016-10-07 02:17:02.797000 8.541 7.4298 Clear 0 808.298 34.774 7
2016-10-07 02:17:02.897000 8.549 7.43851 Clear 0 808.48 34.761 7
