# satellite: 28650 HAMSAT / IND
# catalogue: 1 NORAD
# track: 21232320
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 375
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2022-08-24 01:14:57.096000 10.208 8.97769 Clear 0 615.242 79.754 6
2022-08-24 01:14:57.196000 10.706 9.47501 Clear 0 615.167 79.705 6
2022-08-24 01:14:57.296000 10.551 9.31868 Clear 0 615.093 79.655 6
2022-08-24 01:14:57.396000 10.191 8.95772 Clear 0 615.02 79.606 6
2022-08-24 01:14:57.496000 10.845 9.61061 Clear 0 614.948 79.556 6
2022-08-24 01:14:57.596000 9.967 8.73237 Clear 0 614.877 79.507 6
2022-08-24 01:14:57.696000 10.619 9.38338 Clear 0 614.807 79.457 6
2022-08-24 01:14:57.896000 10.403 9.16541 Clear 0 614.668 79.358 6
2022-08-24 01:14:57.996000 10.773 9.53371 Clear 0 614.601 79.308 6
2022-08-24 01:14:58.096000 10.7 9.45973 Clear 0 614.534 79.259 6
2022-08-24 01:14:58.196000 10.142 8.90056 Clear 0 614.468 79.209 6
2022-08-24 01:14:58.396000 10.766 9.52332 Clear 0 614.338 79.11 6
2022-08-24 01:14:58.496000 9.782 8.53839 Clear 0 614.274 79.06 6
2022-08-24 01:14:58.596000 9.992 8.74744 Clear 0 614.212 79.011 6
2022-08-24 01:14:58.696000 10.844 9.59823 Clear 0 614.15 78.961 6
2022-08-24 01:14:58.896000 10.041 8.79338 Clear 0 614.029 78.862 6
2022-08-24 01:14:58.996000 9.873 8.62426 Clear 0 613.97 78.812 6
2022-08-24 01:14:59.096000 10.593 9.34274 Clear 0 613.911 78.763 6
2022-08-24 01:14:59.196000 10.098 8.84688 Clear 0 613.854 78.713 6
2022-08-24 01:14:59.296000 10.232 8.97978 Clear 0 613.797 78.664 6
2022-08-24 01:14:59.396000 9.87 8.61725 Clear 0 613.741 78.614 6
2022-08-24 01:14:59.496000 10.23 8.97561 Clear 0 613.686 78.564 6
2022-08-24 01:14:59.596000 10.343 9.08808 Clear 0 613.632 78.515 6
2022-08-24 01:14:59.696000 10.381 9.12486 Clear 0 613.579 78.465 6
2022-08-24 01:14:59.796000 9.984 8.72683 Clear 0 613.527 78.416 6
2022-08-24 01:14:59.896000 10.676 9.41827 Clear 0 613.475 78.366 6
2022-08-24 01:14:59.996000 10.208 8.94889 Clear 0 613.425 78.316 6
2022-08-24 01:15:00.096000 10.148 8.88833 Clear 0 613.375 78.267 6
2022-08-24 01:15:00.196000 10.052 8.79104 Clear 0 613.326 78.217 6
2022-08-24 01:15:00.296000 10.338 9.07584 Clear 0 613.278 78.168 6
2022-08-24 01:15:00.396000 10.374 9.11063 Clear 0 613.231 78.118 6
2022-08-24 01:15:00.496000 10.372 9.10827 Clear 0 613.184 78.069 6
2022-08-24 01:15:00.596000 10.515 9.25135 Clear 0 613.139 78.019 6
2022-08-24 01:15:00.696000 10.287 9.02239 Clear 0 613.094 77.969 6
2022-08-24 01:15:00.796000 10.338 9.07204 Clear 0 613.051 77.92 6
2022-08-24 01:15:00.996000 9.599 8.33128 Clear 0 612.966 77.821 6
2022-08-24 01:15:01.196000 10.087 8.8171 Clear 0 612.884 77.722 6
