# satellite: 28650 HAMSAT / IND
# catalogue: 1 NORAD
# track: 26617353
# variability: 2 Periodic
# variability_period: 0.80008
# npoints: 120
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2023-10-15 01:47:00.001000 5.264 4.31497 Clear 0 655.666 88.142 3
2023-10-15 01:47:00.101000 7.462 6.512 Clear 0 655.346 88.119 3
2023-10-15 01:47:00.200000 8.084 7.13221 Clear 0 655.03 88.096 3
2023-10-15 01:47:00.300000 7.211 6.25748 Clear 0 654.711 88.074 3
2023-10-15 01:47:00.400000 6.221 5.26573 Clear 0 654.393 88.051 3
2023-10-15 01:47:00.500000 7.54 6.58377 Clear 0 654.075 88.028 3
2023-10-15 01:47:00.600000 8.19 7.23251 Clear 0 653.758 88.006 3
2023-10-15 01:47:00.701000 7.199 6.23987 Clear 0 653.439 87.983 3
2023-10-15 01:47:00.801000 7.124 6.16408 Clear 0 653.123 87.96 3
2023-10-15 01:47:00.901000 7.495 6.53344 Clear 0 652.808 87.937 3
2023-10-15 01:47:01.001000 8.274 7.31068 Clear 0 652.494 87.914 3
2023-10-15 01:47:01.100000 7.299 6.33356 Clear 0 652.184 87.891 3
2023-10-15 01:47:01.200000 7.304 6.33777 Clear 0 651.871 87.869 3
2023-10-15 01:47:01.300000 7.648 6.68033 Clear 0 651.559 87.846 3
2023-10-15 01:47:01.400000 8.508 7.53878 Clear 0 651.247 87.823 3
2023-10-15 01:47:01.500000 7.354 6.38327 Clear 0 650.936 87.8 3
2023-10-15 01:47:01.600000 7.412 6.44029 Clear 0 650.626 87.777 3
2023-10-15 01:47:01.700000 7.746 6.77198 Clear 0 650.316 87.754 3
2023-10-15 01:47:01.800000 8.486 7.51052 Clear 0 650.008 87.731 3
2023-10-15 01:47:01.900000 7.465 6.48906 Clear 0 649.699 87.708 3
2023-10-15 01:47:02 7.569 6.59058 Clear 0 649.392 87.685 3
2023-10-15 01:47:02.100000 7.551 6.57219 Clear 0 649.085 87.662 3
2023-10-15 01:47:02.200000 8.471 7.49026 Clear 0 648.779 87.639 3
2023-10-15 01:47:02.300000 7.593 6.61069 Clear 0 648.474 87.616 3
2023-10-15 01:47:02.400000 7.373 6.3888 Clear 0 648.169 87.593 3
2023-10-15 01:47:02.500000 7.754 6.76908 Clear 0 647.865 87.57 3
2023-10-15 01:47:02.600000 8.357 7.37037 Clear 0 647.561 87.547 3
2023-10-15 01:47:02.700000 7.673 6.68466 Clear 0 647.259 87.524 3
