# satellite: 29237 BLOCK DM-SL R/B / SEAL
# catalogue: 1 NORAD
# track: 7106397
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 436
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-03-26 01:29:30.984000 3.331 9.7653 Clear 0 24784.501 49.958 7
2015-03-26 01:29:31.084000 3.393 9.82692 Clear 0 24784.721 49.959 7
2015-03-26 01:29:31.184000 3.184 9.61792 Clear 0 24784.941 49.96 7
2015-03-26 01:29:31.284000 3.465 9.89944 Clear 0 24785.161 49.96 7
2015-03-26 01:29:31.384000 3.394 9.828 Clear 0 24785.38 49.961 7
2015-03-26 01:29:31.484000 3.835 10.2691 Clear 0 24785.6 49.961 7
2015-03-26 01:29:31.984000 3.511 9.94496 Clear 0 24786.699 49.964 7
2015-03-26 01:29:32.184000 3.19 9.62408 Clear 0 24787.139 49.965 7
2015-03-26 01:29:32.584000 3.204 9.63874 Clear 0 24788.018 49.967 7
2015-03-26 01:29:33.084000 3.356 9.79096 Clear 0 24789.116 49.97 7
2015-03-26 01:29:33.184000 3.211 9.64592 Clear 0 24789.336 49.97 7
2015-03-26 01:29:33.384000 3.141 9.57585 Clear 0 24789.776 49.971 7
2015-03-26 01:29:33.584000 3.097 9.53182 Clear 0 24790.215 49.972 7
2015-03-26 01:29:33.684000 2.866 9.30115 Clear 0 24790.435 49.973 7
2015-03-26 01:29:33.884000 3.498 9.93294 Clear 0 24790.874 49.974 7
2015-03-26 01:29:33.984000 3.292 9.72702 Clear 0 24791.094 49.974 7
2015-03-26 01:29:34.084000 3.055 9.49 Clear 0 24791.314 49.975 7
2015-03-26 01:29:34.184000 3.105 9.5395 Clear 0 24791.534 49.975 7
2015-03-26 01:29:34.284000 3.352 9.78681 Clear 0 24791.753 49.976 7
2015-03-26 01:29:34.384000 3.255 9.68965 Clear 0 24791.973 49.976 7
2015-03-26 01:29:34.584000 3.538 9.97317 Clear 0 24792.412 49.978 7
2015-03-26 01:29:34.784000 2.965 9.39947 Clear 0 24792.852 49.979 7
2015-03-26 01:29:34.884000 3.038 9.47276 Clear 0 24793.072 49.979 7
2015-03-26 01:29:34.984000 3.111 9.54561 Clear 0 24793.291 49.98 7
2015-03-26 01:29:35.184000 3.237 9.67147 Clear 0 24793.731 49.981 7
2015-03-26 01:29:35.284000 3.238 9.67332 Clear 0 24793.95 49.981 7
2015-03-26 01:29:35.384000 2.992 9.4267 Clear 0 24794.17 49.982 7
2015-03-26 01:29:35.484000 3.077 9.51149 Clear 0 24794.39 49.982 7
2015-03-26 01:29:35.584000 3.073 9.50794 Clear 0 24794.609 49.983 7
2015-03-26 01:29:35.684000 3.127 9.56207 Clear 0 24794.829 49.983 7
2015-03-26 01:29:35.884000 3.108 9.54275 Clear 0 24795.269 49.984 7
2015-03-26 01:29:35.984000 3.129 9.56414 Clear 0 24795.488 49.985 7
2015-03-26 01:29:36.084000 3.012 9.4465 Clear 0 24795.708 49.986 7
2015-03-26 01:29:36.184000 3.094 9.52941 Clear 0 24795.928 49.986 7
2015-03-26 01:29:36.284000 3.095 9.53021 Clear 0 24796.147 49.987 7
2015-03-26 01:29:36.384000 2.853 9.28807 Clear 0 24796.367 49.987 7
2015-03-26 01:29:36.484000 2.91 9.34475 Clear 0 24796.587 49.988 7
2015-03-26 01:29:36.584000 3.407 9.84211 Clear 0 24796.806 49.988 7
2015-03-26 01:29:36.684000 3.027 9.4633 Clear 0 24797.026 49.989 7
2015-03-26 01:29:36.784000 3.016 9.45207 Clear 0 24797.246 49.989 7
2015-03-26 01:29:36.884000 3.224 9.65998 Clear 0 24797.465 49.99 7
2015-03-26 01:29:36.984000 2.761 9.1972 Clear 0 24797.685 49.99 7
2015-03-26 01:29:37.084000 2.703 9.13893 Clear 0 24797.905 49.991 7
