# satellite: 30608 FENGYUN 1C DEB / PRC
# catalogue: 1 NORAD
# track: 14046145
# variability: 2 Periodic
# variability_period: 4.340395464
# npoints: 597
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-11-12 15:54:35.794000 8.679 8.37611 Clear 0 963.89 76.655 9
2018-11-12 15:54:35.894000 8.685 8.3805 Clear 0 963.551 76.656 9
2018-11-12 15:54:35.994000 8.926 8.62147 Clear 0 963.212 76.658 9
2018-11-12 15:54:36.094000 8.295 7.98966 Clear 0 962.874 76.659 9
2018-11-12 15:54:36.194000 8.157 7.85081 Clear 0 962.536 76.661 9
2018-11-12 15:54:36.294000 7.831 7.52516 Clear 0 962.199 76.662 9
2018-11-12 15:54:36.394000 7.784 7.47717 Clear 0 961.861 76.664 9
2018-11-12 15:54:36.494000 8.193 7.88509 Clear 0 961.525 76.665 9
2018-11-12 15:54:36.594000 8.103 7.79392 Clear 0 961.188 76.667 9
2018-11-12 15:54:36.694000 8.958 8.6489 Clear 0 960.852 76.669 9
2018-11-12 15:54:36.794000 8.991 8.68109 Clear 0 960.517 76.67 9
2018-11-12 15:54:36.994000 10.236 9.92383 Clear 0 959.847 76.673 9
2018-11-12 15:54:38.493000 9.098 8.77456 Clear 0 954.878 76.698 9
2018-11-12 15:54:38.593000 7.762 7.43933 Clear 0 954.549 76.7 9
2018-11-12 15:54:38.693000 7.761 7.4366 Clear 0 954.222 76.702 9
2018-11-12 15:54:38.793000 7.64 7.31469 Clear 0 953.894 76.704 9
2018-11-12 15:54:38.893000 7.705 7.38037 Clear 0 953.567 76.705 9
2018-11-12 15:54:38.993000 8.205 7.87874 Clear 0 953.241 76.707 9
2018-11-12 15:54:39.093000 8.585 8.25757 Clear 0 952.914 76.709 9
2018-11-12 15:54:39.193000 8.249 7.92129 Clear 0 952.589 76.711 9
2018-11-12 15:54:39.293000 8.122 7.79426 Clear 0 952.263 76.713 9
2018-11-12 15:54:39.393000 9.171 8.84244 Clear 0 951.938 76.714 9
2018-11-12 15:54:39.493000 8.73 8.40039 Clear 0 951.614 76.716 9
2018-11-12 15:54:39.593000 8.229 7.89943 Clear 0 951.29 76.718 9
2018-11-12 15:54:39.693000 8.917 8.586 Clear 0 950.966 76.72 9
2018-11-12 15:54:39.793000 8.975 8.64309 Clear 0 950.643 76.722 9
2018-11-12 15:54:39.893000 8.861 8.52825 Clear 0 950.32 76.724 9
2018-11-12 15:54:39.893000 8.736 8.40254 Clear 0 950.32 76.724 9
2018-11-12 15:54:39.993000 8.89 8.55687 Clear 0 949.998 76.726 9
2018-11-12 15:54:39.993000 8.83 8.49742 Clear 0 949.998 76.726 9
2018-11-12 15:54:40.093000 8.166 7.83159 Clear 0 949.676 76.727 9
2018-11-12 15:54:40.193000 8.381 8.04641 Clear 0 949.354 76.729 9
2018-11-12 15:54:40.293000 8.344 8.00862 Clear 0 949.033 76.731 9
2018-11-12 15:54:40.393000 7.891 7.55507 Clear 0 948.712 76.733 9
2018-11-12 15:54:40.493000 8.091 7.75403 Clear 0 948.392 76.735 9
2018-11-12 15:54:40.593000 7.676 7.33893 Clear 0 948.072 76.737 9
2018-11-12 15:54:40.693000 7.654 7.31588 Clear 0 947.752 76.739 9
2018-11-12 15:54:40.793000 7.97 7.63111 Clear 0 947.433 76.741 9
2018-11-12 15:54:40.893000 8.007 7.66669 Clear 0 947.115 76.743 9
2018-11-12 15:54:40.993000 8.392 8.05163 Clear 0 946.796 76.745 9
2018-11-12 15:54:41.093000 8.411 8.07033 Clear 0 946.479 76.747 9
2018-11-12 15:54:41.193000 8.807 8.46467 Clear 0 946.161 76.749 9
2018-11-12 15:54:41.293000 8.666 8.32346 Clear 0 945.844 76.751 9
2018-11-12 15:54:41.393000 9.176 8.83307 Clear 0 945.528 76.753 9
2018-11-12 15:54:41.493000 9.266 8.92214 Clear 0 945.212 76.755 9
2018-11-12 15:54:41.593000 9.31 8.96587 Clear 0 944.896 76.757 9
2018-11-12 15:54:41.693000 9.355 9.01044 Clear 0 944.581 76.759 9
2018-11-12 15:54:41.793000 9.082 8.73627 Clear 0 944.266 76.761 9
