# satellite: 30608 FENGYUN 1C DEB / PRC
# catalogue: 1 NORAD
# track: 18293406
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 185
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-09-21 17:02:15.796000 8.613 8.57504 Clear 0 925.536 96.353 9
2020-09-21 17:02:15.896000 8.611 8.57409 Clear 0 925.742 96.376 9
2020-09-21 17:02:15.996000 8.47 8.43378 Clear 0 925.949 96.399 9
2020-09-21 17:02:16.096000 9.204 9.16884 Clear 0 926.156 96.423 9
2020-09-21 17:02:16.196000 9.627 9.59264 Clear 0 926.364 96.446 9
2020-09-21 17:02:16.396000 8.851 8.81888 Clear 0 926.781 96.493 9
2020-09-21 17:02:16.496000 9.468 9.43686 Clear 0 926.99 96.516 9
2020-09-21 17:02:16.596000 9.334 9.30346 Clear 0 927.2 96.539 9
2020-09-21 17:02:16.796000 9.294 9.26636 Clear 0 927.621 96.586 9
2020-09-21 17:02:16.896000 8.425 8.39753 Clear 0 927.832 96.609 9
2020-09-21 17:02:16.996000 8.403 8.37659 Clear 0 928.044 96.632 9
2020-09-21 17:02:17.096000 8.958 8.93294 Clear 0 928.256 96.656 9
2020-09-21 17:02:17.296000 8.92 8.89691 Clear 0 928.682 96.702 9
2020-09-21 17:02:20.696000 8.5 8.51107 Clear 0 936.217 97.484 9
2020-09-21 17:02:20.796000 9.018 9.03044 Clear 0 936.447 97.507 9
2020-09-21 17:02:20.896000 8.603 8.61577 Clear 0 936.677 97.53 9
2020-09-21 17:02:20.996000 8.457 8.47117 Clear 0 936.908 97.553 9
2020-09-21 17:02:21.096000 8.624 8.6394 Clear 0 937.14 97.575 9
2020-09-21 17:02:21.196000 8.959 8.97504 Clear 0 937.372 97.598 9
2020-09-21 17:02:21.296000 9.384 9.40117 Clear 0 937.604 97.621 9
2020-09-21 17:02:21.396000 9.117 9.13516 Clear 0 937.837 97.643 9
2020-09-21 17:02:21.496000 8.165 8.18403 Clear 0 938.07 97.666 9
2020-09-21 17:02:21.596000 8.903 8.92299 Clear 0 938.304 97.689 9
2020-09-21 17:02:21.696000 8.741 8.76196 Clear 0 938.538 97.712 9
2020-09-21 17:02:21.796000 8.314 8.33548 Clear 0 938.773 97.734 9
2020-09-21 17:02:21.896000 8.772 8.79489 Clear 0 939.008 97.757 9
2020-09-21 17:02:21.996000 8.637 8.66045 Clear 0 939.244 97.779 9
2020-09-21 17:02:22.096000 8.409 8.43352 Clear 0 939.48 97.802 9
2020-09-21 17:02:22.196000 8.552 8.57766 Clear 0 939.717 97.825 9
2020-09-21 17:02:22.296000 9.251 9.27819 Clear 0 939.954 97.847 9
2020-09-21 17:02:22.396000 9.331 9.35992 Clear 0 940.191 97.87 9
2020-09-21 17:02:25.396000 8.751 8.81144 Clear 0 947.534 98.542 9
2020-09-21 17:02:25.496000 8.787 8.84839 Clear 0 947.786 98.564 9
2020-09-21 17:02:25.596000 9.001 9.06299 Clear 0 948.038 98.586 9
2020-09-21 17:02:25.696000 8.5 8.56334 Clear 0 948.291 98.608 9
2020-09-21 17:02:25.796000 8.73 8.79372 Clear 0 948.545 98.63 9
2020-09-21 17:02:25.896000 8.392 8.45646 Clear 0 948.798 98.652 9
2020-09-21 17:02:25.996000 8.558 8.62476 Clear 0 949.052 98.674 9
2020-09-21 17:02:26.096000 8.786 8.85395 Clear 0 949.307 98.697 9
2020-09-21 17:02:26.196000 8.889 8.95787 Clear 0 949.562 98.719 9
2020-09-21 17:02:26.296000 9.158 9.2281 Clear 0 949.818 98.741 9
2020-09-21 17:02:26.396000 9.135 9.20561 Clear 0 950.074 98.763 9
2020-09-21 17:02:26.496000 8.451 8.52324 Clear 0 950.33 98.785 9
2020-09-21 17:02:26.596000 8.715 8.78827 Clear 0 950.587 98.807 9
2020-09-21 17:02:26.696000 8.744 8.81769 Clear 0 950.845 98.829 9
2020-09-21 17:02:26.796000 8.303 8.37747 Clear 0 951.102 98.851 9
2020-09-21 17:02:26.896000 8.447 8.52324 Clear 0 951.361 98.873 9
2020-09-21 17:02:26.996000 8.691 8.76813 Clear 0 951.619 98.895 9
2020-09-21 17:02:27.096000 9.062 9.14043 Clear 0 951.879 98.917 9
2020-09-21 17:02:27.196000 8.852 8.93076 Clear 0 952.138 98.939 9
2020-09-21 17:02:27.296000 8.939 9.02043 Clear 0 952.398 98.961 9
2020-09-21 17:02:27.396000 9.415 9.49647 Clear 0 952.659 98.983 9
2020-09-21 17:02:30.296000 9.118 9.23082 Clear 0 960.409 99.613 9
2020-09-21 17:02:30.396000 9.127 9.24135 Clear 0 960.683 99.634 9
2020-09-21 17:02:30.496000 9.029 9.14365 Clear 0 960.958 99.656 9
2020-09-21 17:02:30.596000 8.907 9.02403 Clear 0 961.232 99.677 9
2020-09-21 17:02:30.696000 9.209 9.32656 Clear 0 961.508 99.699 9
2020-09-21 17:02:30.796000 9.018 9.13722 Clear 0 961.783 99.72 9
2020-09-21 17:02:30.896000 8.179 8.29885 Clear 0 962.059 99.741 9
