# satellite: 30608 FENGYUN 1C DEB / PRC
# catalogue: 1 NORAD
# track: 19599432
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 105
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2021-08-26 17:39:39.885000 8.307 8.49416 Clear 0 1017.993 97.237 7
2021-08-26 17:39:39.985000 8.194 8.38242 Clear 0 1017.929 97.266 7
2021-08-26 17:39:40.085000 8.208 8.39593 Clear 0 1017.865 97.294 7
2021-08-26 17:39:40.185000 8.0 8.18846 Clear 0 1017.802 97.322 7
2021-08-26 17:39:40.285000 8.486 8.67454 Clear 0 1017.74 97.351 7
2021-08-26 17:39:40.385000 7.86 8.04985 Clear 0 1017.677 97.379 7
2021-08-26 17:39:40.485000 8.432 8.62237 Clear 0 1017.616 97.407 7
2021-08-26 17:39:40.585000 7.975 8.16625 Clear 0 1017.554 97.436 7
2021-08-26 17:39:40.685000 7.625 7.8162 Clear 0 1017.494 97.464 7
2021-08-26 17:39:40.785000 8.371 8.5629 Clear 0 1017.433 97.493 7
2021-08-26 17:39:40.885000 7.904 8.09635 Clear 0 1017.374 97.521 7
2021-08-26 17:39:40.985000 8.212 8.40482 Clear 0 1017.314 97.549 7
2021-08-26 17:39:41.085000 7.704 7.89668 Clear 0 1017.255 97.578 7
2021-08-26 17:39:41.185000 8.391 8.58447 Clear 0 1017.197 97.606 7
2021-08-26 17:39:41.285000 7.85 8.04428 Clear 0 1017.139 97.635 7
2021-08-26 17:39:41.485000 8.286 8.48131 Clear 0 1017.025 97.692 7
2021-08-26 17:39:41.585000 7.782 7.97838 Clear 0 1016.969 97.72 7
2021-08-26 17:39:41.685000 7.705 7.90117 Clear 0 1016.913 97.748 7
2021-08-26 17:39:41.785000 8.093 8.29019 Clear 0 1016.857 97.777 7
2021-08-26 17:39:41.885000 7.526 7.72331 Clear 0 1016.802 97.805 7
2021-08-26 17:39:41.985000 7.565 7.76314 Clear 0 1016.748 97.834 7
2021-08-26 17:39:42.085000 7.647 7.84462 Clear 0 1016.694 97.862 7
2021-08-26 17:39:42.185000 8.016 8.21514 Clear 0 1016.641 97.891 7
2021-08-26 17:39:42.285000 7.488 7.68735 Clear 0 1016.588 97.919 7
2021-08-26 17:39:42.385000 7.736 7.9358 Clear 0 1016.535 97.947 7
2021-08-26 17:39:42.485000 7.9 8.1004 Clear 0 1016.483 97.976 7
2021-08-26 17:39:42.585000 8.409 8.61007 Clear 0 1016.432 98.004 7
2021-08-26 17:39:42.685000 8.588 8.78876 Clear 0 1016.38 98.033 7
2021-08-26 17:39:44.885000 7.902 8.11489 Clear 0 1015.381 98.659 7
2021-08-26 17:39:44.985000 8.624 8.83734 Clear 0 1015.341 98.687 7
2021-08-26 17:39:45.085000 7.677 7.8911 Clear 0 1015.302 98.716 7
2021-08-26 17:39:45.185000 7.47 7.68459 Clear 0 1015.263 98.744 7
2021-08-26 17:39:45.285000 7.404 7.61882 Clear 0 1015.225 98.773 7
2021-08-26 17:39:45.385000 7.868 8.08387 Clear 0 1015.187 98.801 7
2021-08-26 17:39:45.485000 7.762 7.97758 Clear 0 1015.15 98.83 7
2021-08-26 17:39:45.585000 7.947 8.16386 Clear 0 1015.113 98.858 7
2021-08-26 17:39:45.685000 8.345 8.56152 Clear 0 1015.076 98.887 7
2021-08-26 17:39:45.785000 8.019 8.23737 Clear 0 1015.04 98.915 7
2021-08-26 17:39:45.885000 8.11 8.32837 Clear 0 1015.005 98.944 7
2021-08-26 17:39:45.985000 7.846 8.06498 Clear 0 1014.97 98.972 7
2021-08-26 17:39:46.085000 8.158 8.37719 Clear 0 1014.936 99.001 7
2021-08-26 17:39:46.185000 7.953 8.17248 Clear 0 1014.902 99.029 7
2021-08-26 17:39:46.285000 8.199 8.41981 Clear 0 1014.868 99.058 7
2021-08-26 17:39:46.385000 7.438 7.65912 Clear 0 1014.835 99.086 7
2021-08-26 17:39:46.485000 7.889 8.11125 Clear 0 1014.803 99.115 7
2021-08-26 17:39:46.585000 8.226 8.44795 Clear 0 1014.771 99.143 7
