# satellite: 3094 DELTA 1 R/B / US
# catalogue: 1 NORAD
# track: 10306168
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 393
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-03-02 16:01:26.598000 8.565 9.06244 Clear 0 1581.171 54.112 5
2016-03-02 16:01:26.698000 8.617 9.1125 Clear 0 1580.856 54.114 5
2016-03-02 16:01:26.798000 8.679 9.17518 Clear 0 1580.542 54.115 5
2016-03-02 16:01:26.998000 8.905 9.39989 Clear 0 1579.914 54.119 5
2016-03-02 16:01:27.098000 8.838 9.33236 Clear 0 1579.6 54.12 5
2016-03-02 16:01:27.198000 8.831 9.32511 Clear 0 1579.287 54.122 5
2016-03-02 16:01:27.298000 8.409 8.90249 Clear 0 1578.973 54.123 5
2016-03-02 16:01:27.398000 8.391 8.88368 Clear 0 1578.66 54.125 5
2016-03-02 16:01:27.498000 8.577 9.07026 Clear 0 1578.347 54.127 5
2016-03-02 16:01:27.698000 8.675 9.16656 Clear 0 1577.722 54.13 5
2016-03-02 16:01:27.898000 9.115 9.606 Clear 0 1577.098 54.133 5
2016-03-02 16:01:27.998000 8.812 9.30276 Clear 0 1576.786 54.135 5
2016-03-02 16:01:28.198000 8.644 9.13426 Clear 0 1576.164 54.138 5
2016-03-02 16:01:28.298000 8.975 9.46469 Clear 0 1575.852 54.14 5
2016-03-02 16:01:28.598000 8.671 9.15878 Clear 0 1574.921 54.145 5
2016-03-02 16:01:28.698000 8.447 8.93479 Clear 0 1574.61 54.147 5
2016-03-02 16:01:28.798000 8.496 8.98248 Clear 0 1574.3 54.148 5
2016-03-02 16:01:28.898000 8.307 8.79423 Clear 0 1573.991 54.15 5
2016-03-02 16:01:28.998000 8.454 8.94048 Clear 0 1573.681 54.152 5
2016-03-02 16:01:29.198000 8.295 8.78089 Clear 0 1573.063 54.155 5
2016-03-02 16:01:29.298000 8.661 9.14545 Clear 0 1572.754 54.157 5
2016-03-02 16:01:29.398000 8.771 9.25552 Clear 0 1572.445 54.159 5
2016-03-02 16:01:29.598000 8.45 8.9337 Clear 0 1571.828 54.163 5
2016-03-02 16:01:29.799000 8.292 8.77529 Clear 0 1571.21 54.166 6
2016-03-02 16:01:29.898000 9.067 9.54998 Clear 0 1570.905 54.168 5
