# satellite: 3094 DELTA 1 R/B / US
# catalogue: 1 NORAD
# track: 10426099
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 1327
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-05-30 19:15:17.697000 7.611 8.40329 Clear 0 1550.862 80.655 8
2016-05-30 19:15:17.797000 7.747 8.53903 Clear 0 1550.988 80.642 8
2016-05-30 19:15:17.897000 7.982 8.77388 Clear 0 1551.113 80.63 8
2016-05-30 19:15:17.997000 7.57 8.36194 Clear 0 1551.239 80.617 8
2016-05-30 19:15:18.097000 7.635 8.42714 Clear 0 1551.365 80.605 8
2016-05-30 19:15:18.197000 7.573 8.36492 Clear 0 1551.492 80.592 8
2016-05-30 19:15:18.297000 7.323 8.11499 Clear 0 1551.618 80.58 8
2016-05-30 19:15:18.397000 7.571 8.36343 Clear 0 1551.745 80.567 8
2016-05-30 19:15:18.497000 7.544 8.3362 Clear 0 1551.872 80.555 8
2016-05-30 19:15:18.597000 7.546 8.33801 Clear 0 1552.0 80.542 8
2016-05-30 19:15:18.697000 7.732 8.5238 Clear 0 1552.127 80.53 8
2016-05-30 19:15:18.797000 7.649 8.44106 Clear 0 1552.255 80.517 8
2016-05-30 19:15:18.897000 7.71 8.50156 Clear 0 1552.384 80.505 8
2016-05-30 19:15:18.997000 7.438 8.2303 Clear 0 1552.512 80.493 8
2016-05-30 19:15:19.097000 7.409 8.20103 Clear 0 1552.641 80.48 8
2016-05-30 19:15:19.197000 7.497 8.2889 Clear 0 1552.77 80.468 8
2016-05-30 19:15:19.297000 7.453 8.24457 Clear 0 1552.899 80.455 8
2016-05-30 19:15:19.397000 7.471 8.26311 Clear 0 1553.029 80.443 8
2016-05-30 19:15:19.497000 7.47 8.26209 Clear 0 1553.158 80.43 8
2016-05-30 19:15:19.597000 7.657 8.44869 Clear 0 1553.289 80.418 8
2016-05-30 19:15:19.797000 7.623 8.41495 Clear 0 1553.55 80.393 8
2016-05-30 19:15:19.897000 7.618 8.41027 Clear 0 1553.68 80.381 8
2016-05-30 19:15:19.997000 7.745 8.53684 Clear 0 1553.812 80.368 8
2016-05-30 19:15:20.097000 7.807 8.59939 Clear 0 1553.943 80.356 8
2016-05-30 19:15:20.197000 7.445 8.23725 Clear 0 1554.075 80.343 8
2016-05-30 19:15:20.297000 7.579 8.37054 Clear 0 1554.207 80.331 8
2016-05-30 19:15:20.397000 7.967 8.75876 Clear 0 1554.339 80.319 8
2016-05-30 19:15:20.497000 7.655 8.44708 Clear 0 1554.471 80.306 8
2016-05-30 19:15:20.597000 7.811 8.6031 Clear 0 1554.604 80.294 8
2016-05-30 19:15:20.697000 7.622 8.41339 Clear 0 1554.737 80.281 8
2016-05-30 19:15:20.797000 7.856 8.64721 Clear 0 1554.87 80.269 8
2016-05-30 19:15:20.997000 7.571 8.36157 Clear 0 1555.138 80.244 8
2016-05-30 19:15:21.097000 7.638 8.42911 Clear 0 1555.272 80.232 8
2016-05-30 19:15:21.297000 7.613 8.40406 Clear 0 1555.54 80.207 8
2016-05-30 19:15:21.397000 7.676 8.46699 Clear 0 1555.675 80.195 8
2016-05-30 19:15:21.497000 7.61 8.40136 Clear 0 1555.81 80.182 8
2016-05-30 19:15:21.597000 7.542 8.33293 Clear 0 1555.946 80.17 8
2016-05-30 19:15:21.697000 7.433 8.22439 Clear 0 1556.081 80.158 8
2016-05-30 19:15:21.797000 7.518 8.30856 Clear 0 1556.217 80.145 8
2016-05-30 19:15:21.897000 7.453 8.24357 Clear 0 1556.354 80.133 8
2016-05-30 19:15:21.997000 7.382 8.17315 Clear 0 1556.49 80.121 8
2016-05-30 19:15:22.197000 7.699 8.48978 Clear 0 1556.764 80.096 8
2016-05-30 19:15:22.297000 7.599 8.38984 Clear 0 1556.901 80.084 8
2016-05-30 19:15:22.397000 7.546 8.33692 Clear 0 1557.038 80.071 8
2016-05-30 19:15:22.497000 7.681 8.47233 Clear 0 1557.176 80.059 8
2016-05-30 19:15:22.597000 7.377 8.16784 Clear 0 1557.314 80.047 8
2016-05-30 19:15:22.697000 7.584 8.37505 Clear 0 1557.452 80.034 8
2016-05-30 19:15:22.797000 7.603 8.39405 Clear 0 1557.591 80.022 8
2016-05-30 19:15:22.997000 7.53 8.32139 Clear 0 1557.869 79.997 8
2016-05-30 19:15:23.097000 7.433 8.22373 Clear 0 1558.008 79.985 8
2016-05-30 19:15:23.197000 7.405 8.19591 Clear 0 1558.148 79.973 8
2016-05-30 19:15:23.297000 7.513 8.30396 Clear 0 1558.288 79.961 8
2016-05-30 19:15:23.397000 7.846 8.63661 Clear 0 1558.428 79.948 8
2016-05-30 19:15:23.497000 7.454 8.24491 Clear 0 1558.568 79.936 8
2016-05-30 19:15:23.597000 7.741 8.53161 Clear 0 1558.709 79.924 8
2016-05-30 19:15:23.697000 7.435 8.2257 Clear 0 1558.85 79.911 8
2016-05-30 19:15:23.797000 7.416 8.20682 Clear 0 1558.991 79.899 8
2016-05-30 19:15:23.897000 7.563 8.35378 Clear 0 1559.132 79.887 8
2016-05-30 19:15:23.997000 7.782 8.5733 Clear 0 1559.274 79.875 8
2016-05-30 19:15:24.097000 7.527 8.31817 Clear 0 1559.416 79.862 8
2016-05-30 19:15:24.297000 7.791 8.58147 Clear 0 1559.7 79.838 8
2016-05-30 19:15:24.397000 7.327 8.11796 Clear 0 1559.843 79.826 8
2016-05-30 19:15:24.497000 7.757 8.54827 Clear 0 1559.986 79.813 8
2016-05-30 19:15:24.597000 7.673 8.46371 Clear 0 1560.13 79.801 8
2016-05-30 19:15:24.697000 7.632 8.4228 Clear 0 1560.273 79.789 8
2016-05-30 19:15:24.797000 7.561 8.35231 Clear 0 1560.417 79.777 8
2016-05-30 19:15:24.897000 7.646 8.43666 Clear 0 1560.561 79.765 8
2016-05-30 19:15:24.997000 7.507 8.29763 Clear 0 1560.705 79.752 8
2016-05-30 19:15:25.097000 7.472 8.26311 Clear 0 1560.85 79.74 8
2016-05-30 19:15:25.197000 7.317 8.10789 Clear 0 1560.995 79.728 8
2016-05-30 19:15:25.397000 7.5 8.29064 Clear 0 1561.285 79.704 8
2016-05-30 19:15:25.497000 7.311 8.10231 Clear 0 1561.431 79.691 8
2016-05-30 19:15:25.597000 7.583 8.3743 Clear 0 1561.577 79.679 8
2016-05-30 19:15:25.697000 7.356 8.14688 Clear 0 1561.723 79.667 8
2016-05-30 19:15:25.797000 7.577 8.36754 Clear 0 1561.869 79.655 8
2016-05-30 19:15:26.499000 7.603 8.3952 Clear 0 1562.904 79.569 8
2016-05-30 19:15:26.599000 7.424 8.21589 Clear 0 1563.053 79.557 8
2016-05-30 19:15:26.699000 7.507 8.29904 Clear 0 1563.201 79.545 8
2016-05-30 19:15:26.799000 7.549 8.3413 Clear 0 1563.35 79.533 8
2016-05-30 19:15:26.899000 7.27 8.06148 Clear 0 1563.5 79.521 8
2016-05-30 19:15:26.999000 7.322 8.1138 Clear 0 1563.649 79.509 8
2016-05-30 19:15:27.099000 7.477 8.2689 Clear 0 1563.799 79.497 8
2016-05-30 19:15:27.198000 7.356 8.1481 Clear 0 1563.948 79.485 8
2016-05-30 19:15:27.298000 7.661 8.45314 Clear 0 1564.098 79.472 8
2016-05-30 19:15:27.398000 7.704 8.49608 Clear 0 1564.249 79.46 8
2016-05-30 19:15:27.498000 7.302 8.09385 Clear 0 1564.399 79.448 8
2016-05-30 19:15:27.598000 7.54 8.3322 Clear 0 1564.55 79.436 8
2016-05-30 19:15:27.698000 7.484 8.27644 Clear 0 1564.702 79.424 8
2016-05-30 19:15:27.798000 7.639 8.43072 Clear 0 1564.853 79.412 8
2016-05-30 19:15:27.898000 7.33 8.12146 Clear 0 1565.005 79.4 8
2016-05-30 19:15:28.098000 7.41 8.2019 Clear 0 1565.31 79.376 8
2016-05-30 19:15:28.198000 7.32 8.11162 Clear 0 1565.462 79.364 8
2016-05-30 19:15:28.298000 7.79 8.58208 Clear 0 1565.615 79.352 8
