# satellite: 32258 WGS F1 (USA 195) / US
# catalogue: 1 NORAD
# track: 12604849
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 659
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-09-04 00:55:39.198000 2.353 9.6126 Clear 0 38033.154 36.0 7
2017-09-04 00:55:39.298000 2.074 9.33408 Clear 0 38033.154 36.0 7
2017-09-04 00:55:39.398000 2.001 9.26076 Clear 0 38033.154 36.001 7
2017-09-04 00:55:39.498000 1.908 9.1678 Clear 0 38033.154 36.001 7
2017-09-04 00:55:39.598000 2.167 9.4269 Clear 0 38033.154 36.002 7
2017-09-04 00:55:39.698000 1.912 9.17183 Clear 0 38033.154 36.002 7
2017-09-04 00:55:39.798000 1.858 9.11745 Clear 0 38033.154 36.002 7
2017-09-04 00:55:39.898000 1.86 9.12004 Clear 0 38033.154 36.003 7
2017-09-04 00:55:39.998000 1.371 8.63079 Clear 0 38033.154 36.003 7
2017-09-04 00:55:40.098000 1.412 8.67173 Clear 0 38033.154 36.004 7
2017-09-04 00:55:40.198000 1.831 9.0905 Clear 0 38033.154 36.004 7
2017-09-04 00:55:40.298000 1.69 8.95011 Clear 0 38033.154 36.004 7
2017-09-04 00:55:40.398000 1.443 8.70321 Clear 0 38033.154 36.005 7
2017-09-04 00:55:40.498000 1.482 8.74172 Clear 0 38033.154 36.005 7
2017-09-04 00:55:40.598000 1.327 8.58655 Clear 0 38033.154 36.006 7
2017-09-04 00:55:40.698000 1.312 8.57234 Clear 0 38033.154 36.006 7
2017-09-04 00:55:40.798000 1.404 8.66369 Clear 0 38033.154 36.007 7
2017-09-04 00:55:40.898000 0.93 8.18986 Clear 0 38033.154 36.007 7
2017-09-04 00:55:40.998000 1.01 8.26967 Clear 0 38033.155 36.007 7
2017-09-04 00:55:41.098000 1.431 8.69138 Clear 0 38033.155 36.008 7
2017-09-04 00:55:41.198000 1.107 8.36718 Clear 0 38033.155 36.008 7
2017-09-04 00:55:41.298000 1.227 8.48698 Clear 0 38033.155 36.009 7
2017-09-04 00:55:41.398000 1.238 8.49777 Clear 0 38033.155 36.009 7
2017-09-04 00:55:41.498000 1.164 8.42394 Clear 0 38033.155 36.009 7
2017-09-04 00:55:41.598000 0.917 8.17728 Clear 0 38033.155 36.01 7
2017-09-04 00:55:41.698000 1.302 8.56155 Clear 0 38033.155 36.01 7
2017-09-04 00:55:41.798000 1.12 8.37984 Clear 0 38033.155 36.011 7
2017-09-04 00:55:41.898000 0.867 8.12674 Clear 0 38033.155 36.011 7
2017-09-04 00:55:41.998000 1.118 8.37792 Clear 0 38033.155 36.012 7
2017-09-04 00:55:42.098000 0.906 8.16606 Clear 0 38033.155 36.012 7
2017-09-04 00:55:42.198000 1.286 8.54578 Clear 0 38033.155 36.012 7
2017-09-04 00:55:42.298000 1.079 8.3386 Clear 0 38033.155 36.013 7
2017-09-04 00:55:42.398000 1.276 8.53561 Clear 0 38033.155 36.013 7
2017-09-04 00:55:42.498000 1.397 8.65706 Clear 0 38033.155 36.014 7
2017-09-04 00:55:42.598000 1.157 8.41666 Clear 0 38033.155 36.014 7
2017-09-04 00:55:42.698000 1.438 8.69775 Clear 0 38033.155 36.014 7
2017-09-04 00:55:42.798000 0.852 8.11149 Clear 0 38033.155 36.015 7
2017-09-04 00:55:42.898000 1.223 8.48292 Clear 0 38033.155 36.015 7
2017-09-04 00:55:42.998000 1.26 8.51995 Clear 0 38033.155 36.016 7
2017-09-04 00:55:43.098000 1.086 8.3462 Clear 0 38033.155 36.016 7
2017-09-04 00:55:43.198000 1.292 8.55164 Clear 0 38033.156 36.016 7
2017-09-04 00:55:43.298000 1.243 8.50342 Clear 0 38033.156 36.017 7
2017-09-04 00:55:43.398000 1.494 8.75418 Clear 0 38033.156 36.017 7
2017-09-04 00:55:43.498000 0.871 8.13092 Clear 0 38033.156 36.018 7
2017-09-04 00:55:43.598000 1.457 8.7171 Clear 0 38033.156 36.018 7
2017-09-04 00:55:43.698000 1.534 8.7942 Clear 0 38033.156 36.019 7
2017-09-04 00:55:43.798000 1.296 8.55603 Clear 0 38033.156 36.019 7
2017-09-04 00:55:43.898000 1.797 9.05658 Clear 0 38033.156 36.019 7
2017-09-04 00:55:43.998000 1.413 8.67261 Clear 0 38033.156 36.02 7
2017-09-04 00:55:44.098000 1.465 8.72483 Clear 0 38033.156 36.02 7
2017-09-04 00:55:44.198000 1.59 8.84972 Clear 0 38033.156 36.021 7
2017-09-04 00:55:44.298000 1.679 8.939 Clear 0 38033.156 36.021 7
2017-09-04 00:55:44.397000 1.682 8.94168 Clear 0 38033.156 36.021 7
2017-09-04 00:55:44.497000 1.704 8.96417 Clear 0 38033.156 36.022 7
2017-09-04 00:55:44.597000 1.453 8.71304 Clear 0 38033.156 36.022 7
2017-09-04 00:55:44.697000 1.624 8.88415 Clear 0 38033.156 36.023 7
2017-09-04 00:55:44.797000 1.701 8.96063 Clear 0 38033.156 36.023 7
2017-09-04 00:55:44.897000 1.505 8.76517 Clear 0 38033.156 36.023 7
2017-09-04 00:55:44.997000 1.588 8.84768 Clear 0 38033.156 36.024 7
2017-09-04 00:55:45.097000 1.643 8.90337 Clear 0 38033.156 36.024 7
2017-09-04 00:55:45.197000 1.798 9.05778 Clear 0 38033.156 36.025 7
2017-09-04 00:55:45.297000 1.981 9.24074 Clear 0 38033.156 36.025 7
2017-09-04 00:55:45.397000 1.635 8.89484 Clear 0 38033.157 36.026 7
2017-09-04 00:55:45.497000 1.705 8.96512 Clear 0 38033.157 36.026 7
2017-09-04 00:55:45.597000 2.134 9.39402 Clear 0 38033.157 36.026 7
2017-09-04 00:55:45.697000 1.923 9.18272 Clear 0 38033.157 36.027 7
2017-09-04 00:55:45.797000 1.641 8.90088 Clear 0 38033.157 36.027 7
2017-09-04 00:55:45.897000 1.702 8.96243 Clear 0 38033.157 36.028 7
2017-09-04 00:55:45.997000 1.82 9.07955 Clear 0 38033.157 36.028 7
2017-09-04 00:55:46.097000 1.726 8.98571 Clear 0 38033.157 36.028 7
2017-09-04 00:55:46.197000 1.735 8.99519 Clear 0 38033.157 36.029 7
2017-09-04 00:55:46.397000 1.968 9.22841 Clear 0 38033.157 36.03 7
2017-09-04 00:55:46.597000 1.715 8.97496 Clear 0 38033.157 36.031 7
2017-09-04 00:55:46.697000 1.796 9.05624 Clear 0 38033.157 36.031 7
2017-09-04 00:55:46.797000 2.032 9.29196 Clear 0 38033.157 36.031 7
2017-09-04 00:55:46.897000 2.155 9.41461 Clear 0 38033.157 36.032 7
2017-09-04 00:55:46.997000 1.918 9.17804 Clear 0 38033.157 36.032 7
2017-09-04 00:55:47.097000 1.595 8.85476 Clear 0 38033.157 36.033 7
2017-09-04 00:55:47.197000 2.048 9.30771 Clear 0 38033.157 36.033 7
2017-09-04 00:55:47.397000 2.023 9.28322 Clear 0 38033.157 36.034 7
2017-09-04 00:55:47.597000 1.662 8.92153 Clear 0 38033.157 36.035 7
2017-09-04 00:55:47.697000 1.843 9.10296 Clear 0 38033.158 36.035 7
2017-09-04 00:55:47.797000 1.875 9.13485 Clear 0 38033.158 36.035 7
2017-09-04 00:55:47.897000 2.134 9.39393 Clear 0 38033.158 36.036 7
2017-09-04 00:55:47.997000 1.613 8.87295 Clear 0 38033.158 36.036 7
2017-09-04 00:55:48.097000 1.903 9.16318 Clear 0 38033.158 36.037 7
2017-09-04 00:55:48.197000 2.07 9.32988 Clear 0 38033.158 36.037 7
2017-09-04 00:55:48.297000 2.02 9.28025 Clear 0 38033.158 36.038 7
2017-09-04 00:55:48.497000 1.704 8.96433 Clear 0 38033.158 36.038 7
2017-09-04 00:55:48.597000 1.853 9.1133 Clear 0 38033.158 36.039 7
2017-09-04 00:55:48.697000 1.819 9.07865 Clear 0 38033.158 36.039 7
2017-09-04 00:55:48.797000 1.939 9.19924 Clear 0 38033.158 36.04 7
2017-09-04 00:55:48.897000 1.63 8.89 Clear 0 38033.158 36.04 7
2017-09-04 00:55:48.997000 1.717 8.97682 Clear 0 38033.158 36.04 7
2017-09-04 00:55:49.097000 1.776 9.03613 Clear 0 38033.158 36.041 7
2017-09-04 00:55:49.297000 1.748 9.00819 Clear 0 38033.158 36.042 7
2017-09-04 00:55:49.397000 1.694 8.95434 Clear 0 38033.158 36.042 7
2017-09-04 00:55:49.497000 2.038 9.29822 Clear 0 38033.158 36.043 7
2017-09-04 00:55:49.597000 1.796 9.05633 Clear 0 38033.158 36.043 7
2017-09-04 00:55:49.697000 1.711 8.97045 Clear 0 38033.158 36.043 7
2017-09-04 00:55:49.797000 2.032 9.29215 Clear 0 38033.158 36.044 7
2017-09-04 00:55:49.897000 1.984 9.24386 Clear 0 38033.159 36.044 7
2017-09-04 00:55:49.997000 1.364 8.62368 Clear 0 38033.159 36.045 7
2017-09-04 00:55:50.097000 1.735 8.99506 Clear 0 38033.159 36.045 7
2017-09-04 00:55:50.197000 2.001 9.26072 Clear 0 38033.159 36.045 7
2017-09-04 00:55:50.297000 1.969 9.22931 Clear 0 38033.159 36.046 7
2017-09-04 00:55:50.397000 2.008 9.26817 Clear 0 38033.159 36.046 7
2017-09-04 00:55:50.497000 1.639 8.8985 Clear 0 38033.159 36.047 7
2017-09-04 00:55:50.597000 2.006 9.26551 Clear 0 38033.159 36.047 7
2017-09-04 00:55:50.697000 1.922 9.18206 Clear 0 38033.159 36.047 7
2017-09-04 00:55:50.797000 1.977 9.23706 Clear 0 38033.159 36.048 7
2017-09-04 00:55:50.897000 2.041 9.30126 Clear 0 38033.159 36.048 7
2017-09-04 00:55:50.997000 2.045 9.30486 Clear 0 38033.159 36.049 7
2017-09-04 00:55:51.097000 1.832 9.09177 Clear 0 38033.159 36.049 7
2017-09-04 00:55:51.197000 1.66 8.92036 Clear 0 38033.159 36.05 7
2017-09-04 00:55:51.297000 1.741 9.00099 Clear 0 38033.159 36.05 7
2017-09-04 00:55:51.397000 1.912 9.17148 Clear 0 38033.159 36.05 7
2017-09-04 00:55:51.497000 1.921 9.18128 Clear 0 38033.159 36.051 7
2017-09-04 00:55:51.597000 1.904 9.16366 Clear 0 38033.159 36.051 7
2017-09-04 00:55:51.697000 1.612 8.87221 Clear 0 38033.159 36.052 7
2017-09-04 00:55:51.797000 2.082 9.34202 Clear 0 38033.159 36.052 7
2017-09-04 00:55:51.897000 1.76 9.01963 Clear 0 38033.159 36.052 7
2017-09-04 00:55:51.997000 1.781 9.04099 Clear 0 38033.159 36.053 7
2017-09-04 00:55:52.097000 2.064 9.32429 Clear 0 38033.159 36.053 7
2017-09-04 00:55:52.197000 1.724 8.98361 Clear 0 38033.16 36.054 7
