# satellite: 32295 ARIANE 5 R/B / FR
# catalogue: 1 NORAD
# track: 15793472
# variability: 2 Periodic
# variability_period: 1.342847025
# npoints: 2765
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-05-07 20:10:55.992000 3.911 8.70528 Clear 0 12311.047 33.226 7
2019-05-07 20:10:56.092000 3.772 8.56557 Clear 0 12311.372 33.224 7
2019-05-07 20:10:56.192000 4.201 8.99473 Clear 0 12311.697 33.223 7
2019-05-07 20:10:56.292000 3.736 8.52982 Clear 0 12312.022 33.221 7
2019-05-07 20:10:56.392000 3.58 8.37368 Clear 0 12312.347 33.219 7
2019-05-07 20:10:56.692000 3.698 8.49227 Clear 0 12313.323 33.214 7
2019-05-07 20:10:56.892000 4.277 9.07105 Clear 0 12313.973 33.21 7
2019-05-07 20:10:56.992000 3.663 8.4575 Clear 0 12314.298 33.209 7
2019-05-07 20:10:57.092000 4.009 8.80378 Clear 0 12314.623 33.207 7
2019-05-07 20:10:57.292000 3.939 8.73436 Clear 0 12315.274 33.204 7
2019-05-07 20:10:57.392000 3.577 8.37154 Clear 0 12315.599 33.202 7
2019-05-07 20:10:57.492000 4.147 8.94147 Clear 0 12315.924 33.2 7
2019-05-07 20:10:57.592000 3.852 8.64691 Clear 0 12316.249 33.198 7
2019-05-07 20:10:57.692000 3.536 8.33062 Clear 0 12316.574 33.197 7
2019-05-07 20:10:57.792000 4.156 8.95084 Clear 0 12316.899 33.195 7
2019-05-07 20:10:57.892000 4.265 9.05972 Clear 0 12317.224 33.193 7
2019-05-07 20:10:57.992000 4.07 8.86497 Clear 0 12317.55 33.191 7
2019-05-07 20:10:58.092000 3.981 8.77612 Clear 0 12317.875 33.19 7
2019-05-07 20:10:58.192000 3.937 8.73155 Clear 0 12318.2 33.188 7
2019-05-07 20:10:58.292000 3.862 8.65744 Clear 0 12318.525 33.186 7
2019-05-07 20:10:58.392000 3.655 8.44979 Clear 0 12318.85 33.184 7
2019-05-07 20:10:58.492000 4.532 9.32654 Clear 0 12319.175 33.183 7
2019-05-07 20:10:58.592000 4.122 8.91697 Clear 0 12319.5 33.181 7
2019-05-07 20:10:58.692000 3.707 8.50181 Clear 0 12319.826 33.179 7
2019-05-07 20:10:58.792000 4.195 8.98947 Clear 0 12320.151 33.178 7
2019-05-07 20:10:58.892000 4.391 9.18548 Clear 0 12320.476 33.176 7
2019-05-07 20:10:58.992000 3.954 8.74909 Clear 0 12320.801 33.174 7
2019-05-07 20:10:59.292000 4.18 8.97576 Clear 0 12321.777 33.169 7
2019-05-07 20:10:59.392000 3.776 8.57232 Clear 0 12322.102 33.167 7
