# satellite: 33406 PSLV R/B / IND
# catalogue: 1 NORAD
# track: 25465516
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 1628
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2023-08-20 19:20:03.491000 5.937 9.78899 Clear 0 8188.629 20.909 7
2023-08-20 19:20:03.591000 5.924 9.77589 Clear 0 8188.337 20.906 7
2023-08-20 19:20:03.691000 6.33 10.1817 Clear 0 8188.046 20.903 7
2023-08-20 19:20:03.891000 6.149 10.0012 Clear 0 8187.462 20.896 7
2023-08-20 19:20:04.491000 5.962 9.81399 Clear 0 8185.713 20.876 7
2023-08-20 19:20:04.591000 5.817 9.66754 Clear 0 8185.422 20.873 7
2023-08-20 19:20:05.091000 5.985 9.83613 Clear 0 8183.964 20.857 7
2023-08-20 19:20:05.491000 5.68 9.53069 Clear 0 8182.798 20.844 7
2023-08-20 19:20:05.591000 5.873 9.72346 Clear 0 8182.507 20.84 7
2023-08-20 19:20:05.691000 5.854 9.70348 Clear 0 8182.215 20.837 7
2023-08-20 19:20:06.191000 6.205 10.0546 Clear 0 8180.758 20.821 7
2023-08-20 19:20:06.291000 5.734 9.58392 Clear 0 8180.467 20.817 7
2023-08-20 19:20:06.391000 5.618 9.46762 Clear 0 8180.175 20.814 7
2023-08-20 19:20:06.491000 6.245 10.0953 Clear 0 8179.884 20.811 7
2023-08-20 19:20:06.691000 5.809 9.65873 Clear 0 8179.301 20.804 7
2023-08-20 19:20:07.091000 5.991 9.83958 Clear 0 8178.136 20.791 7
2023-08-20 19:20:07.491000 6.298 10.1468 Clear 0 8176.971 20.778 7
2023-08-20 19:20:07.791000 5.599 9.44819 Clear 0 8176.097 20.768 7
2023-08-20 19:20:07.991000 6.147 9.99521 Clear 0 8175.515 20.761 7
2023-08-20 19:20:08.291000 5.667 9.51522 Clear 0 8174.641 20.752 7
2023-08-20 19:20:08.391000 6.102 9.95034 Clear 0 8174.35 20.748 7
2023-08-20 19:20:08.491000 5.754 9.6018 Clear 0 8174.058 20.745 7
2023-08-20 19:20:08.791000 5.949 9.79726 Clear 0 8173.185 20.735 7
2023-08-20 19:20:09.891000 5.667 9.51394 Clear 0 8169.983 20.699 7
2023-08-20 19:20:10.291000 5.806 9.65145 Clear 0 8168.818 20.686 7
2023-08-20 19:20:10.391000 6.271 10.1174 Clear 0 8168.527 20.682 7
2023-08-20 19:20:10.791000 5.761 9.60736 Clear 0 8167.363 20.669 7
2023-08-20 19:20:10.991000 6.058 9.90357 Clear 0 8166.781 20.663 7
2023-08-20 19:20:11.091000 6.128 9.97352 Clear 0 8166.49 20.659 7
2023-08-20 19:20:11.491000 6.086 9.93139 Clear 0 8165.327 20.646 7
2023-08-20 19:20:11.991000 5.673 9.51778 Clear 0 8163.872 20.63 7
2023-08-20 19:20:12.591000 5.881 9.72501 Clear 0 8162.127 20.61 7
2023-08-20 19:20:12.891000 5.626 9.47008 Clear 0 8161.254 20.6 7
2023-08-20 19:20:13.091000 5.345 9.18929 Clear 0 8160.673 20.593 7
2023-08-20 19:20:13.191000 5.807 9.65049 Clear 0 8160.382 20.59 7
2023-08-20 19:20:13.291000 5.821 9.66503 Clear 0 8160.091 20.587 7
2023-08-20 19:20:13.691000 6.026 9.86885 Clear 0 8158.928 20.574 7
2023-08-20 19:20:13.891000 6.067 9.91023 Clear 0 8158.347 20.567 7
2023-08-20 19:20:14.591000 5.328 9.17057 Clear 0 8156.312 20.544 7
2023-08-20 19:20:14.891000 6.14 9.98226 Clear 0 8155.44 20.534 7
2023-08-20 19:20:14.991000 6.282 10.1244 Clear 0 8155.149 20.531 7
2023-08-20 19:20:15.091000 5.573 9.41517 Clear 0 8154.859 20.527 7
2023-08-20 19:20:15.391000 5.587 9.42921 Clear 0 8153.987 20.517 7
2023-08-20 19:20:15.491000 5.885 9.72674 Clear 0 8153.696 20.514 7
2023-08-20 19:20:15.791000 5.612 9.45302 Clear 0 8152.825 20.504 7
2023-08-20 19:20:15.891000 5.489 9.33024 Clear 0 8152.534 20.501 7
2023-08-20 19:20:16.091000 5.978 9.81882 Clear 0 8151.953 20.494 7
2023-08-20 19:20:16.491000 6.028 9.86885 Clear 0 8150.791 20.481 7
2023-08-20 19:20:16.791000 6.297 10.1379 Clear 0 8149.92 20.471 7
2023-08-20 19:20:16.891000 6.179 10.0202 Clear 0 8149.629 20.468 7
2023-08-20 19:20:17.091000 5.608 9.44822 Clear 0 8149.048 20.461 7
2023-08-20 19:20:17.391000 5.767 9.60663 Clear 0 8148.177 20.451 7
2023-08-20 19:20:17.491000 5.547 9.38649 Clear 0 8147.887 20.448 7
2023-08-20 19:20:17.591000 5.678 9.51749 Clear 0 8147.596 20.445 7
2023-08-20 19:20:18.491000 5.812 9.65049 Clear 0 8144.983 20.415 7
2023-08-20 19:20:18.791000 5.677 9.51621 Clear 0 8144.112 20.405 7
2023-08-20 19:20:18.991000 5.908 9.74707 Clear 0 8143.531 20.398 7
2023-08-20 19:20:19.091000 5.966 9.80542 Clear 0 8143.241 20.395 7
2023-08-20 19:20:19.491000 5.996 9.8341 Clear 0 8142.08 20.382 7
2023-08-20 19:20:19.691000 5.507 9.34539 Clear 0 8141.5 20.375 7
