# satellite: 340 TELSTAR 1 / US
# catalogue: 1 NORAD
# track: 10739530
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 891
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-10-26 00:35:01.199000 7.807 9.16818 Clear 0 2423.335 47.118 7
2016-10-26 00:35:01.299000 8.53 9.89099 Clear 0 2423.376 47.132 7
2016-10-26 00:35:01.399000 8.032 9.39285 Clear 0 2423.417 47.147 7
2016-10-26 00:35:01.499000 7.658 9.02017 Clear 0 2423.458 47.161 7
2016-10-26 00:35:01.599000 8.661 10.0231 Clear 0 2423.499 47.176 7
2016-10-26 00:35:01.699000 8.449 9.8111 Clear 0 2423.54 47.19 7
2016-10-26 00:35:01.799000 7.942 9.30348 Clear 0 2423.582 47.205 7
2016-10-26 00:35:01.999000 8.261 9.623 Clear 0 2423.665 47.233 7
2016-10-26 00:35:02.099000 8.106 9.46817 Clear 0 2423.707 47.248 7
2016-10-26 00:35:02.199000 8.006 9.36909 Clear 0 2423.749 47.262 7
2016-10-26 00:35:02.299000 8.059 9.42235 Clear 0 2423.791 47.277 7
2016-10-26 00:35:02.399000 8.328 9.69073 Clear 0 2423.833 47.291 7
2016-10-26 00:35:02.499000 8.082 9.44502 Clear 0 2423.876 47.305 7
2016-10-26 00:35:02.599000 7.9 9.2627 Clear 0 2423.918 47.32 7
2016-10-26 00:35:02.699000 7.964 9.32719 Clear 0 2423.961 47.334 7
2016-10-26 00:35:02.799000 8.071 9.43514 Clear 0 2424.004 47.349 7
2016-10-26 00:35:02.899000 8.832 10.1961 Clear 0 2424.047 47.363 7
2016-10-26 00:35:02.999000 8.36 9.72379 Clear 0 2424.09 47.377 7
2016-10-26 00:35:03.299000 7.948 9.31155 Clear 0 2424.22 47.421 7
2016-10-26 00:35:03.399000 8.312 9.67647 Clear 0 2424.264 47.435 7
2016-10-26 00:35:03.699000 8.538 9.90256 Clear 0 2424.396 47.478 7
2016-10-26 00:35:03.799000 8.357 9.72181 Clear 0 2424.44 47.493 7
2016-10-26 00:35:03.899000 8.255 9.6203 Clear 0 2424.485 47.507 7
2016-10-26 00:35:03.999000 8.333 9.69842 Clear 0 2424.529 47.522 7
2016-10-26 00:35:04.099000 8.481 9.84699 Clear 0 2424.574 47.536 7
2016-10-26 00:35:04.199000 9.207 10.5733 Clear 0 2424.619 47.55 7
2016-10-26 00:35:04.299000 8.686 10.052 Clear 0 2424.664 47.565 7
2016-10-26 00:35:04.399000 9.056 10.4224 Clear 0 2424.709 47.579 7
2016-10-26 00:35:04.499000 8.139 9.50465 Clear 0 2424.754 47.594 7
2016-10-26 00:35:04.599000 9.038 10.4038 Clear 0 2424.799 47.608 7
2016-10-26 00:35:04.699000 8.38 9.74673 Clear 0 2424.845 47.623 7
2016-10-26 00:35:04.799000 8.354 9.72083 Clear 0 2424.891 47.637 7
2016-10-26 00:35:04.899000 8.388 9.75482 Clear 0 2424.936 47.651 7
2016-10-26 00:35:04.999000 8.142 9.5087 Clear 0 2424.982 47.666 7
2016-10-26 00:35:05.099000 8.15 9.51682 Clear 0 2425.029 47.68 7
2016-10-26 00:35:05.199000 8.489 9.85587 Clear 0 2425.075 47.695 7
2016-10-26 00:35:05.299000 8.813 10.1809 Clear 0 2425.121 47.709 7
2016-10-26 00:35:05.399000 9.072 10.4395 Clear 0 2425.168 47.724 7
2016-10-26 00:35:05.499000 8.228 9.59547 Clear 0 2425.214 47.738 7
2016-10-26 00:35:05.599000 9.103 10.4705 Clear 0 2425.261 47.752 7
2016-10-26 00:35:05.699000 7.962 9.32994 Clear 0 2425.308 47.767 7
2016-10-26 00:35:05.799000 8.04 9.40824 Clear 0 2425.355 47.781 7
2016-10-26 00:35:05.899000 7.744 9.11337 Clear 0 2425.402 47.796 7
2016-10-26 00:35:05.999000 8.45 9.81862 Clear 0 2425.45 47.81 7
2016-10-26 00:35:06.099000 8.698 10.0668 Clear 0 2425.497 47.824 7
2016-10-26 00:35:06.299000 7.772 9.14072 Clear 0 2425.592 47.853 7
2016-10-26 00:35:06.499000 7.875 9.24541 Clear 0 2425.688 47.882 7
2016-10-26 00:35:06.599000 8.022 9.39212 Clear 0 2425.736 47.897 7
2016-10-26 00:35:06.699000 8.095 9.46505 Clear 0 2425.785 47.911 7
2016-10-26 00:35:06.799000 8.125 9.49502 Clear 0 2425.833 47.925 7
2016-10-26 00:35:06.899000 8.619 9.9885 Clear 0 2425.882 47.94 7
