# satellite: 340 TELSTAR 1 / US
# catalogue: 1 NORAD
# track: 6389443
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 302
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-02-24 00:56:56.876000 6.439 8.40387 Clear 0 2885.89 68.517 6
2015-02-24 00:56:57.076000 3.634 5.59871 Clear 0 2885.926 68.538 6
2015-02-24 00:56:57.176000 3.586 5.55228 Clear 0 2885.944 68.549 6
2015-02-24 00:56:57.276000 3.572 5.53834 Clear 0 2885.963 68.56 6
2015-02-24 00:56:57.376000 3.795 5.76048 Clear 0 2885.981 68.571 6
2015-02-24 00:56:57.476000 3.728 5.69427 Clear 0 2886.0 68.582 6
2015-02-24 00:56:57.576000 3.864 5.82988 Clear 0 2886.019 68.593 6
2015-02-24 00:56:57.676000 3.735 5.70128 Clear 0 2886.038 68.604 6
2015-02-24 00:56:57.776000 3.542 5.50847 Clear 0 2886.057 68.615 6
2015-02-24 00:56:57.876000 3.937 5.90371 Clear 0 2886.076 68.626 6
2015-02-24 00:56:57.976000 4.016 5.98339 Clear 0 2886.095 68.637 6
2015-02-24 00:56:58.076000 4.227 6.19437 Clear 0 2886.114 68.647 6
2015-02-24 00:56:58.176000 4.146 6.1134 Clear 0 2886.133 68.658 6
2015-02-24 00:56:58.276000 4.293 6.25977 Clear 0 2886.153 68.669 6
2015-02-24 00:56:58.376000 4.287 6.25362 Clear 0 2886.172 68.68 6
2015-02-24 00:56:58.476000 4.315 6.28253 Clear 0 2886.192 68.691 6
2015-02-24 00:56:58.576000 4.256 6.22358 Clear 0 2886.212 68.702 6
2015-02-24 00:56:58.676000 4.308 6.27617 Clear 0 2886.232 68.713 6
2015-02-24 00:56:58.776000 4.212 6.17964 Clear 0 2886.252 68.724 6
2015-02-24 00:56:58.876000 5.07 7.03815 Clear 0 2886.272 68.735 6
2015-02-24 00:56:58.976000 4.758 6.72563 Clear 0 2886.292 68.745 6
2015-02-24 00:56:59.076000 4.906 6.87518 Clear 0 2886.312 68.756 6
2015-02-24 00:56:59.176000 5.074 7.04319 Clear 0 2886.332 68.767 6
2015-02-24 00:56:59.276000 5.513 7.48169 Clear 0 2886.353 68.778 6
2015-02-24 00:56:59.376000 5.719 7.68759 Clear 0 2886.373 68.789 6
2015-02-24 00:56:59.476000 5.884 7.85321 Clear 0 2886.394 68.8 6
2015-02-24 00:56:59.576000 6.062 8.03045 Clear 0 2886.415 68.811 6
2015-02-24 00:56:59.676000 6.276 8.24604 Clear 0 2886.436 68.822 6
2015-02-24 00:56:59.776000 6.614 8.58411 Clear 0 2886.457 68.833 6
2015-02-24 00:56:59.876000 6.751 8.72123 Clear 0 2886.478 68.844 6
2015-02-24 00:56:59.976000 6.484 8.45405 Clear 0 2886.499 68.854 6
2015-02-24 00:57:00.076000 7.246 9.21626 Clear 0 2886.52 68.865 6
2015-02-24 00:57:00.176000 7.518 9.48833 Clear 0 2886.542 68.876 6
2015-02-24 00:57:00.276000 6.953 8.92341 Clear 0 2886.563 68.887 6
2015-02-24 00:57:00.376000 6.93 8.90073 Clear 0 2886.585 68.898 6
2015-02-24 00:57:00.476000 6.915 8.88563 Clear 0 2886.606 68.909 6
2015-02-24 00:57:00.576000 7.738 9.70865 Clear 0 2886.628 68.92 6
2015-02-24 00:57:00.676000 7.872 9.8434 Clear 0 2886.65 68.931 6
2015-02-24 00:57:00.776000 7.017 8.9877 Clear 0 2886.672 68.942 6
2015-02-24 00:57:00.876000 7.425 9.39642 Clear 0 2886.694 68.953 6
2015-02-24 00:57:00.976000 7.662 9.63348 Clear 0 2886.716 68.963 6
2015-02-24 00:57:01.076000 8.205 10.1771 Clear 0 2886.739 68.974 6
2015-02-24 00:57:01.176000 7.713 9.68448 Clear 0 2886.761 68.985 6
2015-02-24 00:57:01.276000 7.277 9.24924 Clear 0 2886.784 68.996 6
