# satellite: 36508 CRYOSAT 2 / ESA
# catalogue: 1 NORAD
# track: 10786736
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 927
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-11-12 16:14:11.998000 4.523 4.51029 Clear 0 961.346 93.579 3
2016-11-12 16:14:12.098000 4.45 4.43593 Clear 0 961.03 93.586 3
2016-11-12 16:14:12.198000 4.453 4.43928 Clear 0 960.713 93.593 3
2016-11-12 16:14:12.298000 4.301 4.2862 Clear 0 960.397 93.6 3
2016-11-12 16:14:12.398000 4.209 4.19416 Clear 0 960.082 93.607 3
2016-11-12 16:14:12.498000 4.241 4.22487 Clear 0 959.767 93.614 3
2016-11-12 16:14:12.598000 4.052 4.03617 Clear 0 959.452 93.621 3
2016-11-12 16:14:12.698000 4.013 3.99603 Clear 0 959.138 93.628 3
2016-11-12 16:14:12.798000 3.907 3.8891 Clear 0 958.824 93.635 3
2016-11-12 16:14:12.898000 3.913 3.89512 Clear 0 958.51 93.642 3
2016-11-12 16:14:12.998000 3.86 3.84099 Clear 0 958.198 93.649 3
2016-11-12 16:14:13.098000 3.804 3.78497 Clear 0 957.885 93.656 3
2016-11-12 16:14:13.198000 3.699 3.67889 Clear 0 957.573 93.663 3
2016-11-12 16:14:13.298000 3.863 3.84295 Clear 0 957.261 93.67 3
2016-11-12 16:14:13.398000 3.702 3.68087 Clear 0 956.95 93.677 3
2016-11-12 16:14:13.498000 3.806 3.78409 Clear 0 956.639 93.684 3
2016-11-12 16:14:13.598000 3.796 3.77444 Clear 0 956.329 93.691 3
2016-11-12 16:14:13.698000 3.865 3.8417 Clear 0 956.019 93.698 3
2016-11-12 16:14:13.798000 3.768 3.74544 Clear 0 955.709 93.705 3
2016-11-12 16:14:13.898000 3.872 3.84768 Clear 0 955.4 93.712 3
2016-11-12 16:14:13.998000 3.893 3.86847 Clear 0 955.092 93.719 3
2016-11-12 16:14:14.098000 3.851 3.82554 Clear 0 954.783 93.726 3
2016-11-12 16:14:14.198000 3.944 3.91839 Clear 0 954.476 93.733 3
2016-11-12 16:14:14.298000 3.96 3.93394 Clear 0 954.168 93.74 3
2016-11-12 16:14:14.398000 4.026 3.99874 Clear 0 953.861 93.747 3
2016-11-12 16:14:14.498000 4.11 4.08285 Clear 0 953.555 93.754 3
2016-11-12 16:14:14.598000 4.036 4.00819 Clear 0 953.249 93.761 3
2016-11-12 16:14:14.698000 4.081 4.05301 Clear 0 952.943 93.768 3
2016-11-12 16:14:14.798000 4.156 4.12744 Clear 0 952.638 93.775 3
2016-11-12 16:14:14.898000 4.215 4.18556 Clear 0 952.333 93.782 3
2016-11-12 16:14:14.998000 4.157 4.12692 Clear 0 952.029 93.789 3
2016-11-12 16:14:15.098000 4.189 4.15893 Clear 0 951.725 93.797 3
2016-11-12 16:14:15.198000 4.261 4.22979 Clear 0 951.422 93.804 3
2016-11-12 16:14:15.298000 4.297 4.26506 Clear 0 951.119 93.811 3
2016-11-12 16:14:15.398000 4.316 4.28421 Clear 0 950.816 93.818 3
2016-11-12 16:14:15.498000 4.308 4.27449 Clear 0 950.514 93.825 3
2016-11-12 16:14:15.598000 4.444 4.41116 Clear 0 950.212 93.832 3
2016-11-12 16:14:15.698000 4.458 4.4242 Clear 0 949.911 93.839 3
2016-11-12 16:14:15.798000 4.429 4.39455 Clear 0 949.61 93.846 3
2016-11-12 16:14:15.898000 4.457 4.42218 Clear 0 949.31 93.853 3
2016-11-12 16:14:15.998000 4.478 4.44269 Clear 0 949.01 93.861 3
2016-11-12 16:14:16.098000 4.645 4.60924 Clear 0 948.711 93.868 3
2016-11-12 16:14:16.198000 4.599 4.56274 Clear 0 948.412 93.875 3
2016-11-12 16:14:16.298000 4.563 4.52563 Clear 0 948.113 93.882 3
2016-11-12 16:14:16.398000 4.577 4.53912 Clear 0 947.815 93.889 3
2016-11-12 16:14:16.498000 4.624 4.58546 Clear 0 947.517 93.896 3
2016-11-12 16:14:16.598000 4.608 4.56922 Clear 0 947.22 93.903 3
2016-11-12 16:14:16.698000 4.526 4.48718 Clear 0 946.923 93.911 3
2016-11-12 16:14:16.798000 4.533 4.49298 Clear 0 946.627 93.918 3
2016-11-12 16:14:16.898000 4.544 4.50426 Clear 0 946.331 93.925 3
2016-11-12 16:14:16.998000 4.55 4.50855 Clear 0 946.035 93.932 3
2016-11-12 16:14:17.098000 4.572 4.53094 Clear 0 945.74 93.939 3
2016-11-12 16:14:17.198000 4.457 4.41521 Clear 0 945.446 93.947 3
2016-11-12 16:14:17.298000 4.51 4.46758 Clear 0 945.152 93.954 3
2016-11-12 16:14:17.398000 4.497 4.45408 Clear 0 944.858 93.961 3
2016-11-12 16:14:17.498000 4.607 4.56406 Clear 0 944.565 93.968 3
2016-11-12 16:14:17.598000 4.494 4.44997 Clear 0 944.272 93.975 3
2016-11-12 16:14:17.698000 4.53 4.48638 Clear 0 943.98 93.983 3
2016-11-12 16:14:17.798000 4.522 4.47709 Clear 0 943.688 93.99 3
2016-11-12 16:14:17.898000 4.593 4.5472 Clear 0 943.396 93.997 3
2016-11-12 16:14:17.998000 4.537 4.49068 Clear 0 943.105 94.004 3
2016-11-12 16:14:18.098000 4.566 4.51845 Clear 0 942.815 94.011 3
2016-11-12 16:14:18.198000 4.681 4.63395 Clear 0 942.525 94.019 3
2016-11-12 16:14:18.298000 4.523 4.47454 Clear 0 942.235 94.026 3
