# satellite: 36508 CRYOSAT 2 / ESA
# catalogue: 1 NORAD
# track: 12984839
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 177
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-02-22 17:28:29.396000 4.207 5.35448 Clear 0 1226.675 118.425 7
2018-02-22 17:28:29.496000 4.21 5.3577 Clear 0 1226.546 118.427 7
2018-02-22 17:28:29.596000 4.21 5.35763 Clear 0 1226.418 118.429 7
2018-02-22 17:28:29.696000 4.202 5.34917 Clear 0 1226.29 118.431 7
2018-02-22 17:28:29.796000 4.196 5.34303 Clear 0 1226.163 118.433 7
2018-02-22 17:28:29.896000 4.13 5.27689 Clear 0 1226.036 118.435 7
2018-02-22 17:28:29.996000 4.147 5.29386 Clear 0 1225.91 118.437 7
2018-02-22 17:28:30.096000 4.201 5.34772 Clear 0 1225.784 118.439 7
2018-02-22 17:28:30.196000 4.151 5.29803 Clear 0 1225.658 118.441 7
2018-02-22 17:28:30.798000 3.953 5.09862 Clear 0 1224.91 118.452 7
2018-02-22 17:28:30.898000 4.078 5.22336 Clear 0 1224.787 118.454 7
2018-02-22 17:28:30.998000 4.179 5.32392 Clear 0 1224.665 118.456 7
2018-02-22 17:28:31.098000 3.985 5.1299 Clear 0 1224.543 118.458 7
2018-02-22 17:28:31.198000 4.07 5.21493 Clear 0 1224.421 118.46 7
2018-02-22 17:28:31.298000 4.013 5.15806 Clear 0 1224.3 118.462 7
2018-02-22 17:28:31.398000 4.035 5.17972 Clear 0 1224.179 118.463 7
2018-02-22 17:28:31.498000 4.138 5.28335 Clear 0 1224.059 118.465 7
2018-02-22 17:28:31.598000 4.109 5.25284 Clear 0 1223.939 118.467 7
2018-02-22 17:28:31.698000 3.899 5.04281 Clear 0 1223.819 118.469 7
2018-02-22 17:28:31.798000 3.95 5.09443 Clear 0 1223.7 118.471 7
2018-02-22 17:28:31.898000 4.071 5.21532 Clear 0 1223.581 118.473 7
2018-02-22 17:28:31.998000 4.18 5.32354 Clear 0 1223.463 118.474 7
2018-02-22 17:28:32.098000 4.102 5.2457 Clear 0 1223.345 118.476 7
2018-02-22 17:28:32.198000 3.99 5.13307 Clear 0 1223.228 118.478 7
2018-02-22 17:28:32.298000 4.035 5.1777 Clear 0 1223.11 118.48 7
2018-02-22 17:28:32.398000 4.014 5.15731 Clear 0 1222.994 118.482 7
2018-02-22 17:28:32.498000 3.877 5.02024 Clear 0 1222.877 118.483 7
2018-02-22 17:28:32.598000 3.999 5.14205 Clear 0 1222.761 118.485 7
2018-02-22 17:28:32.698000 4.007 5.15027 Clear 0 1222.646 118.487 7
2018-02-22 17:28:32.798000 4.007 5.15005 Clear 0 1222.531 118.489 7
2018-02-22 17:28:32.898000 4.002 5.1438 Clear 0 1222.416 118.49 7
2018-02-22 17:28:32.998000 3.985 5.12697 Clear 0 1222.302 118.492 7
2018-02-22 17:28:33.098000 4.004 5.14554 Clear 0 1222.188 118.494 7
2018-02-22 17:28:33.198000 3.821 4.96254 Clear 0 1222.074 118.496 7
2018-02-22 17:28:33.298000 4.074 5.21638 Clear 0 1221.961 118.497 7
2018-02-22 17:28:33.398000 3.829 4.97072 Clear 0 1221.849 118.499 7
2018-02-22 17:28:33.498000 3.825 4.96657 Clear 0 1221.736 118.501 7
2018-02-22 17:28:33.598000 3.912 5.05282 Clear 0 1221.625 118.502 7
2018-02-22 17:28:33.698000 3.923 5.06352 Clear 0 1221.513 118.504 7
2018-02-22 17:28:33.798000 3.841 4.98155 Clear 0 1221.402 118.506 7
2018-02-22 17:28:33.898000 3.976 5.11701 Clear 0 1221.292 118.507 7
2018-02-22 17:28:33.998000 3.982 5.12316 Clear 0 1221.181 118.509 7
2018-02-22 17:28:34.098000 3.759 4.90036 Clear 0 1221.072 118.511 7
2018-02-22 17:28:34.198000 3.917 5.05825 Clear 0 1220.962 118.512 7
2018-02-22 17:28:34.298000 3.78 4.9203 Clear 0 1220.853 118.514 7
2018-02-22 17:28:34.398000 3.89 5.03023 Clear 0 1220.745 118.515 7
2018-02-22 17:28:34.498000 3.78 4.9199 Clear 0 1220.636 118.517 7
2018-02-22 17:28:34.598000 3.808 4.94791 Clear 0 1220.529 118.519 7
2018-02-22 17:28:34.698000 3.765 4.9048 Clear 0 1220.421 118.52 7
2018-02-22 17:28:34.798000 3.813 4.95298 Clear 0 1220.314 118.522 7
2018-02-22 17:28:34.898000 3.702 4.84188 Clear 0 1220.208 118.523 7
2018-02-22 17:28:34.998000 3.905 5.04389 Clear 0 1220.102 118.525 7
2018-02-22 17:28:35.098000 3.802 4.94082 Clear 0 1219.996 118.526 7
2018-02-22 17:28:35.198000 3.876 5.01445 Clear 0 1219.891 118.528 7
2018-02-22 17:28:35.298000 3.897 5.03616 Clear 0 1219.786 118.529 7
2018-02-22 17:28:35.398000 3.931 5.06954 Clear 0 1219.681 118.531 7
2018-02-22 17:28:35.498000 3.865 5.00357 Clear 0 1219.577 118.533 7
2018-02-22 17:28:35.598000 3.793 4.93145 Clear 0 1219.473 118.534 7
2018-02-22 17:28:35.698000 3.806 4.94426 Clear 0 1219.37 118.536 7
2018-02-22 17:28:35.798000 3.888 5.026 Clear 0 1219.267 118.537 7
2018-02-22 17:28:35.898000 3.801 4.9385 Clear 0 1219.165 118.538 7
2018-02-22 17:28:35.998000 3.88 5.01775 Clear 0 1219.063 118.54 7
2018-02-22 17:28:36.098000 3.78 4.91757 Clear 0 1218.961 118.541 7
2018-02-22 17:28:36.198000 3.844 4.98199 Clear 0 1218.86 118.543 7
2018-02-22 17:28:36.298000 3.797 4.93497 Clear 0 1218.759 118.544 7
2018-02-22 17:28:36.398000 3.74 4.87831 Clear 0 1218.659 118.546 7
2018-02-22 17:28:36.498000 3.744 4.88106 Clear 0 1218.559 118.547 7
2018-02-22 17:28:36.598000 3.717 4.85428 Clear 0 1218.459 118.549 7
2018-02-22 17:28:36.698000 3.742 4.8785 Clear 0 1218.36 118.55 7
2018-02-22 17:28:36.798000 3.747 4.88394 Clear 0 1218.261 118.551 7
2018-02-22 17:28:36.898000 3.802 4.93901 Clear 0 1218.163 118.553 7
2018-02-22 17:28:36.998000 3.75 4.88694 Clear 0 1218.065 118.554 7
2018-02-22 17:28:37.098000 3.73 4.86723 Clear 0 1217.968 118.556 7
2018-02-22 17:28:37.198000 3.775 4.91085 Clear 0 1217.87 118.557 7
2018-02-22 17:28:37.298000 3.711 4.84723 Clear 0 1217.774 118.558 7
2018-02-22 17:28:37.398000 3.733 4.86891 Clear 0 1217.677 118.56 7
2018-02-22 17:28:37.498000 3.702 4.83797 Clear 0 1217.582 118.561 7
2018-02-22 17:28:37.598000 3.824 4.95979 Clear 0 1217.486 118.562 7
2018-02-22 17:28:37.698000 3.746 4.88156 Clear 0 1217.391 118.564 7
2018-02-22 17:28:37.798000 3.832 4.9676 Clear 0 1217.296 118.565 7
2018-02-22 17:28:37.898000 3.717 4.85329 Clear 0 1217.202 118.566 7
