# satellite: 39422 STSAT 3 / SKOR
# catalogue: 1 NORAD
# track: 26518978
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 285
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2023-10-05 02:23:07.397000 7.339 6.48056 Clear 0 749.192 76.107 8
2023-10-05 02:23:07.497000 7.008 6.15121 Clear 0 749.656 76.1 8
2023-10-05 02:23:07.499000 7.286 6.42848 Clear 0 749.665 76.1 3
2023-10-05 02:23:07.597000 6.882 6.02601 Clear 0 750.12 76.093 8
2023-10-05 02:23:07.599000 7.042 6.18615 Clear 0 750.129 76.093 3
2023-10-05 02:23:07.697000 6.95 6.09554 Clear 0 750.584 76.086 8
2023-10-05 02:23:07.699000 6.916 6.06157 Clear 0 750.593 76.086 3
2023-10-05 02:23:07.797000 6.745 5.89217 Clear 0 751.049 76.079 8
2023-10-05 02:23:07.799000 6.737 5.88382 Clear 0 751.058 76.079 3
2023-10-05 02:23:07.897000 6.462 5.6095 Clear 0 751.514 76.073 8
2023-10-05 02:23:07.899000 6.385 5.53276 Clear 0 751.523 76.073 3
2023-10-05 02:23:07.997000 6.236 5.38522 Clear 0 751.979 76.066 8
2023-10-05 02:23:07.999000 6.268 5.4167 Clear 0 751.989 76.066 3
2023-10-05 02:23:08.097000 5.984 5.1354 Clear 0 752.445 76.059 8
2023-10-05 02:23:08.099000 6.08 5.23093 Clear 0 752.455 76.059 3
2023-10-05 02:23:08.197000 5.976 5.12799 Clear 0 752.912 76.053 8
2023-10-05 02:23:08.199000 5.987 5.13874 Clear 0 752.921 76.052 3
2023-10-05 02:23:08.297000 5.732 4.88454 Clear 0 753.379 76.046 8
2023-10-05 02:23:08.299000 5.776 4.92845 Clear 0 753.388 76.046 3
2023-10-05 02:23:08.397000 5.606 4.76005 Clear 0 753.846 76.039 8
2023-10-05 02:23:08.399000 5.684 4.83781 Clear 0 753.855 76.039 3
2023-10-05 02:23:08.497000 5.505 4.66049 Clear 0 754.314 76.033 8
2023-10-05 02:23:08.499000 5.476 4.63193 Clear 0 754.323 76.032 3
2023-10-05 02:23:08.597000 5.773 4.92973 Clear 0 754.782 76.026 8
2023-10-05 02:23:08.599000 5.826 4.98265 Clear 0 754.791 76.026 3
2023-10-05 02:23:08.697000 5.976 5.13363 Clear 0 755.25 76.019 8
2023-10-05 02:23:08.699000 5.882 5.03975 Clear 0 755.259 76.019 3
2023-10-05 02:23:08.797000 6.092 5.25126 Clear 0 755.719 76.013 8
2023-10-05 02:23:08.799000 6.042 5.20108 Clear 0 755.728 76.013 3
2023-10-05 02:23:08.897000 6.286 5.44689 Clear 0 756.188 76.006 8
2023-10-05 02:23:08.899000 6.266 5.42744 Clear 0 756.198 76.006 3
2023-10-05 02:23:08.997000 6.34 5.50196 Clear 0 756.658 76.0 8
2023-10-05 02:23:08.999000 6.359 5.52077 Clear 0 756.668 75.999 3
2023-10-05 02:23:09.097000 6.61 5.77318 Clear 0 757.128 75.993 8
2023-10-05 02:23:09.099000 6.469 5.63207 Clear 0 757.138 75.993 3
2023-10-05 02:23:09.197000 6.644 5.80793 Clear 0 757.599 75.987 8
2023-10-05 02:23:09.199000 6.669 5.83341 Clear 0 757.608 75.986 3
2023-10-05 02:23:09.297000 6.893 6.05894 Clear 0 758.07 75.98 8
2023-10-05 02:23:09.299000 6.703 5.86872 Clear 0 758.079 75.98 3
2023-10-05 02:23:09.397000 7.091 6.25815 Clear 0 758.541 75.974 8
2023-10-05 02:23:09.399000 7.058 6.22497 Clear 0 758.551 75.973 3
2023-10-05 02:23:09.497000 7.011 6.17884 Clear 0 759.013 75.967 8
2023-10-05 02:23:09.499000 7.049 6.21729 Clear 0 759.023 75.967 3
2023-10-05 02:23:09.597000 7.233 6.40233 Clear 0 759.485 75.961 8
2023-10-05 02:23:09.599000 7.104 6.27342 Clear 0 759.495 75.96 3
2023-10-05 02:23:09.697000 7.087 6.25799 Clear 0 759.958 75.954 8
2023-10-05 02:23:09.699000 7.326 6.49734 Clear 0 759.968 75.954 3
2023-10-05 02:23:09.797000 6.939 6.11047 Clear 0 760.431 75.948 8
2023-10-05 02:23:09.799000 7.024 6.19576 Clear 0 760.441 75.948 3
2023-10-05 02:23:09.897000 7.242 6.41509 Clear 0 760.905 75.941 8
2023-10-05 02:23:09.899000 7.093 6.26587 Clear 0 760.914 75.941 3
2023-10-05 02:23:09.997000 7.544 6.71796 Clear 0 761.379 75.935 8
2023-10-05 02:23:09.999000 7.368 6.54158 Clear 0 761.388 75.935 3
2023-10-05 02:23:10.097000 7.546 6.7224 Clear 0 761.853 75.929 8
2023-10-05 02:23:10.197000 7.783 6.95947 Clear 0 762.328 75.922 8
2023-10-05 02:23:10.199000 7.472 6.64896 Clear 0 762.337 75.922 3
2023-10-05 02:23:10.297000 7.56 6.73794 Clear 0 762.803 75.916 8
2023-10-05 02:23:10.299000 7.547 6.72544 Clear 0 762.812 75.916 3
2023-10-05 02:23:10.399000 7.847 7.02552 Clear 0 763.288 75.909 3
2023-10-05 02:23:10.499000 7.856 7.03706 Clear 0 763.764 75.903 3
2023-10-05 02:23:10.597000 8.069 7.25067 Clear 0 764.231 75.897 8
2023-10-05 02:23:10.599000 7.784 6.96578 Clear 0 764.24 75.897 3
2023-10-05 02:23:10.697000 8.327 7.50985 Clear 0 764.707 75.891 8
2023-10-05 02:23:10.699000 7.835 7.01821 Clear 0 764.717 75.891 3
2023-10-05 02:23:10.797000 8.36 7.54404 Clear 0 765.184 75.884 8
2023-10-05 02:23:10.799000 7.771 6.95512 Clear 0 765.194 75.884 3
2023-10-05 02:23:10.897000 7.857 7.04292 Clear 0 765.662 75.878 8
2023-10-05 02:23:10.899000 8.369 7.55445 Clear 0 765.672 75.878 3
2023-10-05 02:23:11.097000 8.336 7.52422 Clear 0 766.618 75.866 8
2023-10-05 02:23:11.197000 8.195 7.38475 Clear 0 767.097 75.86 8
2023-10-05 02:23:11.199000 8.138 7.32776 Clear 0 767.107 75.859 3
2023-10-05 02:23:11.299000 8.27 7.46097 Clear 0 767.586 75.853 3
2023-10-05 02:23:11.397000 8.162 7.35405 Clear 0 768.056 75.847 8
2023-10-05 02:23:11.497000 7.736 6.92903 Clear 0 768.536 75.841 8
2023-10-05 02:23:11.499000 7.742 6.93483 Clear 0 768.545 75.841 3
2023-10-05 02:23:11.597000 6.979 6.17354 Clear 0 769.016 75.835 8
2023-10-05 02:23:11.599000 6.962 6.15731 Clear 0 769.026 75.835 3
2023-10-05 02:23:11.697000 6.669 5.86526 Clear 0 769.497 75.829 8
2023-10-05 02:23:11.699000 6.65 5.84641 Clear 0 769.506 75.829 3
2023-10-05 02:23:11.797000 6.497 5.69409 Clear 0 769.978 75.823 8
2023-10-05 02:23:11.799000 6.465 5.66151 Clear 0 769.988 75.823 3
2023-10-05 02:23:11.897000 6.736 5.93435 Clear 0 770.46 75.817 8
2023-10-05 02:23:11.997000 6.872 6.07229 Clear 0 770.941 75.811 8
2023-10-05 02:23:11.999000 6.944 6.14422 Clear 0 770.951 75.81 3
2023-10-05 02:23:12.097000 7.21 6.41064 Clear 0 771.424 75.805 8
2023-10-05 02:23:12.099000 7.39 6.5913 Clear 0 771.433 75.804 3
2023-10-05 02:23:12.197000 8.159 7.3607 Clear 0 771.906 75.799 8
2023-10-05 02:23:12.397000 8.18 7.38452 Clear 0 772.873 75.786 8
2023-10-05 02:23:13.397000 7.457 6.6741 Clear 0 777.73 75.727 8
2023-10-05 02:23:13.497000 8.05 7.2691 Clear 0 778.217 75.722 8
2023-10-05 02:23:26.398000 7.781 7.1674 Clear 0 844.109 75.088 3
2023-10-05 02:23:26.498000 7.932 7.31855 Clear 0 844.641 75.084 3
2023-10-05 02:23:26.597000 7.327 6.71582 Clear 0 845.168 75.08 8
2023-10-05 02:23:26.598000 7.3 6.68847 Clear 0 845.173 75.08 3
2023-10-05 02:23:26.697000 7.331 6.72063 Clear 0 845.7 75.076 8
2023-10-05 02:23:26.698000 7.366 6.75594 Clear 0 845.706 75.076 3
2023-10-05 02:23:26.797000 7.294 6.68538 Clear 0 846.233 75.072 8
2023-10-05 02:23:26.798000 7.206 6.59731 Clear 0 846.238 75.072 3
2023-10-05 02:23:26.897000 7.312 6.70408 Clear 0 846.766 75.068 8
2023-10-05 02:23:26.898000 7.097 6.48855 Clear 0 846.772 75.068 3
2023-10-05 02:23:26.997000 7.13 6.52422 Clear 0 847.3 75.064 8
2023-10-05 02:23:26.998000 6.96 6.35435 Clear 0 847.305 75.064 3
2023-10-05 02:23:27.097000 6.9 6.29483 Clear 0 847.833 75.06 8
2023-10-05 02:23:27.098000 6.741 6.13609 Clear 0 847.839 75.06 3
2023-10-05 02:23:27.197000 6.651 6.0474 Clear 0 848.367 75.056 8
2023-10-05 02:23:27.198000 6.56 5.95552 Clear 0 848.373 75.056 3
2023-10-05 02:23:27.297000 6.43 5.82841 Clear 0 848.902 75.052 8
2023-10-05 02:23:27.298000 6.412 5.80965 Clear 0 848.907 75.052 3
2023-10-05 02:23:27.397000 6.323 5.72168 Clear 0 849.436 75.048 8
2023-10-05 02:23:27.398000 6.393 5.79191 Clear 0 849.441 75.048 3
2023-10-05 02:23:27.497000 6.202 5.60172 Clear 0 849.971 75.044 8
2023-10-05 02:23:27.498000 6.219 5.619 Clear 0 849.976 75.044 3
2023-10-05 02:23:27.597000 5.96 5.36223 Clear 0 850.506 75.04 8
2023-10-05 02:23:27.598000 6.011 5.4131 Clear 0 850.511 75.04 3
2023-10-05 02:23:27.697000 5.795 5.1977 Clear 0 851.042 75.036 8
2023-10-05 02:23:27.698000 5.893 5.29555 Clear 0 851.047 75.036 3
2023-10-05 02:23:27.797000 5.978 5.38158 Clear 0 851.577 75.032 8
2023-10-05 02:23:27.798000 6.045 5.44846 Clear 0 851.583 75.032 3
2023-10-05 02:23:27.897000 6.267 5.67297 Clear 0 852.113 75.028 8
2023-10-05 02:23:27.898000 6.247 5.65339 Clear 0 852.119 75.028 3
2023-10-05 02:23:27.997000 6.241 5.64777 Clear 0 852.65 75.025 8
2023-10-05 02:23:27.998000 6.355 5.76229 Clear 0 852.655 75.025 3
2023-10-05 02:23:28.097000 6.419 5.82673 Clear 0 853.186 75.021 8
2023-10-05 02:23:28.098000 6.458 5.86589 Clear 0 853.192 75.021 3
2023-10-05 02:23:28.197000 6.703 6.1116 Clear 0 853.723 75.017 8
2023-10-05 02:23:28.198000 6.63 6.04035 Clear 0 853.728 75.017 3
2023-10-05 02:23:28.297000 6.766 6.17646 Clear 0 854.26 75.013 8
2023-10-05 02:23:28.298000 6.697 6.10815 Clear 0 854.266 75.013 3
2023-10-05 02:23:28.397000 6.835 6.2472 Clear 0 854.798 75.009 8
2023-10-05 02:23:28.398000 6.7 6.11199 Clear 0 854.803 75.009 3
2023-10-05 02:23:28.497000 6.99 6.40339 Clear 0 855.336 75.005 8
2023-10-05 02:23:28.498000 7.016 6.42918 Clear 0 855.341 75.005 3
2023-10-05 02:23:28.597000 6.941 6.35579 Clear 0 855.874 75.001 8
2023-10-05 02:23:28.697000 7.044 6.46013 Clear 0 856.412 74.998 8
2023-10-05 02:23:28.797000 7.14 6.55705 Clear 0 856.951 74.994 8
2023-10-05 02:23:28.897000 7.314 6.73273 Clear 0 857.489 74.99 8
2023-10-05 02:23:28.997000 7.404 6.82353 Clear 0 858.029 74.986 8
2023-10-05 02:23:29.097000 7.351 6.77238 Clear 0 858.568 74.982 8
2023-10-05 02:23:29.197000 7.596 7.0191 Clear 0 859.108 74.979 8
2023-10-05 02:23:29.297000 7.167 6.59134 Clear 0 859.648 74.975 8
2023-10-05 02:23:29.397000 7.379 6.80403 Clear 0 860.188 74.971 8
2023-10-05 02:23:29.497000 7.192 6.61852 Clear 0 860.729 74.967 8
2023-10-05 02:23:29.597000 7.401 6.82883 Clear 0 861.27 74.964 8
2023-10-05 02:23:29.697000 7.242 6.67099 Clear 0 861.811 74.96 8
2023-10-05 02:23:29.797000 7.204 6.63379 Clear 0 862.352 74.956 8
2023-10-05 02:23:29.897000 7.123 6.55482 Clear 0 862.894 74.952 8
2023-10-05 02:23:29.997000 7.09 6.52267 Clear 0 863.436 74.949 8
2023-10-05 02:23:30.097000 6.957 6.39074 Clear 0 863.978 74.945 8
2023-10-05 02:23:30.197000 6.45 5.8855 Clear 0 864.521 74.941 8
2023-10-05 02:23:30.297000 5.548 4.98483 Clear 0 865.064 74.938 8
2023-10-05 02:23:30.397000 3.264 2.70185 Clear 0 865.607 74.934 8
2023-10-05 02:23:30.497000 4.284 3.72386 Clear 0 866.15 74.93 8
2023-10-05 02:23:30.597000 5.965 5.40579 Clear 0 866.694 74.927 8
2023-10-05 02:23:30.697000 6.854 6.29558 Clear 0 867.238 74.923 8
2023-10-05 02:23:30.797000 7.351 6.79514 Clear 0 867.782 74.92 8
2023-10-05 02:23:30.897000 7.56 7.00505 Clear 0 868.327 74.916 8
2023-10-05 02:23:30.997000 8.267 7.71332 Clear 0 868.872 74.912 8
2023-10-05 02:23:31.097000 8.122 7.5688 Clear 0 869.417 74.909 8
2023-10-05 02:23:31.497000 8.311 7.76439 Clear 0 871.6 74.895 8
