# satellite: 39422 STSAT 3 / SKOR
# catalogue: 1 NORAD
# track: 26943084
# variability: 2 Periodic
# variability_period: 24.1683098
# npoints: 588
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2023-11-08 01:55:47.799000 6.877 7.0004 Clear 0 899.142 106.03 4
2023-11-08 01:55:47.899000 6.803 6.92557 Clear 0 899.474 106.02 4
2023-11-08 01:55:47.999000 6.587 6.71054 Clear 0 899.807 106.009 4
2023-11-08 01:55:48.099000 6.285 6.4093 Clear 0 900.14 105.998 4
2023-11-08 01:55:48.199000 6.437 6.56153 Clear 0 900.474 105.988 4
2023-11-08 01:55:48.299000 6.278 6.40248 Clear 0 900.809 105.977 4
2023-11-08 01:55:48.399000 6.365 6.4907 Clear 0 901.143 105.966 4
2023-11-08 01:55:48.499000 6.56 6.68582 Clear 0 901.478 105.956 4
2023-11-08 01:55:48.599000 6.69 6.81652 Clear 0 901.814 105.945 4
2023-11-08 01:55:48.699000 6.796 6.92259 Clear 0 902.15 105.934 4
2023-11-08 01:55:48.799000 6.806 6.93397 Clear 0 902.487 105.924 4
2023-11-08 01:55:48.899000 6.871 6.99962 Clear 0 902.824 105.913 4
2023-11-08 01:55:48.999000 7.295 7.42389 Clear 0 903.161 105.903 4
2023-11-08 01:55:49.099000 7.026 7.15638 Clear 0 903.499 105.892 4
2023-11-08 01:55:49.199000 7.131 7.26056 Clear 0 903.838 105.881 4
2023-11-08 01:55:49.299000 7.17 7.30045 Clear 0 904.176 105.871 4
2023-11-08 01:55:49.399000 7.508 7.63906 Clear 0 904.516 105.86 4
2023-11-08 01:55:49.499000 7.516 7.64775 Clear 0 904.856 105.85 4
2023-11-08 01:55:49.599000 7.557 7.68879 Clear 0 905.196 105.839 4
2023-11-08 01:55:49.699000 7.847 7.97997 Clear 0 905.536 105.828 4
2023-11-08 01:55:49.799000 7.862 7.99465 Clear 0 905.878 105.818 4
2023-11-08 01:55:49.899000 7.849 7.98301 Clear 0 906.219 105.807 4
2023-11-08 01:55:49.999000 7.718 7.85253 Clear 0 906.561 105.797 4
2023-11-08 01:55:50.099000 7.899 8.03354 Clear 0 906.904 105.786 4
2023-11-08 01:55:50.199000 7.751 7.88656 Clear 0 907.247 105.775 4
2023-11-08 01:55:50.299000 7.976 8.1123 Clear 0 907.59 105.765 4
2023-11-08 01:55:50.399000 7.998 8.1352 Clear 0 907.934 105.754 4
2023-11-08 01:55:50.499000 8.05 8.18726 Clear 0 908.278 105.744 4
2023-11-08 01:55:50.599000 8.275 8.41293 Clear 0 908.623 105.733 4
2023-11-08 01:55:50.699000 8.197 8.33519 Clear 0 908.968 105.722 4
2023-11-08 01:55:50.799000 8.22 8.35862 Clear 0 909.314 105.712 4
2023-11-08 01:55:50.899000 7.751 7.89075 Clear 0 909.66 105.701 4
2023-11-08 01:55:50.999000 7.86 8.00021 Clear 0 910.006 105.691 4
2023-11-08 01:55:51.099000 7.794 7.93503 Clear 0 910.353 105.68 4
2023-11-08 01:55:51.199000 8.426 8.56739 Clear 0 910.701 105.669 4
2023-11-08 01:55:51.299000 8.167 8.30936 Clear 0 911.049 105.659 4
2023-11-08 01:55:51.399000 8.664 8.80576 Clear 0 911.397 105.648 4
2023-11-08 01:55:51.499000 8.41 8.55288 Clear 0 911.746 105.638 4
2023-11-08 01:55:51.599000 8.504 8.64753 Clear 0 912.095 105.627 4
2023-11-08 01:55:51.699000 8.974 9.11767 Clear 0 912.444 105.617 4
2023-11-08 01:55:51.999000 8.312 8.45776 Clear 0 913.496 105.585 4
2023-11-08 01:55:52.099000 8.602 8.74754 Clear 0 913.847 105.574 4
2023-11-08 01:55:52.299000 8.771 8.91943 Clear 0 914.552 105.553 4
2023-11-08 01:55:53.199000 9.167 9.31997 Clear 0 917.742 105.459 4
2023-11-08 01:55:53.299000 8.394 8.54671 Clear 0 918.099 105.448 4
2023-11-08 01:55:53.399000 8.365 8.5194 Clear 0 918.456 105.437 4
2023-11-08 01:55:53.499000 8.612 8.76556 Clear 0 918.813 105.427 4
2023-11-08 01:55:53.599000 8.114 8.26936 Clear 0 919.171 105.416 4
2023-11-08 01:55:53.699000 7.823 7.97875 Clear 0 919.53 105.406 4
2023-11-08 01:55:53.799000 7.561 7.71657 Clear 0 919.888 105.395 4
2023-11-08 01:55:53.899000 7.291 7.44838 Clear 0 920.248 105.385 4
2023-11-08 01:55:53.999000 6.642 6.79867 Clear 0 920.607 105.374 4
2023-11-08 01:55:54.099000 6.108 6.26574 Clear 0 920.968 105.364 4
2023-11-08 01:55:54.199000 5.061 5.22018 Clear 0 921.328 105.353 4
2023-11-08 01:55:54.299000 3.466 3.62524 Clear 0 921.689 105.343 4
2023-11-08 01:55:54.399000 1.871 2.03094 Clear 0 922.051 105.333 4
2023-11-08 01:55:54.499000 3.396 3.55578 Clear 0 922.412 105.322 4
2023-11-08 01:55:54.599000 5.051 5.21162 Clear 0 922.775 105.312 4
2023-11-08 01:55:54.699000 5.802 5.96367 Clear 0 923.137 105.301 4
2023-11-08 01:55:54.799000 6.13 6.29219 Clear 0 923.501 105.291 4
2023-11-08 01:55:54.899000 6.38 6.54317 Clear 0 923.864 105.28 4
2023-11-08 01:55:54.999000 6.694 6.85714 Clear 0 924.228 105.27 4
2023-11-08 01:55:55.099000 7.037 7.20127 Clear 0 924.593 105.259 4
2023-11-08 01:55:55.199000 7.304 7.46925 Clear 0 924.957 105.249 4
2023-11-08 01:55:55.299000 7.355 7.52037 Clear 0 925.323 105.238 4
2023-11-08 01:55:55.399000 7.567 7.7329 Clear 0 925.688 105.228 4
2023-11-08 01:55:55.499000 7.504 7.67036 Clear 0 926.054 105.217 4
2023-11-08 01:55:55.599000 7.438 7.60475 Clear 0 926.421 105.207 4
2023-11-08 01:55:55.699000 7.527 7.69509 Clear 0 926.788 105.196 4
2023-11-08 01:55:55.799000 7.544 7.71205 Clear 0 927.155 105.186 4
2023-11-08 01:55:55.899000 7.7 7.86941 Clear 0 927.523 105.176 4
2023-11-08 01:55:55.999000 7.641 7.80961 Clear 0 927.891 105.165 4
2023-11-08 01:55:56.099000 7.846 8.01643 Clear 0 928.26 105.155 4
2023-11-08 01:55:56.199000 7.727 7.89777 Clear 0 928.629 105.144 4
2023-11-08 01:55:56.299000 7.61 7.78065 Clear 0 928.999 105.134 4
2023-11-08 01:55:56.399000 7.741 7.91309 Clear 0 929.369 105.123 4
2023-11-08 01:55:56.499000 7.697 7.86914 Clear 0 929.739 105.113 4
2023-11-08 01:55:56.599000 7.672 7.84472 Clear 0 930.11 105.103 4
2023-11-08 01:55:56.699000 7.696 7.86996 Clear 0 930.481 105.092 4
2023-11-08 01:55:56.799000 7.504 7.6777 Clear 0 930.852 105.082 4
2023-11-08 01:55:56.899000 7.542 7.71657 Clear 0 931.224 105.071 4
2023-11-08 01:55:56.999000 7.596 7.77133 Clear 0 931.597 105.061 4
2023-11-08 01:55:57.099000 7.578 7.75417 Clear 0 931.97 105.051 4
2023-11-08 01:55:57.199000 7.753 7.92979 Clear 0 932.343 105.04 4
2023-11-08 01:55:57.299000 7.5 7.67678 Clear 0 932.717 105.03 4
2023-11-08 01:55:57.399000 7.454 7.63154 Clear 0 933.091 105.019 4
2023-11-08 01:55:57.499000 7.555 7.7329 Clear 0 933.465 105.009 4
2023-11-08 01:55:57.599000 7.39 7.56858 Clear 0 933.84 104.999 4
2023-11-08 01:55:57.699000 7.452 7.6322 Clear 0 934.215 104.988 4
2023-11-08 01:55:57.799000 7.32 7.49947 Clear 0 934.591 104.978 4
2023-11-08 01:55:57.899000 7.607 7.78775 Clear 0 934.967 104.968 4
2023-11-08 01:55:57.999000 7.436 7.61752 Clear 0 935.344 104.957 4
2023-11-08 01:55:58.099000 7.369 7.55125 Clear 0 935.721 104.947 4
2023-11-08 01:55:58.199000 7.412 7.5949 Clear 0 936.098 104.936 4
2023-11-08 01:55:58.299000 7.257 7.4404 Clear 0 936.476 104.926 4
2023-11-08 01:55:58.399000 7.337 7.52056 Clear 0 936.854 104.916 4
2023-11-08 01:55:58.499000 7.179 7.36351 Clear 0 937.233 104.905 4
2023-11-08 01:55:58.599000 7.196 7.3807 Clear 0 937.612 104.895 4
2023-11-08 01:55:58.699000 7.495 7.68138 Clear 0 937.991 104.885 4
2023-11-08 01:55:58.799000 7.013 7.20038 Clear 0 938.371 104.874 4
2023-11-08 01:55:58.899000 7.017 7.20395 Clear 0 938.751 104.864 4
2023-11-08 01:55:58.999000 7.065 7.25322 Clear 0 939.132 104.854 4
2023-11-08 01:55:59.099000 6.785 6.97261 Clear 0 939.513 104.843 4
2023-11-08 01:55:59.199000 6.803 6.99213 Clear 0 939.895 104.833 4
2023-11-08 01:55:59.299000 6.612 6.80216 Clear 0 940.276 104.823 4
2023-11-08 01:55:59.399000 6.62 6.81023 Clear 0 940.659 104.812 4
2023-11-08 01:55:59.499000 6.46 6.65055 Clear 0 941.041 104.802 4
2023-11-08 01:55:59.599000 6.313 6.50455 Clear 0 941.425 104.792 4
2023-11-08 01:55:59.699000 6.173 6.36505 Clear 0 941.808 104.782 4
2023-11-08 01:55:59.799000 6.011 6.20423 Clear 0 942.192 104.771 4
2023-11-08 01:55:59.899000 5.974 6.16648 Clear 0 942.576 104.761 4
2023-11-08 01:55:59.999000 5.863 6.05719 Clear 0 942.961 104.751 4
2023-11-08 01:56:00.099000 5.682 5.87657 Clear 0 943.346 104.74 4
2023-11-08 01:56:00.199000 5.555 5.74987 Clear 0 943.731 104.73 4
2023-11-08 01:56:00.299000 5.476 5.67205 Clear 0 944.117 104.72 4
2023-11-08 01:56:00.399000 5.282 5.47936 Clear 0 944.504 104.71 4
2023-11-08 01:56:00.499000 5.172 5.36885 Clear 0 944.89 104.699 4
2023-11-08 01:56:00.599000 5.5 5.69844 Clear 0 945.277 104.689 4
2023-11-08 01:56:00.699000 5.528 5.72701 Clear 0 945.665 104.679 4
2023-11-08 01:56:00.799000 5.636 5.83446 Clear 0 946.053 104.669 4
2023-11-08 01:56:00.899000 5.743 5.94263 Clear 0 946.441 104.658 4
2023-11-08 01:56:00.999000 5.786 5.98611 Clear 0 946.83 104.648 4
2023-11-08 01:56:01.099000 6.05 6.25123 Clear 0 947.219 104.638 4
2023-11-08 01:56:01.199000 6.2 6.40163 Clear 0 947.608 104.628 4
2023-11-08 01:56:01.299000 6.292 6.49375 Clear 0 947.998 104.617 4
2023-11-08 01:56:01.399000 6.367 6.56961 Clear 0 948.388 104.607 4
2023-11-08 01:56:01.499000 6.424 6.62775 Clear 0 948.779 104.597 4
2023-11-08 01:56:01.599000 6.607 6.81096 Clear 0 949.17 104.587 4
2023-11-08 01:56:01.699000 6.705 6.91017 Clear 0 949.562 104.576 4
2023-11-08 01:56:01.799000 6.903 7.1086 Clear 0 949.953 104.566 4
2023-11-08 01:56:01.899000 6.965 7.17124 Clear 0 950.346 104.556 4
2023-11-08 01:56:01.999000 6.949 7.15548 Clear 0 950.738 104.546 4
2023-11-08 01:56:02.099000 6.933 7.1408 Clear 0 951.131 104.536 4
2023-11-08 01:56:02.199000 7.045 7.253 Clear 0 951.525 104.525 4
2023-11-08 01:56:02.299000 7.146 7.35517 Clear 0 951.918 104.515 4
2023-11-08 01:56:02.399000 7.381 7.58962 Clear 0 952.313 104.505 4
