# satellite: 39422 STSAT 3 / SKOR
# catalogue: 1 NORAD
# track: 8111844
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 102
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-07-23 18:46:05.295000 7.34 5.9784 Clear 0 703.261 42.481 2
2015-07-23 18:46:05.395000 7.378 6.01598 Clear 0 702.987 42.537 2
2015-07-23 18:46:05.495000 7.356 5.99305 Clear 0 702.714 42.593 2
2015-07-23 18:46:05.595000 7.423 6.06008 Clear 0 702.442 42.649 2
2015-07-23 18:46:05.695000 7.378 6.01474 Clear 0 702.17 42.705 2
2015-07-23 18:46:05.795000 7.356 5.99197 Clear 0 701.9 42.761 2
2015-07-23 18:46:05.895000 7.394 6.02974 Clear 0 701.629 42.818 2
2015-07-23 18:46:05.995000 7.35 5.98528 Clear 0 701.36 42.874 2
2015-07-23 18:46:06.095000 7.444 6.07867 Clear 0 701.091 42.93 2
2015-07-23 18:46:06.195000 7.409 6.04427 Clear 0 700.823 42.987 2
2015-07-23 18:46:06.295000 7.447 6.08058 Clear 0 700.555 43.043 2
2015-07-23 18:46:06.395000 7.424 6.05837 Clear 0 700.288 43.099 2
2015-07-23 18:46:06.495000 7.402 6.03533 Clear 0 700.022 43.156 2
2015-07-23 18:46:06.595000 7.456 6.08916 Clear 0 699.756 43.212 2
2015-07-23 18:46:06.695000 7.359 5.99155 Clear 0 699.491 43.269 2
2015-07-23 18:46:06.795000 7.388 6.01995 Clear 0 699.227 43.326 2
2015-07-23 18:46:06.895000 7.425 6.05657 Clear 0 698.964 43.382 2
2015-07-23 18:46:06.995000 7.436 6.06716 Clear 0 698.701 43.439 2
2015-07-23 18:46:07.095000 7.431 6.06213 Clear 0 698.439 43.496 2
2015-07-23 18:46:07.195000 7.481 6.11185 Clear 0 698.177 43.553 2
2015-07-23 18:46:07.295000 7.47 6.09965 Clear 0 697.916 43.61 2
2015-07-23 18:46:07.395000 7.393 6.02337 Clear 0 697.656 43.666 2
2015-07-23 18:46:07.495000 7.48 6.10919 Clear 0 697.396 43.723 2
2015-07-23 18:46:07.595000 7.439 6.06754 Clear 0 697.137 43.78 2
2015-07-23 18:46:07.695000 7.427 6.05563 Clear 0 696.879 43.837 2
2015-07-23 18:46:07.795000 7.504 6.13161 Clear 0 696.622 43.895 2
2015-07-23 18:46:07.895000 7.468 6.09604 Clear 0 696.365 43.952 2
2015-07-23 18:46:07.995000 7.541 6.16933 Clear 0 696.109 44.009 2
2015-07-23 18:46:08.095000 7.49 6.11712 Clear 0 695.853 44.066 2
2015-07-23 18:46:08.195000 7.491 6.11833 Clear 0 695.598 44.123 2
2015-07-23 18:46:08.295000 7.467 6.0936 Clear 0 695.344 44.181 2
2015-07-23 18:46:08.395000 7.478 6.10352 Clear 0 695.091 44.238 2
2015-07-23 18:46:08.495000 7.449 6.0751 Clear 0 694.838 44.295 2
2015-07-23 18:46:08.595000 7.487 6.11262 Clear 0 694.586 44.353 2
2015-07-23 18:46:08.695000 7.483 6.10773 Clear 0 694.335 44.41 2
2015-07-23 18:46:08.795000 7.438 6.06314 Clear 0 694.084 44.468 2
2015-07-23 18:46:08.895000 7.511 6.13526 Clear 0 693.834 44.525 2
2015-07-23 18:46:08.995000 7.447 6.07102 Clear 0 693.585 44.583 2
2015-07-23 18:46:09.095000 7.46 6.08427 Clear 0 693.336 44.641 2
2015-07-23 18:46:09.195000 7.492 6.1158 Clear 0 693.088 44.698 2
