# satellite: 39511 ARIANE 5 DEB (SYLDA) / FR
# catalogue: 1 NORAD
# track: 18377720
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 897
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2020-10-06 18:46:32.294000 5.089 9.59444 Clear 0 10670.17 36.771 7
2020-10-06 18:46:32.394000 5.124 9.62883 Clear 0 10669.866 36.769 7
2020-10-06 18:46:32.494000 4.877 9.38125 Clear 0 10669.561 36.768 7
2020-10-06 18:46:32.794000 5.238 9.74213 Clear 0 10668.648 36.763 7
2020-10-06 18:46:32.994000 4.97 9.47411 Clear 0 10668.04 36.76 7
2020-10-06 18:46:33.094000 4.939 9.44305 Clear 0 10667.736 36.759 7
2020-10-06 18:46:33.794000 5.376 9.88017 Clear 0 10665.606 36.748 7
2020-10-06 18:46:34.094000 5.107 9.61005 Clear 0 10664.693 36.744 7
2020-10-06 18:46:34.394000 5.367 9.86964 Clear 0 10663.78 36.739 7
2020-10-06 18:46:34.894000 5.225 9.7275 Clear 0 10662.259 36.731 7
2020-10-06 18:46:34.994000 4.802 9.30529 Clear 0 10661.955 36.73 7
2020-10-06 18:46:35.494000 5.253 9.75542 Clear 0 10660.434 36.722 7
2020-10-06 18:46:35.894000 5.129 9.63086 Clear 0 10659.217 36.716 7
2020-10-06 18:46:36.394000 5.007 9.50907 Clear 0 10657.695 36.709 7
2020-10-06 18:46:36.794000 5.199 9.70028 Clear 0 10656.478 36.703 7
2020-10-06 18:46:37.194000 4.976 9.47699 Clear 0 10655.262 36.696 7
2020-10-06 18:46:37.494000 5.296 9.79706 Clear 0 10654.349 36.692 7
2020-10-06 18:46:37.894000 5.205 9.70627 Clear 0 10653.132 36.686 7
2020-10-06 18:46:38.394000 5.274 9.77444 Clear 0 10651.611 36.678 7
2020-10-06 18:46:38.894000 5.002 9.50158 Clear 0 10650.09 36.671 7
2020-10-06 18:46:39.094000 5.252 9.75228 Clear 0 10649.481 36.668 7
2020-10-06 18:46:39.994000 4.844 9.34331 Clear 0 10646.743 36.654 7
2020-10-06 18:46:40.494000 5.131 9.62946 Clear 0 10645.222 36.646 7
2020-10-06 18:46:41.296000 5.261 9.75857 Clear 0 10642.782 36.634 7
2020-10-06 18:46:41.496000 4.938 9.43642 Clear 0 10642.174 36.631 7
2020-10-06 18:46:41.896000 5.078 9.57622 Clear 0 10640.957 36.625 7
2020-10-06 18:46:42.196000 4.969 9.46731 Clear 0 10640.045 36.621 7
2020-10-06 18:46:42.296000 5.121 9.61833 Clear 0 10639.74 36.619 7
2020-10-06 18:46:42.996000 5.058 9.55511 Clear 0 10637.611 36.608 7
2020-10-06 18:46:43.196000 4.711 9.20805 Clear 0 10637.003 36.605 7
2020-10-06 18:46:44.196000 5.055 9.5512 Clear 0 10633.961 36.59 7
2020-10-06 18:46:45.096000 5.586 10.0812 Clear 0 10631.223 36.577 7
2020-10-06 18:46:45.296000 5.351 9.84569 Clear 0 10630.615 36.573 7
2020-10-06 18:47:29.695000 5.217 9.67979 Clear 0 10495.655 35.9 7
2020-10-06 18:47:29.795000 5.227 9.69006 Clear 0 10495.351 35.898 7
2020-10-06 18:47:29.895000 5.126 9.58886 Clear 0 10495.047 35.897 7
2020-10-06 18:47:29.995000 5.102 9.56496 Clear 0 10494.744 35.895 7
2020-10-06 18:47:30.295000 5.337 9.80004 Clear 0 10493.832 35.891 7
2020-10-06 18:47:30.395000 5.054 9.51744 Clear 0 10493.529 35.889 7
2020-10-06 18:47:30.495000 4.953 9.41556 Clear 0 10493.225 35.888 7
2020-10-06 18:47:30.695000 5.323 9.78547 Clear 0 10492.618 35.885 7
2020-10-06 18:47:30.795000 4.924 9.38733 Clear 0 10492.314 35.883 7
2020-10-06 18:47:30.895000 5.489 9.95203 Clear 0 10492.01 35.882 7
2020-10-06 18:47:31.095000 4.812 9.27416 Clear 0 10491.403 35.879 7
2020-10-06 18:47:31.295000 5.278 9.73979 Clear 0 10490.795 35.876 7
2020-10-06 18:47:31.495000 4.638 9.10007 Clear 0 10490.188 35.873 7
2020-10-06 18:47:31.595000 4.932 9.39404 Clear 0 10489.884 35.871 7
2020-10-06 18:47:32.195000 5.306 9.76792 Clear 0 10488.062 35.862 7
2020-10-06 18:47:32.495000 4.952 9.41328 Clear 0 10487.151 35.858 7
2020-10-06 18:47:32.695000 5.231 9.69153 Clear 0 10486.543 35.855 7
2020-10-06 18:47:33.395000 5.013 9.47433 Clear 0 10484.417 35.844 7
2020-10-06 18:47:33.795000 5.113 9.57287 Clear 0 10483.203 35.838 7
