# satellite: 40086 ORBCOMM FM 109 / US
# catalogue: 1 NORAD
# track: 8415967
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 805
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-08-18 01:18:52.296000 8.521 7.84836 Clear 0 747.701 87.593 7
2015-08-18 01:18:52.396000 8.174 7.50183 Clear 0 747.813 87.647 7
2015-08-18 01:18:52.496000 8.081 7.40981 Clear 0 747.925 87.702 7
2015-08-18 01:18:52.596000 8.317 7.64688 Clear 0 748.038 87.756 7
2015-08-18 01:18:52.696000 8.64 7.97151 Clear 0 748.152 87.811 7
2015-08-18 01:18:52.796000 8.138 7.47068 Clear 0 748.267 87.865 7
2015-08-18 01:18:52.896000 8.465 7.79858 Clear 0 748.381 87.92 7
2015-08-18 01:18:52.996000 8.166 7.50233 Clear 0 748.497 87.974 7
2015-08-18 01:18:53.096000 8.405 7.74146 Clear 0 748.613 88.028 7
2015-08-18 01:18:53.196000 8.279 7.61708 Clear 0 748.73 88.083 7
2015-08-18 01:18:53.296000 8.269 7.6089 Clear 0 748.847 88.137 7
2015-08-18 01:18:53.396000 8.487 7.82785 Clear 0 748.965 88.191 7
2015-08-18 01:18:53.496000 8.201 7.54285 Clear 0 749.084 88.246 7
2015-08-18 01:18:53.596000 8.48 7.82428 Clear 0 749.203 88.3 7
2015-08-18 01:18:53.696000 8.271 7.61583 Clear 0 749.323 88.354 7
2015-08-18 01:18:53.796000 8.414 7.76095 Clear 0 749.443 88.409 7
2015-08-18 01:18:53.896000 8.232 7.58044 Clear 0 749.564 88.463 7
2015-08-18 01:18:53.996000 8.278 7.62701 Clear 0 749.685 88.517 7
2015-08-18 01:18:54.096000 8.375 7.72573 Clear 0 749.807 88.571 7
2015-08-18 01:18:54.196000 8.327 7.67888 Clear 0 749.93 88.626 7
2015-08-18 01:18:54.296000 8.275 7.62786 Clear 0 750.053 88.68 7
2015-08-18 01:18:54.396000 8.301 7.65565 Clear 0 750.177 88.734 7
2015-08-18 01:18:54.496000 8.252 7.60766 Clear 0 750.302 88.788 7
2015-08-18 01:18:54.596000 8.183 7.53961 Clear 0 750.427 88.842 7
2015-08-18 01:18:54.696000 8.166 7.52538 Clear 0 750.553 88.897 7
2015-08-18 01:18:54.796000 8.518 7.87749 Clear 0 750.679 88.951 7
2015-08-18 01:18:54.896000 8.141 7.50258 Clear 0 750.806 89.005 7
2015-08-18 01:18:54.996000 8.663 8.02565 Clear 0 750.933 89.059 7
2015-08-18 01:18:55.096000 8.702 8.06589 Clear 0 751.061 89.113 7
2015-08-18 01:18:55.196000 8.354 7.71956 Clear 0 751.19 89.167 7
2015-08-18 01:18:55.296000 8.391 7.75792 Clear 0 751.319 89.221 7
2015-08-18 01:18:55.798000 8.345 7.71895 Clear 0 751.977 89.492 7
2015-08-18 01:18:55.898000 8.224 7.59942 Clear 0 752.11 89.546 7
2015-08-18 01:18:55.998000 8.361 7.73755 Clear 0 752.244 89.6 7
2015-08-18 01:18:56.098000 8.581 7.95865 Clear 0 752.378 89.654 7
2015-08-18 01:18:56.198000 8.371 7.75108 Clear 0 752.512 89.708 7
2015-08-18 01:18:56.298000 8.147 7.52767 Clear 0 752.647 89.762 7
2015-08-18 01:18:56.398000 8.248 7.62997 Clear 0 752.783 89.815 7
2015-08-18 01:18:56.498000 8.121 7.5047 Clear 0 752.92 89.869 7
2015-08-18 01:18:56.598000 8.187 7.57148 Clear 0 753.057 89.923 7
2015-08-18 01:18:56.698000 8.215 7.60175 Clear 0 753.194 89.977 7
2015-08-18 01:18:56.798000 8.368 7.75617 Clear 0 753.332 90.031 7
2015-08-18 01:18:56.898000 8.128 7.51751 Clear 0 753.471 90.084 7
2015-08-18 01:18:56.998000 8.266 7.65666 Clear 0 753.61 90.138 7
2015-08-18 01:18:57.098000 8.121 7.51297 Clear 0 753.75 90.192 7
2015-08-18 01:18:57.198000 8.304 7.69842 Clear 0 753.891 90.245 7
2015-08-18 01:18:57.298000 8.421 7.81564 Clear 0 754.032 90.299 7
2015-08-18 01:18:57.398000 8.497 7.89391 Clear 0 754.174 90.353 7
2015-08-18 01:18:57.498000 8.438 7.83573 Clear 0 754.316 90.406 7
2015-08-18 01:18:57.598000 8.326 7.72558 Clear 0 754.459 90.46 7
2015-08-18 01:18:57.698000 8.144 7.54544 Clear 0 754.602 90.514 7
2015-08-18 01:18:57.798000 8.413 7.81497 Clear 0 754.746 90.567 7
2015-08-18 01:18:57.898000 8.183 7.58677 Clear 0 754.891 90.621 7
2015-08-18 01:18:57.998000 8.245 7.65032 Clear 0 755.036 90.674 7
2015-08-18 01:18:58.098000 8.205 7.61195 Clear 0 755.182 90.728 7
2015-08-18 01:18:58.198000 8.349 7.7568 Clear 0 755.328 90.781 7
2015-08-18 01:18:58.298000 8.267 7.67726 Clear 0 755.475 90.835 7
2015-08-18 01:18:58.398000 8.441 7.85168 Clear 0 755.623 90.888 7
2015-08-18 01:18:58.498000 8.119 7.53189 Clear 0 755.771 90.942 7
2015-08-18 01:18:58.598000 8.165 7.57923 Clear 0 755.919 90.995 7
2015-08-18 01:18:58.698000 8.227 7.64216 Clear 0 756.069 91.048 7
2015-08-18 01:18:58.798000 8.676 8.09332 Clear 0 756.219 91.102 7
2015-08-18 01:18:58.898000 7.97 7.38817 Clear 0 756.369 91.155 7
2015-08-18 01:18:58.998000 7.916 7.33607 Clear 0 756.52 91.208 7
2015-08-18 01:18:59.098000 8.175 7.59628 Clear 0 756.672 91.262 7
2015-08-18 01:18:59.198000 8.303 7.72573 Clear 0 756.824 91.315 7
2015-08-18 01:18:59.298000 8.131 7.55523 Clear 0 756.977 91.368 7
2015-08-18 01:18:59.398000 8.294 7.71956 Clear 0 757.13 91.422 7
2015-08-18 01:18:59.498000 8.022 7.44857 Clear 0 757.284 91.475 7
2015-08-18 01:18:59.598000 8.356 7.78539 Clear 0 757.438 91.528 7
2015-08-18 01:18:59.698000 8.424 7.85412 Clear 0 757.593 91.581 7
2015-08-18 01:18:59.798000 8.348 7.77951 Clear 0 757.749 91.634 7
2015-08-18 01:18:59.898000 8.311 7.74417 Clear 0 757.905 91.688 7
2015-08-18 01:18:59.998000 8.032 7.46684 Clear 0 758.062 91.741 7
2015-08-18 01:19:00.098000 8.213 7.64878 Clear 0 758.22 91.794 7
2015-08-18 01:19:00.198000 8.153 7.59065 Clear 0 758.378 91.847 7
2015-08-18 01:19:00.298000 8.26 7.69944 Clear 0 758.536 91.9 7
2015-08-18 01:19:00.398000 8.057 7.49792 Clear 0 758.695 91.953 7
2015-08-18 01:19:00.498000 8.018 7.45999 Clear 0 758.855 92.006 7
2015-08-18 01:19:00.598000 8.674 8.11747 Clear 0 759.015 92.059 7
2015-08-18 01:19:00.698000 8.668 8.11273 Clear 0 759.176 92.112 7
2015-08-18 01:19:00.798000 8.399 7.8463 Clear 0 759.338 92.165 7
2015-08-18 01:19:00.898000 8.114 7.56158 Clear 0 759.5 92.218 7
2015-08-18 01:19:00.998000 8.175 7.62519 Clear 0 759.662 92.271 7
2015-08-18 01:19:01.098000 8.09 7.54104 Clear 0 759.825 92.324 7
2015-08-18 01:19:01.198000 8.338 7.79125 Clear 0 759.989 92.377 7
2015-08-18 01:19:01.298000 7.967 7.42133 Clear 0 760.153 92.429 7
2015-08-18 01:19:01.398000 8.263 7.71879 Clear 0 760.318 92.482 7
2015-08-18 01:19:01.498000 8.069 7.52638 Clear 0 760.484 92.535 7
2015-08-18 01:19:01.598000 8.334 7.79274 Clear 0 760.65 92.588 7
2015-08-18 01:19:01.698000 8.143 7.60254 Clear 0 760.816 92.641 7
2015-08-18 01:19:01.798000 8.491 7.95344 Clear 0 760.984 92.693 7
2015-08-18 01:19:01.898000 7.943 7.4061 Clear 0 761.151 92.746 7
2015-08-18 01:19:01.998000 8.108 7.5734 Clear 0 761.32 92.799 7
2015-08-18 01:19:02.098000 8.131 7.59719 Clear 0 761.489 92.852 7
2015-08-18 01:19:02.198000 8.054 7.52218 Clear 0 761.658 92.904 7
2015-08-18 01:19:02.298000 7.954 7.42271 Clear 0 761.828 92.957 7
2015-08-18 01:19:02.398000 8.092 7.56316 Clear 0 761.999 93.009 7
2015-08-18 01:19:02.498000 8.286 7.75781 Clear 0 762.17 93.062 7
2015-08-18 01:19:02.598000 8.042 7.51609 Clear 0 762.342 93.115 7
2015-08-18 01:19:02.698000 8.107 7.5828 Clear 0 762.514 93.167 7
2015-08-18 01:19:02.798000 8.349 7.82597 Clear 0 762.687 93.22 7
2015-08-18 01:19:02.898000 8.141 7.62014 Clear 0 762.86 93.272 7
2015-08-18 01:19:02.998000 8.058 7.53807 Clear 0 763.034 93.325 7
2015-08-18 01:19:03.198000 7.962 7.44525 Clear 0 763.384 93.43 7
2015-08-18 01:19:03.298000 8.23 7.71465 Clear 0 763.56 93.482 7
2015-08-18 01:19:03.398000 8.019 7.50477 Clear 0 763.736 93.534 7
2015-08-18 01:19:03.498000 7.976 7.46347 Clear 0 763.913 93.587 7
2015-08-18 01:19:03.598000 8.084 7.57273 Clear 0 764.09 93.639 7
2015-08-18 01:19:03.698000 8.637 8.12769 Clear 0 764.268 93.691 7
2015-08-18 01:19:03.798000 8.197 7.69042 Clear 0 764.447 93.744 7
2015-08-18 01:19:03.898000 8.023 7.51723 Clear 0 764.626 93.796 7
2015-08-18 01:19:03.998000 8.08 7.57594 Clear 0 764.805 93.848 7
2015-08-18 01:19:04.098000 8.352 7.84874 Clear 0 764.986 93.9 7
2015-08-18 01:19:04.198000 8.161 7.66019 Clear 0 765.166 93.953 7
2015-08-18 01:19:04.298000 7.993 7.49247 Clear 0 765.348 94.005 7
2015-08-18 01:19:04.398000 7.987 7.48901 Clear 0 765.53 94.057 7
2015-08-18 01:19:04.498000 8.319 7.82257 Clear 0 765.712 94.109 7
2015-08-18 01:19:04.598000 8.111 7.61596 Clear 0 765.895 94.161 7
2015-08-18 01:19:04.698000 8.013 7.51951 Clear 0 766.079 94.213 7
2015-08-18 01:19:04.798000 8.139 7.64662 Clear 0 766.263 94.265 7
2015-08-18 01:19:04.898000 7.9 7.40974 Clear 0 766.447 94.317 7
2015-08-18 01:19:04.998000 8.053 7.56515 Clear 0 766.633 94.369 7
2015-08-18 01:19:05.098000 8.36 7.87291 Clear 0 766.819 94.421 7
2015-08-18 01:19:05.198000 7.937 7.45224 Clear 0 767.005 94.473 7
2015-08-18 01:19:05.298000 7.949 7.46515 Clear 0 767.192 94.525 7
2015-08-18 01:19:05.398000 8.402 7.92003 Clear 0 767.379 94.577 7
2015-08-18 01:19:05.498000 8.568 8.08804 Clear 0 767.567 94.629 7
2015-08-18 01:19:05.598000 8.052 7.573 Clear 0 767.756 94.681 7
2015-08-18 01:19:05.698000 8.275 7.79804 Clear 0 767.945 94.733 7
2015-08-18 01:19:05.798000 8.165 7.68848 Clear 0 768.135 94.785 7
2015-08-18 01:19:05.898000 8.002 7.52843 Clear 0 768.325 94.836 7
2015-08-18 01:19:05.998000 7.949 7.47653 Clear 0 768.516 94.888 7
2015-08-18 01:19:06.098000 8.038 7.56674 Clear 0 768.707 94.94 7
2015-08-18 01:19:06.198000 8.068 7.59856 Clear 0 768.899 94.992 7
2015-08-18 01:19:06.298000 8.132 7.66398 Clear 0 769.092 95.043 7
2015-08-18 01:19:06.398000 7.896 7.43036 Clear 0 769.285 95.095 7
2015-08-18 01:19:06.498000 7.882 7.41799 Clear 0 769.478 95.147 7
2015-08-18 01:19:06.598000 8.068 7.60474 Clear 0 769.673 95.198 7
2015-08-18 01:19:06.698000 8.385 7.92358 Clear 0 769.867 95.25 7
2015-08-18 01:19:06.798000 8.187 7.72651 Clear 0 770.063 95.302 7
2015-08-18 01:19:06.898000 7.91 7.45176 Clear 0 770.258 95.353 7
2015-08-18 01:19:06.998000 8.022 7.56568 Clear 0 770.455 95.405 7
2015-08-18 01:19:07.098000 7.927 7.47191 Clear 0 770.652 95.456 7
2015-08-18 01:19:07.198000 8.316 7.86279 Clear 0 770.849 95.508 7
2015-08-18 01:19:07.298000 7.973 7.52218 Clear 0 771.047 95.559 7
2015-08-18 01:19:07.398000 8.09 7.64005 Clear 0 771.246 95.611 7
2015-08-18 01:19:07.498000 8.037 7.58861 Clear 0 771.445 95.662 7
2015-08-18 01:19:07.598000 8.259 7.81343 Clear 0 771.644 95.713 7
2015-08-18 01:19:07.698000 8.065 7.61986 Clear 0 771.845 95.765 7
2015-08-18 01:19:07.798000 7.972 7.52868 Clear 0 772.045 95.816 7
2015-08-18 01:19:07.898000 8.198 7.7559 Clear 0 772.247 95.867 7
2015-08-18 01:19:08.098000 7.986 7.54767 Clear 0 772.651 95.97 7
2015-08-18 01:19:08.198000 8.064 7.62744 Clear 0 772.854 96.021 7
2015-08-18 01:19:08.298000 7.946 7.51079 Clear 0 773.057 96.072 7
2015-08-18 01:19:08.398000 7.998 7.56449 Clear 0 773.261 96.123 7
2015-08-18 01:19:08.498000 7.983 7.55132 Clear 0 773.466 96.175 7
2015-08-18 01:19:08.598000 8.146 7.71633 Clear 0 773.671 96.226 7
2015-08-18 01:19:08.698000 8.092 7.66442 Clear 0 773.877 96.277 7
2015-08-18 01:19:08.798000 7.991 7.56396 Clear 0 774.083 96.328 7
2015-08-18 01:19:08.898000 7.991 7.56634 Clear 0 774.29 96.379 7
2015-08-18 01:19:08.998000 8.067 7.64347 Clear 0 774.497 96.43 7
2015-08-18 01:19:09.098000 7.69 7.26778 Clear 0 774.705 96.481 7
2015-08-18 01:19:09.198000 7.893 7.47337 Clear 0 774.913 96.532 7
2015-08-18 01:19:09.298000 7.944 7.52638 Clear 0 775.122 96.583 7
2015-08-18 01:19:09.398000 8.316 7.89931 Clear 0 775.331 96.634 7
2015-08-18 01:19:09.498000 7.994 7.57916 Clear 0 775.541 96.685 7
2015-08-18 01:19:09.698000 8.125 7.71296 Clear 0 775.963 96.786 7
2015-08-18 01:19:09.798000 7.756 7.34561 Clear 0 776.175 96.837 7
2015-08-18 01:19:09.898000 7.895 7.48692 Clear 0 776.387 96.888 7
2015-08-18 01:19:09.998000 7.929 7.52235 Clear 0 776.599 96.939 7
2015-08-18 01:19:10.098000 8.022 7.61729 Clear 0 776.813 96.99 7
2015-08-18 01:19:10.198000 7.89 7.48691 Clear 0 777.026 97.04 7
2015-08-18 01:19:10.298000 8.057 7.65454 Clear 0 777.241 97.091 7
2015-08-18 01:19:11.798000 7.931 7.55506 Clear 0 780.519 97.848 2
2015-08-18 01:19:11.898000 7.777 7.40317 Clear 0 780.742 97.898 2
2015-08-18 01:19:11.998000 8.218 7.84531 Clear 0 780.965 97.949 2
2015-08-18 01:19:12.098000 8.179 7.80796 Clear 0 781.189 97.999 2
2015-08-18 01:19:12.198000 7.733 7.36409 Clear 0 781.413 98.049 2
2015-08-18 01:19:12.298000 7.987 7.61939 Clear 0 781.638 98.099 2
2015-08-18 01:19:12.398000 7.863 7.49674 Clear 0 781.864 98.149 2
2015-08-18 01:19:12.498000 8.183 7.81867 Clear 0 782.09 98.199 2
2015-08-18 01:19:12.598000 8.382 8.01955 Clear 0 782.316 98.249 2
2015-08-18 01:19:12.698000 8.316 7.95476 Clear 0 782.543 98.299 2
2015-08-18 01:19:12.798000 8.184 7.82503 Clear 0 782.771 98.349 2
