# satellite: 40086 ORBCOMM FM 109 / US
# catalogue: 1 NORAD
# track: 9487708
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 925
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-11-14 16:38:58.595000 6.298 7.83515 Clear 0 1375.127 122.685 7
2015-11-14 16:38:58.695000 6.352 7.88765 Clear 0 1374.555 122.669 7
2015-11-14 16:38:58.795000 6.334 7.86887 Clear 0 1373.982 122.653 7
2015-11-14 16:38:58.895000 6.033 7.56588 Clear 0 1373.41 122.636 7
2015-11-14 16:38:58.995000 6.301 7.8325 Clear 0 1372.838 122.62 7
2015-11-14 16:38:59.095000 6.309 7.83876 Clear 0 1372.266 122.604 7
2015-11-14 16:38:59.195000 6.166 7.69493 Clear 0 1371.694 122.587 7
2015-11-14 16:38:59.295000 6.249 7.77591 Clear 0 1371.123 122.571 7
2015-11-14 16:38:59.395000 6.246 7.77205 Clear 0 1370.551 122.554 7
2015-11-14 16:38:59.495000 6.164 7.68839 Clear 0 1369.979 122.538 7
2015-11-14 16:38:59.595000 6.291 7.81441 Clear 0 1369.408 122.521 7
2015-11-14 16:38:59.695000 6.198 7.71845 Clear 0 1368.836 122.505 7
2015-11-14 16:38:59.795000 6.162 7.68148 Clear 0 1368.265 122.488 7
2015-11-14 16:38:59.895000 6.098 7.61622 Clear 0 1367.694 122.472 7
2015-11-14 16:38:59.995000 6.094 7.61093 Clear 0 1367.122 122.455 7
2015-11-14 16:39:00.095000 6.335 7.84993 Clear 0 1366.551 122.439 7
2015-11-14 16:39:00.195000 6.199 7.71327 Clear 0 1365.98 122.422 7
2015-11-14 16:39:00.295000 6.275 7.78668 Clear 0 1365.41 122.406 7
2015-11-14 16:39:00.395000 6.142 7.65283 Clear 0 1364.839 122.389 7
2015-11-14 16:39:00.495000 6.134 7.64311 Clear 0 1364.268 122.373 7
2015-11-14 16:39:00.595000 6.171 7.67877 Clear 0 1363.697 122.356 7
2015-11-14 16:39:00.695000 6.175 7.68127 Clear 0 1363.127 122.34 7
2015-11-14 16:39:00.795000 6.324 7.82867 Clear 0 1362.557 122.323 7
2015-11-14 16:39:00.895000 6.195 7.69874 Clear 0 1361.986 122.306 7
2015-11-14 16:39:00.995000 6.027 7.52914 Clear 0 1361.416 122.29 7
2015-11-14 16:39:01.095000 6.128 7.62928 Clear 0 1360.846 122.273 7
2015-11-14 16:39:01.195000 6.186 7.68483 Clear 0 1360.276 122.256 7
2015-11-14 16:39:01.295000 6.249 7.74713 Clear 0 1359.706 122.24 7
2015-11-14 16:39:01.395000 5.91 7.40588 Clear 0 1359.136 122.223 7
2015-11-14 16:39:01.495000 6.152 7.64674 Clear 0 1358.566 122.206 7
2015-11-14 16:39:01.595000 6.4 7.89322 Clear 0 1357.997 122.19 7
2015-11-14 16:39:01.695000 6.217 7.70941 Clear 0 1357.427 122.173 7
2015-11-14 16:39:01.795000 6.258 7.74802 Clear 0 1356.858 122.156 7
2015-11-14 16:39:01.895000 6.168 7.6567 Clear 0 1356.288 122.14 7
2015-11-14 16:39:01.995000 6.196 7.68336 Clear 0 1355.719 122.123 7
2015-11-14 16:39:02.095000 6.178 7.66346 Clear 0 1355.15 122.106 7
2015-11-14 16:39:02.195000 6.257 7.74072 Clear 0 1354.581 122.089 7
2015-11-14 16:39:02.295000 6.301 7.78415 Clear 0 1354.012 122.072 7
2015-11-14 16:39:02.395000 6.278 7.75896 Clear 0 1353.443 122.056 7
2015-11-14 16:39:02.495000 6.192 7.67171 Clear 0 1352.874 122.039 7
2015-11-14 16:39:02.595000 6.173 7.6512 Clear 0 1352.305 122.022 7
2015-11-14 16:39:02.695000 5.977 7.45393 Clear 0 1351.737 122.005 7
2015-11-14 16:39:02.795000 6.218 7.69261 Clear 0 1351.168 121.988 7
2015-11-14 16:39:02.895000 6.171 7.64512 Clear 0 1350.6 121.971 7
2015-11-14 16:39:02.995000 6.44 7.91243 Clear 0 1350.031 121.955 7
2015-11-14 16:39:03.095000 6.315 7.78576 Clear 0 1349.463 121.938 7
2015-11-14 16:39:03.195000 6.169 7.63748 Clear 0 1348.895 121.921 7
2015-11-14 16:39:03.295000 6.41 7.87835 Clear 0 1348.327 121.904 7
2015-11-14 16:39:03.395000 6.191 7.6569 Clear 0 1347.759 121.887 7
2015-11-14 16:39:03.495000 6.137 7.60235 Clear 0 1347.191 121.87 7
2015-11-14 16:39:03.595000 6.28 7.74315 Clear 0 1346.623 121.853 7
2015-11-14 16:39:03.695000 6.135 7.59731 Clear 0 1346.056 121.836 7
2015-11-14 16:39:03.795000 6.177 7.63687 Clear 0 1345.488 121.819 7
2015-11-14 16:39:03.895000 6.098 7.55653 Clear 0 1344.921 121.802 7
2015-11-14 16:39:03.995000 6.251 7.70791 Clear 0 1344.354 121.785 7
2015-11-14 16:39:04.095000 6.128 7.58348 Clear 0 1343.786 121.768 7
2015-11-14 16:39:04.195000 6.18 7.63347 Clear 0 1343.219 121.751 7
2015-11-14 16:39:04.295000 6.225 7.67835 Clear 0 1342.652 121.734 7
2015-11-14 16:39:04.395000 6.542 7.99341 Clear 0 1342.085 121.717 7
2015-11-14 16:39:04.495000 6.142 7.59172 Clear 0 1341.518 121.7 7
2015-11-14 16:39:04.595000 6.163 7.61073 Clear 0 1340.951 121.683 7
2015-11-14 16:39:04.694000 6.331 7.77751 Clear 0 1340.39 121.666 7
2015-11-14 16:39:04.794000 6.278 7.72299 Clear 0 1339.824 121.649 7
2015-11-14 16:39:04.894000 6.305 7.74891 Clear 0 1339.257 121.632 7
2015-11-14 16:39:04.994000 6.299 7.74138 Clear 0 1338.691 121.615 7
2015-11-14 16:39:05.094000 6.249 7.69029 Clear 0 1338.125 121.598 7
2015-11-14 16:39:05.194000 6.101 7.54008 Clear 0 1337.559 121.581 7
2015-11-14 16:39:05.294000 6.384 7.82223 Clear 0 1336.993 121.563 7
2015-11-14 16:39:05.394000 6.231 7.66716 Clear 0 1336.427 121.546 7
2015-11-14 16:39:05.494000 6.127 7.56157 Clear 0 1335.861 121.529 7
2015-11-14 16:39:05.594000 6.287 7.71953 Clear 0 1335.295 121.512 7
2015-11-14 16:39:05.694000 6.174 7.60565 Clear 0 1334.729 121.495 7
2015-11-14 16:39:05.794000 6.338 7.76819 Clear 0 1334.164 121.477 7
2015-11-14 16:39:05.894000 6.181 7.61014 Clear 0 1333.598 121.46 7
2015-11-14 16:39:05.994000 6.32 7.74669 Clear 0 1333.033 121.443 7
2015-11-14 16:39:06.094000 6.374 7.80011 Clear 0 1332.468 121.426 7
2015-11-14 16:39:06.194000 6.226 7.64958 Clear 0 1331.902 121.408 7
2015-11-14 16:39:06.294000 6.295 7.71758 Clear 0 1331.337 121.391 7
2015-11-14 16:39:06.394000 6.274 7.69451 Clear 0 1330.772 121.374 7
2015-11-14 16:39:06.494000 6.265 7.68462 Clear 0 1330.208 121.357 7
2015-11-14 16:39:06.594000 6.303 7.72104 Clear 0 1329.643 121.339 7
2015-11-14 16:39:06.694000 6.313 7.72996 Clear 0 1329.078 121.322 7
2015-11-14 16:39:06.794000 6.342 7.75739 Clear 0 1328.514 121.305 7
2015-11-14 16:39:06.894000 6.242 7.65588 Clear 0 1327.949 121.287 7
2015-11-14 16:39:06.994000 6.309 7.72083 Clear 0 1327.385 121.27 7
2015-11-14 16:39:07.094000 6.405 7.81626 Clear 0 1326.821 121.252 7
2015-11-14 16:39:07.194000 6.209 7.61827 Clear 0 1326.256 121.235 7
2015-11-14 16:39:07.294000 6.378 7.78574 Clear 0 1325.692 121.218 7
2015-11-14 16:39:07.394000 6.191 7.59701 Clear 0 1325.128 121.2 7
2015-11-14 16:39:07.494000 6.34 7.7447 Clear 0 1324.565 121.183 7
2015-11-14 16:39:07.594000 6.329 7.73172 Clear 0 1324.001 121.165 7
2015-11-14 16:39:07.694000 6.302 7.70367 Clear 0 1323.437 121.148 7
2015-11-14 16:39:07.794000 6.357 7.75694 Clear 0 1322.874 121.13 7
2015-11-14 16:39:07.894000 6.223 7.62162 Clear 0 1322.31 121.113 7
2015-11-14 16:39:07.994000 6.421 7.81745 Clear 0 1321.747 121.095 7
2015-11-14 16:39:08.094000 6.311 7.70708 Clear 0 1321.184 121.078 7
2015-11-14 16:39:08.194000 6.38 7.77431 Clear 0 1320.621 121.06 7
2015-11-14 16:39:08.294000 6.25 7.64297 Clear 0 1320.057 121.043 7
2015-11-14 16:39:08.394000 6.291 7.68194 Clear 0 1319.495 121.025 7
2015-11-14 16:39:08.494000 6.57 7.95956 Clear 0 1318.932 121.008 7
2015-11-14 16:39:08.594000 6.532 7.92036 Clear 0 1318.369 120.99 7
