# satellite: 40209 ATLAS 5 CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 12998347
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 1631
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2018-03-05 21:27:34.600000 4.212 8.90774 Clear 1 12055.265 21.905 6
2018-03-05 21:27:34.700000 3.727 8.42275 Clear 1 12055.395 21.903 6
2018-03-05 21:27:34.800000 4.217 8.91259 Clear 1 12055.525 21.901 6
2018-03-05 21:27:34.900000 4.346 9.04197 Clear 1 12055.656 21.898 6
2018-03-05 21:27:35 4.031 8.72711 Clear 1 12055.786 21.896 6
2018-03-05 21:27:35.100000 3.954 8.65016 Clear 1 12055.916 21.894 6
2018-03-05 21:27:35.200000 4.458 9.15406 Clear 1 12056.046 21.891 6
2018-03-05 21:27:35.500000 4.125 8.82105 Clear 1 12056.437 21.884 6
2018-03-05 21:27:35.600000 3.907 8.60261 Clear 1 12056.567 21.882 6
2018-03-05 21:27:35.700000 4.381 9.07654 Clear 1 12056.698 21.879 6
2018-03-05 21:27:35.800000 3.968 8.66443 Clear 1 12056.828 21.877 6
2018-03-05 21:27:35.900000 4.14 8.83545 Clear 1 12056.958 21.875 6
2018-03-05 21:27:36 4.336 9.03225 Clear 1 12057.089 21.872 6
2018-03-05 21:27:36.100000 4.115 8.81073 Clear 1 12057.219 21.87 6
2018-03-05 21:27:36.200000 4.199 8.89493 Clear 1 12057.349 21.868 6
2018-03-05 21:27:36.300000 4.104 8.80032 Clear 1 12057.48 21.865 6
2018-03-05 21:27:36.400000 4.072 8.7676 Clear 1 12057.61 21.863 6
2018-03-05 21:27:36.500000 4.031 8.72645 Clear 1 12057.74 21.861 6
2018-03-05 21:27:36.600000 4.104 8.79999 Clear 1 12057.871 21.858 6
2018-03-05 21:27:36.700000 4.318 9.01361 Clear 1 12058.001 21.856 6
2018-03-05 21:27:36.800000 4.266 8.96237 Clear 1 12058.131 21.853 6
2018-03-05 21:27:36.900000 4.275 8.97053 Clear 1 12058.262 21.851 6
2018-03-05 21:27:37 3.656 8.35186 Clear 1 12058.392 21.849 6
2018-03-05 21:27:37.100000 3.82 8.51588 Clear 1 12058.523 21.846 6
2018-03-05 21:27:37.200000 4.319 9.01483 Clear 1 12058.653 21.844 6
2018-03-05 21:27:37.300000 4.261 8.95736 Clear 1 12058.784 21.842 6
2018-03-05 21:27:37.400000 4.211 8.90738 Clear 1 12058.914 21.839 6
2018-03-05 21:27:37.500000 4.124 8.81987 Clear 1 12059.045 21.837 6
2018-03-05 21:27:37.600000 3.74 8.43616 Clear 1 12059.175 21.835 6
2018-03-05 21:27:37.700000 4.048 8.74386 Clear 1 12059.306 21.832 6
2018-03-05 21:27:37.800000 4.123 8.81863 Clear 1 12059.436 21.83 6
2018-03-05 21:27:37.900000 4.048 8.74402 Clear 1 12059.566 21.828 6
2018-03-05 21:27:38 4.232 8.92813 Clear 1 12059.697 21.825 6
2018-03-05 21:27:38.200000 4.093 8.78858 Clear 1 12059.958 21.82 6
2018-03-05 21:27:38.300000 4.288 8.98426 Clear 1 12060.089 21.818 6
2018-03-05 21:27:38.500000 4.218 8.91419 Clear 1 12060.35 21.813 6
2018-03-05 21:27:38.800000 3.844 8.53973 Clear 1 12060.741 21.806 6
2018-03-05 21:27:38.900000 4.013 8.70935 Clear 1 12060.872 21.804 6
2018-03-05 21:27:39 3.838 8.53427 Clear 1 12061.003 21.802 6
2018-03-05 21:27:39.100000 4.092 8.78792 Clear 1 12061.133 21.799 6
2018-03-05 21:27:39.200000 3.762 8.45755 Clear 1 12061.264 21.797 6
2018-03-05 21:27:39.300000 4.093 8.78964 Clear 1 12061.395 21.795 6
2018-03-05 21:27:39.400000 3.731 8.42795 Clear 1 12061.525 21.792 6
2018-03-05 21:27:39.500000 3.77 8.46734 Clear 1 12061.656 21.79 6
2018-03-05 21:27:39.600000 4.004 8.70066 Clear 1 12061.787 21.787 6
2018-03-05 21:27:39.700000 3.646 8.34252 Clear 1 12061.917 21.785 6
2018-03-05 21:27:39.800000 4.449 9.14598 Clear 1 12062.048 21.783 6
2018-03-05 21:27:39.900000 4.172 8.86889 Clear 1 12062.179 21.78 6
2018-03-05 21:27:40 3.752 8.44904 Clear 1 12062.309 21.778 6
2018-03-05 21:27:40.100000 3.668 8.36496 Clear 1 12062.44 21.776 6
2018-03-05 21:27:40.400000 4.211 8.90808 Clear 1 12062.832 21.769 6
2018-03-05 21:27:40.500000 3.986 8.68291 Clear 1 12062.963 21.766 6
2018-03-05 21:27:40.600000 3.55 8.24737 Clear 1 12063.094 21.764 6
2018-03-05 21:27:40.700000 3.778 8.47458 Clear 1 12063.225 21.762 6
2018-03-05 21:27:40.800000 3.888 8.58539 Clear 1 12063.355 21.759 6
2018-03-05 21:27:40.900000 4.128 8.825 Clear 1 12063.486 21.757 6
2018-03-05 21:27:41 4.237 8.93438 Clear 1 12063.617 21.754 6
2018-03-05 21:27:41.100000 4.406 9.10339 Clear 1 12063.748 21.752 6
2018-03-05 21:27:41.200000 4.16 8.85702 Clear 1 12063.879 21.75 6
2018-03-05 21:27:41.300000 3.869 8.56613 Clear 1 12064.009 21.747 6
2018-03-05 21:27:41.400000 3.932 8.62846 Clear 1 12064.14 21.745 6
2018-03-05 21:27:41.500000 3.9 8.59668 Clear 1 12064.271 21.743 6
2018-03-05 21:27:41.600000 4.158 8.85531 Clear 1 12064.402 21.74 6
2018-03-05 21:27:41.700000 4.164 8.8607 Clear 1 12064.533 21.738 6
2018-03-05 21:27:41.900000 3.85 8.54701 Clear 1 12064.795 21.733 6
2018-03-05 21:27:42 3.934 8.63136 Clear 1 12064.925 21.731 6
2018-03-05 21:27:42.100000 3.859 8.55642 Clear 1 12065.056 21.729 6
2018-03-05 21:27:42.200000 4.146 8.8433 Clear 1 12065.187 21.726 6
2018-03-05 21:27:42.400000 4.104 8.80071 Clear 1 12065.449 21.722 6
2018-03-05 21:27:42.500000 4.08 8.7774 Clear 1 12065.58 21.719 6
2018-03-05 21:27:42.600000 3.861 8.55813 Clear 1 12065.711 21.717 6
2018-03-05 21:27:42.700000 3.765 8.46149 Clear 1 12065.842 21.714 6
2018-03-05 21:27:42.800000 4.389 9.08563 Clear 1 12065.973 21.712 6
2018-03-05 21:27:42.900000 4.128 8.82483 Clear 1 12066.104 21.71 6
2018-03-05 21:27:43 4.088 8.78536 Clear 1 12066.235 21.707 6
2018-03-05 21:27:43.100000 4.191 8.88795 Clear 1 12066.366 21.705 6
2018-03-05 21:27:43.200000 4.169 8.86569 Clear 1 12066.497 21.703 6
2018-03-05 21:27:43.300000 4.202 8.89907 Clear 1 12066.628 21.7 6
2018-03-05 21:27:43.400000 4.043 8.74032 Clear 1 12066.759 21.698 6
2018-03-05 21:27:43.500000 4.128 8.82487 Clear 1 12066.89 21.696 6
2018-03-05 21:27:43.597000 3.661 8.3576 Clear 1 12067.017 21.693 3
2018-03-05 21:27:43.600000 4.036 8.73286 Clear 1 12067.021 21.693 6
2018-03-05 21:27:43.697000 3.762 8.45895 Clear 1 12067.148 21.691 3
2018-03-05 21:27:43.700000 4.601 9.29752 Clear 1 12067.152 21.691 6
2018-03-05 21:27:43.797000 3.854 8.55126 Clear 1 12067.279 21.689 3
2018-03-05 21:27:43.800000 3.695 8.39189 Clear 1 12067.283 21.689 6
2018-03-05 21:27:43.897000 3.734 8.43057 Clear 1 12067.41 21.686 3
2018-03-05 21:27:43.900000 3.973 8.67006 Clear 1 12067.414 21.686 6
2018-03-05 21:27:43.997000 3.821 8.51752 Clear 1 12067.541 21.684 3
2018-03-05 21:27:44 3.665 8.36195 Clear 1 12067.545 21.684 6
2018-03-05 21:27:44.097000 3.911 8.60808 Clear 1 12067.673 21.682 3
2018-03-05 21:27:44.100000 4.146 8.84298 Clear 1 12067.677 21.682 6
2018-03-05 21:27:44.197000 3.718 8.4149 Clear 1 12067.804 21.679 3
2018-03-05 21:27:44.200000 3.724 8.42129 Clear 1 12067.808 21.679 6
2018-03-05 21:27:44.297000 3.484 8.18108 Clear 1 12067.935 21.677 3
2018-03-05 21:27:44.300000 4.266 8.96319 Clear 1 12067.939 21.677 6
2018-03-05 21:27:44.397000 3.882 8.57891 Clear 1 12068.066 21.675 3
2018-03-05 21:27:44.400000 4.143 8.84005 Clear 1 12068.07 21.674 6
2018-03-05 21:27:44.497000 4.095 8.79201 Clear 1 12068.197 21.672 3
2018-03-05 21:27:44.597000 3.98 8.67717 Clear 1 12068.328 21.67 3
2018-03-05 21:27:44.600000 4.235 8.93227 Clear 1 12068.332 21.67 6
2018-03-05 21:27:44.697000 3.892 8.58856 Clear 1 12068.459 21.667 3
2018-03-05 21:27:44.700000 3.704 8.40073 Clear 1 12068.463 21.667 6
2018-03-05 21:27:44.797000 3.867 8.56358 Clear 1 12068.591 21.665 3
2018-03-05 21:27:44.800000 4.067 8.7643 Clear 1 12068.594 21.665 6
2018-03-05 21:27:44.897000 3.961 8.65752 Clear 1 12068.722 21.663 3
2018-03-05 21:27:44.900000 4.046 8.74279 Clear 1 12068.726 21.663 6
2018-03-05 21:27:44.997000 3.77 8.4665 Clear 1 12068.853 21.66 3
2018-03-05 21:27:45 3.826 8.52288 Clear 1 12068.857 21.66 6
2018-03-05 21:27:45.097000 3.711 8.40798 Clear 1 12068.984 21.658 3
2018-03-05 21:27:45.100000 4.087 8.78413 Clear 1 12068.988 21.658 6
2018-03-05 21:27:45.197000 3.609 8.30589 Clear 1 12069.115 21.656 3
2018-03-05 21:27:45.200000 3.997 8.69406 Clear 1 12069.119 21.656 6
2018-03-05 21:27:45.297000 3.985 8.68233 Clear 1 12069.247 21.653 3
2018-03-05 21:27:45.300000 3.755 8.45175 Clear 1 12069.25 21.653 6
2018-03-05 21:27:45.397000 3.942 8.63928 Clear 1 12069.378 21.651 3
2018-03-05 21:27:45.400000 3.773 8.47016 Clear 1 12069.382 21.651 6
2018-03-05 21:27:45.497000 3.772 8.46884 Clear 1 12069.509 21.649 3
2018-03-05 21:27:45.500000 4.159 8.85594 Clear 1 12069.513 21.649 6
2018-03-05 21:27:45.597000 3.773 8.47019 Clear 1 12069.64 21.646 3
2018-03-05 21:27:45.600000 3.776 8.4729 Clear 1 12069.644 21.646 6
2018-03-05 21:27:45.697000 3.946 8.64296 Clear 1 12069.771 21.644 3
2018-03-05 21:27:45.700000 4.151 8.84786 Clear 1 12069.775 21.644 6
2018-03-05 21:27:45.797000 3.867 8.56359 Clear 1 12069.903 21.642 3
2018-03-05 21:27:45.800000 4.294 8.99052 Clear 1 12069.907 21.642 6
2018-03-05 21:27:45.897000 3.989 8.68635 Clear 1 12070.034 21.639 3
