# satellite: 40209 ATLAS 5 CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 32590624
# variability: 2 Periodic
# variability_period: 4.49505045
# npoints: 1503
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2025-07-20 21:17:28.095000 5.036 9.16288 Clear 0 9329.928 18.085 7
2025-07-20 21:17:28.195000 4.936 9.06312 Clear 0 9330.039 18.086 7
2025-07-20 21:17:28.295000 5.013 9.1404 Clear 0 9330.151 18.086 7
2025-07-20 21:17:28.395000 4.801 8.9279 Clear 0 9330.262 18.086 7
2025-07-20 21:17:28.495000 4.436 8.56245 Clear 0 9330.373 18.086 7
2025-07-20 21:17:28.595000 3.91 8.03722 Clear 0 9330.485 18.086 7
2025-07-20 21:17:28.695000 3.906 8.0328 Clear 0 9330.596 18.086 7
2025-07-20 21:17:28.795000 4.806 8.9334 Clear 0 9330.708 18.087 7
2025-07-20 21:17:29.394000 5.155 9.28157 Clear 0 9331.376 18.088 7
2025-07-20 21:17:30.394000 5.374 9.50128 Clear 0 9332.492 18.09 7
2025-07-20 21:17:30.794000 4.275 8.40238 Clear 0 9332.94 18.091 7
2025-07-20 21:17:30.894000 3.658 7.78501 Clear 0 9333.051 18.091 7
2025-07-20 21:17:31.294000 5.087 9.21404 Clear 0 9333.499 18.092 7
2025-07-20 21:17:31.394000 5.209 9.33613 Clear 0 9333.611 18.092 7
2025-07-20 21:17:31.594000 5.727 9.85365 Clear 0 9333.835 18.092 7
2025-07-20 21:17:31.694000 5.355 9.48282 Clear 0 9333.947 18.092 7
2025-07-20 21:17:31.794000 4.714 8.84177 Clear 0 9334.059 18.093 7
2025-07-20 21:17:31.894000 5.064 9.19165 Clear 0 9334.171 18.093 7
2025-07-20 21:17:32.294000 5.163 9.29049 Clear 0 9334.62 18.094 7
2025-07-20 21:17:32.394000 4.971 9.09874 Clear 0 9334.732 18.094 7
2025-07-20 21:17:32.494000 5.145 9.27274 Clear 0 9334.844 18.094 7
2025-07-20 21:17:32.594000 5.199 9.3269 Clear 0 9334.956 18.094 7
2025-07-20 21:17:32.694000 5.27 9.39795 Clear 0 9335.069 18.095 7
2025-07-20 21:17:32.794000 5.114 9.24173 Clear 0 9335.181 18.095 7
2025-07-20 21:17:32.894000 4.472 8.60043 Clear 0 9335.293 18.095 7
2025-07-20 21:17:32.994000 4.322 8.45013 Clear 0 9335.405 18.095 7
2025-07-20 21:17:33.094000 3.909 8.03677 Clear 0 9335.518 18.095 7
2025-07-20 21:17:33.194000 3.959 8.08666 Clear 0 9335.63 18.096 7
2025-07-20 21:17:33.294000 4.466 8.59368 Clear 0 9335.742 18.096 7
2025-07-20 21:17:33.394000 5.194 9.32163 Clear 0 9335.855 18.096 7
2025-07-20 21:17:33.494000 5.199 9.3269 Clear 0 9335.967 18.096 7
2025-07-20 21:17:33.594000 5.668 9.79594 Clear 0 9336.08 18.097 7
2025-07-20 21:17:33.994000 5.003 9.13138 Clear 0 9336.529 18.098 7
2025-07-20 21:17:34.694000 5.527 9.65479 Clear 0 9337.317 18.099 7
2025-07-20 21:17:34.794000 5.206 9.33354 Clear 0 9337.43 18.099 7
2025-07-20 21:17:34.994000 5.394 9.52195 Clear 0 9337.655 18.1 7
2025-07-20 21:17:35.094000 5.155 9.28285 Clear 0 9337.768 18.1 7
2025-07-20 21:17:35.194000 5.223 9.35097 Clear 0 9337.881 18.1 7
2025-07-20 21:17:35.294000 4.151 8.27914 Clear 0 9337.994 18.101 7
2025-07-20 21:17:35.394000 3.542 7.66961 Clear 0 9338.106 18.101 7
2025-07-20 21:17:35.694000 5.278 9.40645 Clear 0 9338.445 18.101 7
2025-07-20 21:17:35.794000 5.086 9.21516 Clear 0 9338.558 18.102 7
2025-07-20 21:17:35.994000 5.104 9.2332 Clear 0 9338.784 18.102 7
2025-07-20 21:17:36.094000 5.512 9.64057 Clear 0 9338.896 18.102 7
2025-07-20 21:17:36.194000 5.046 9.17533 Clear 0 9339.009 18.103 7
2025-07-20 21:17:36.294000 5.275 9.40361 Clear 0 9339.122 18.103 7
2025-07-20 21:17:36.394000 4.693 8.82207 Clear 0 9339.235 18.103 7
2025-07-20 21:17:36.794000 5.388 9.51721 Clear 0 9339.687 18.104 7
2025-07-20 21:17:36.894000 5.245 9.37421 Clear 0 9339.801 18.104 7
2025-07-20 21:17:36.994000 5.356 9.48462 Clear 0 9339.914 18.105 7
2025-07-20 21:17:37.094000 5.573 9.70232 Clear 0 9340.027 18.105 7
2025-07-20 21:17:37.194000 4.768 8.89686 Clear 0 9340.14 18.105 7
2025-07-20 21:17:37.294000 5.043 9.17189 Clear 0 9340.253 18.105 7
2025-07-20 21:17:37.394000 4.76 8.88888 Clear 0 9340.366 18.106 7
2025-07-20 21:17:37.494000 4.648 8.77652 Clear 0 9340.479 18.106 7
2025-07-20 21:17:37.594000 4.059 8.18787 Clear 0 9340.593 18.106 7
2025-07-20 21:17:37.694000 4.292 8.42046 Clear 0 9340.706 18.106 7
2025-07-20 21:17:37.894000 5.086 9.21516 Clear 0 9340.932 18.107 7
2025-07-20 21:17:38.094000 5.604 9.73264 Clear 0 9341.159 18.107 7
2025-07-20 21:18:20.193000 5.005 9.14591 Clear 0 9390.644 18.272 7
2025-07-20 21:18:20.293000 3.074 7.21463 Clear 0 9390.766 18.273 7
2025-07-20 21:18:20.393000 4.347 8.4875 Clear 0 9390.888 18.273 7
2025-07-20 21:18:20.493000 4.965 9.10631 Clear 0 9391.009 18.274 7
2025-07-20 21:18:20.593000 5.314 9.4549 Clear 0 9391.131 18.274 7
2025-07-20 21:18:21.093000 5.218 9.35944 Clear 0 9391.741 18.277 7
2025-07-20 21:18:21.193000 4.373 8.5141 Clear 0 9391.862 18.278 7
2025-07-20 21:18:21.293000 4.914 9.05565 Clear 0 9391.984 18.278 7
2025-07-20 21:18:21.493000 5.219 9.3608 Clear 0 9392.228 18.279 7
2025-07-20 21:18:21.593000 5.111 9.25299 Clear 0 9392.35 18.28 7
2025-07-20 21:18:21.993000 4.751 8.89292 Clear 0 9392.838 18.282 7
2025-07-20 21:18:22.093000 5.015 9.15734 Clear 0 9392.961 18.282 7
2025-07-20 21:18:22.293000 4.697 8.83936 Clear 0 9393.205 18.283 7
2025-07-20 21:18:22.393000 4.493 8.63482 Clear 0 9393.327 18.284 7
