# satellite: 40209 ATLAS 5 CENTAUR R/B / US
# catalogue: 1 NORAD
# track: 8158224
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 2015
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2015-07-25 22:53:22.897000 3.689 9.01846 Clear 0 16141.181 22.018 6
2015-07-25 22:53:23.097000 3.406 8.73639 Clear 0 16140.77 22.015 6
2015-07-25 22:53:23.297000 3.357 8.68647 Clear 0 16140.358 22.013 6
2015-07-25 22:53:23.597000 3.642 8.97157 Clear 0 16139.741 22.009 6
2015-07-25 22:53:23.697000 3.295 8.62499 Clear 0 16139.536 22.008 6
2015-07-25 22:53:23.797000 3.713 9.04271 Clear 0 16139.33 22.007 6
2015-07-25 22:53:23.997000 3.316 8.64578 Clear 0 16138.919 22.004 6
2015-07-25 22:53:24.497000 3.633 8.96206 Clear 0 16137.89 21.998 6
2015-07-25 22:53:24.597000 3.548 8.87665 Clear 0 16137.685 21.997 6
2015-07-25 22:53:24.697000 3.719 9.04783 Clear 0 16137.479 21.995 6
2015-07-25 22:53:25.397000 3.318 8.64648 Clear 0 16136.04 21.987 6
2015-07-25 22:53:25.597000 3.404 8.73258 Clear 0 16135.628 21.984 6
2015-07-25 22:53:25.797000 3.045 8.37413 Clear 0 16135.217 21.982 6
2015-07-25 22:53:25.897000 3.729 9.05816 Clear 0 16135.012 21.981 6
2015-07-25 22:53:26.197000 3.507 8.83559 Clear 0 16134.395 21.977 6
2015-07-25 22:53:26.697000 3.68 9.00851 Clear 0 16133.367 21.971 6
2015-07-25 22:53:26.797000 3.605 8.93404 Clear 0 16133.161 21.969 6
2015-07-25 22:53:26.897000 3.545 8.87404 Clear 0 16132.956 21.968 6
2015-07-25 22:53:27.097000 3.573 8.90227 Clear 0 16132.544 21.966 6
2015-07-25 22:53:27.197000 3.465 8.79365 Clear 0 16132.339 21.964 6
2015-07-25 22:53:27.297000 3.31 8.63881 Clear 0 16132.133 21.963 6
2015-07-25 22:53:27.497000 3.739 9.06754 Clear 0 16131.722 21.961 6
2015-07-25 22:53:27.697000 3.226 8.55402 Clear 0 16131.311 21.958 6
2015-07-25 22:53:27.797000 3.279 8.6073 Clear 0 16131.105 21.957 6
2015-07-25 22:53:27.997000 3.307 8.63464 Clear 0 16130.694 21.955 6
2015-07-25 22:53:28.097000 3.653 8.98117 Clear 0 16130.489 21.953 6
2015-07-25 22:53:28.197000 3.759 9.08655 Clear 0 16130.283 21.952 6
2015-07-25 22:53:28.297000 3.42 8.74791 Clear 0 16130.077 21.951 6
2015-07-25 22:53:28.397000 3.452 8.78003 Clear 0 16129.872 21.95 6
2015-07-25 22:53:28.497000 3.353 8.68066 Clear 0 16129.666 21.948 6
2015-07-25 22:53:28.697000 3.238 8.56563 Clear 0 16129.255 21.946 6
2015-07-25 22:53:28.797000 3.194 8.52243 Clear 0 16129.05 21.945 6
2015-07-25 22:53:29.097000 3.405 8.73335 Clear 0 16128.433 21.941 6
2015-07-25 22:53:29.297000 3.247 8.57475 Clear 0 16128.022 21.938 6
2015-07-25 22:53:29.397000 3.128 8.45576 Clear 0 16127.816 21.937 6
2015-07-25 22:53:29.497000 3.732 9.06013 Clear 0 16127.611 21.936 6
2015-07-25 22:53:29.597000 3.535 8.86314 Clear 0 16127.405 21.935 6
2015-07-25 22:53:29.697000 3.553 8.88066 Clear 0 16127.2 21.933 6
2015-07-25 22:53:29.797000 3.791 9.11884 Clear 0 16126.994 21.932 6
2015-07-25 22:53:29.897000 3.383 8.71105 Clear 0 16126.789 21.931 6
2015-07-25 22:53:29.997000 3.311 8.639 Clear 0 16126.583 21.93 6
2015-07-25 22:53:30.097000 3.077 8.40544 Clear 0 16126.378 21.928 6
2015-07-25 22:53:30.197000 2.874 8.20234 Clear 0 16126.172 21.927 6
2015-07-25 22:53:30.297000 3.249 8.57697 Clear 0 16125.966 21.926 6
2015-07-25 22:53:30.397000 3.619 8.94734 Clear 0 16125.761 21.925 6
2015-07-25 22:53:30.597000 2.873 8.20054 Clear 0 16125.35 21.922 6
2015-07-25 22:53:30.797000 3.03 8.35646 Clear 0 16124.939 21.92 6
2015-07-25 22:53:31.097000 3.616 8.94263 Clear 0 16124.322 21.916 6
2015-07-25 22:53:31.197000 3.649 8.97607 Clear 0 16124.117 21.915 6
2015-07-25 22:53:31.297000 3.208 8.53534 Clear 0 16123.911 21.914 6
2015-07-25 22:53:31.397000 2.975 8.30226 Clear 0 16123.706 21.912 6
2015-07-25 22:53:31.697000 3.463 8.79027 Clear 0 16123.089 21.909 6
2015-07-25 22:53:31.797000 3.594 8.92124 Clear 0 16122.884 21.907 6
2015-07-25 22:53:31.897000 2.888 8.21505 Clear 0 16122.678 21.906 6
2015-07-25 22:53:31.997000 2.918 8.2447 Clear 0 16122.473 21.905 6
2015-07-25 22:53:32.097000 3.242 8.56851 Clear 0 16122.267 21.904 6
2015-07-25 22:53:32.197000 3.109 8.43567 Clear 0 16122.062 21.902 6
2015-07-25 22:53:32.297000 3.752 9.07932 Clear 0 16121.856 21.901 6
2015-07-25 22:53:32.397000 3.142 8.46918 Clear 0 16121.651 21.9 6
2015-07-25 22:53:32.497000 3.669 8.9957 Clear 0 16121.445 21.899 6
2015-07-25 22:53:32.597000 3.532 8.8588 Clear 0 16121.24 21.898 6
2015-07-25 22:53:32.697000 3.116 8.44308 Clear 0 16121.034 21.896 6
2015-07-25 22:53:32.797000 3.556 8.88332 Clear 0 16120.829 21.895 6
2015-07-25 22:53:32.897000 3.225 8.55179 Clear 0 16120.623 21.894 6
2015-07-25 22:53:32.997000 3.01 8.33721 Clear 0 16120.418 21.893 6
2015-07-25 22:53:33.197000 3.205 8.53159 Clear 0 16120.007 21.89 6
2015-07-25 22:53:33.297000 3.433 8.76002 Clear 0 16119.801 21.889 6
2015-07-25 22:53:33.397000 3.077 8.40379 Clear 0 16119.596 21.888 6
2015-07-25 22:53:33.597000 3.335 8.66221 Clear 0 16119.185 21.885 6
2015-07-25 22:53:33.697000 3.222 8.54924 Clear 0 16118.979 21.884 6
2015-07-25 22:53:33.797000 3.461 8.78704 Clear 0 16118.774 21.883 6
2015-07-25 22:53:33.897000 3.397 8.72307 Clear 0 16118.569 21.881 6
2015-07-25 22:53:33.997000 3.17 8.49597 Clear 0 16118.363 21.88 6
2015-07-25 22:53:34.097000 3.071 8.3972 Clear 0 16118.158 21.879 6
2015-07-25 22:53:34.197000 2.768 8.09348 Clear 0 16117.952 21.878 6
2015-07-25 22:53:34.297000 3.234 8.55947 Clear 0 16117.747 21.876 6
2015-07-25 22:53:34.397000 3.426 8.75221 Clear 0 16117.541 21.875 6
2015-07-25 22:53:34.497000 3.408 8.73371 Clear 0 16117.336 21.874 6
2015-07-25 22:53:34.597000 2.94 8.2656 Clear 0 16117.13 21.873 6
2015-07-25 22:53:34.797000 3.783 9.10881 Clear 0 16116.719 21.87 6
2015-07-25 22:53:34.897000 3.232 8.55755 Clear 0 16116.514 21.869 6
2015-07-25 22:53:34.997000 3.681 9.00665 Clear 0 16116.309 21.868 6
2015-07-25 22:53:35.097000 3.194 8.51978 Clear 0 16116.103 21.867 6
2015-07-25 22:53:35.197000 3.574 8.90029 Clear 0 16115.898 21.865 6
2015-07-25 22:53:35.297000 3.782 9.10771 Clear 0 16115.692 21.864 6
2015-07-25 22:53:35.497000 3.194 8.51978 Clear 0 16115.281 21.862 6
2015-07-25 22:53:35.597000 3.0 8.32594 Clear 0 16115.076 21.86 6
2015-07-25 22:53:35.797000 3.271 8.59678 Clear 0 16114.665 21.858 6
2015-07-25 22:53:35.897000 3.569 8.8949 Clear 0 16114.46 21.857 6
2015-07-25 22:53:35.997000 3.527 8.85277 Clear 0 16114.254 21.855 6
2015-07-25 22:53:36.197000 3.241 8.56721 Clear 0 16113.843 21.853 6
2015-07-25 22:53:36.297000 3.316 8.64178 Clear 0 16113.638 21.852 6
2015-07-25 22:53:36.397000 3.321 8.64738 Clear 0 16113.432 21.85 6
2015-07-25 22:53:36.497000 3.451 8.77662 Clear 0 16113.227 21.849 6
2015-07-25 22:53:36.597000 3.095 8.421 Clear 0 16113.022 21.848 6
2015-07-25 22:53:36.697000 3.25 8.57567 Clear 0 16112.816 21.847 6
2015-07-25 22:53:36.797000 2.857 8.18314 Clear 0 16112.611 21.845 6
2015-07-25 22:53:36.897000 3.191 8.51547 Clear 0 16112.405 21.844 6
2015-07-25 22:53:36.997000 3.233 8.55819 Clear 0 16112.2 21.843 6
2015-07-25 22:53:37.097000 3.198 8.52287 Clear 0 16111.995 21.842 6
2015-07-25 22:53:37.197000 2.774 8.09876 Clear 0 16111.789 21.841 6
2015-07-25 22:53:37.497000 3.224 8.54924 Clear 0 16111.173 21.837 6
2015-07-25 22:53:37.597000 3.087 8.41208 Clear 0 16110.968 21.836 6
2015-07-25 22:53:37.797000 3.247 8.57176 Clear 0 16110.557 21.833 6
2015-07-25 22:53:37.997000 3.07 8.39447 Clear 0 16110.146 21.831 6
2015-07-25 22:53:38.097000 3.702 9.02689 Clear 0 16109.941 21.829 6
2015-07-25 22:53:38.197000 3.24 8.56463 Clear 0 16109.735 21.828 6
2015-07-25 22:53:38.297000 3.269 8.59345 Clear 0 16109.53 21.827 6
2015-07-25 22:53:38.397000 2.912 8.23674 Clear 0 16109.324 21.826 6
2015-07-25 22:53:38.497000 2.765 8.09025 Clear 0 16109.119 21.824 6
2015-07-25 22:53:38.597000 3.138 8.46274 Clear 0 16108.914 21.823 6
2015-07-25 22:53:38.897000 3.158 8.48278 Clear 0 16108.298 21.819 6
