# satellite: 40273 ARIANE 5 R/B / FR
# catalogue: 1 NORAD
# track: 12148547
# variability: 0 Not variable
# variability_period: 0.0
# npoints: 229
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2017-03-24 00:00:11.995000 3.663 8.94933 Clear 0 11785.839 85.972 9
2017-03-24 00:00:12.095000 3.896 9.18156 Clear 0 11785.546 85.975 9
2017-03-24 00:00:12.195000 3.621 8.90693 Clear 0 11785.253 85.977 9
2017-03-24 00:00:12.495000 3.393 8.67845 Clear 0 11784.374 85.985 9
2017-03-24 00:00:12.695000 3.457 8.74287 Clear 0 11783.789 85.989 9
2017-03-24 00:00:12.995000 3.731 9.01676 Clear 0 11782.91 85.997 9
2017-03-24 00:00:13.595000 3.742 9.02777 Clear 0 11781.152 86.011 9
2017-03-24 00:00:14.095000 3.278 8.56249 Clear 0 11779.688 86.023 9
2017-03-24 00:00:14.295000 3.521 8.80589 Clear 0 11779.102 86.028 9
2017-03-24 00:00:14.595000 3.379 8.66401 Clear 0 11778.224 86.036 9
2017-03-24 00:00:14.695000 3.776 9.06114 Clear 0 11777.931 86.038 9
2017-03-24 00:00:14.795000 4.284 9.5689 Clear 0 11777.638 86.04 9
2017-03-24 00:00:15.195000 3.931 9.2158 Clear 0 11776.467 86.05 9
2017-03-24 00:00:15.295000 3.67 8.95486 Clear 0 11776.175 86.053 9
2017-03-24 00:00:15.395000 3.968 9.25341 Clear 0 11775.882 86.055 9
2017-03-24 00:00:15.595000 3.457 8.74237 Clear 0 11775.296 86.06 9
2017-03-24 00:00:15.695000 3.895 9.17971 Clear 0 11775.004 86.062 9
2017-03-24 00:00:15.895000 3.501 8.78598 Clear 0 11774.418 86.067 9
2017-03-24 00:00:16.195000 3.245 8.53031 Clear 0 11773.54 86.074 9
2017-03-24 00:00:16.295000 3.613 8.89833 Clear 0 11773.247 86.077 9
2017-03-24 00:00:16.395000 3.744 9.02929 Clear 0 11772.955 86.079 9
2017-03-24 00:00:16.695000 3.562 8.84684 Clear 0 11772.077 86.087 9
2017-03-24 00:00:16.795000 3.832 9.11698 Clear 0 11771.784 86.089 9
2017-03-24 00:00:16.995000 3.623 8.90782 Clear 0 11771.199 86.094 9
2017-03-24 00:00:17.295000 3.773 9.05761 Clear 0 11770.321 86.101 9
2017-03-24 00:00:17.395000 3.386 8.67096 Clear 0 11770.028 86.104 9
2017-03-24 00:00:17.495000 3.494 8.77888 Clear 0 11769.735 86.106 9
2017-03-24 00:00:17.795000 3.992 9.27697 Clear 0 11768.858 86.113 9
2017-03-24 00:00:17.895000 4.342 9.62664 Clear 0 11768.565 86.116 9
2017-03-24 00:00:17.995000 3.598 8.88343 Clear 0 11768.273 86.118 9
2017-03-24 00:00:18.095000 4.18 9.46461 Clear 0 11767.98 86.121 9
2017-03-24 00:00:18.295000 3.658 8.94281 Clear 0 11767.395 86.126 9
2017-03-24 00:00:18.495000 3.39 8.67483 Clear 0 11766.81 86.13 9
2017-03-24 00:00:18.795000 4.181 9.46625 Clear 0 11765.932 86.138 9
2017-03-24 00:00:18.895000 3.914 9.19869 Clear 0 11765.64 86.14 9
2017-03-24 00:00:18.995000 3.663 8.94833 Clear 0 11765.347 86.143 9
2017-03-24 00:00:19.095000 3.595 8.87947 Clear 0 11765.055 86.145 9
2017-03-24 00:00:19.295000 3.823 9.10813 Clear 0 11764.47 86.15 9
2017-03-24 00:00:19.395000 3.75 9.03502 Clear 0 11764.177 86.152 9
2017-03-24 00:00:19.495000 3.763 9.04798 Clear 0 11763.885 86.155 9
2017-03-24 00:00:19.595000 3.775 9.0602 Clear 0 11763.592 86.157 9
2017-03-24 00:00:19.895000 3.561 8.84563 Clear 0 11762.715 86.165 9
2017-03-24 00:00:19.995000 3.825 9.10975 Clear 0 11762.422 86.167 9
2017-03-24 00:00:20.095000 3.646 8.93082 Clear 0 11762.13 86.169 9
2017-03-24 00:00:20.195000 4.154 9.43882 Clear 0 11761.837 86.172 9
2017-03-24 00:00:20.395000 3.688 8.97266 Clear 0 11761.253 86.177 9
2017-03-24 00:00:20.595000 3.515 8.80018 Clear 0 11760.668 86.182 9
2017-03-24 00:00:20.695000 3.948 9.23314 Clear 0 11760.375 86.184 9
2017-03-24 00:00:20.895000 3.821 9.10613 Clear 0 11759.791 86.189 9
2017-03-24 00:00:20.995000 3.981 9.26599 Clear 0 11759.498 86.191 9
2017-03-24 00:00:21.095000 3.451 8.73576 Clear 0 11759.206 86.194 9
2017-03-24 00:00:21.195000 3.43 8.71445 Clear 0 11758.913 86.196 9
2017-03-24 00:00:21.495000 3.036 8.32081 Clear 0 11758.036 86.204 9
2017-03-24 00:00:21.595000 3.854 9.13887 Clear 0 11757.744 86.206 9
2017-03-24 00:00:21.695000 3.312 8.59723 Clear 0 11757.452 86.208 9
2017-03-24 00:00:21.795000 3.804 9.08881 Clear 0 11757.159 86.211 9
2017-03-24 00:00:21.995000 3.885 9.17032 Clear 0 11756.575 86.216 9
2017-03-24 00:00:22.095000 4.142 9.42728 Clear 0 11756.282 86.218 9
2017-03-24 00:00:22.195000 3.954 9.23904 Clear 0 11755.99 86.221 9
2017-03-24 00:00:22.295000 3.692 8.97676 Clear 0 11755.698 86.223 9
2017-03-24 00:00:22.695000 4.043 9.32799 Clear 0 11754.529 86.233 9
2017-03-24 00:00:22.795000 3.643 8.92745 Clear 0 11754.237 86.235 9
2017-03-24 00:00:23.195000 3.799 9.08335 Clear 0 11753.068 86.245 9
2017-03-24 00:00:23.295000 3.586 8.86956 Clear 0 11752.775 86.248 9
2017-03-24 00:00:23.595000 3.721 9.00474 Clear 0 11751.899 86.255 9
2017-03-24 00:00:23.795000 3.483 8.76646 Clear 0 11751.314 86.26 9
2017-03-24 00:00:23.895000 3.919 9.20296 Clear 0 11751.022 86.262 9
2017-03-24 00:00:24.095000 3.621 8.90458 Clear 0 11750.438 86.267 9
2017-03-24 00:00:24.195000 3.843 9.12674 Clear 0 11750.146 86.269 9
2017-03-24 00:00:24.295000 3.374 8.65843 Clear 0 11749.854 86.272 9
2017-03-24 00:00:24.395000 3.545 8.82849 Clear 0 11749.561 86.274 9
2017-03-24 00:00:24.695000 3.629 8.91294 Clear 0 11748.685 86.282 9
2017-03-24 00:00:24.895000 4.007 9.29047 Clear 0 11748.101 86.287 9
2017-03-24 00:00:25.195000 3.574 8.85755 Clear 0 11747.224 86.294 9
2017-03-24 00:00:25.295000 3.866 9.15019 Clear 0 11746.932 86.296 9
2017-03-24 00:00:25.395000 3.85 9.13436 Clear 0 11746.64 86.299 9
2017-03-24 00:00:25.695000 3.595 8.87916 Clear 0 11745.764 86.306 9
2017-03-24 00:00:25.895000 3.901 9.18513 Clear 0 11745.18 86.311 9
2017-03-24 00:00:25.995000 3.69 8.9743 Clear 0 11744.888 86.313 9
2017-03-24 00:00:26.295000 3.878 9.16166 Clear 0 11744.012 86.321 9
2017-03-24 00:00:26.495000 3.347 8.63077 Clear 0 11743.428 86.326 9
2017-03-24 00:00:26.795000 3.449 8.73247 Clear 0 11742.552 86.333 9
2017-03-24 00:00:26.895000 3.678 8.96146 Clear 0 11742.26 86.336 9
2017-03-24 00:00:26.995000 3.571 8.85525 Clear 0 11741.968 86.338 9
2017-03-24 00:00:27.095000 4.168 9.45205 Clear 0 11741.676 86.34 9
