# satellite: 40878 YAOGAN 27 / PRC
# catalogue: 1 NORAD
# track: 10309900
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 987
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2016-03-07 17:34:13.800000 7.599 7.71243 Clear 1 1440.009 29.08 9
2016-03-07 17:34:13.900000 7.364 7.47621 Clear 1 1439.822 29.101 9
2016-03-07 17:34:14 7.454 7.56597 Clear 1 1439.636 29.123 9
2016-03-07 17:34:14.100000 7.514 7.62621 Clear 1 1439.45 29.145 9
2016-03-07 17:34:14.200000 7.226 7.33758 Clear 1 1439.265 29.166 9
2016-03-07 17:34:14.300000 7.338 7.45034 Clear 1 1439.079 29.188 9
2016-03-07 17:34:14.400000 7.376 7.48737 Clear 1 1438.894 29.21 9
2016-03-07 17:34:14.500000 7.265 7.37609 Clear 1 1438.709 29.231 9
2016-03-07 17:34:14.600000 7.384 7.49461 Clear 1 1438.525 29.253 9
2016-03-07 17:34:14.700000 7.296 7.40647 Clear 1 1438.341 29.275 9
2016-03-07 17:34:14.800000 7.164 7.27543 Clear 1 1438.157 29.297 9
2016-03-07 17:34:14.900000 7.226 7.3373 Clear 1 1437.973 29.318 9
2016-03-07 17:34:15 7.171 7.28059 Clear 1 1437.79 29.34 9
2016-03-07 17:34:15.100000 7.22 7.32978 Clear 1 1437.607 29.362 9
2016-03-07 17:34:15.200000 7.027 7.13706 Clear 1 1437.424 29.384 9
2016-03-07 17:34:15.300000 7.138 7.24834 Clear 1 1437.242 29.406 9
2016-03-07 17:34:15.400000 7.14 7.2504 Clear 1 1437.059 29.428 9
2016-03-07 17:34:15.500000 7.257 7.36659 Clear 1 1436.878 29.449 9
2016-03-07 17:34:15.600000 7.12 7.22871 Clear 1 1436.696 29.471 9
2016-03-07 17:34:15.700000 7.172 7.28112 Clear 1 1436.515 29.493 9
2016-03-07 17:34:15.800000 7.018 7.12655 Clear 1 1436.334 29.515 9
2016-03-07 17:34:15.900000 6.961 7.06966 Clear 1 1436.153 29.537 9
2016-03-07 17:34:16 7.111 7.2199 Clear 1 1435.973 29.559 9
2016-03-07 17:34:16.100000 7.042 7.15109 Clear 1 1435.793 29.581 9
2016-03-07 17:34:16.200000 6.994 7.10233 Clear 1 1435.613 29.603 9
2016-03-07 17:34:16.300000 7.03 7.13834 Clear 1 1435.433 29.625 9
2016-03-07 17:34:16.400000 6.922 7.03002 Clear 1 1435.254 29.647 9
2016-03-07 17:34:16.500000 6.983 7.09126 Clear 1 1435.075 29.669 9
2016-03-07 17:34:16.600000 6.93 7.03815 Clear 1 1434.897 29.691 9
2016-03-07 17:34:16.700000 6.902 7.0096 Clear 1 1434.718 29.713 9
2016-03-07 17:34:16.800000 6.776 6.88444 Clear 1 1434.54 29.735 9
2016-03-07 17:34:16.900000 6.975 7.08228 Clear 1 1434.363 29.757 9
2016-03-07 17:34:17 6.868 6.97515 Clear 1 1434.185 29.779 9
2016-03-07 17:34:17.100000 6.77 6.87719 Clear 1 1434.008 29.801 9
2016-03-07 17:34:17.200000 6.822 6.92885 Clear 1 1433.831 29.823 9
2016-03-07 17:34:17.300000 6.762 6.86936 Clear 1 1433.655 29.845 9
2016-03-07 17:34:17.400000 6.728 6.83498 Clear 1 1433.479 29.868 9
2016-03-07 17:34:17.500000 6.833 6.93857 Clear 1 1433.303 29.89 9
2016-03-07 17:34:17.600000 6.751 6.85727 Clear 1 1433.127 29.912 9
2016-03-07 17:34:17.700000 6.666 6.77206 Clear 1 1432.952 29.934 9
2016-03-07 17:34:17.800000 6.767 6.87245 Clear 1 1432.777 29.956 9
2016-03-07 17:34:17.900000 6.716 6.82214 Clear 1 1432.602 29.978 9
2016-03-07 17:34:18 6.661 6.76709 Clear 1 1432.427 30.001 9
2016-03-07 17:34:18.100000 6.674 6.77922 Clear 1 1432.253 30.023 9
2016-03-07 17:34:18.200000 6.804 6.90881 Clear 1 1432.079 30.045 9
2016-03-07 17:34:18.300000 6.754 6.85871 Clear 1 1431.906 30.067 9
2016-03-07 17:34:18.400000 6.712 6.81651 Clear 1 1431.733 30.09 9
2016-03-07 17:34:18.500000 6.69 6.79452 Clear 1 1431.56 30.112 9
2016-03-07 17:34:18.600000 6.562 6.66706 Clear 1 1431.387 30.134 9
2016-03-07 17:34:18.700000 6.626 6.73088 Clear 1 1431.215 30.157 9
2016-03-07 17:34:18.800000 6.564 6.66759 Clear 1 1431.043 30.179 9
2016-03-07 17:34:18.900000 6.58 6.68368 Clear 1 1430.871 30.201 9
2016-03-07 17:34:19 6.585 6.68874 Clear 1 1430.699 30.224 9
2016-03-07 17:34:19.100000 6.553 6.65665 Clear 1 1430.528 30.246 9
2016-03-07 17:34:19.200000 6.566 6.66993 Clear 1 1430.357 30.268 9
2016-03-07 17:34:19.300000 6.594 6.69839 Clear 1 1430.187 30.291 9
2016-03-07 17:34:19.400000 6.523 6.62743 Clear 1 1430.017 30.313 9
2016-03-07 17:34:19.500000 6.48 6.5834 Clear 1 1429.847 30.336 9
2016-03-07 17:34:19.600000 6.452 6.55457 Clear 1 1429.677 30.358 9
2016-03-07 17:34:19.700000 6.463 6.56562 Clear 1 1429.508 30.381 9
2016-03-07 17:34:19.800000 6.476 6.57915 Clear 1 1429.339 30.403 9
2016-03-07 17:34:19.900000 6.387 6.48955 Clear 1 1429.17 30.426 9
2016-03-07 17:34:20 6.391 6.4941 Clear 1 1429.001 30.448 9
2016-03-07 17:34:20.100000 6.419 6.52206 Clear 1 1428.833 30.471 9
2016-03-07 17:34:20.200000 6.406 6.50754 Clear 1 1428.665 30.493 9
2016-03-07 17:34:20.300000 6.327 6.42856 Clear 1 1428.498 30.516 9
2016-03-07 17:34:20.400000 6.357 6.45884 Clear 1 1428.331 30.538 9
2016-03-07 17:34:20.500000 6.369 6.47078 Clear 1 1428.164 30.561 9
2016-03-07 17:34:20.600000 6.393 6.49461 Clear 1 1427.997 30.583 9
2016-03-07 17:34:20.700000 6.334 6.43639 Clear 1 1427.831 30.606 9
2016-03-07 17:34:20.800000 6.351 6.45308 Clear 1 1427.664 30.629 9
2016-03-07 17:34:20.900000 6.363 6.46539 Clear 1 1427.499 30.651 9
2016-03-07 17:34:21 6.421 6.5218 Clear 1 1427.333 30.674 9
2016-03-07 17:34:21.100000 6.311 6.4117 Clear 1 1427.168 30.696 9
2016-03-07 17:34:21.200000 6.294 6.39499 Clear 1 1427.003 30.719 9
2016-03-07 17:34:21.300000 6.259 6.36038 Clear 1 1426.839 30.742 9
2016-03-07 17:34:21.400000 6.283 6.38408 Clear 1 1426.674 30.764 9
2016-03-07 17:34:21.500000 6.262 6.36316 Clear 1 1426.51 30.787 9
2016-03-07 17:34:21.600000 6.298 6.39875 Clear 1 1426.347 30.81 9
2016-03-07 17:34:21.700000 6.313 6.41343 Clear 1 1426.184 30.833 9
2016-03-07 17:34:21.800000 6.225 6.32502 Clear 1 1426.02 30.855 9
2016-03-07 17:34:21.900000 6.253 6.35257 Clear 1 1425.858 30.878 9
2016-03-07 17:34:22 6.203 6.30272 Clear 1 1425.695 30.901 9
2016-03-07 17:34:22.100000 6.236 6.33557 Clear 1 1425.533 30.924 9
2016-03-07 17:34:22.200000 6.28 6.37991 Clear 1 1425.371 30.946 9
2016-03-07 17:34:22.300000 6.197 6.29682 Clear 1 1425.21 30.969 9
2016-03-07 17:34:22.400000 6.16 6.26033 Clear 1 1425.049 30.992 9
