# satellite: 41587 CZ-3B R/B / PRC
# catalogue: 1 NORAD
# track: 14445948
# variability: 1 Aperiodic
# variability_period: 0.0
# npoints: 6674
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel
2019-02-17 00:38:15.489000 3.42 8.13473 Clear 0 10685.313 60.756 7
2019-02-17 00:38:15.589000 3.635 8.34968 Clear 0 10685.009 60.759 7
2019-02-17 00:38:15.689000 2.874 7.58892 Clear 0 10684.706 60.761 7
2019-02-17 00:38:15.789000 3.452 8.1665 Clear 0 10684.402 60.764 7
2019-02-17 00:38:15.889000 3.082 7.79557 Clear 0 10684.098 60.766 7
2019-02-17 00:38:15.989000 3.502 8.2158 Clear 0 10683.795 60.769 7
2019-02-17 00:38:16.089000 3.493 8.20708 Clear 0 10683.491 60.771 7
2019-02-17 00:38:16.189000 3.117 7.83102 Clear 0 10683.187 60.774 7
2019-02-17 00:38:16.289000 3.359 8.07329 Clear 0 10682.884 60.776 7
2019-02-17 00:38:16.389000 2.906 7.62036 Clear 0 10682.58 60.779 7
2019-02-17 00:38:16.489000 3.373 8.08721 Clear 0 10682.276 60.781 7
2019-02-17 00:38:16.589000 3.436 8.1503 Clear 0 10681.973 60.784 7
2019-02-17 00:38:16.689000 2.93 7.64416 Clear 0 10681.669 60.786 7
2019-02-17 00:38:16.789000 2.957 7.6708 Clear 0 10681.366 60.789 7
2019-02-17 00:38:16.889000 3.443 8.15707 Clear 0 10681.062 60.791 7
2019-02-17 00:38:16.989000 3.384 8.09769 Clear 0 10680.758 60.794 7
2019-02-17 00:38:17.089000 3.305 8.0185 Clear 0 10680.455 60.796 7
2019-02-17 00:38:17.189000 3.35 8.06351 Clear 0 10680.151 60.798 7
2019-02-17 00:38:17.289000 3.642 8.35545 Clear 0 10679.848 60.801 7
2019-02-17 00:38:17.389000 3.332 8.04557 Clear 0 10679.544 60.803 7
2019-02-17 00:38:17.489000 3.09 7.80356 Clear 0 10679.24 60.806 7
2019-02-17 00:38:17.589000 3.106 7.81984 Clear 0 10678.937 60.808 7
2019-02-17 00:38:17.689000 3.228 7.94227 Clear 0 10678.633 60.811 7
2019-02-17 00:38:17.789000 3.375 8.08941 Clear 0 10678.33 60.813 7
2019-02-17 00:38:17.889000 3.309 8.02312 Clear 0 10678.026 60.816 7
2019-02-17 00:38:17.989000 3.494 8.20763 Clear 0 10677.723 60.818 7
2019-02-17 00:38:18.089000 3.247 7.96128 Clear 0 10677.419 60.821 7
2019-02-17 00:38:18.189000 3.353 8.06673 Clear 0 10677.115 60.823 7
2019-02-17 00:38:18.289000 3.561 8.27536 Clear 0 10676.812 60.826 7
2019-02-17 00:38:18.389000 3.497 8.21083 Clear 0 10676.508 60.828 7
2019-02-17 00:38:18.489000 3.563 8.27655 Clear 0 10676.205 60.831 7
2019-02-17 00:38:18.589000 3.216 7.92961 Clear 0 10675.901 60.833 7
2019-02-17 00:38:18.689000 3.244 7.95782 Clear 0 10675.598 60.836 7
2019-02-17 00:38:18.789000 3.143 7.85572 Clear 0 10675.294 60.838 7
2019-02-17 00:38:18.889000 3.16 7.87325 Clear 0 10674.991 60.841 7
2019-02-17 00:38:18.989000 3.047 7.76028 Clear 0 10674.687 60.843 7
2019-02-17 00:38:19.089000 3.348 8.06119 Clear 0 10674.384 60.846 7
2019-02-17 00:38:19.189000 3.72 8.43272 Clear 0 10674.08 60.848 7
2019-02-17 00:38:19.289000 3.089 7.80176 Clear 0 10673.777 60.851 7
2019-02-17 00:38:19.389000 3.453 8.16561 Clear 0 10673.473 60.853 7
2019-02-17 00:38:19.489000 3.051 7.76423 Clear 0 10673.17 60.856 7
2019-02-17 00:38:19.589000 3.546 8.259 Clear 0 10672.866 60.858 7
2019-02-17 00:38:19.689000 3.772 8.48457 Clear 0 10672.563 60.861 7
2019-02-17 00:38:19.789000 3.462 8.17523 Clear 0 10672.259 60.863 7
2019-02-17 00:38:19.889000 3.425 8.13795 Clear 0 10671.956 60.866 7
2019-02-17 00:38:19.989000 3.305 8.01834 Clear 0 10671.653 60.868 7
2019-02-17 00:38:20.089000 3.489 8.20242 Clear 0 10671.349 60.87 7
2019-02-17 00:38:20.189000 3.5 8.21319 Clear 0 10671.046 60.873 7
2019-02-17 00:38:20.289000 3.457 8.1696 Clear 0 10670.742 60.875 7
2019-02-17 00:38:20.389000 3.164 7.87661 Clear 0 10670.439 60.878 7
2019-02-17 00:38:20.489000 2.94 7.65311 Clear 0 10670.135 60.88 7
2019-02-17 00:38:20.689000 3.24 7.95255 Clear 0 10669.529 60.885 7
2019-02-17 00:38:20.789000 3.387 8.09997 Clear 0 10669.225 60.888 7
2019-02-17 00:38:20.889000 3.115 7.82806 Clear 0 10668.922 60.89 7
2019-02-17 00:38:20.989000 3.084 7.79725 Clear 0 10668.618 60.893 7
2019-02-17 00:38:21.089000 3.388 8.10125 Clear 0 10668.315 60.895 7
2019-02-17 00:38:21.189000 3.343 8.05564 Clear 0 10668.012 60.898 7
2019-02-17 00:38:21.289000 3.122 7.83495 Clear 0 10667.708 60.9 7
2019-02-17 00:38:21.389000 3.686 8.39863 Clear 0 10667.405 60.903 7
2019-02-17 00:38:21.489000 3.679 8.39244 Clear 0 10667.101 60.905 7
2019-02-17 00:38:21.589000 3.33 8.04288 Clear 0 10666.798 60.908 7
2019-02-17 00:38:21.689000 3.748 8.46087 Clear 0 10666.495 60.91 7
2019-02-17 00:38:21.789000 3.191 7.90263 Clear 0 10666.191 60.913 7
2019-02-17 00:38:21.889000 3.64 8.35243 Clear 0 10665.888 60.915 7
2019-02-17 00:38:21.989000 3.359 8.0713 Clear 0 10665.585 60.918 7
2019-02-17 00:38:22.089000 3.447 8.15876 Clear 0 10665.281 60.92 7
2019-02-17 00:38:22.189000 3.629 8.34131 Clear 0 10664.978 60.923 7
2019-02-17 00:38:22.289000 3.457 8.16911 Clear 0 10664.675 60.925 7
2019-02-17 00:38:22.389000 3.734 8.44579 Clear 0 10664.371 60.928 7
2019-02-17 00:38:22.489000 3.402 8.11421 Clear 0 10664.068 60.93 7
2019-02-17 00:38:22.589000 3.306 8.0178 Clear 0 10663.765 60.933 7
2019-02-17 00:38:22.689000 3.366 8.07835 Clear 0 10663.461 60.935 7
2019-02-17 00:38:22.789000 3.376 8.08749 Clear 0 10663.158 60.938 7
2019-02-17 00:38:22.889000 3.547 8.25882 Clear 0 10662.855 60.94 7
2019-02-17 00:38:22.989000 3.504 8.21632 Clear 0 10662.551 60.943 7
2019-02-17 00:38:23.089000 3.26 7.97194 Clear 0 10662.248 60.945 7
2019-02-17 00:38:23.189000 3.521 8.23322 Clear 0 10661.945 60.948 7
2019-02-17 00:38:23.289000 3.537 8.24906 Clear 0 10661.641 60.95 7
2019-02-17 00:38:23.389000 3.31 8.02227 Clear 0 10661.338 60.953 7
2019-02-17 00:38:23.489000 3.088 7.79966 Clear 0 10661.035 60.955 7
2019-02-17 00:38:23.589000 3.672 8.38404 Clear 0 10660.732 60.958 7
2019-02-17 00:38:23.689000 3.312 8.02367 Clear 0 10660.428 60.96 7
2019-02-17 00:38:23.697000 3.565 8.27731 Clear 0 10660.404 60.96 2
2019-02-17 00:38:23.789000 3.452 8.16412 Clear 0 10660.125 60.963 7
2019-02-17 00:38:23.797000 3.405 8.11714 Clear 0 10660.101 60.963 2
